# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 4.944643303088321236e-03 5.265048831527522656e-03 0.000000000000000000e+00 1.806376425538999339e-02
2.004008016032063962e-03 1.630240085598650968e-01 9.872644028665059773e-03 1.435111962041122069e-01 1.773911595771247851e-01
4.008016032064127925e-03 2.428618996087571758e-01 9.726224211799689226e-03 2.190127362024473501e-01 2.528094564222092555e-01
6.012024048096191453e-03 2.983351369349870330e-01 9.287970231471714619e-03 2.799467243819195872e-01 3.104969616249063646e-01
8.016032064128255849e-03 3.399650378756347013e-01 9.604903661761218445e-03 3.208191126279863470e-01 3.537834013152418300e-01
1.002004008016032024e-02 3.771580787480229846e-01 6.414348153462041090e-03 3.673520352950969681e-01 3.892449846000166636e-01
1.202404809619238291e-02 4.060101556646965593e-01 9.621713081362242084e-03 3.940730874885540747e-01 4.222092732872721466e-01
1.402805611222444730e-02 4.337634229584616530e-01 9.695294001535098571e-03 4.188795471572462903e-01 4.508449180054940331e-01
1.603206412825651170e-02 4.586198285191042112e-01 1.146836907296600559e-02 4.404395238491634057e-01 4.824773162407391958e-01
1.803607214428857436e-02 4.808374261217014944e-01 1.086634390076195687e-02 4.598351785565636951e-01 4.977108132856072342e-01
2.004008016032064049e-02 4.989095146924166224e-01 9.801237067524412247e-03 4.777324565054524297e-01 5.110297178057104928e-01
2.204408817635270315e-02 5.150488273642098713e-01 1.147919928778236634e-02 4.883043369682843471e-01 5.252642970115708465e-01
2.404809619238476581e-02 5.286522933488720932e-01 1.095335982938199643e-02 5.037875634729043206e-01 5.402480645966869499e-01
2.605210420841683194e-02 5.440855739615416686e-01 1.075077831355357970e-02 5.190210605177724146e-01 5.548988595688004732e-01
2.805611222444889460e-02 5.585199367352036148e-01 1.088005846109032539e-02 5.368350953134104486e-01 5.745442437359526977e-01
3.006012024048096073e-02 5.695413302255889487e-01 1.195960788059980892e-02 5.479896778489968812e-01 5.874469324898027311e-01
3.206412825651302340e-02 5.807874802297510186e-01 1.176081705910494470e-02 5.595604761508365943e-01 5.966036793473736832e-01
3.406813627254508953e-02 5.912927661699824977e-01 1.079133108794765039e-02 5.727961375176892078e-01 6.040955631399317349e-01
3.607214428857714872e-02 6.011987014068094215e-01 1.148742244134630906e-02 5.801215350037459695e-01 6.168317655872804783e-01
3.807615230460921485e-02 6.104553400482810588e-01 1.003984210776899880e-02 5.914426038458336921e-01 6.228252726213269197e-01
4.008016032064128098e-02 6.189211687338714851e-01 1.001055248159200134e-02 5.991009739448930338e-01 6.308998584866394310e-01
4.208416833667334017e-02 6.260800799134271788e-01 9.658605895581420450e-03 6.081744776492133964e-01 6.381420128194456032e-01
4.408817635270540630e-02 6.339632065262631455e-01 9.802057147056465400e-03 6.153333888287688680e-01 6.462998418380088150e-01
4.609218436873747243e-02 6.407142262548906064e-01 9.893647501807177613e-03 6.224923000083243396e-01 6.532922667110629966e-01
4.809619238476953162e-02 6.472571381003912050e-01 1.049037139859199455e-02 6.276533755098643308e-01 6.634479314076416889e-01
5.010020040080159776e-02 6.532423208191124875e-01 1.082501595253498698e-02 6.332306667776574916e-01 6.699408973611920004e-01
5.210420841683366389e-02 6.600932323316408556e-01 1.011286462970106825e-02 6.404728211104636637e-01 6.757679180887371517e-01
5.410821643286573002e-02 6.659868475817863898e-01 9.959252740792250494e-03 6.464663281445101051e-01 6.802630483642720938e-01
5.611222444889778921e-02 6.710979771913760938e-01 9.884047486317845341e-03 6.510447015732956366e-01 6.851743944060600944e-01
5.811623246492985534e-02 6.760093232331640944e-01 1.003696014092562983e-02 6.560392907683343378e-01 6.905851993673520761e-01
6.012024048096192147e-02 6.814201281944560762e-01 9.353986127203370998e-03 6.638641471738949695e-01 6.959960043286439468e-01
6.212424849699398066e-02 6.866810954798968636e-01 9.100228167456181003e-03 6.716057604262049008e-01 7.013235661366852280e-01
6.412825651302604679e-02 6.915508199450594029e-01 8.961866795058786792e-03 6.750187297094814021e-01 7.069008574044784998e-01
6.613226452905811292e-02 6.953550320486139302e-01 8.888798076417460739e-03 6.793473736785149431e-01 7.114792308332639204e-01
6.813627254509017905e-02 6.997752434862232196e-01 8.934375604953935512e-03 6.837592608007991846e-01 7.154749021892948813e-01
7.014028056112224518e-02 7.046449679513858699e-01 8.933231534771450891e-03 6.881711479230833151e-01 7.197203030050778327e-01
7.214428857715429744e-02 7.087738283526179295e-01 9.045451692829406184e-03 6.924997918921168560e-01 7.237159743611087936e-01
7.414829659318636357e-02 7.123865812036960232e-01 9.296695085280675536e-03 6.961624906351452369e-01 7.281278614833930352e-01
7.615230460921842970e-02 7.157579289103471742e-01 9.074435368846285599e-03 7.005743777574294784e-01 7.305419129276616852e-01
7.815631262525049583e-02 7.191625738782985167e-01 9.333636470189398890e-03 7.025722134354449588e-01 7.344543411304420566e-01
8.016032064128256196e-02 7.224673270623490628e-01 9.418182008533487054e-03 7.054024806459668895e-01 7.376175809539665673e-01
8.216432865731462809e-02 7.260301340214767585e-01 9.485103464326830394e-03 7.088986930824939803e-01 7.410305502372429576e-01
8.416833667334668034e-02 7.293099142595521611e-01 9.606692682064259248e-03 7.111462582202613403e-01 7.437775742945142987e-01
8.617234468937874647e-02 7.325896944976274527e-01 9.406933038580377743e-03 7.149754432697910111e-01 7.472737867310413895e-01
8.817635270541081260e-02 7.356946641138766285e-01 9.451192418952281474e-03 7.182219262465662224e-01 7.510197286273203598e-01
9.018036072144287874e-02 7.388412553067509325e-01 9.484610324548092483e-03 7.223008407558478838e-01 7.541829684508448706e-01
9.218436873747494487e-02 7.419878464996254586e-01 8.962102621602852093e-03 7.267959710313827149e-01 7.554316157496046014e-01
9.418837675350701100e-02 7.447182219262465930e-01 8.893552169892113279e-03 7.302089403146591051e-01 7.584283692666278220e-01
9.619238476953906325e-02 7.473820028302672336e-01 9.178141839442958624e-03 7.326229917589278662e-01 7.617580953966536228e-01
9.819639278557112938e-02 7.500208107883127306e-01 9.313937999985793387e-03 7.342046116706900660e-01 7.648380920669275440e-01
1.002004008016031955e-01 7.527511862149337540e-01 9.219629250694432246e-03 7.382002830267210269e-01 7.680845750437026442e-01
1.022044088176352616e-01 7.554565886955797449e-01 9.139025403833165098e-03 7.419462249230001083e-01 7.699991675684675352e-01
1.042084168336673278e-01 7.581203695996003855e-01 9.380291946448236426e-03 7.436943311412635982e-01 7.734121368517439254e-01
1.062124248496993939e-01 7.601098809622909291e-01 9.425448410325680884e-03 7.456921668192790786e-01 7.748272704570049463e-01
1.082164328657314600e-01 7.625655539831849294e-01 9.416640487207977514e-03 7.476900024972945591e-01 7.778240239740281670e-01
1.102204408817635123e-01 7.648380920669274330e-01 9.830871902950087671e-03 7.498543244818113296e-01 7.821526679430617079e-01
1.122244488977955784e-01 7.672271705652210505e-01 9.932973347231775774e-03 7.512694580870723504e-01 7.838175310080746083e-01
1.142284569138276445e-01 7.691251144593358458e-01 9.997100690418021449e-03 7.532672937650878309e-01 7.852326646133355181e-01
1.162324649298597107e-01 7.714475984350287474e-01 1.023925976605548176e-02 7.545991842170981512e-01 7.887288770498626089e-01
1.182364729458917768e-01 7.738033796720219515e-01 1.012080992915701666e-02 7.564305335886123416e-01 7.912261716473819595e-01
1.202404809619238429e-01 7.761258636477150752e-01 1.005025860912728969e-02 7.584283692666278220e-01 7.926413052526429803e-01
1.222444889779558952e-01 7.779155914426038043e-01 1.017982083314013068e-02 7.600099891783901329e-01 7.946391409306584608e-01
1.242484969939879613e-01 7.797386164987930579e-01 1.003520294312391578e-02 7.615916090901523328e-01 7.960542745359193706e-01
1.262525050100200275e-01 7.813785066178307037e-01 1.010902673287354669e-02 7.623407974694081934e-01 7.976358944476816815e-01
1.282565130260520936e-01 7.834013152418213277e-01 9.862891048037374792e-03 7.651710646799301241e-01 7.998834595854490415e-01
1.302605210420841597e-01 7.850994755681346415e-01 9.500826661559699793e-03 7.674186298176974841e-01 8.006326479647049021e-01
1.322645290581162258e-01 7.867643386331475419e-01 9.817555061023606686e-03 7.690002497294597950e-01 8.022142678764672130e-01
1.342685370741482920e-01 7.889203363023391535e-01 9.929554429867331125e-03 7.714975443269791455e-01 8.047948056272371531e-01
1.362725450901803581e-01 7.906018479980021496e-01 9.941285477780092625e-03 7.732456505452426354e-01 8.062099392324981739e-01
1.382765531062124242e-01 7.923915757928909898e-01 1.023708039801664998e-02 7.747440273037542458e-01 8.085407475235162345e-01
1.402805611222444904e-01 7.940980604345293514e-01 1.024190213519836704e-02 7.763256472155165566e-01 8.100391242820278448e-01
1.422845691382765287e-01 7.959127611753932241e-01 1.032785896535116064e-02 7.782402397402813365e-01 8.116207441937900446e-01
