# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 1.546681664791901378e-04 1.827896512935883028e-04 0.000000000000000000e+00 5.624296962879640586e-04
2.004008016032063962e-03 5.919572553430821685e-03 1.327158312321359036e-03 3.655793025871766164e-03 7.592800899887513708e-03
4.008016032064127925e-03 1.254218222722159812e-02 1.019379581574345267e-03 1.082677165354330694e-02 1.363892013498312766e-02
6.012024048096191453e-03 1.803993250843644730e-02 2.711245131094566774e-03 1.490438695163104690e-02 2.418447694038245235e-02
8.016032064128255849e-03 2.296119235095613054e-02 2.598043215706295241e-03 1.996625421822272387e-02 2.798087739032621007e-02
1.002004008016032024e-02 2.699662542182226788e-02 2.808631096096481702e-03 2.320022497187851362e-02 3.332395950506186755e-02
1.202404809619238291e-02 3.151012373453318527e-02 3.313356591983936637e-03 2.559055118110236185e-02 3.880764904386951875e-02
1.402805611222444730e-02 3.532058492688413404e-02 3.318930948792123310e-03 3.163667041619797754e-02 4.204161979752531197e-02
1.603206412825651170e-02 4.091676040494938299e-02 4.627244845867360505e-03 3.571428571428571230e-02 4.935320584926883997e-02
1.803607214428857436e-02 4.548650168728908538e-02 4.947004011580678762e-03 4.021372328458942824e-02 5.413385826771653642e-02
2.004008016032064049e-02 4.998593925759280132e-02 4.717897683050083051e-03 4.457255343082115046e-02 5.764904386951631016e-02
2.204408817635270315e-02 5.399325084364454963e-02 3.749238365009387956e-03 4.977502812148481420e-02 5.919572553430821338e-02
2.404809619238476581e-02 5.809898762654668036e-02 4.282783039334602491e-03 5.244656917885264641e-02 6.271091113610798018e-02
2.605210420841683194e-02 6.289370078740157133e-02 4.047467192225851461e-03 5.652418447694038117e-02 6.805399325084364459e-02
2.805611222444889460e-02 6.643700787401575492e-02 3.751478801513719909e-03 6.074240719910010966e-02 7.199100112485939951e-02
3.006012024048096073e-02 7.083802024746907455e-02 3.001762689762184268e-03 6.453880764904386391e-02 7.480314960629921850e-02
3.206412825651302340e-02 7.540776152980878388e-02 1.841957255343079115e-03 7.156917885264342527e-02 7.845894263217097209e-02
3.406813627254508953e-02 7.958380202474690801e-02 2.226752856561208058e-03 7.578740157480315376e-02 8.338020247469066226e-02
3.607214428857714872e-02 8.447694038245219528e-02 3.023419289562026546e-03 7.845894263217097209e-02 8.900449943757030025e-02
3.807615230460921485e-02 8.863892013498313183e-02 3.527649444446955690e-03 8.267716535433071445e-02 9.631608548931383518e-02
4.008016032064128098e-02 9.364454443194601685e-02 3.274070363507164058e-03 8.787964004499437820e-02 9.912823397075365417e-02
4.208416833667334017e-02 9.746906636670416013e-02 3.369183915107770363e-03 9.125421822272215822e-02 1.026434195725534348e-01
4.408817635270540630e-02 1.013779527559055121e-01 4.099375629109463896e-03 9.476940382452193889e-02 1.091113610798650213e-01
4.609218436873747243e-02 1.061164229471316112e-01 3.884456640547360486e-03 9.997187851518560264e-02 1.122047244094488139e-01
4.809619238476953162e-02 1.100815523059617551e-01 3.727263862035621027e-03 1.046119235095613054e-01 1.162823397075365556e-01
5.010020040080159776e-02 1.134842519685039103e-01 3.978693224193647314e-03 1.085489313835770464e-01 1.203599550056242973e-01
5.210420841683366389e-02 1.176884139482564651e-01 4.470343223888478823e-03 1.112204724409448786e-01 1.252812148481439736e-01
5.410821643286573002e-02 1.211051743532058494e-01 4.927302252266082747e-03 1.138920134983127108e-01 1.306242969628796380e-01
5.611222444889778921e-02 1.244656917885264280e-01 5.205438003224560108e-03 1.175478065241844783e-01 1.342800899887514054e-01
5.811623246492985534e-02 1.282480314960629808e-01 4.936682406276697577e-03 1.202193475815523105e-01 1.368110236220472509e-01
6.012024048096192147e-02 1.322975253093363335e-01 5.332878333316646083e-03 1.228908886389201288e-01 1.415916760404949404e-01
6.212424849699398066e-02 1.363892013498312905e-01 5.972423440099232372e-03 1.257030371203599617e-01 1.462317210348706431e-01
6.412825651302604679e-02 1.398200224971878347e-01 5.958570365871328732e-03 1.296400449943757027e-01 1.497469066366704238e-01
6.613226452905811292e-02 1.433773903262092475e-01 5.431179032133340648e-03 1.345613048368953790e-01 1.529808773903262031e-01
6.813627254509017905e-02 1.469347581552306048e-01 6.099510512302572587e-03 1.368110236220472509e-01 1.574803149606299191e-01
7.014028056112224518e-02 1.506749156355455532e-01 6.563279841339503262e-03 1.404668166479190183e-01 1.614173228346456601e-01
7.214428857715429744e-02 1.544431946006749046e-01 5.739539248282977610e-03 1.470753655793025916e-01 1.639482564679415055e-01
7.414829659318636357e-02 1.579583802024746852e-01 5.495286402112563133e-03 1.497469066366704238e-01 1.667604049493813245e-01
7.615230460921842970e-02 1.618110236220472176e-01 5.093328053394117517e-03 1.535433070866141780e-01 1.704161979752530920e-01
7.815631262525049583e-02 1.654527559055118113e-01 5.082545098150479876e-03 1.593082114735658028e-01 1.736501687289088991e-01
8.016032064128256196e-02 1.689820022497187657e-01 5.128143788756939041e-03 1.619797525309336350e-01 1.761811023622047168e-01
8.216432865731462809e-02 1.722300337457817743e-01 5.159909322722267162e-03 1.654949381327334157e-01 1.795556805399325107e-01
8.416833667334668034e-02 1.755343082114735886e-01 5.021949214133443994e-03 1.694319460067491567e-01 1.827896512935882900e-01
8.617234468937874647e-02 1.793307086614173151e-01 5.335380157248285383e-03 1.739313835770528727e-01 1.878515185601799808e-01
8.817635270541081260e-02 1.830708661417322913e-01 5.059914008843243403e-03 1.767435320584926917e-01 1.910854893138357602e-01
9.018036072144287874e-02 1.867407199100112325e-01 4.623590314683163546e-03 1.819460067491563693e-01 1.943194600674915673e-01
9.218436873747494487e-02 1.892716535433070779e-01 5.064776223257200054e-03 1.840551181102362266e-01 1.983970753655792951e-01
9.418837675350701100e-02 1.926462317210348718e-01 4.986887652894009433e-03 1.870078740157480324e-01 2.019122609673790758e-01
9.619238476953906325e-02 1.960489313835770686e-01 4.996235080112859835e-03 1.901012373453318249e-01 2.048650168728908816e-01
9.819639278557112938e-02 1.992969628796400494e-01 4.696877299462980798e-03 1.934758155230596188e-01 2.059898762654668036e-01
1.002004008016031955e-01 2.025590551181102872e-01 4.190573047775652746e-03 1.969910011248593995e-01 2.082395950506186755e-01
1.022044088176352616e-01 2.060039370078740328e-01 4.042286150560320257e-03 2.005061867266591802e-01 2.116141732283464694e-01
1.042084168336673278e-01 2.097300337457817798e-01 4.271411939781468055e-03 2.035995500562429728e-01 2.161136107986501576e-01
1.062124248496993939e-01 2.125562429696287725e-01 4.433060198374571062e-03 2.051462317210348829e-01 2.192069741282339779e-01
1.082164328657314600e-01 2.153683914510686193e-01 4.189086664977233719e-03 2.085208098987626490e-01 2.214566929133858220e-01
1.102204408817635123e-01 2.185883014623171972e-01 4.267244210663384205e-03 2.123172103487064033e-01 2.253937007874015630e-01
1.122244488977955784e-01 2.218925759280089838e-01 4.148014336095525757e-03 2.154105736782902236e-01 2.270809898762654599e-01
1.142284569138276445e-01 2.247890888638920115e-01 4.199927516770883898e-03 2.178008998875140545e-01 2.290494938132733305e-01
1.162324649298597107e-01 2.271934758155230993e-01 3.929870599470442274e-03 2.199100112485939396e-01 2.322834645669291376e-01
1.182364729458917768e-01 2.307789651293588595e-01 3.569905922370931323e-03 2.253937007874015630e-01 2.349550056242969698e-01
1.202404809619238429e-01 2.345753655793025860e-01 3.490945669775130829e-03 2.290494938132733305e-01 2.402980877390326342e-01
1.222444889779558952e-01 2.369938132733408198e-01 3.218190334617359108e-03 2.320022497187851640e-01 2.425478065241844783e-01
1.242484969939879613e-01 2.404760308017609982e-01 3.170594310812809187e-03 2.363610798650168654e-01 2.455005624296962841e-01
1.262525050100200275e-01 2.436164229471316500e-01 3.096046489458014785e-03 2.393138357705286712e-01 2.480314960629921295e-01
1.282565130260520936e-01 2.471737907761529518e-01 2.782783976747517114e-03 2.432508436445444400e-01 2.514060742407199234e-01
1.302605210420841597e-01 2.499859392575927708e-01 2.545305091374394906e-03 2.463442069741282325e-01 2.543588301462317292e-01
1.322645290581162258e-01 2.528262092238470204e-01 2.776382512438656160e-03 2.488751406074240780e-01 2.581552305961754556e-01
1.342685370741482920e-01 2.562148481439819880e-01 3.187666748898072919e-03 2.529527559055118058e-01 2.625140607424071848e-01
1.362725450901803581e-01 2.590551181102361822e-01 2.953559267220464638e-03 2.547806524184477173e-01 2.640607424071991227e-01
1.382765531062124242e-01 2.617688413948256465e-01 3.296367055211515181e-03 2.571709786276715204e-01 2.675759280089988756e-01
1.402805611222444904e-01 2.647075365579302231e-01 3.320360290352264866e-03 2.599831271091113671e-01 2.701068616422946933e-01
1.422845691382765287e-01 2.678290213723284463e-01 2.977957693147823253e-03 2.640607424071991227e-01 2.732002249718785136e-01
1.442885771543085949e-01 2.712176602924634139e-01 3.166914968205442743e-03 2.653262092238470315e-01 2.755905511811023723e-01
1.462925851703406610e-01 2.742969628796400050e-01 3.457227482250391313e-03 2.679977502812148638e-01 2.789651293588301662e-01
1.482965931863727271e-01 2.773622047244094224e-01 3.481957689303463201e-03 2.715129358830146167e-01 2.821991001124859455e-01
1.503006012024047933e-01 2.801602924634420400e-01 3.548353085643349801e-03 2.743250843644544634e-01 2.859955005624296720e-01
1.523046092184368594e-01 2.829302587176603101e-01 3.480026644389473851e-03 2.778402699662542163e-01 2.886670416197975042e-01
1.543086172344689255e-01 2.858408323959504838e-01 4.095732800428196312e-03 2.793869516310460988e-01 2.926040494938133008e-01
1.563126252505009917e-01 2.887654668166478866e-01 4.263930277715997745e-03 2.817772778402699574e-01 2.956974128233970656e-01
1.583166332665330578e-01 2.917744656917884427e-01 4.457255343082111576e-03 2.845894263217098041e-01 2.976659167604049361e-01
1.603206412825651239e-01 2.948115860517435127e-01 4.816517522083700251e-03 2.869797525309336073e-01 3.028683914510686415e-01
1.623246492985971901e-01 2.975112485939257478e-01 4.917019706381199097e-03 2.895106861642294804e-01 3.069460067491563415e-01
1.643286573146292562e-01 3.005061867266591302e-01 4.858917351674196632e-03 2.921822272215973126e-01 3.083520809898762649e-01
1.663326653306613223e-01 3.028262092238470093e-01 4.703544268467448400e-03 2.940101237345331686e-01 3.094769403824522147e-01
1.683366733466933607e-01 3.051884139482564651e-01 4.512709790987093697e-03 2.979471316085489097e-01 3.121484814398200469e-01
1.703406813627254268e-01 3.079021372328459294e-01 4.680685775379798096e-03 2.999156355455567802e-01 3.146794150731158646e-01
1.723446893787574929e-01 3.106017997750281090e-01 5.129762752236976218e-03 3.020247469066366652e-01 3.174915635545556558e-01
1.743486973947895591e-01 3.133998875140607820e-01 5.581760549549731956e-03 3.031496062992126150e-01 3.211473565804274233e-01
