# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 7.445141065830722556e-03 4.495600184236970068e-03 3.358710255261979191e-04 1.528213166144200622e-02
2.004008016032063962e-03 1.116771159874608149e-01 5.322139916443045619e-03 1.050156739811912293e-01 1.213054187192118272e-01
4.008016032064127925e-03 1.671742051052395872e-01 4.561420364003121973e-03 1.609381997313031887e-01 1.736453201970443450e-01
6.012024048096191453e-03 2.046036654589968029e-01 5.686651304941414166e-03 1.932937751903269219e-01 2.116210701743836964e-01
8.016032064128255849e-03 2.329825347066726005e-01 4.020254427083527413e-03 2.268248992386923402e-01 2.384684281236005288e-01
1.002004008016032024e-02 2.569917151813703171e-01 2.823498266167554383e-03 2.526869682042096055e-01 2.613636363636363535e-01
1.202404809619238291e-02 2.786721898790864294e-01 2.942766062954398510e-03 2.732310792655620046e-01 2.826354679802955405e-01
1.402805611222444730e-02 2.952026421854007654e-01 4.077775649640509419e-03 2.892409314823107813e-01 3.037393640841916653e-01
1.603206412825651170e-02 3.108766233766233622e-01 4.738457217596167385e-03 3.056426332288401104e-01 3.219323779668607499e-01
1.803607214428857436e-02 3.248320644872369489e-01 4.369609038517349026e-03 3.198611733094491871e-01 3.346394984326018784e-01
2.004008016032064049e-02 3.366715181370353305e-01 4.298555042967268543e-03 3.311688311688311681e-01 3.442118226600985320e-01
2.204408817635270315e-02 3.472850425436632138e-01 4.054208147675568072e-03 3.391737572772055564e-01 3.537281683833408130e-01
2.404809619238476581e-02 3.569861173309449298e-01 3.640049318027579334e-03 3.501455441110613576e-01 3.633004926108374111e-01
2.605210420841683194e-02 3.676836094939542887e-01 3.228174098835376836e-03 3.626287505597850513e-01 3.746081504702194476e-01
2.805611222444889460e-02 3.766737572772055898e-01 3.332902979679751385e-03 3.715293327362292897e-01 3.826130765785938359e-01
3.006012024048096073e-02 3.850033587102552057e-01 3.659303305407659700e-03 3.784146887595163378e-01 3.906739811912225968e-01
3.206412825651302340e-02 3.933889386475593053e-01 3.790389634897575830e-03 3.885467980295566615e-01 3.995745633676668351e-01
3.406813627254508953e-02 4.011643528884907828e-01 3.423871569854211334e-03 3.955441110613524547e-01 4.070756829377519259e-01
3.607214428857714872e-02 4.086710703090014052e-01 3.228678824077688050e-03 4.022615315718763851e-01 4.142409314823107813e-01
3.807615230460921485e-02 4.155564263322884533e-01 3.322903061773428268e-03 4.089229735781459985e-01 4.212942230183609471e-01
4.008016032064128098e-02 4.219827586206896797e-01 3.396566957755663575e-03 4.168159426780116417e-01 4.283475145544111129e-01
4.208416833667334017e-02 4.280620241827138850e-01 3.382829690715111800e-03 4.235893416927899446e-01 4.337774294670846409e-01
4.408817635270540630e-02 4.345107478728167938e-01 3.223647456873069816e-03 4.302507836990595580e-01 4.403269144648455091e-01
