# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
0.000000000000000000e+00 4.704704704704704837e-03 2.720283148841940064e-03 3.850003850003850137e-04 9.086009086009086064e-03 7.499807499807500770e-03 4.721203696040490207e-03 3.850003850003850137e-04 1.694001694001694147e-02 7.445907445907444522e-03 4.682851967357409481e-03 3.850003850003850137e-04 1.724801724801724653e-02 5.182105182105181847e-03 2.629538537260658112e-03 3.850003850003850137e-04 9.856009856009855657e-03 2.248402248402248029e-03 1.150784119027914226e-03 3.080003080003079893e-04 4.158004158004158235e-03
2.004008016032063962e-03 8.635558635558635010e-02 6.575215974923333609e-03 7.530607530607530409e-02 9.548009548009547820e-02 1.135135135135135059e-01 5.319563011702463026e-03 1.029491029491029497e-01 1.205821205821205888e-01 1.123585123585123524e-01 3.807387139808500465e-03 1.068761068761068800e-01 1.182721182721182679e-01 6.597366597366596808e-02 4.749825129586873404e-03 5.805805805805806102e-02 7.322707322707322497e-02 2.765862825983066500e-02 1.921668285121655093e-03 2.471702471702471801e-02 3.018403018403018404e-02
4.008016032064127925e-03 1.379687379687379589e-01 7.489127400038163122e-03 1.211211211211211253e-01 1.468391468391468391e-01 1.644186656210704367e-01 5.832752740900047986e-03 1.514631634872115884e-01 1.735581735581735452e-01 1.623623623623623724e-01 5.875585213829232108e-03 1.497651497651497632e-01 1.699391699391699373e-01 9.537229537229537091e-02 4.885374242956123589e-03 8.516208516208516321e-02 1.022561022561022520e-01 4.111804111804112649e-02 2.302546938379217579e-03 3.719103719103718925e-02 4.404404404404404366e-02
6.012024048096191453e-03 1.763763763763764036e-01 7.406927141877696005e-03 1.633941633941634053e-01 1.853391853391853361e-01 2.006545006545006893e-01 6.425558387063330656e-03 1.889581889581889718e-01 2.095942095942096017e-01 1.982135982135982133e-01 5.863625380613161561e-03 1.874951874951874820e-01 2.049742049742049876e-01 1.152460152460152293e-01 6.126714728402913625e-03 1.014091014091014070e-01 1.215831215831215811e-01 5.213675213675213194e-02 3.632975916107181527e-03 4.589204589204589485e-02 5.605605605605605557e-02
8.016032064128255849e-03 2.055209055209055169e-01 7.618063236789061020e-03 1.936551936551936526e-01 2.131362131362131429e-01 2.274428274428274277e-01 5.840830169638560991e-03 2.181412181412181461e-01 2.355432355432355296e-01 2.227843227843227802e-01 5.443099442838927708e-03 2.102872102872102855e-01 2.296912296912296814e-01 1.293601293601293611e-01 6.387015984628937638e-03 1.146531146531146600e-01 1.354431354431354373e-01 6.036806036806036113e-02 3.645610097217292893e-03 5.436205436205435865e-02 6.414106414106414411e-02
1.002004008016032024e-02 2.324940324940324710e-01 2.744963648146063299e-03 2.263802263802263681e-01 2.357742357742357853e-01 2.523831523831523982e-01 3.658605808334578630e-03 2.474012474012474150e-01 2.583352583352583332e-01 2.458150458150458184e-01 3.679798152319684827e-03 2.400092400092400102e-01 2.510972510972511174e-01 1.426734426734426742e-01 7.002051018622179775e-03 1.309001309001308899e-01 1.498421498421498299e-01 6.878416878416879210e-02 3.766563269611112198e-03 6.244706244706244719e-02 7.238007238007237998e-02
1.202404809619238291e-02 2.533071533071532544e-01 3.843075308713176600e-03 2.480942480942480988e-01 2.592592592592592449e-01 2.717409717409717262e-01 5.648201024602239780e-03 2.634942634942634698e-01 2.820512820512820484e-01 2.627319627319626982e-01 4.539276993095995270e-03 2.549472549472549532e-01 2.701162701162700963e-01 1.526603526603526606e-01 7.123418578613341552e-03 1.413721413721413800e-01 1.620081620081620100e-01 7.548317548317548531e-02 4.175939291575068817e-03 6.714406714406714882e-02 8.031108031108030731e-02
1.402805611222444730e-02 2.750673750673750528e-01 5.808281739227170136e-03 2.674982674982674946e-01 2.870562870562870517e-01 2.905674905674905384e-01 5.788869680860926972e-03 2.845152845152845167e-01 3.039963039963040070e-01 2.795179795179795201e-01 4.379869698575285068e-03 2.747362747362747104e-01 2.905212905212904984e-01 1.625086625086624992e-01 6.084784622250054634e-03 1.513821513821513864e-01 1.716331716331716273e-01 8.255948255948256098e-02 3.643950849935040284e-03 7.723107723107723588e-02 8.870408870408870439e-02
1.603206412825651170e-02 2.933086933086933024e-01 7.827905236532917838e-03 2.835912835912836050e-01 3.102333102333102444e-01 3.066066066066066020e-01 6.997392324069713621e-03 3.006853006853006938e-01 3.230923230923231082e-01 2.929852929852929666e-01 5.257250391348669387e-03 2.860552860552860732e-01 3.056903056903056970e-01 1.718333718333718285e-01 6.154536726400028183e-03 1.609301609301609370e-01 1.831831831831831903e-01 8.855008855008854318e-02 3.826369281994241364e-03 8.208208208208207790e-02 9.601909601909601466e-02
1.803607214428857436e-02 3.096404096404096751e-01 6.818403557373791009e-03 2.979132979132979031e-01 3.204743204743204510e-01 3.208362208362208756e-01 6.446617330640024880e-03 3.139293139293139467e-01 3.325633325633325366e-01 3.052899052899052945e-01 4.139110472608079072e-03 2.995302995302995264e-01 3.133903133903133686e-01 1.799491799491799160e-01 5.714007569100021562e-03 1.694001694001693870e-01 1.888811888811888773e-01 9.470239470239470714e-02 3.601999078120613970e-03 8.885808885808885171e-02 1.001001001001001062e-01
