# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
2.031626850366592407e-01 4.382487237453460693e-01 9.990931749343872070e-01 7.543600797653198242e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.603197395801544189e-01 4.639997482299804688e-01 9.933775067329406738e-01 9.986334443092346191e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
4.705730974674224854e-01 6.973274350166320801e-01 8.299388885498046875e-01 6.681706309318542480e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
1.380793154239654541e-01 3.628834187984466553e-01 6.760834455490112305e-01 8.983266949653625488e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
9.307326674461364746e-01 3.459848165512084961e-01 9.363079667091369629e-01 4.446354508399963379e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.317914217710494995e-01 2.579924464225769043e-01 9.937757253646850586e-01 9.995156526565551758e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
1.028773933649063110e-01 3.509166836738586426e-01 9.758670926094055176e-01 7.385966181755065918e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.725638747215270996e-01 1.738828122615814209e-01 3.351855874061584473e-01 8.970096111297607422e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
1.455908417701721191e-01 4.067803919315338135e-01 4.631313979625701904e-01 9.936018586158752441e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
3.475331366062164307e-01 5.297545194625854492e-01 8.592255711555480957e-01 5.787302255630493164e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
6.286042332649230957e-01 2.784295380115509033e-01 9.759907126426696777e-01 9.995384216308593750e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
4.050593376159667969e-01 4.728224277496337891e-01 9.832752346992492676e-01 9.333457350730895996e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
4.046516120433807373e-01 3.534384071826934814e-01 9.842318296432495117e-01 9.993742108345031738e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
