# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 1.710500296618548688e-02 1.654890502922657172e-02 1.977456990310460854e-04 5.082064465097883843e-02
2.004008016032063962e-03 1.767055566541427536e-01 1.962095763792657405e-02 1.475182914771603626e-01 2.181135060312438256e-01
4.008016032064127925e-03 2.675697053589084495e-01 1.490652409539098069e-02 2.452046667984971451e-01 2.896974490804825053e-01
6.012024048096191453e-03 3.210599169468064118e-01 1.248531955375463930e-02 2.978050227407553763e-01 3.367609254498714622e-01
8.016032064128255849e-03 3.567332410520070995e-01 1.702336664609525874e-02 3.237097093138224246e-01 3.846153846153846367e-01
1.002004008016032024e-02 3.909630215542811427e-01 1.423039658935019297e-02 3.527783270713861774e-01 4.079493771010480607e-01
1.202404809619238291e-02 4.221870674312834248e-01 1.284007759689267079e-02 4.016215147320545964e-01 4.384022147518291668e-01
1.402805611222444730e-02 4.481510777140596535e-01 1.295801779792707213e-02 4.178366620526003383e-01 4.615384615384615641e-01
1.603206412825651170e-02 4.766264583745303263e-01 1.307577641258217925e-02 4.579790389559026953e-01 5.066244809175400876e-01
1.803607214428857436e-02 4.997231560213565293e-01 1.149256425064509521e-02 4.807197943444729837e-01 5.240261024322721006e-01
2.004008016032064049e-02 5.177971129127941774e-01 9.499309034424542261e-03 5.036582954320742989e-01 5.384615384615384359e-01
2.204408817635270315e-02 5.354558038362666750e-01 1.151885246269707987e-02 5.133478346845956608e-01 5.534902115878980178e-01
2.404809619238476581e-02 5.503065058334981607e-01 8.741366463246177942e-03 5.299584734032034561e-01 5.596203282578603444e-01
2.605210420841683194e-02 5.653154043899545345e-01 8.381618883604122563e-03 5.441961637334388202e-01 5.718805615977852197e-01
2.805611222444889460e-02 5.777338342891041867e-01 9.734311978028181711e-03 5.554676685782083956e-01 5.926438599960450748e-01
3.006012024048096073e-02 5.893810559620329403e-01 9.523565078111563553e-03 5.695076132094126775e-01 6.033221277437216257e-01
3.206412825651302340e-02 6.015226418825390109e-01 1.101869484294857975e-02 5.807791180541823639e-01 6.169665809768637432e-01
3.406813627254508953e-02 6.115285742535098157e-01 1.015352438259044254e-02 5.920506228989519393e-01 6.264583745303539120e-01
3.607214428857714872e-02 6.206051018390349450e-01 1.084584234416442923e-02 5.985762309669764303e-01 6.395095906664030050e-01
3.807615230460921485e-02 6.311449475973895940e-01 9.266680789542890498e-03 6.122206842001186589e-01 6.450464702392723071e-01
4.008016032064128098e-02 6.399248566343681555e-01 9.883111636547389431e-03 6.197350207632984498e-01 6.539450266956693403e-01
4.208416833667334017e-02 6.486849911014436199e-01 1.031057528309327169e-02 6.280403401226023474e-01 6.616571089578802134e-01
4.408817635270540630e-02 6.571880561597785997e-01 9.586567910214661287e-03 6.353569309867510562e-01 6.677872256278425400e-01
4.609218436873747243e-02 6.641882539054775325e-01 9.125401606756088080e-03 6.438599960450860360e-01 6.758947992881154665e-01
4.809619238476953162e-02 6.712082262210796735e-01 9.294489616266674373e-03 6.515720783072967981e-01 6.816294245600158508e-01
5.010020040080159776e-02 6.774965394502668881e-01 9.072390785054664994e-03 6.606683804627249135e-01 6.917144552105991551e-01
5.210420841683366389e-02 6.834289104211983545e-01 8.192234633087975768e-03 6.689736998220289221e-01 6.954716234921890505e-01
5.410821643286573002e-02 6.888471425746490739e-01 8.128887710252583748e-03 6.733241052007118421e-01 7.006130116669961883e-01
5.611222444889778921e-02 6.941467273086810996e-01 7.968464683576603064e-03 6.798497132687364441e-01 7.073363654340517614e-01
5.811623246492985534e-02 6.992881154834882373e-01 7.667868371514827142e-03 6.838046272493573108e-01 7.116867708127347925e-01
6.012024048096192147e-02 7.056555269922879514e-01 7.308703507255081416e-03 6.929009294047854262e-01 7.166304132885109590e-01
6.212424849699398066e-02 7.103421000593236334e-01 7.165819574061750748e-03 6.964603519873442394e-01 7.205853272691319367e-01
6.412825651302604679e-02 7.144749851690724851e-01 7.150332447403057873e-03 7.006130116669961883e-01 7.233537670555665322e-01
6.613226452905811292e-02 7.184694482894997680e-01 7.229518932462662521e-03 7.035791971524619770e-01 7.284951552303737810e-01
6.813627254509017905e-02 7.228989519477950765e-01 7.616701263222298152e-03 7.061498912398654904e-01 7.326478149100257298e-01
7.014028056112224518e-02 7.269329642080284426e-01 7.616906616343056130e-03 7.112912794146727391e-01 7.377892030848328675e-01
7.214428857715429744e-02 7.321336760925449827e-01 7.325243802397069307e-03 7.184101245797903657e-01 7.435238283567332518e-01
7.414829659318636357e-02 7.358710698042315590e-01 7.503947732521451010e-03 7.219695471623491789e-01 7.472809966383231473e-01
7.615230460921842970e-02 7.399644057741744385e-01 7.983148410790357266e-03 7.275064267352184810e-01 7.520268934150682316e-01
7.815631262525049583e-02 7.432074352382835869e-01 8.399980333220632978e-03 7.314613407158394587e-01 7.563772987937512626e-01
8.016032064128256196e-02 7.466284358315207204e-01 8.048055603549696471e-03 7.360094917935534609e-01 7.597389756772789937e-01
8.216432865731462809e-02 7.498516907257266606e-01 8.259523257865102053e-03 7.385801858809570852e-01 7.625074154637137003e-01
8.416833667334668034e-02 7.522444136840025219e-01 8.658665251764079487e-03 7.397666600751433563e-01 7.648803638520862425e-01
8.617234468937874647e-02 7.546371366422780502e-01 8.797261444176874765e-03 7.419418627644849273e-01 7.692307692307692735e-01
8.817635270541081260e-02 7.585129523432865284e-01 8.770551212972741567e-03 7.451057939489815762e-01 7.731856832113901401e-01
9.018036072144287874e-02 7.614593632588492200e-01 9.082557042097545719e-03 7.470832509392920651e-01 7.765473600949179822e-01
9.218436873747494487e-02 7.634368202491595978e-01 9.255702856917994228e-03 7.486652165315403895e-01 7.787225627842594422e-01
9.418837675350701100e-02 7.664425548744314698e-01 8.520728855919484576e-03 7.516314020170061783e-01 7.801067826774767955e-01
9.619238476953906325e-02 7.687166304132884154e-01 9.480746323181373988e-03 7.518291477160371494e-01 7.840616966580976621e-01
9.819639278557112938e-02 7.715246193395294272e-01 9.650800511879421839e-03 7.540043504053787204e-01 7.872256278425944220e-01
1.002004008016031955e-01 7.733043306308088338e-01 9.414107637194890285e-03 7.567727901918133160e-01 7.894008305319358820e-01
1.022044088176352616e-01 7.762705161162746226e-01 9.664566900704463573e-03 7.575637729879375337e-01 7.915760332212774530e-01
1.042084168336673278e-01 7.789203084832905244e-01 9.679444928234455167e-03 7.595412299782480225e-01 7.935534902115879419e-01
1.062124248496993939e-01 7.810955111726320954e-01 9.817830007756711552e-03 7.603322127743721293e-01 7.947399644057742130e-01
1.082164328657314600e-01 7.832113901522641530e-01 9.822628220715057257e-03 7.615186869685584004e-01 7.957286929009294019e-01
1.102204408817635123e-01 7.850306505833497539e-01 1.022307014590457391e-02 7.621119240656515359e-01 7.988926240854261618e-01
1.122244488977955784e-01 7.870872058532726312e-01 9.355294474786036985e-03 7.650781095511172136e-01 7.992881154834882151e-01
1.142284569138276445e-01 7.888273680047459546e-01 9.699804484427003090e-03 7.652758552501482958e-01 8.000790982796124329e-01
1.162324649298597107e-01 7.908641487047656238e-01 9.992010142041927653e-03 7.678465493375519202e-01 8.024520466679849751e-01
1.182364729458917768e-01 7.925252125766263367e-01 9.816555399418749189e-03 7.702194977259244624e-01 8.048249950563575172e-01
1.202404809619238429e-01 7.949574846747082812e-01 9.639144474047067757e-03 7.729879375123590579e-01 8.071979434447300594e-01
1.222444889779558952e-01 7.970535890844374638e-01 9.859184906153065781e-03 7.747676488036385756e-01 8.087799090369784949e-01
1.242484969939879613e-01 7.983587106980423176e-01 1.005087135997072452e-02 7.755586315997626823e-01 8.095708918331026016e-01
1.262525050100200275e-01 8.004745896776744862e-01 1.022251550418263981e-02 7.779315799881352245e-01 8.127348230175993615e-01
1.282565130260520936e-01 8.025113703776941554e-01 1.040753103996486587e-02 7.795135455803836599e-01 8.153055171050029859e-01
1.302605210420841597e-01 8.039153648408147168e-01 1.043572833447460775e-02 7.803045283765077667e-01 8.162942456001581748e-01
1.322645290581162258e-01 8.058532726913189004e-01 1.035356900016991266e-02 7.822819853668182555e-01 8.184694482894997458e-01
1.342685370741482920e-01 8.075143365631797243e-01 9.756781607385614855e-03 7.858414079493770688e-01 8.194581767846549347e-01
1.362725450901803581e-01 8.089974293059125632e-01 9.787693000353319892e-03 7.872256278425944220e-01 8.198536681827169881e-01
