# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 2.924791086350975351e-03 2.769157364002361194e-03 7.330303474563846752e-05 1.011581879489810952e-02
2.004008016032063962e-03 8.231930801935199993e-02 4.235367899003469189e-03 7.682158041342911081e-02 8.964961149391584283e-02
4.008016032064127925e-03 1.252015833455505101e-01 5.524734525979354584e-03 1.138396129599765494e-01 1.335581293065532804e-01
6.012024048096191453e-03 1.557396276205834651e-01 4.124584007635405912e-03 1.482920392904266138e-01 1.599472218149831371e-01
8.016032064128255849e-03 1.773860137809705473e-01 3.915432042338727082e-03 1.716757073742853079e-01 1.834041929335874510e-01
1.002004008016032024e-02 1.971265210379709587e-01 2.872843100047311939e-03 1.932267995895030066e-01 2.037824365928749548e-01
1.202404809619238291e-02 2.141257298352753080e-01 4.231638055673400158e-03 2.071543761911743275e-01 2.222548013487758434e-01
1.402805611222444730e-02 2.289400381175780430e-01 5.282784482201712158e-03 2.233543468699604184e-01 2.420466207300982220e-01
1.603206412825651170e-02 2.433807359624688416e-01 6.533583003939246424e-03 2.347163172555343791e-01 2.589063187215950856e-01
1.803607214428857436e-02 2.559668670282949643e-01 5.073337933267343426e-03 2.479108635097493074e-01 2.663832282656501960e-01
2.004008016032064049e-02 2.671822313443776298e-01 4.531224587702490335e-03 2.593461369300689157e-01 2.760592288520744564e-01
2.204408817635270315e-02 2.762937985632604732e-01 4.185827936985263287e-03 2.674827737868347710e-01 2.825098959096906670e-01
2.404809619238476581e-02 2.853320627473977522e-01 4.286347555531421459e-03 2.770854713385134116e-01 2.919659873918780124e-01
2.605210420841683194e-02 2.952646239554317931e-01 3.747212132814369077e-03 2.877144113766310074e-01 2.995895030054244179e-01
2.805611222444889460e-02 3.035551971851634390e-01 2.851751854951765659e-03 2.980501392757660128e-01 3.069931095147339084e-01
3.006012024048096073e-02 3.113766309925231068e-01 4.233565987295441480e-03 3.042075941943996331e-01 3.168157161706494640e-01
3.206412825651302340e-02 3.182524556516639902e-01 3.282994072744204773e-03 3.127840492596393740e-01 3.230464741240287596e-01
3.406813627254508953e-02 3.251576015247031326e-01 2.682089825981518339e-03 3.212872012901333840e-01 3.292039290426623799e-01
3.607214428857714872e-02 3.324952353027415541e-01 3.118688790890652551e-03 3.279577774519865097e-01 3.365342325172261950e-01
3.807615230460921485e-02 3.386306993109514663e-01 3.128451234329065241e-03 3.333088989884181452e-01 3.436446268875531507e-01
4.008016032064128098e-02 3.444876117871279453e-01 3.423220329314729821e-03 3.396862630112886805e-01 3.495821727019498559e-01
4.208416833667334017e-02 3.503518545667790862e-01 3.569225553896608789e-03 3.454038997214484707e-01 3.555930215510922365e-01
4.408817635270540630e-02 3.563553731124468604e-01 4.107220779021265866e-03 3.508283242926257262e-01 3.646092948248057519e-01
4.609218436873747243e-02 3.617431461662513059e-01 4.004714590504184976e-03 3.558129306553291515e-01 3.687142647705615173e-01
4.809619238476953162e-02 3.670502858818355252e-01 4.172101966379650022e-03 3.604310218443043667e-01 3.735522650637736475e-01
5.010020040080159776e-02 3.713531740214044974e-01 3.968802581940864861e-03 3.649758099985339621e-01 3.769975076968186678e-01
5.210420841683366389e-02 3.766236622196158512e-01 3.831645758926585481e-03 3.698871133264917122e-01 3.807359624688462230e-01
5.410821643286573002e-02 3.814616625128280369e-01 3.953399233416124772e-03 3.747984166544495177e-01 3.862336900747690982e-01
5.611222444889778921e-02 3.859184870253627997e-01 3.938774716210670553e-03 3.783169623222401579e-01 3.909983873332356086e-01
5.811623246492985534e-02 3.900967600058642959e-01 4.285821014168894778e-03 3.824952353027415430e-01 3.972291452866148487e-01
6.012024048096192147e-02 3.946781996774665902e-01 4.036967900189584145e-03 3.879196598739187984e-01 4.011142061281336990e-01
6.212424849699398066e-02 3.989590969066119652e-01 4.056274942128314936e-03 3.932707814103503785e-01 4.060255094560915046e-01
6.412825651302604679e-02 4.035258759712651577e-01 3.532483816198275523e-03 3.976689634950886787e-01 4.096906611933733844e-01
6.613226452905811292e-02 4.070297610321067516e-01 3.158680417688907414e-03 4.017739334408444440e-01 4.125494795484532795e-01
6.813627254509017905e-02 4.112593461369300485e-01 2.781500049725100024e-03 4.058056003518545896e-01 4.162879343204808902e-01
7.014028056112224518e-02 4.154229585104823319e-01 2.823984548385165706e-03 4.097639642281190597e-01 4.195865708840346153e-01
7.214428857715429744e-02 4.192786981381028677e-01 2.247619750386953708e-03 4.157015100425157650e-01 4.235449347602990855e-01
7.414829659318636357e-02 4.232077408004691899e-01 2.791719877887412302e-03 4.200263890925084453e-01 4.281630259492743007e-01
7.615230460921842970e-02 4.268509016273273060e-01 2.525382636933858581e-03 4.239847529687729155e-01 4.314616625128280258e-01
7.815631262525049583e-02 4.300835654596100177e-01 2.666417411087027185e-03 4.270634804280897256e-01 4.352734203196012563e-01
8.016032064128256196e-02 4.332062747397742442e-01 2.771552749600610360e-03 4.301422078874065358e-01 4.377657235009529413e-01
8.216432865731462809e-02 4.362263597712945362e-01 3.072437917590899008e-03 4.321213898255387709e-01 4.410643600645066664e-01
8.416833667334668034e-02 4.395176660313737105e-01 3.162318746501667239e-03 4.349069051458730462e-01 4.443629966280603916e-01
8.617234468937874647e-02 4.425304207594193961e-01 3.114645860083020950e-03 4.375458143967160263e-01 4.475150271221228770e-01
8.817635270541081260e-02 4.458363876264478387e-01 3.247324439231784841e-03 4.406978448907784562e-01 4.505204515466940118e-01
9.018036072144287874e-02 4.491936666177980264e-01 3.438599965178712210e-03 4.431901480721301967e-01 4.542589063187216225e-01
9.218436873747494487e-02 4.523383668083859055e-01 3.265862037640386920e-03 4.471485119483946669e-01 4.571177246738015176e-01
9.418837675350701100e-02 4.556223427649904179e-01 3.139937867741048050e-03 4.501539363729658572e-01 4.604896642721008626e-01
9.619238476953906325e-02 4.587377217416800934e-01 2.741856876156505834e-03 4.538923911449934123e-01 4.629819674534525475e-01
9.819639278557112938e-02 4.616405219176074048e-01 3.037444610468346701e-03 4.563846943263450973e-01 4.659873918780237378e-01
1.002004008016031955e-01 4.642647705615011722e-01 2.962249915725210635e-03 4.589503005424424575e-01 4.686996041636123933e-01
1.022044088176352616e-01 4.672848555930215753e-01 3.356614716912310285e-03 4.614426037237941425e-01 4.720715437619117383e-01
1.042084168336673278e-01 4.705761618531006940e-01 3.928413518786321584e-03 4.624688462102330977e-01 4.753701803254654634e-01
1.062124248496993939e-01 4.732077408004691788e-01 4.248446846278577070e-03 4.641548160093827979e-01 4.781556956457997387e-01
1.082164328657314600e-01 4.756853833748717619e-01 4.417935653075613124e-03 4.662806040170063282e-01 4.811611200703709290e-01
1.102204408817635123e-01 4.785222108195279489e-01 4.646163539845739321e-03 4.681131798856472681e-01 4.843131505644333590e-01
1.122244488977955784e-01 4.811391291599471098e-01 4.890806823744826837e-03 4.697991496847969684e-01 4.862923325025655941e-01
1.142284569138276445e-01 4.838293505351122237e-01 4.640516338764411400e-03 4.733909983873332283e-01 4.886380296144260393e-01
1.162324649298597107e-01 4.865928749450226798e-01 4.700942535480650761e-03 4.758099985339392934e-01 4.917900601084884693e-01
1.182364729458917768e-01 4.888652690221374497e-01 4.775674430077500240e-03 4.783023017152910339e-01 4.958950300542442347e-01
1.202404809619238429e-01 4.918560328397595383e-01 4.960774414195379643e-03 4.802814836534232690e-01 4.978742119923764697e-01
1.222444889779558952e-01 4.940551238821287439e-01 5.096585574760612199e-03 4.821873625568098287e-01 5.008063333822020402e-01
1.242484969939879613e-01 4.959316815716170446e-01 5.120336348822584170e-03 4.842398475296877391e-01 5.024190001466061206e-01
1.262525050100200275e-01 4.984093241460196277e-01 5.066936737270572901e-03 4.859258173288374394e-01 5.050579093974491007e-01
1.282565130260520936e-01 5.005937545814396206e-01 5.201670325030792463e-03 4.887846356839173345e-01 5.086497580999853607e-01
1.302605210420841597e-01 5.031813517079607445e-01 4.723150655691599718e-03 4.924497874211992143e-01 5.099692127254068508e-01
1.322645290581162258e-01 5.055856912476176523e-01 4.820286283387294549e-03 4.942823632898402098e-01 5.116551825245565510e-01
1.342685370741482920e-01 5.085324732443923246e-01 4.835133961848596569e-03 4.975809998533939349e-01 5.145873039143820105e-01
1.362725450901803581e-01 5.107608855006596782e-01 4.916530225767060114e-03 4.997067878610174652e-01 5.170063040609881311e-01
1.382765531062124242e-01 5.130112886673507955e-01 4.767656654277709592e-03 5.021990910423691501e-01 5.186189708253922115e-01
1.402805611222444904e-01 5.155549039730245031e-01 4.797491822793703044e-03 5.048380002932121302e-01 5.210379709719982211e-01
1.422845691382765287e-01 5.178126374431901713e-01 4.413427129010531573e-03 5.080633338220201800e-01 5.226506377364023015e-01
1.442885771543085949e-01 5.203929042662366333e-01 4.395957997008878917e-03 5.117284855593021708e-01 5.253628500219909014e-01
1.462925851703406610e-01 5.230024923031814099e-01 4.405115972935354923e-03 5.140008796364169408e-01 5.275619410643600515e-01
1.482965931863727271e-01 5.253115378976689342e-01 4.532718507491389874e-03 5.161999706787860909e-01 5.304207594194400022e-01
1.503006012024047933e-01 5.279284562380881507e-01 4.379572612648890799e-03 5.194253042075941407e-01 5.324732443923178016e-01
1.523046092184368594e-01 5.304280897229144420e-01 3.947958816851030069e-03 5.235302741533499615e-01 5.343791232957044723e-01
1.543086172344689255e-01 5.327371353174020774e-01 3.868595004004631976e-03 5.262424864389385615e-01 5.368714264770561018e-01
1.563126252505009917e-01 5.352660900161266833e-01 4.140739137929261814e-03 5.283682744465620917e-01 5.401700630406098824e-01
1.583166332665330578e-01 5.377803841079020764e-01 4.575918091825493389e-03 5.302008503152030316e-01 5.431021844304354529e-01
1.603206412825651239e-01 5.401194413456733567e-01 4.385053351706218704e-03 5.326931534965547721e-01 5.456677906465328132e-01
1.623246492985971901e-01 5.424131359038263378e-01 4.628342236414466696e-03 5.344524263304500922e-01 5.482333968626300624e-01
1.643286573146292562e-01 5.444436299662804846e-01 4.756915142876414274e-03 5.368714264770561018e-01 5.507257000439818029e-01
1.663326653306613223e-01 5.465547573669550241e-01 4.838161335077882652e-03 5.387773053804427725e-01 5.528514880516053331e-01
1.683366733466933607e-01 5.485266090016126528e-01 4.799082001893375735e-03 5.414895176660313725e-01 5.554170942677026934e-01
1.703406813627254268e-01 5.505571030640667995e-01 4.543493343605577162e-03 5.436886087084005226e-01 5.563700337193959733e-01
1.723446893787574929e-01 5.524263304500806049e-01 4.733219581937830704e-03 5.451546694033132523e-01 5.584958217270195036e-01
1.743486973947895591e-01 5.543468699604163774e-01 4.664769228618068954e-03 5.475003665151737531e-01 5.606216097346430338e-01
1.763527054108216252e-01 5.564799882715145696e-01 4.936974355452084656e-03 5.490397302448321026e-01 5.634804280897228734e-01
1.783567134268536913e-01 5.592215217710012620e-01 4.665028398302453402e-03 5.521917607388946436e-01 5.659727312710746139e-01
1.803607214428857575e-01 5.614792552411669302e-01 4.168236414654457114e-03 5.551238821287201031e-01 5.673654889312417238e-01
1.823647294589178236e-01 5.632092068611640467e-01 4.382644940823731197e-03 5.565899428236329438e-01 5.689048526609001843e-01
1.843687374749498897e-01 5.654742706348041548e-01 4.501164477283083054e-03 5.582026095880369132e-01 5.708107315642867441e-01
1.863727454909819559e-01 5.677613253188681375e-01 4.391604327231408977e-03 5.603283975956604435e-01 5.728632165371646545e-01
1.883767535070140220e-01 5.698211405952207098e-01 4.105264456312688985e-03 5.631872159507403941e-01 5.749157015100425649e-01
1.903807615230460881e-01 5.718369740507257548e-01 3.990944665018079408e-03 5.653130039583639244e-01 5.763084591702096748e-01
1.923847695390781265e-01 5.737721741680106291e-01 4.129531520802786834e-03 5.666324585837854144e-01 5.790206714557982748e-01
1.943887775551101926e-01 5.757733470165664613e-01 4.119610987791485872e-03 5.683917314176807345e-01 5.813663685676586645e-01
1.963927855711422588e-01 5.779797683624102733e-01 4.114880072697885485e-03 5.707374285295411243e-01 5.840052778185016447e-01
1.983967935871743249e-01 5.799003078727459348e-01 4.103136960647259940e-03 5.731564286761472449e-01 5.857645506523969647e-01
2.004008016032063910e-01 5.817768655622341800e-01 4.228663952519077195e-03 5.750623075795338046e-01 5.871573083125641856e-01
2.024048096192384572e-01 5.837926990177393360e-01 4.098216584407045338e-03 5.778478228998680244e-01 5.887699750769681550e-01
