# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 7.349063356969454119e-02 2.811690534199327504e-03 6.891764799084751369e-02 8.018967454169871611e-02 8.715467037702055719e-02 1.331516840040689910e-02 6.947676807047530045e-02 1.134894679109404031e-01 2.154833477260832963e-01 2.469080564256817198e-02 1.956526957575866477e-01 2.743740777604301573e-01 3.763645003369978093e-01 2.303049146585543078e-02 3.463020118020337379e-01 4.355408740432949455e-01
1.497487437185929596e-02 9.158240478357834724e-02 4.203749464666466443e-03 8.428813022870247640e-02 1.007268185990927711e-01 1.034067119437759030e-01 1.385502490763388175e-02 8.496795462516212871e-02 1.275470361060866975e-01 2.690011526588051427e-01 2.603614417561914487e-02 2.407187415477812231e-01 3.366452307327650328e-01 4.629572472566795827e-01 1.955429556582496259e-02 4.232109781243923452e-01 4.934794755615332651e-01
1.994974874371859344e-02 1.035542456846926668e-01 6.317025632711141710e-03 9.649589648219704385e-02 1.196030938457700865e-01 1.210134387944350187e-01 1.433888472404397547e-02 9.803260987728307230e-02 1.416910756036340036e-01 3.125249191066920007e-01 2.890957611369083385e-02 2.779225722530473952e-01 3.899970643329001563e-01 5.426593785532810577e-01 2.035563254568792044e-02 5.027853644103507103e-01 5.693236159258582285e-01
2.492462311557788746e-02 1.148373332233884464e-01 5.982522316398449641e-03 1.080013891255303948e-01 1.271082727007038227e-01 1.344722406545605931e-01 1.657992287145728175e-02 1.095315293246561378e-01 1.699116499995243501e-01 3.526667945726285058e-01 2.125891039665422227e-02 3.218791435310440208e-01 3.993238641734417338e-01 5.928563232383202708e-01 2.651442101889914943e-02 5.471045670494765201e-01 6.375120096123623181e-01
2.989949748743718494e-02 1.245548565530781165e-01 5.669007767012029624e-03 1.165085310022632020e-01 1.374004830124064269e-01 1.408150650991210895e-01 1.306098625695778156e-02 1.256738355882601466e-01 1.675167780165924547e-01 3.825804771457917419e-01 1.938240197644662891e-02 3.505884823691942653e-01 4.153941363736355363e-01 6.438855015506748103e-01 2.350887273117155049e-02 6.140140576047874443e-01 6.887507464830310289e-01
3.487437185929648242e-02 1.330344036550319964e-01 4.408470927553641804e-03 1.262459274239153273e-01 1.412407412255398398e-01 1.537969124873294346e-01 1.349879071634186266e-02 1.380476010995457248e-01 1.791687730728451500e-01 4.187878868903472385e-01 1.925178090037863929e-02 3.759515543072006749e-01 4.419137255161996736e-01 6.876021818675314146e-01 2.295631222441653699e-02 6.569551790148554504e-01 7.310626555226127365e-01
3.984924623115577991e-02 1.407786743955638520e-01 5.358745091746754986e-03 1.313171126443199721e-01 1.504944073126354420e-01 1.622947171720847126e-01 1.074690598670910609e-02 1.507894033467088724e-01 1.814511771503641568e-01 4.500413058314099990e-01 2.053017057101878817e-02 4.058479219431704310e-01 4.726771634617364382e-01 7.357023077844002668e-01 1.965410189610998157e-02 7.052944021404067287e-01 7.775010702440349197e-01
4.482412060301507739e-02 1.491544888446898753e-01 5.357314872682965128e-03 1.421230172375269607e-01 1.607116501476987813e-01 1.720002177980180236e-01 1.149539818160018323e-02 1.541947468275376987e-01 1.956550187975443778e-01 4.822732307458187928e-01 2.055212058580047421e-02 4.420737436636274498e-01 5.088985145592774817e-01 7.789212192559465953e-01 1.889824031206250449e-02 7.512070027381407833e-01 8.128234548227634138e-01
4.979899497487437487e-02 1.563495130456968030e-01 4.914421071737685651e-03 1.494831513069840301e-01 1.640120615349667799e-01 1.801167845920713106e-01 1.053004252525867497e-02 1.655088499995240603e-01 2.028189275279777826e-01 5.034200570006761577e-01 2.415687130926681345e-02 4.509817705545532407e-01 5.430028278288026033e-01 8.244058919280314868e-01 1.817627417959389799e-02 7.985986230904675853e-01 8.579492599256621777e-01
5.477386934673367236e-02 1.614701893996124682e-01 4.650493069973797924e-03 1.539570791010148321e-01 1.677931741053726444e-01 1.919620214465728170e-01 1.185905253018894497e-02 1.724518869844487989e-01 2.127074965512724680e-01 5.193322997273754904e-01 2.724747625012457694e-02 4.752632694268354996e-01 5.704769802915146126e-01 8.651110980798881744e-01 2.227474495524093753e-02 8.349950738202178702e-01 9.115863254231921786e-01
5.974874371859296984e-02 1.679823232497903163e-01 4.435170192416839838e-03 1.625839080504107304e-01 1.760212371125486897e-01 2.015644317771402017e-01 1.241851419914597604e-02 1.865467929919418233e-01 2.290946050256024713e-01 5.390992809781094408e-01 2.226887397956206494e-02 5.027390157322172426e-01 5.777747169142195549e-01 9.025898153738758367e-01 2.541036633437872283e-02 8.620269717533114440e-01 9.417690060792136553e-01
6.472361809045226733e-02 1.753961222447049662e-01 4.432806958758210916e-03 1.700386662254341763e-01 1.825696732155935587e-01 2.084659031311971167e-01 1.228326507097282465e-02 1.890164251297585807e-01 2.312004081763712748e-01 5.600724550351861009e-01 2.224033779892626780e-02 5.312516975366788907e-01 6.002802160163831502e-01 9.357589043761717074e-01 2.140897221089432118e-02 9.066203370155545560e-01 9.620553554182549316e-01
