# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 4.443835498632072722e-01 0.000000000000000000e+00 4.443835498632072722e-01 4.443835498632072722e-01 1.298694417388841782e-01 2.775557561562891351e-17 1.298694417388842060e-01 1.298694417388842060e-01 3.385279169203961880e-01 5.551115123125782702e-17 3.385279169203962435e-01 3.385279169203962435e-01 9.018169162837599284e-01 1.110223024625156540e-16 9.018169162837598174e-01 9.018169162837598174e-01
4.752376188094046953e-04 4.443835498632072722e-01 0.000000000000000000e+00 4.443835498632072722e-01 4.443835498632072722e-01 1.298694417388841782e-01 2.775557561562891351e-17 1.298694417388842060e-01 1.298694417388842060e-01 3.385279169203961880e-01 5.551115123125782702e-17 3.385279169203962435e-01 3.385279169203962435e-01 9.018169162837599284e-01 1.110223024625156540e-16 9.018169162837598174e-01 9.018169162837598174e-01
9.504752376188093906e-04 4.443835498632072722e-01 0.000000000000000000e+00 4.443835498632072722e-01 4.443835498632072722e-01 1.298694417388841782e-01 2.775557561562891351e-17 1.298694417388842060e-01 1.298694417388842060e-01 3.385279169203961880e-01 5.551115123125782702e-17 3.385279169203962435e-01 3.385279169203962435e-01 9.018169162837599284e-01 1.110223024625156540e-16 9.018169162837598174e-01 9.018169162837598174e-01
1.425712856428214140e-03 4.443835498632072722e-01 0.000000000000000000e+00 4.443835498632072722e-01 4.443835498632072722e-01 1.298694417388841782e-01 2.775557561562891351e-17 1.298694417388842060e-01 1.298694417388842060e-01 3.385279169203961880e-01 5.551115123125782702e-17 3.385279169203962435e-01 3.385279169203962435e-01 9.018169162837599284e-01 1.110223024625156540e-16 9.018169162837598174e-01 9.018169162837598174e-01
1.900950475237618781e-03 4.443835498632072722e-01 0.000000000000000000e+00 4.443835498632072722e-01 4.443835498632072722e-01 1.298694417388841782e-01 2.775557561562891351e-17 1.298694417388842060e-01 1.298694417388842060e-01 3.385279169203961880e-01 5.551115123125782702e-17 3.385279169203962435e-01 3.385279169203962435e-01 9.018169162837599284e-01 1.110223024625156540e-16 9.018169162837598174e-01 9.018169162837598174e-01
2.376188094047023639e-03 4.443835498632072722e-01 0.000000000000000000e+00 4.443835498632072722e-01 4.443835498632072722e-01 1.298694417388841782e-01 2.775557561562891351e-17 1.298694417388842060e-01 1.298694417388842060e-01 3.385279169203961880e-01 5.551115123125782702e-17 3.385279169203962435e-01 3.385279169203962435e-01 9.018169162837599284e-01 1.110223024625156540e-16 9.018169162837598174e-01 9.018169162837598174e-01
2.851425712856428280e-03 4.443719209706544215e-01 4.049026756660355117e-05 4.442512927429683178e-01 4.443995180579176640e-01 1.298699150036746741e-01 1.419794371521065827e-06 1.298694417388842060e-01 1.298741743867892762e-01 3.385291391285062401e-01 3.666624330272984455e-06 3.385279169203962435e-01 3.385401390014971534e-01 9.018071309732638152e-01 4.104577844089404479e-05 9.016873130084344101e-01 9.018486664541242037e-01
3.326663331665832921e-03 4.443751147817461278e-01 4.249172393844699401e-05 4.442512927429683178e-01 4.444154879741245012e-01 1.298708615849989978e-01 3.030510627814908106e-06 1.298694417388842060e-01 1.298789075521275538e-01 3.385315836771144449e-01 7.826301859008125589e-06 3.385279169203962435e-01 3.385523624064775694e-01 9.018134813427076679e-01 4.660452048930158441e-05 9.016873130084344101e-01 9.018804199781992326e-01
3.801900950475237562e-03 4.443828737563260134e-01 4.589692735228692334e-05 4.442832215370575155e-01 4.444474329722649109e-01 1.298751213820979189e-01 5.911870853900967911e-06 1.298694417388842060e-01 1.298883754354810405e-01 3.385425846093044755e-01 1.526740976600477620e-05 3.385279169203962435e-01 3.385768131890329324e-01 9.018355781488610612e-01 5.594887929932589694e-05 9.017508079439516822e-01 9.019439370898426622e-01
4.277138569284642637e-03 4.443694224775896484e-01 7.243264982075239724e-05 4.442011250988436855e-01 4.444474329722649109e-01 1.298770148035103544e-01 7.084333659685273690e-06 1.298694417388842060e-01 1.298883754354810405e-01 3.385474743685799592e-01 1.829529078479908539e-05 3.385279169203962435e-01 3.385768131890329324e-01 9.018288389508615222e-01 8.290614765086314313e-05 9.016542546938722813e-01 9.019439370898426622e-01
