# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000843059268383461e+00 9.114590695558018622e-04 1.000124888121545430e+00 1.003472595853353466e+00 1.000794768960594716e+00 7.731642502417126724e-04 1.000124888121545208e+00 1.002989692775464237e+00 1.000832851001894896e+00 8.820484643230941564e-04 1.000124888121545430e+00 1.003370513188464930e+00 1.000826352823767751e+00 8.633708174685161872e-04 1.000124888121545208e+00 1.003305531407194362e+00
9.504752376188093906e-04 1.002566202967049902e+00 1.831060793743085171e-03 1.000499833420081419e+00 1.007577141515286545e+00 1.002324749830040940e+00 1.722796538056220418e-03 1.000499833420081419e+00 1.007092263198869242e+00 1.002525308175419516e+00 1.777258488254222519e-03 1.000499833420081419e+00 1.007372141079576622e+00 1.002490973180948819e+00 1.765889069094063891e-03 1.000499833420081419e+00 1.007325519820077675e+00
1.425712856428214140e-03 1.003612445033174705e+00 1.358501701807730225e-03 1.001209215494404781e+00 1.005624388531319857e+00 1.004189613058320107e+00 2.861018693622321366e-03 1.001209215494404781e+00 1.012065165160797031e+00 1.004525522037621243e+00 2.921783508724750972e-03 1.001209215494404781e+00 1.012346425045232312e+00 1.004459435968824588e+00 2.884426619294668762e-03 1.001209215494404781e+00 1.012215285517742425e+00
1.900950475237618781e-03 1.004878905821048773e+00 3.332730765212715569e-03 9.967604991877303533e-01 1.008171467671604704e+00 1.006127380724409992e+00 3.876596262037597298e-03 1.002213269781981442e+00 1.016885765358038318e+00 1.006673041886662956e+00 3.966300834500793848e-03 1.002111315227578459e+00 1.017347689898191687e+00 1.006562972113746124e+00 3.923975943563437138e-03 1.002129842389175129e+00 1.017187581471634683e+00
2.376188094047023639e-03 1.006358861086556589e+00 4.074707551920369111e-03 9.997570125824258858e-01 1.012371106649309738e+00 1.008185706549820981e+00 4.679302577598153969e-03 1.003178328522463358e+00 1.021121704613425107e+00 1.009059927883712016e+00 4.763666041667107866e-03 1.003076275793213901e+00 1.021481575173033951e+00 1.008885096955090654e+00 4.712348552949879345e-03 1.003094820795124464e+00 1.021339694692066757e+00
2.851425712856428280e-03 1.006737293263427313e+00 6.905951512869588395e-03 9.930538641159611934e-01 1.016178191454282898e+00 1.010347879415965711e+00 5.331624667757324347e-03 1.004399124657305409e+00 1.024961696588827076e+00 1.011277227071441187e+00 5.353520299738910408e-03 1.004296947737197909e+00 1.025114182084588821e+00 1.011076787757537954e+00 5.319815635238283290e-03 1.004315515307046880e+00 1.025009699950535813e+00
3.326663331665832921e-03 1.009140031290962414e+00 7.105883832774984726e-03 9.956051756703685474e-01 1.019174124945635418e+00 1.012563345723260566e+00 5.479315279747118059e-03 1.005539743576114642e+00 1.026993175711719219e+00 1.013598644497135437e+00 5.727034865526277156e-03 1.005437450621529116e+00 1.027717753409114643e+00 1.013380588621104472e+00 5.652164343572177105e-03 1.005456039277140778e+00 1.027517740635964349e+00
3.801900950475237562e-03 1.007868230556851596e+00 8.133148069503137387e-03 9.885704319594055267e-01 1.018700406554229776e+00 1.014895998874188354e+00 6.195239674296066854e-03 1.007321789331709905e+00 1.031182399991098508e+00 1.016145156627030977e+00 6.406835681757424433e-03 1.007219315090679412e+00 1.031804829440940319e+00 1.015856733498105680e+00 6.308461853999317026e-03 1.007237936689628022e+00 1.031537095822780969e+00
4.277138569284642637e-03 1.008630859221507858e+00 8.755428676999365417e-03 9.916097575824550647e-01 1.021483806542510253e+00 1.017078822980617803e+00 6.889314007044704778e-03 1.008542237989501045e+00 1.034970433672639523e+00 1.018798183045894756e+00 7.073093035997685650e-03 1.008822518828195847e+00 1.035778090507244009e+00 1.018411901582712664e+00 6.985160520621733031e-03 1.008775830445103994e+00 1.035480418341186093e+00
