# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 4.058124574184588940e-01 5.851528456645786053e-02 3.158088643366421810e-01 5.129246145322648998e-01 1.939076069271245539e-01 1.029526817897204877e-01 0.000000000000000000e+00 2.914884576060695620e-01 9.879460955594187022e-01 5.621867881623205943e-01 0.000000000000000000e+00 1.557054051925440108e+00 2.073158998480615800e+00 1.074225852574256734e+00 0.000000000000000000e+00 3.106946790810136694e+00
1.497487437185929596e-02 4.317564923835566226e-01 3.470294912519591296e-02 3.935303865491076580e-01 5.197134915375580810e-01 3.025338867565040557e-01 1.527468912845478810e-01 0.000000000000000000e+00 4.454516518524915258e-01 1.559692864213008345e+00 8.207538006540412434e-01 0.000000000000000000e+00 2.358281851195534795e+00 3.205090435430241858e+00 1.592308539094851261e+00 0.000000000000000000e+00 4.697121590642110434e+00
1.994974874371859344e-02 4.799701040733537205e-01 3.802470655122029003e-02 4.366643354980794256e-01 5.644980954703042730e-01 4.111601665858835020e-01 2.028433410519120406e-01 0.000000000000000000e+00 5.994148460989134897e-01 2.131439632866598544e+00 1.081423358762976239e+00 0.000000000000000000e+00 3.159509650465630148e+00 4.337021872379867915e+00 2.111985089168235241e+00 0.000000000000000000e+00 6.287296390474084617e+00
2.492462311557788746e-02 5.210660249853686921e-01 4.936036210436538924e-02 4.636006879663414626e-01 6.102557537977687518e-01 5.197864464152630593e-01 2.530625996146445567e-01 0.000000000000000000e+00 7.533780403453355090e-01 2.703186401520188298e+00 1.342971713609298234e+00 0.000000000000000000e+00 3.960737449735724613e+00 5.467789502042672112e+00 2.631248918409010873e+00 0.000000000000000000e+00 7.865833117437837529e+00
2.989949748743718494e-02 5.549090574772462814e-01 4.862666366690619052e-02 4.890655245952348351e-01 6.349785182757674562e-01 6.284127262446425055e-01 3.033436792500418533e-01 0.000000000000000000e+00 9.073412345917576394e-01 3.274933170173778940e+00 1.604969292328531916e+00 0.000000000000000000e+00 4.761965249005819523e+00 6.597684136695109558e+00 3.150069713490023737e+00 0.000000000000000000e+00 9.435828034023213462e+00
3.487437185929648242e-02 5.850291326502123912e-01 3.308741264110877378e-02 5.249053950517275080e-01 6.445945603721924266e-01 7.368759583707167327e-01 3.535110239538356014e-01 0.000000000000000000e+00 1.059673951805126135e+00 3.846679938827367806e+00 1.867227007668525784e+00 0.000000000000000000e+00 5.563193048275913988e+00 7.599201676098223501e+00 3.573971249880000034e+00 0.000000000000000000e+00 1.100582295060858939e+01
3.984924623115577991e-02 6.164803041296422759e-01 4.308155780041699606e-02 5.199968777860671798e-01 6.750997265868144970e-01 8.452223051196481318e-01 4.035956732981847428e-01 0.000000000000000000e+00 1.210837815247067795e+00 4.417815270825864005e+00 2.129090766148709957e+00 0.000000000000000000e+00 6.358306480995066678e+00 8.479410430420569966e+00 3.339177807033808953e+00 2.245976043638507669e+00 1.257581786719396533e+01
4.482412060301507739e-02 6.480260329268674457e-01 4.160201519227561123e-02 5.660090126833787760e-01 7.039648211363543906e-01 9.497701342294038174e-01 4.504086643100211895e-01 0.000000000000000000e+00 1.359612253738202492e+00 4.988817865052888045e+00 2.390950891958756763e+00 0.000000000000000000e+00 7.152092535999495126e+00 9.104338456555645109e+00 2.601885213288980481e+00 5.664745526957204014e+00 1.414581278377933948e+01
4.979899497487437487e-02 6.669922147469528051e-01 4.409541062297839958e-02 5.883651689276515606e-01 7.224688259591981465e-01 1.042620276292209436e+00 4.896546431663771348e-01 0.000000000000000000e+00 1.512493888355620708e+00 5.559574899987556051e+00 2.652673383585060218e+00 0.000000000000000000e+00 7.945878591003924463e+00 9.410508474026896053e+00 1.964788111683535066e+00 6.349000547469390909e+00 1.369869218755769857e+01
5.477386934673367236e-02 6.806943628688031378e-01 4.959885875557877577e-02 5.952875053471856637e-01 7.484349903557300232e-01 1.142565112268553618e+00 5.150909962296811306e-01 7.844050125706432397e-02 1.664329405572892773e+00 6.081962343390536319e+00 2.875293420236626041e+00 0.000000000000000000e+00 8.739664646008352022e+00 9.525426935782050464e+00 1.729372679519113110e+00 7.033255567981577805e+00 1.279980887902004660e+01
5.974874371859296984e-02 6.878219972162412654e-01 4.541026001261431327e-02 6.089532850097418848e-01 7.583067228758285649e-01 1.239460168172135779e+00 4.790493073121303014e-01 3.820052411219022059e-01 1.815493269014834432e+00 6.518660867609389342e+00 3.056044324750862629e+00 0.000000000000000000e+00 9.533450701012780470e+00 9.769188280168744853e+00 1.774309906064998055e+00 7.406103510457837658e+00 1.333306230064350473e+01
6.472361809045226733e-02 7.027586220897668046e-01 4.439150561558749541e-02 6.275093228084691610e-01 7.755880327417985498e-01 1.340606615226309195e+00 4.583286246118474239e-01 6.855699809867400463e-01 1.966657132456775869e+00 6.900817715146724041e+00 2.831274104940151304e+00 1.351055534068361430e+00 1.032723675601720714e+01 1.008480359531050752e+01 2.000466419982049437e+00 7.480814269167380459e+00 1.444321635258943282e+01
6.969849246231155093e-02 7.185246456152147854e-01 3.884795141950402042e-02 6.563606696807726681e-01 7.810769575315938962e-01 1.388489002014061446e+00 3.957250117442349113e-01 8.520412524585253555e-01 2.117820995898717307e+00 7.235318839349626607e+00 2.394017376294225397e+00 3.214165982895707874e+00 1.112102281102163381e+01 1.020424653685392968e+01 2.150090932971324253e+00 7.517568264692228830e+00 1.555337040453535558e+01
7.467336683417084842e-02 7.246049437756492129e-01 4.203071484205238989e-02 6.617544497367835454e-01 8.093968324848332951e-01 1.421117769361187833e+00 3.643980255932949275e-01 9.172060826217625085e-01 2.268984859340658744e+00 7.504239318393357117e+00 1.992453931867881556e+00 4.779458546125573193e+00 1.145879270793264659e+01 1.007623347847824569e+01 1.917641690704732449e+00 7.510707038949865577e+00 1.462072218782671840e+01
