# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 1.148583853283681455e-01 1.344150945407802250e-02 9.343730543763383023e-02 1.382816287621084217e-01 nan nan nan nan 1.982333483220542758e-01 2.610875297520471802e-02 1.717143371120483653e-01 2.579075755742825105e-01 2.907417069093766182e-01 1.863312395422309087e-02 2.680694321628055432e-01 3.323403268613981942e-01
1.497487437185929596e-02 1.256478610621771241e-01 8.370194194060808293e-03 1.161662560194453853e-01 1.465432565038618518e-01 nan nan nan nan 2.482713374700133424e-01 1.863208349616120307e-02 2.279721775946558504e-01 2.916300173731763978e-01 3.809533894263349429e-01 1.804382180671030775e-02 3.591761243290971239e-01 4.273652188111266570e-01
1.994974874371859344e-02 1.404700376933120942e-01 9.432344891595979830e-03 1.295325109946406372e-01 1.610857868965571149e-01 nan nan nan nan 2.983093266179724923e-01 1.435487959178352070e-02 2.787475869418838403e-01 3.253524591720703407e-01 4.711650719432932677e-01 2.959355032114291406e-02 4.392160721055212713e-01 5.482860899232055996e-01
2.492462311557788746e-02 1.530472529129118242e-01 1.244021603685986285e-02 1.383369534170883486e-01 1.751975554563169335e-01 nan nan nan nan 3.483473157659315311e-01 1.607454758244537818e-02 3.295229962891118580e-01 3.903473883218415152e-01 5.581803227059214390e-01 3.742192198220894994e-02 5.058739052334493280e-01 6.372426434919831184e-01
2.989949748743718494e-02 1.636376731487935721e-01 1.252603544830863287e-02 1.465178014661415729e-01 1.838804478187725244e-01 nan nan nan nan 3.983853049138906810e-01 2.245306373448881232e-02 3.760561433191787484e-01 4.583142226627172633e-01 6.427843040550410558e-01 4.415243847270122063e-02 5.725317383613774957e-01 7.047820520101709674e-01
3.487437185929648242e-02 1.731755557974399284e-01 8.605244100232257998e-03 1.573545385634878557e-01 1.884450635371254790e-01 nan nan nan nan 4.484232940618497198e-01 3.071334467863683776e-02 4.128013077215126336e-01 5.262810570035929558e-01 7.180326250833278801e-01 4.569625927891542844e-02 6.391895714893054414e-01 7.683627084244522010e-01
3.984924623115577991e-02 1.827570784913066515e-01 1.136681588887777754e-02 1.570102229134138772e-01 1.979395997228596549e-01 nan nan nan nan 4.958834928847333789e-01 3.379155122259592386e-02 4.495464721238465744e-01 5.684699880937134076e-01 7.830106286470931432e-01 4.375973228620181482e-02 7.043749494046345205e-01 8.291364175183711938e-01
4.482412060301507739e-02 1.923368553131394321e-01 1.097984590008117302e-02 1.705025867856843902e-01 2.068880649907581248e-01 nan nan nan nan 5.427840750405052983e-01 3.736400320244518541e-02 4.862916365261804597e-01 6.050627525127171280e-01 8.351056889147878692e-01 3.523270784883956314e-02 7.663807198285073063e-01 8.702164405751943166e-01
4.979899497487437487e-02 1.985079510039311490e-01 1.171328579699177849e-02 1.774622107793631665e-01 2.130819124096791917e-01 2.239314745745809021e-01 2.990642019447947719e-02 1.800647653910283086e-01 2.822523074497860773e-01 5.883992444935501887e-01 4.053810066750226232e-02 5.230368009285143449e-01 6.419463689966959929e-01 8.820096763389806416e-01 2.722855185297259201e-02 8.283864902523800922e-01 9.130643868976711097e-01
5.477386934673367236e-02 2.031741169926370993e-01 1.326781558658874337e-02 1.801138496622073093e-01 2.210895310542770054e-01 2.395661786063603971e-01 3.234597636763804351e-02 1.901238403935072707e-01 3.015053140807374965e-01 6.299748609253085219e-01 4.168335839713208785e-02 5.597819653308482302e-01 6.734775372738918131e-01 9.259731905906338767e-01 1.969091034384267205e-02 8.903922606762526559e-01 9.531582726752390045e-01
5.974874371859296984e-02 2.060473069075946240e-01 1.225196556007307133e-02 1.845668683510889585e-01 2.248513445672177813e-01 2.509660863420016819e-01 3.049925554406507019e-02 2.001829153959862329e-01 3.032392315702265306e-01 6.704620143854566061e-01 4.394840556156345140e-02 5.951319935632215508e-01 7.227114747558480712e-01 9.681612898884111029e-01 1.763716084491143143e-02 9.384840516263005528e-01 9.956427210378009374e-01
6.472361809045226733e-02 2.109254392857981553e-01 1.203936612889434064e-02 1.903437040607980357e-01 2.304525726405566022e-01 2.625202644325385082e-01 2.985711030760469786e-02 2.102419903984651950e-01 3.049731490597155648e-01 7.041637968175872286e-01 4.195370417180549483e-02 6.288544353621154936e-01 7.527013048075225088e-01 1.006350393637207574e+00 1.985958898787338126e-02 9.723749592569941314e-01 1.039090148027377980e+00
6.969849246231155093e-02 2.160001537668173321e-01 1.057131279909673260e-02 1.989685527622086503e-01 2.328794723439261694e-01 2.696672813441399752e-01 2.742478803328499831e-02 2.203010654009441294e-01 3.067070665492045989e-01 7.326619943509390387e-01 3.691625186517524804e-02 6.625768771610093255e-01 7.737512454876307455e-01 1.040723974446623235e+00 2.096902477431234965e-02 1.003509066005633166e+00 1.080124510674595584e+00
7.467336683417084842e-02 2.183497278173828493e-01 1.147443313938448055e-02 2.010214099956939560e-01 2.412924637008799500e-01 2.756218778161536598e-01 2.585637143875443508e-02 2.303601404034230637e-01 3.177746114959524859e-01 7.603220507632986180e-01 3.222504228524026432e-02 6.962993189599032684e-01 7.948011861677388712e-01 1.072574645439381635e+00 2.187859977519219026e-02 1.032013612729033802e+00 1.110346655910431357e+00
7.964824120603014590e-02 2.212614300092119457e-01 1.222618720795664964e-02 2.047183364426364838e-01 2.486693061618593936e-01 2.808617919991229228e-01 2.500049444111609315e-02 2.404192154059020536e-01 3.291657020687200341e-01 7.855059479087194152e-01 2.784469383478285764e-02 7.300217607587972113e-01 8.163025348749377574e-01 1.100175988724620968e+00 2.234874711585137924e-02 1.058345403251442773e+00 1.134507637375123501e+00
8.462311557788944338e-02 2.237350611352578178e-01 1.234940056284287990e-02 2.042119510832416940e-01 2.460768570033438629e-01 2.863846657618062119e-01 2.342827730682754336e-02 2.504782904083809880e-01 3.328029757076841899e-01 8.090359114648265626e-01 2.346389260125121209e-02 7.637442025576911542e-01 8.381261996528676095e-01 1.124990592049146532e+00 2.732002364692666038e-02 1.082484091155680339e+00 1.171275213432610540e+00
8.959798994974874087e-02 2.281723486105239063e-01 1.280423998333961484e-02 2.103467908338170211e-01 2.535065426781931697e-01 2.923002460528488777e-01 2.289119473199856952e-02 2.599065396650567239e-01 3.364402493466483457e-01 8.327029233951293019e-01 1.987152374686886047e-02 7.974666443565849860e-01 8.599653227530629218e-01 1.149515010417417660e+00 3.130925593484686076e-02 1.104087078240526321e+00 1.197071700290052165e+00
9.457286432160803835e-02 2.321565953210834865e-01 1.318839604352346415e-02 2.122121031685353099e-01 2.587310020639639885e-01 2.981837889573872857e-01 2.245121520238890778e-02 2.659219113066033091e-01 3.400775229856125570e-01 8.562623171842286274e-01 1.860312046887317022e-02 8.245761863866816199e-01 8.845779982459897051e-01 1.174571778287204715e+00 2.977378156311926219e-02 1.131712074641859633e+00 1.221912187042189402e+00
9.954773869346733584e-02 2.338089725452148215e-01 1.310814479208467428e-02 2.156326880407097302e-01 2.622640387476302126e-01 3.047248389641381006e-01 2.311922249626739007e-02 2.702535816057570761e-01 3.507440899065097373e-01 8.772818515655662619e-01 1.983279353017052341e-02 8.434920634674387685e-01 9.091906737389165993e-01 1.200348121018302017e+00 2.920482647329538523e-02 1.154688983563816773e+00 1.243785146387213825e+00
1.045226130653266333e-01 2.363240727536370378e-01 1.368411876057437290e-02 2.172978797627429792e-01 2.662747637376715049e-01 3.096791452209987083e-01 2.457341487989912754e-02 2.730362252844968363e-01 3.616967776760665054e-01 8.982093650120550610e-01 2.159276680649837091e-02 8.602006085314497508e-01 9.335997848872751304e-01 1.224732040776049136e+00 2.798836539085529374e-02 1.179658581401080708e+00 1.263497417684714019e+00
1.094974874371859308e-01 2.382445016277847105e-01 1.333819454864584517e-02 2.196141133318676997e-01 2.686903443559690574e-01 3.153386101505853967e-01 2.566314158712584489e-02 2.758188689632366519e-01 3.726494654456232736e-01 9.174534745892193310e-01 2.246470881423590429e-02 8.768125077741499851e-01 9.567001579304350578e-01 1.247548649767628692e+00 2.858764280953206977e-02 1.206995667491837620e+00 1.297148242117144079e+00
1.144723618090452283e-01 2.420328806056031290e-01 1.352665733095560936e-02 2.227432991775992743e-01 2.733722036961143131e-01 3.199317743558737770e-01 2.737151597764352767e-02 2.779773542925047525e-01 3.830851201254858451e-01 9.351805252561927739e-01 2.365252005728572804e-02 8.932434786793987946e-01 9.791723506666316634e-01 1.267596195854298058e+00 2.585431025363923649e-02 1.226996049810493039e+00 1.306825383937714635e+00
1.194472361809045258e-01 2.436678440807658053e-01 1.269272958048414841e-02 2.247403746794414681e-01 2.733503112558534065e-01 3.226877763891255468e-01 3.019600818359114563e-02 2.793879132339860405e-01 3.932869943651677858e-01 9.513817208039908602e-01 2.304421703849098002e-02 9.070658695138935634e-01 9.875284269669083459e-01 1.286521686313973012e+00 2.572077278106495862e-02 1.251209398373462678e+00 1.329895697790527853e+00
1.244221105527638233e-01 2.452430560927559566e-01 1.345748311078607748e-02 2.235666134849082776e-01 2.767798998367810848e-01 3.239357239825141899e-01 3.356655015571416434e-02 2.797557899507713275e-01 4.034727779037038942e-01 9.656734256842443020e-01 2.307323038494208181e-02 9.208882603483882212e-01 9.975877726052689853e-01 1.304891650783120749e+00 2.430829596555354744e-02 1.270646592222525184e+00 1.349459559029028366e+00
1.293969849246231207e-01 2.479686677078041246e-01 1.398954554522265949e-02 2.265089080751984396e-01 2.823406926387587723e-01 3.216314370025364355e-01 3.332306231275961039e-02 2.781983126297778997e-01 3.908419472175027054e-01 9.792888288837268140e-01 2.575160880655739601e-02 9.332320578001847000e-01 1.019183720745519439e+00 1.325839002881186390e+00 2.353487630872001801e-02 1.296359881016418525e+00 1.371737053787901006e+00
1.343718592964824043e-01 2.507144142164494660e-01 1.314240417703342947e-02 2.294071390075308747e-01 2.833795905211757837e-01 3.223001403505501017e-01 3.348198718698352366e-02 2.756996164153910356e-01 3.836896912206066435e-01 9.921215563699699036e-01 2.934042109785069477e-02 9.453383130066672635e-01 1.038747825728608243e+00 1.342649534031110425e+00 2.458288674168846930e-02 1.308050346114412177e+00 1.390070937217615876e+00
1.393467336683417157e-01 2.528547553286464300e-01 1.292892083065695467e-02 2.330422095592026288e-01 2.849635730453219939e-01 3.259274411209161504e-01 3.574825796962391444e-02 2.779817130236560407e-01 3.931757808306329260e-01 1.004203514303536826e+00 3.203186297509754560e-02 9.560394276596319019e-01 1.052504861110614254e+00 1.365830522311126449e+00 2.516707511902646285e-02 1.328377247585551979e+00 1.402730656574337598e+00
1.443216080402010271e-01 2.546269480328685608e-01 1.271988867542297834e-02 2.371715475741098533e-01 2.881715806044248263e-01 3.285977452325535286e-01 3.549665594783688732e-02 2.819434398871491498e-01 3.990247721129592806e-01 1.016984856205545018e+00 3.298025357776325495e-02 9.688220330617470788e-01 1.066016985612921353e+00 1.388950166723109891e+00 2.457020701751342490e-02 1.350109547304776836e+00 1.428379343349388542e+00
1.492964824120603107e-01 2.564735457283560671e-01 1.237381897763403966e-02 2.377761042465240948e-01 2.886024795474365634e-01 3.303410592194074846e-01 3.205926155554032764e-02 2.862308268191368632e-01 3.942089174285224873e-01 1.029270794730809957e+00 3.227145797662973187e-02 9.838042554177461874e-01 1.079358953119250675e+00 1.405812757335217267e+00 2.539866593143073545e-02 1.367958876215823238e+00 1.453242393494191598e+00
1.542713567839196220e-01 2.592331714058963565e-01 1.150126940334508970e-02 2.410148850108575491e-01 2.883212282829962225e-01 3.314001123741117105e-01 2.839859002072280328e-02 2.922747146200215251e-01 3.854963964632643347e-01 1.043466163935667490e+00 3.106545829855684310e-02 9.982839009160815458e-01 1.092660860147634416e+00 1.422115931607445871e+00 2.854127467162287032e-02 1.375102593139858387e+00 1.459301396780886328e+00
1.592462311557789056e-01 2.610590808824690412e-01 1.037768480227921515e-02 2.436164376386709962e-01 2.849893964536608371e-01 3.333766290165953161e-01 2.485361628204055609e-02 2.958000210757583681e-01 3.741361493191767140e-01 1.056991708717788025e+00 3.080489877363061166e-02 1.007809516470129729e+00 1.103192545397346347e+00 1.437278011007758094e+00 3.122974466989461226e-02 1.379568898929625975e+00 1.481092791496333660e+00
1.642211055276382170e-01 2.632083480139738585e-01 1.053716020331597718e-02 2.467962103574310451e-01 2.892519351071315414e-01 3.338227240863551049e-01 2.497108347274704099e-02 2.992314250651901264e-01 3.724490525923378481e-01 1.069342764483532049e+00 3.021565034049604817e-02 1.018113529646318627e+00 1.108864453326896982e+00 1.455367050949479824e+00 3.162793564982827044e-02 1.400509095117367542e+00 1.498141258872955017e+00
1.691959798994975006e-01 2.659594040931946290e-01 1.053331495863566586e-02 2.492965333968505670e-01 2.904244635473453573e-01 3.346127906541024322e-01 2.620340670559087939e-02 2.977500022009069158e-01 3.808680949139446881e-01 1.081744333127884428e+00 3.049813513449134081e-02 1.032158382280054632e+00 1.126702871296337172e+00 1.474562819131914226e+00 2.944993116645056377e-02 1.428340897840231882e+00 1.517871646443215594e+00
1.741708542713567842e-01 2.676810106440024595e-01 1.009424318016335399e-02 2.533978279885467644e-01 2.920991178932760834e-01 3.363278689496301266e-01 2.715658585046172926e-02 2.952721751030480957e-01 3.877109561765782475e-01 1.094306834404402018e+00 3.026804410079633745e-02 1.049966439392556738e+00 1.145713611861359116e+00 1.487323758937306284e+00 3.240715132947232652e-02 1.444197554731752264e+00 1.540219845135324173e+00
1.791457286432160956e-01 2.696560961580298788e-01 1.017697411060943143e-02 2.554071572829038628e-01 2.951760642677692115e-01 3.367780482778276463e-01 2.501541860863548336e-02 3.001663003366664140e-01 3.737820986732664497e-01 1.102689444215492198e+00 2.779000423364420477e-02 1.058332765565215938e+00 1.143259747098531953e+00 1.498694174791199707e+00 3.001988112190693767e-02 1.454431049399349085e+00 1.536545878519588015e+00
1.841206030150753792e-01 2.718527187725057193e-01 1.018466511731851848e-02 2.567246608873053337e-01 2.968006749285667101e-01 3.363639117362526854e-01 2.269563698217539824e-02 3.028313424072460736e-01 3.713475034649552642e-01 1.111980023599464795e+00 3.048928950673562149e-02 1.067891838573215901e+00 1.157485377851736885e+00 1.511963161618266493e+00 3.084246783090013877e-02 1.464190027673417882e+00 1.547280618273771058e+00
1.890954773869346905e-01 2.728131346297389959e-01 9.696071467949589351e-03 2.566544807412434737e-01 2.954901042941386335e-01 3.377131491648245332e-01 2.108675589550495361e-02 3.057943809815362735e-01 3.664008105755752198e-01 1.122759027222728578e+00 2.771527009986455084e-02 1.085489655446241208e+00 1.169490849100761842e+00 1.522656134550123941e+00 3.604081252202424174e-02 1.472505757499905643e+00 1.567103224712451892e+00
1.940703517587939742e-01 2.747507239856219474e-01 9.825849036790255953e-03 2.603428594165478893e-01 2.987395151757948897e-01 3.379342054993728084e-01 1.908308279952584258e-02 3.119534472222151855e-01 3.657570432815241968e-01 1.130865776545668444e+00 2.705736786483363757e-02 1.091209240956569682e+00 1.178706092632012314e+00 1.533316218923001184e+00 3.463689378607851671e-02 1.488589495416677178e+00 1.586572711604607111e+00
1.990452261306532855e-01 2.759459044257080440e-01 9.992274654058965616e-03 2.597996001069216021e-01 2.991511625400430918e-01 3.393685241952945075e-01 1.777126668847481966e-02 3.150833312020051569e-01 3.654375778802469998e-01 1.142314609559779814e+00 2.611869406794670168e-02 1.102710276392758759e+00 1.189078583037744830e+00 1.548991833335417123e+00 3.212806704172971317e-02 1.498839863489864532e+00 1.589431370647014674e+00
2.040201005025125691e-01 2.779975096163431192e-01 9.123342751007307988e-03 2.625819314834942908e-01 2.983930015405785174e-01 3.400133802335026934e-01 1.553190577585995998e-02 3.181791835157313231e-01 3.633955157252583001e-01 1.152191775845916810e+00 2.521873231318584943e-02 1.120694030616815828e+00 1.200631979351274081e+00 1.560799040056442877e+00 2.839667494686753252e-02 1.511929169716327293e+00 1.592532763386356853e+00
2.089949748743718805e-01 2.795613826606164198e-01 9.075056899146732511e-03 2.636617240851379385e-01 3.001307229235575247e-01 3.392878078485839777e-01 1.739104408732417006e-02 3.121519949851472853e-01 3.631162513981083251e-01 1.162390225560130386e+00 2.464134788500207604e-02 1.131886017312655923e+00 1.212414770251236895e+00 1.573306773784584944e+00 2.437307845646444204e-02 1.536466928752251881e+00 1.603097477284621153e+00
2.139698492462311641e-01 2.816932856427950549e-01 8.548993698166452992e-03 2.673386303829816124e-01 3.004316901374430304e-01 3.424601347218548808e-01 1.711157491790761542e-02 3.162761322970779054e-01 3.653949070610694183e-01 1.168700181162720009e+00 2.725385840459104703e-02 1.130365977337842720e+00 1.217894248187564310e+00 1.586295647848071200e+00 2.518357493845494247e-02 1.545268693196940823e+00 1.622283023368631616e+00
2.189447236180904754e-01 2.832629203023205866e-01 8.128184878521332174e-03 2.695646252521777808e-01 2.983353077655399033e-01 3.466470766590771246e-01 1.878213763401161834e-02 3.174063165880141590e-01 3.723071016819594625e-01 1.181834348629703380e+00 2.586952755788485617e-02 1.145342201965205753e+00 1.222251290225214504e+00 1.598906877990463160e+00 2.409118607928443373e-02 1.551164212449532176e+00 1.629043703976105872e+00
2.239195979899497591e-01 2.850141793808184110e-01 8.044174658506798858e-03 2.717422408285172231e-01 2.997966836230375742e-01 3.488359504726118998e-01 1.871338609496330310e-02 3.236190230795878975e-01 3.790592005045083646e-01 1.194024120564791680e+00 2.665978128578361250e-02 1.152706977211528594e+00 1.232215772602467618e+00 1.609063447777088429e+00 2.442570883225466533e-02 1.558741908731524406e+00 1.639766359191691336e+00
