# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 2.274497539415551994e+00 1.662201590811848373e+00 5.623704680161031533e+00 7.417348451549590216e+00 1.064796707820055144e-01 1.187322948276187534e-01 1.399527631424498653e-01 1.609358605919641860e-01 2.202309601487614454e+00 1.589945633848411255e+00 5.506010517356315859e+00 7.309878449763163921e+00 2.371819666194676657e+00 1.786916233564448397e+00 5.885071824953230113e+00 7.599013914458911501e+00
2.000000000000000000e+02 2.200000000000000000e+03 2.244039145844860972e+00 1.192882337939761950e+00 4.558343271348566539e+00 6.085034685797414689e+00 1.026427730096362428e-01 1.254960546944302591e-01 1.327305214575226766e-01 1.315019617901739268e-01 2.178276659275890204e+00 1.138103825733270069e+00 4.460571111298710534e+00 5.943470403481295072e+00 2.381152175058436349e+00 1.387504649063895590e+00 4.750708321989429272e+00 6.273395661950617708e+00
2.000000000000000000e+02 2.300000000000000000e+03 9.845016925047371803e-01 7.992475133949297206e-01 3.494050322509045792e+00 4.195081518644636631e+00 5.823670395328708893e-02 1.211804165442180309e-01 1.213376232670649452e-01 1.289476382999777127e-01 9.675782966606165658e-01 7.324807663479975250e-01 3.378609718504965276e+00 4.118168862602236580e+00 1.014680847524685348e+00 9.865661856709703192e-01 3.637804104869255539e+00 4.356656978804610780e+00
2.000000000000000000e+02 2.700000000000000000e+03 2.275426187874660666e+00 3.637875882539017836e-01 1.761114214134485323e+00 3.154358808314919660e+00 1.272783622338961307e-01 1.017237240211907034e-01 1.379392459328851739e-01 1.135184518472988902e-01 2.220362040920281999e+00 2.482398068515819511e-01 1.633368614884862957e+00 3.015473816491802239e+00 2.407521455674292987e+00 6.012855424404561777e-01 1.934354182141187817e+00 3.343286428398459353e+00
2.000000000000000000e+02 3.000000000000000000e+03 2.206619465698340665e+00 1.374374699245810016e-01 1.037947400733286285e+00 2.427875635343386573e+00 1.155896849197104725e-01 8.738088151361492195e-02 1.373489577859868804e-01 1.130325379783589657e-01 2.152198037251686458e+00 8.163672156874045294e-02 8.322863914928640972e-01 2.352701982831209460e+00 2.288893165522143391e+00 3.769222874717104155e-01 1.221650990071952991e+00 2.557101884402858794e+00
3.000000000000000000e+02 2.000000000000000000e+03 1.066815177813554838e+00 1.532737839885333075e+00 5.446503947390318068e+00 6.670069261374588443e+00 4.379338144443480074e-02 1.237734394938873189e-01 1.471222950064271784e-01 1.549530102183745706e-01 1.051575751566040662e+00 1.477885505439618941e+00 5.338380184648142013e+00 6.560185559420789403e+00 1.104297210712301469e+00 1.629705411276789029e+00 5.635501413685450878e+00 6.837400596736134872e+00
3.000000000000000000e+02 2.200000000000000000e+03 1.047078282346823430e+00 1.110797495955468950e+00 4.124203990747697723e+00 5.033430935597928091e+00 4.516765826387247190e-02 1.268158951225248632e-01 1.187143249078781992e-01 1.249712950171666531e-01 1.026451600174213219e+00 1.034471492402142090e+00 4.009326039500634487e+00 4.910095869257557588e+00 1.081563271922608926e+00 1.288205875851774262e+00 4.291500462079946843e+00 5.214239335078778126e+00
3.000000000000000000e+02 2.300000000000000000e+03 1.018324596822910433e+00 8.052436725918742377e-01 3.594260670303452088e+00 4.285790248301141858e+00 4.452253942835807110e-02 1.163524352790768490e-01 1.198799175478046791e-01 1.291628930854982205e-01 9.988950713161408590e-01 7.230484603528725129e-01 3.491048079587856012e+00 4.188560029063755685e+00 1.043528611064533207e+00 9.815519092748601349e-01 3.777664879573523926e+00 4.529781706742824099e+00
3.000000000000000000e+02 2.700000000000000000e+03 1.001417526134412483e+00 3.558456321204716555e-01 1.554047071017765180e+00 2.069842432325562864e+00 4.017245330186747926e-02 1.045149858373096846e-01 1.560549636673473073e-01 1.315623863934813065e-01 9.911732327926866537e-01 2.639868500029011744e-01 1.442628562816884896e+00 1.971395147909961398e+00 1.028439658981327831e+00 6.012169663347138870e-01 1.746262830272442557e+00 2.181474933883420064e+00
3.000000000000000000e+02 3.000000000000000000e+03 1.002269916963958618e+00 1.295196819472650973e-01 7.080697958570768558e-01 1.156926075386947916e+00 4.163008175372440167e-02 7.401547897568608314e-02 1.438174532402718975e-01 1.251815119203982807e-01 9.860289365024516028e-01 6.891352918869106392e-02 5.686464225670411210e-01 1.127513562430975336e+00 1.028558010087011532e+00 3.292824527368835019e-01 9.334299865014944464e-01 1.200154658949971642e+00
