# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000723678544003237e+00 8.022710999542738246e-04 1.000083350332701793e+00 1.002980988207665458e+00 1.000850460080365378e+00 9.346009519435216802e-04 1.000139975644923629e+00 1.003545411948919108e+00 1.000850460080365378e+00 9.346009519434526165e-04 1.000139975644923629e+00 1.003545411948918886e+00 1.000799985926390523e+00 8.808075893651940705e-04 1.000139975644923629e+00 1.003320704064470048e+00
9.504752376188093906e-04 1.002147566468020834e+00 1.714788776464569800e-03 1.000476157158836754e+00 1.006740719411775897e+00 1.002510480165383244e+00 1.792643716568485986e-03 1.000476157158836532e+00 1.007430274622646671e+00 1.002616303131288022e+00 1.960514051606450456e-03 1.000476157158836532e+00 1.008016330628825674e+00 1.002419501146821323e+00 1.840696290910539320e-03 1.000476157158836532e+00 1.007452058164300057e+00
1.425712856428214140e-03 1.003760573567967329e+00 2.357803085891458771e-03 1.001205714963993465e+00 1.009787042630046150e+00 1.004446584884366445e+00 2.831343086234431108e-03 1.001205714963993687e+00 1.012045980707940496e+00 1.004636198883037679e+00 2.979030859601872454e-03 1.001205714963993687e+00 1.012634721825280470e+00 1.004269339091361957e+00 2.709613857973048549e-03 1.001205714963993687e+00 1.011444320506520445e+00
1.900950475237618781e-03 1.005418757317319445e+00 3.081663902520809066e-03 1.001880341805478691e+00 1.013513755330969879e+00 1.006615303603799694e+00 3.767596611600495735e-03 1.002162164686436485e+00 1.016784624754552002e+00 1.006819372039487792e+00 3.902908223369193439e-03 1.002162164686436485e+00 1.017263481211163612e+00 1.006242112208909800e+00 3.556970279719468518e-03 1.002049965608437843e+00 1.015724537885743350e+00
2.376188094047023639e-03 1.007212214543420803e+00 3.811204745348346305e-03 1.002529077483454989e+00 1.017233549988322938e+00 1.008920605039145268e+00 4.779074360036701316e-03 1.002651112691724578e+00 1.021381390743145268e+00 1.009219706619693735e+00 4.791120663402316862e-03 1.003234388498991159e+00 1.021862412054554525e+00 1.008391687230699274e+00 4.396984498106981491e-03 1.002897431136082984e+00 1.019973259363630591e+00
2.851425712856428280e-03 1.008951231054232789e+00 4.419543900479975911e-03 1.003349893101720403e+00 1.020454339672183020e+00 1.011219063705848908e+00 5.421683529899966845e-03 1.003754497480654706e+00 1.025194601231308233e+00 1.011484976001976621e+00 5.381951826245338043e-03 1.004338415163889442e+00 1.025450272457032241e+00 1.010450640846485504e+00 4.997635480368921995e-03 1.003888644265920949e+00 1.023436679282262229e+00
3.326663331665832921e-03 1.010602587739716895e+00 4.835708647518066269e-03 1.004287407503281049e+00 1.023090199716242044e+00 1.013675843664214815e+00 5.979859144425450461e-03 1.004975282347024601e+00 1.028715114071306447e+00 1.013852649690526020e+00 5.956057870226886056e-03 1.005559910201792695e+00 1.028971663270668024e+00 1.012541714459927800e+00 5.504707829776942646e-03 1.004997012804680567e+00 1.026605438829222727e+00
3.801900950475237562e-03 1.012453275616733706e+00 5.348260450652226987e-03 1.005969771028148108e+00 1.026201618139646499e+00 1.016073865244171870e+00 6.685305971005450418e-03 1.006800541188710207e+00 1.033012701294990787e+00 1.016394689272454910e+00 6.666625438245745924e-03 1.007386230857813203e+00 1.033270322261011787e+00 1.014794647218707935e+00 6.133021820534168174e-03 1.006765919139304799e+00 1.030431331454210175e+00
4.277138569284642637e-03 1.014394596548462868e+00 6.016967896430944034e-03 1.007266281085747117e+00 1.029618102808025792e+00 1.018696008557951060e+00 7.420233149622194879e-03 1.008808350307669466e+00 1.037333323322268352e+00 1.019102123242477287e+00 7.369991275718320786e-03 1.009283450324199638e+00 1.037592021799552455e+00 1.017188864895790079e+00 6.826492751193554386e-03 1.008434632609672699e+00 1.034392543897141525e+00
4.752376188094047278e-03 1.016082873833386024e+00 6.185869623112990982e-03 1.007875748402359273e+00 1.031448900751458231e+00 1.021161229687935768e+00 8.117215645468776192e-03 1.009845626390300177e+00 1.041391997283477977e+00 1.021500406036132125e+00 8.067272403785085561e-03 1.010321214913774135e+00 1.041651707945322025e+00 1.019310925945176693e+00 7.311786947640879636e-03 1.009301836829943122e+00 1.037564769571993839e+00
5.227613806903451919e-03 1.017812200570557213e+00 6.477165121208559688e-03 1.009434632569827794e+00 1.034138376833080741e+00 1.023683977035543480e+00 8.669606150762003416e-03 1.011407557373422472e+00 1.045146608004736910e+00 1.023955733846602545e+00 8.597839140088417778e-03 1.011771835883444659e+00 1.045291471739215217e+00 1.021483710202723660e+00 7.750260331780755782e-03 1.010806276713959617e+00 1.040837263465831386e+00
5.702851425712856560e-03 1.019495193227642371e+00 6.798980390579068694e-03 1.011061781298473461e+00 1.036777250557571861e+00 1.026293029812012092e+00 9.191557657885247520e-03 1.013180708542844810e+00 1.049006811756568291e+00 1.026545700938237715e+00 9.133148674016175125e-03 1.013545625688460738e+00 1.049035999616234172e+00 1.023714431056080176e+00 8.193649779261092184e-03 1.012521624412595855e+00 1.044152746905540274e+00
6.178089044522261201e-03 1.021194356125055602e+00 6.853098046783593668e-03 1.011980539185105776e+00 1.037922797719238233e+00 1.028704622459188034e+00 9.528572241547534488e-03 1.014816756888698990e+00 1.051962818665243438e+00 1.028972434205253972e+00 9.497595166123137117e-03 1.015182263289605036e+00 1.051992088773674450e+00 1.025850046861456200e+00 8.431153873916526209e-03 1.013872403636629338e+00 1.046388016753653449e+00
6.653326663331665843e-03 1.022812475870623183e+00 7.206727845142695855e-03 1.012875594405024726e+00 1.040214563571314255e+00 1.031111350925507875e+00 9.990062395591019218e-03 1.016431329182818644e+00 1.055338968006566347e+00 1.031311079503604677e+00 9.945371519919527295e-03 1.016797417103988410e+00 1.055368332053923330e+00 1.027908392412690386e+00 8.842670348202226124e-03 1.015200816440114728e+00 1.049332499787366535e+00
7.128564282141070484e-03 1.024748857903152510e+00 7.561484418418345371e-03 1.013948754024123655e+00 1.042874421648623207e+00 1.033724140059288032e+00 1.059885566501606730e-02 1.018083200794278609e+00 1.059247030908253784e+00 1.034043798140321879e+00 1.046757229222423230e-02 1.018449883669801936e+00 1.059276503694648763e+00 1.030312527043919957e+00 9.307030397547932932e-03 1.016622592548778403e+00 1.052743683458199353e+00
7.603801900950475125e-03 1.026196071700333556e+00 7.834983926988706507e-03 1.014454229576267741e+00 1.044691162651969929e+00 1.036047940130834011e+00 1.081081883709493485e-02 1.019743152378293605e+00 1.061840634685521367e+00 1.036539496652825409e+00 1.084183373689304869e-02 1.020110433118332605e+00 1.062488264724174902e+00 1.032374252839572515e+00 9.622001311662591386e-03 1.017823227427332000e+00 1.055340542287765970e+00
8.079039519759880633e-03 1.027617552592951622e+00 7.904124709443275179e-03 1.016118514175287313e+00 1.046495329608211344e+00 1.038383967019777643e+00 1.110193472359454619e-02 1.021560585701816848e+00 1.065045918505550970e+00 1.038986613879382181e+00 1.118683746927873895e-02 1.021928521026546965e+00 1.065695503487362972e+00 1.034402348515095493e+00 9.846919338865799121e-03 1.019580020271693810e+00 1.057989003106863501e+00
8.554277138569285274e-03 1.028958289786400249e+00 7.912378204127721096e-03 1.017251228870248880e+00 1.047450249624183982e+00 1.040776521541187716e+00 1.126080516703912085e-02 1.023568024374130747e+00 1.067385233295569336e+00 1.041303893130855807e+00 1.145306183200727086e-02 1.023936682717749846e+00 1.068421511997149187e+00 1.036338095430452855e+00 9.993019982949036956e-03 1.021239580158723070e+00 1.059972675378069162e+00
9.029514757378689915e-03 1.030856956860185969e+00 8.337098572155424853e-03 1.018386571684329889e+00 1.050670368010979461e+00 1.043352424320525440e+00 1.172966958810122383e-02 1.025436235693736098e+00 1.071127865866144280e+00 1.043846102560260558e+00 1.188905481570838758e-02 1.025805566910749533e+00 1.072048978375912620e+00 1.038627342439835344e+00 1.042805221610989229e-02 1.022816362715520899e+00 1.063449057281409260e+00
9.504752376188094556e-03 1.032099835127107124e+00 8.443334945576539199e-03 1.019318483133396569e+00 1.052281662596228573e+00 1.045652519397052282e+00 1.187929637231637144e-02 1.027102110666623824e+00 1.073378800333290028e+00 1.046271046129994442e+00 1.220505472630597880e-02 1.027472041881579257e+00 1.074927898554239647e+00 1.040569662417880847e+00 1.063617127477736561e-02 1.024190336132206003e+00 1.065762847105884870e+00
9.979989994997499198e-03 1.033412448331770594e+00 8.535652616460645895e-03 1.020666694106100669e+00 1.053894914873712008e+00 1.048001599722856225e+00 1.223820241277029028e-02 1.028898197473355980e+00 1.076417115715202488e+00 1.048635832407706747e+00 1.253113961007234697e-02 1.029268775584630147e+00 1.077731686903570907e+00 1.042514046258692151e+00 1.087848014909151631e-02 1.025808442074403137e+00 1.068115241251961667e+00
1.045522761380690384e-02 1.034830802646486747e+00 8.579644522571252749e-03 1.021929594178075495e+00 1.055712561983329634e+00 1.050154316112565045e+00 1.224634103020005339e-02 1.030595138232349051e+00 1.078258574536141046e+00 1.051075217318385935e+00 1.275664234718458002e-02 1.031566424345152777e+00 1.080715309234462129e+00 1.044519338051672630e+00 1.101069587368004414e-02 1.027636299610363402e+00 1.070524695590755915e+00
1.093046523261630848e-02 1.036243159459525831e+00 8.564618959355662156e-03 1.023264523752831723e+00 1.056861258660372505e+00 1.052292166495692127e+00 1.244266391443171922e-02 1.032967902982407038e+00 1.080989649460278423e+00 1.053475599414075647e+00 1.299046220663765440e-02 1.033826924599768882e+00 1.083332503334865304e+00 1.046501091041013520e+00 1.114284643918127433e-02 1.029539121643808341e+00 1.072568217576396865e+00
1.140570285142571312e-02 1.037568842488945986e+00 8.734352867594672234e-03 1.024278517152576784e+00 1.058548371607779037e+00 1.054470818437792889e+00 1.288082291110087020e-02 1.034579591761208617e+00 1.084280123182115307e+00 1.055722554791064471e+00 1.350964507908104968e-02 1.035210594944846241e+00 1.086630108576520204e+00 1.048374693818141745e+00 1.151431020066135888e-02 1.030797570832974408e+00 1.075223968395146334e+00
1.188094047023511776e-02 1.039129181626101017e+00 8.912793867731203315e-03 1.025646753125638355e+00 1.060491879822220040e+00 1.056718176665353059e+00 1.299548406384354836e-02 1.036698612422266796e+00 1.086893817830305364e+00 1.058174760712484286e+00 1.378874402033229869e-02 1.037330908023417653e+00 1.089885340372874545e+00 1.050452107162135773e+00 1.173559725195815612e-02 1.032618343196559874e+00 1.077895208811663563e+00
1.235617808904452240e-02 1.040317596776792364e+00 9.221154043324559721e-03 1.025725980104202018e+00 1.061792803492258352e+00 1.058960028041603163e+00 1.346635003099770633e-02 1.038108085936251257e+00 1.089804041441793325e+00 1.060507553183904772e+00 1.420675833375809050e-02 1.038741241193132936e+00 1.092803573966013797e+00 1.052320545055146050e+00 1.211804010995324275e-02 1.033498654767566860e+00 1.080168789172518240e+00
1.283141570785392704e-02 1.041330595326080521e+00 8.975896775934128283e-03 1.027152525173443465e+00 1.061811716058899124e+00 1.061154662610458210e+00 1.367050079649821670e-02 1.039996357828253615e+00 1.092038862894571860e+00 1.062695466116412746e+00 1.432093873662194060e-02 1.040630664766054370e+00 1.094923144616466892e+00 1.054041349284175144e+00 1.207994373125039107e-02 1.035203686669565970e+00 1.081463144366630269e+00
1.330665332666333169e-02 1.042479388142619978e+00 9.376685073696577541e-03 1.027750644523462098e+00 1.063985248174007969e+00 1.063455929709976600e+00 1.402503713909594024e-02 1.041641222004912493e+00 1.094907318324998879e+00 1.064946109626468074e+00 1.480273581247563801e-02 1.042045607931742390e+00 1.098196830380531841e+00 1.055858199155716992e+00 1.252046827513368481e-02 1.036315574145701524e+00 1.084259821122341316e+00
1.378189094547273633e-02 1.043631400957154787e+00 9.257704727417586515e-03 1.028657173533341851e+00 1.063984178501522493e+00 1.065738523484921263e+00 1.423261640528629239e-02 1.043453243262402408e+00 1.097139092590054155e+00 1.067269338383083355e+00 1.492570079979500461e-02 1.043858332652075394e+00 1.100191229592475617e+00 1.057711231990447809e+00 1.255915116304185015e-02 1.037767457293663487e+00 1.085482641202248244e+00
1.425712856428214097e-02 1.045124565831751173e+00 9.229582866361619661e-03 1.030064503657360353e+00 1.064655007468587211e+00 1.067939663324875887e+00 1.423204529779005176e-02 1.045627372980249215e+00 1.098629870359902894e+00 1.069454974877967590e+00 1.506234141293343563e-02 1.046033306410502295e+00 1.102330038933366119e+00 1.059622675000671865e+00 1.261755246824145492e-02 1.039636736175371112e+00 1.086974625043763076e+00
1.473236618309154561e-02 1.046269785492254467e+00 9.303799072535399312e-03 1.031523063617261649e+00 1.065954856164586628e+00 1.070080310452045103e+00 1.431444369901631319e-02 1.047557051122077532e+00 1.100130629575613028e+00 1.071652037607304653e+00 1.511800616247112317e-02 1.047963733691926302e+00 1.104113822848515891e+00 1.061395547025728137e+00 1.268219270756568151e-02 1.041379231923500681e+00 1.088538494619368135e+00
1.520760380190095025e-02 1.047300626307769988e+00 9.362417156315626723e-03 1.032251853545625098e+00 1.067191207582317780e+00 1.072450584826029729e+00 1.445095723678662542e-02 1.049497452360989680e+00 1.102210470806865406e+00 1.074018173931981401e+00 1.532481679037102883e-02 1.049904888233354372e+00 1.106480016062670213e+00 1.063230475098258188e+00 1.282069783122936207e-02 1.042837648399073336e+00 1.090427305373448785e+00
1.568284142071035489e-02 1.048515401119407775e+00 9.490535274116179004e-03 1.032974740941082326e+00 1.068502619846224411e+00 1.074719651829421974e+00 1.462880694688115275e-02 1.051285658551873725e+00 1.104533522143364310e+00 1.076254914609780178e+00 1.550660761631685383e-02 1.051577257473880644e+00 1.108812066018829867e+00 1.065063464098934265e+00 1.298394423038188791e-02 1.044143163893097359e+00 1.092352153533083792e+00
1.615807903951976127e-02 1.049671793251090834e+00 9.707573460186266420e-03 1.033690562801406587e+00 1.069787186458036610e+00 1.076791152443292043e+00 1.482584001427627966e-02 1.052919257539774778e+00 1.106832879684620963e+00 1.078445060315555981e+00 1.562137343089132872e-02 1.053211309579067168e+00 1.110873661438954496e+00 1.066830629230537397e+00 1.314237118915266393e-02 1.045411607351665273e+00 1.094127291382878564e+00
