# bkg-pred	mh=200GeV-pred	mh=300GeV-pred	mh=500GeV-pred	mh=700GeV-pred	mh=900GeV-pred	mh=1100GeV-pred
1.257669180631637573e-01 9.974516034126281738e-01 2.291137725114822388e-01 9.994101524353027344e-01 9.994083642959594727e-01 5.213424563407897949e-01 9.908525347709655762e-01
3.998642321676015854e-03 9.493967890739440918e-01 9.240693449974060059e-01 9.841894507408142090e-01 1.126053407788276672e-01 9.999425411224365234e-01 9.981070756912231445e-01
1.385036949068307877e-02 9.441380500793457031e-01 9.969086050987243652e-01 9.692325592041015625e-01 5.898271799087524414e-01 9.614980220794677734e-01 8.970566391944885254e-01
1.283942908048629761e-02 9.999206066131591797e-01 9.947521686553955078e-01 9.977543950080871582e-01 9.303241372108459473e-01 9.519813060760498047e-01 9.987071752548217773e-01
4.662361741065979004e-01 9.999998807907104492e-01 3.891326487064361572e-01 9.999114274978637695e-01 5.743986964225769043e-01 8.585199713706970215e-01 8.774606585502624512e-01
1.817501485347747803e-01 9.924585223197937012e-01 9.988660812377929688e-01 9.543471336364746094e-01 9.911462664604187012e-01 8.206106424331665039e-01 1.666531413793563843e-01
5.117663741111755371e-02 5.747824534773826599e-02 8.418431282043457031e-01 9.954376816749572754e-01 8.528115153312683105e-01 7.783779501914978027e-01 8.677565455436706543e-01
5.540718790143728256e-03 3.946554064750671387e-01 9.999963045120239258e-01 9.778195023536682129e-01 9.498600959777832031e-01 6.935793161392211914e-01 9.996311664581298828e-01
5.772375687956809998e-02 5.784437432885169983e-02 2.342545241117477417e-01 9.999902248382568359e-01 8.628046512603759766e-01 9.999617338180541992e-01 2.462882846593856812e-01
8.417280763387680054e-02 9.951080679893493652e-01 9.928627610206604004e-01 9.999980926513671875e-01 9.993674159049987793e-01 1.238997876644134521e-01 3.129754960536956787e-01
9.669122695922851562e-01 9.796565771102905273e-01 1.093037053942680359e-01 2.984296679496765137e-01 9.952623844146728516e-01 1.213256791234016418e-01 9.869740009307861328e-01
3.332699462771415710e-02 6.907888054847717285e-01 9.564939737319946289e-01 9.968373775482177734e-01 6.744943559169769287e-02 9.933435916900634766e-01 6.803380846977233887e-01
4.947308003902435303e-01 1.585076004266738892e-01 4.468812048435211182e-01 9.783231019973754883e-01 7.249347567558288574e-01 7.078654766082763672e-01 4.901643097400665283e-01
1.420004516839981079e-01 3.711544573307037354e-01 8.800429105758666992e-01 9.882342815399169922e-01 6.280180811882019043e-01 9.614722728729248047e-01 7.711406350135803223e-01
6.330937612801790237e-03 9.759431481361389160e-01 2.229085117578506470e-01 9.949000477790832520e-01 5.086047649383544922e-01 9.942802190780639648e-01 8.809592127799987793e-01
4.272535443305969238e-02 9.815222024917602539e-01 9.997612833976745605e-01 6.453903764486312866e-02 9.927437305450439453e-01 8.273421525955200195e-01 1.059876829385757446e-01
1.492959409952163696e-01 8.090516328811645508e-01 9.554094672203063965e-01 9.995366334915161133e-01 7.015174627304077148e-02 9.998043179512023926e-01 7.472511529922485352e-01
