# bkg-pred	mN=200GeV-pred	mN=300GeV-pred	mN=500GeV-pred	mN=700GeV-pred	mN=900GeV-pred	mN=1100GeV-pred
1.257669180631637573e-01 9.973990917205810547e-01 2.291137725114822388e-01 3.164597973227500916e-02 9.937719702720642090e-01 9.935722351074218750e-01 9.860035777091979980e-01
3.998642321676015854e-03 9.156041741371154785e-01 9.240693449974060059e-01 2.195148766040802002e-01 9.988873600959777832e-01 2.099900692701339722e-01 9.915187954902648926e-01
1.385036949068307877e-02 9.991602897644042969e-01 9.969086050987243652e-01 9.697757959365844727e-01 3.960902392864227295e-01 3.136393427848815918e-02 8.359190225601196289e-01
1.283942908048629761e-02 7.475486397743225098e-01 9.947521686553955078e-01 9.999983310699462891e-01 4.736442863941192627e-01 9.011685848236083984e-01 9.928635954856872559e-01
4.662361741065979004e-01 7.411100864410400391e-01 3.891326487064361572e-01 6.934466306120157242e-03 1.080235391855239868e-01 9.752063751220703125e-01 9.997223019599914551e-01
1.817501485347747803e-01 8.115436434745788574e-01 9.988660812377929688e-01 3.184191882610321045e-01 8.578288555145263672e-01 6.946432590484619141e-01 9.672026038169860840e-01
5.117663741111755371e-02 9.979012012481689453e-01 8.418431282043457031e-01 9.542005658149719238e-01 9.943200349807739258e-01 9.970802664756774902e-01 9.973313808441162109e-01
5.540718790143728256e-03 9.693495035171508789e-01 9.999963045120239258e-01 9.996778964996337891e-01 6.316058337688446045e-02 2.523780427873134613e-02 9.871420860290527344e-01
5.772375687956809998e-02 9.875305891036987305e-01 2.342545241117477417e-01 9.995705485343933105e-01 3.281598091125488281e-01 9.489460587501525879e-01 7.782595753669738770e-01
8.417280763387680054e-02 9.473978281021118164e-01 9.928627610206604004e-01 6.766302585601806641e-01 7.390357553958892822e-02 2.917456999421119690e-02 9.811625480651855469e-01
9.669122695922851562e-01 9.997575879096984863e-01 1.093037053942680359e-01 9.926221370697021484e-01 3.276720941066741943e-01 9.855459928512573242e-01 9.652754068374633789e-01
3.332699462771415710e-02 3.878414332866668701e-01 9.564939737319946289e-01 5.646244063973426819e-02 9.996894598007202148e-01 8.918869495391845703e-01 6.885368824005126953e-01
4.947308003902435303e-01 9.999481439590454102e-01 4.468812048435211182e-01 9.992214441299438477e-01 9.976320266723632812e-01 8.204268217086791992e-01 8.567068576812744141e-01
1.420004516839981079e-01 3.604103624820709229e-01 8.800429105758666992e-01 9.525424838066101074e-01 9.999958276748657227e-01 9.962868690490722656e-01 5.307449772953987122e-02
6.330937612801790237e-03 8.937453627586364746e-01 2.229085117578506470e-01 2.743404544889926910e-02 7.098993659019470215e-01 9.407736063003540039e-01 6.243007183074951172e-01
