# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 9.998734533183352147e-01 1.596993348087755833e-04 9.994375703037120529e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999496193461711036e-01 6.357935899911204959e-05 9.997760859829825097e-01 1.000000000000000000e+00
9.504752376188093906e-04 9.995219347581553171e-01 3.730736547081553900e-04 9.987345331833520357e-01 1.000000000000000000e+00 9.998837209302327000e-01 2.325581395348663596e-04 9.994186046511628341e-01 1.000000000000000000e+00 9.999889282550930014e-01 3.321523472099574548e-05 9.998892825509300142e-01 1.000000000000000000e+00 9.997928795342587716e-01 1.623376623376591933e-04 9.994402149574563854e-01 1.000000000000000000e+00
1.425712856428214140e-03 9.990860517435320443e-01 7.203986758970588314e-04 9.971878515185601533e-01 1.000000000000000000e+00 9.997674418604651780e-01 2.848243886956971387e-04 9.994186046511628341e-01 1.000000000000000000e+00 9.999557130203718947e-01 7.344164726208526884e-05 9.997785651018600284e-01 1.000000000000000000e+00 9.995913569189432968e-01 3.004643282650928580e-04 9.988244514106583427e-01 1.000000000000000000e+00
1.900950475237618781e-03 9.985236220472440971e-01 9.052541396411681795e-04 9.962035995500562180e-01 9.997187851518559709e-01 9.997093023255814170e-01 2.906976744185829631e-04 9.994186046511628341e-01 1.000000000000000000e+00 9.999114260407440113e-01 9.652123435653589296e-05 9.997785651018600284e-01 1.000000000000000000e+00 9.993394536497983704e-01 3.860488054090213238e-04 9.983766233766233622e-01 9.998880429914912549e-01
2.376188094047023639e-03 9.979049493813274552e-01 1.028358520991392655e-03 9.953599550056242418e-01 9.992969628796400938e-01 9.995930232558141171e-01 2.664288194741569124e-04 9.994186046511628341e-01 1.000000000000000000e+00 9.998892825509300142e-01 9.902869696634366203e-05 9.997785651018600284e-01 1.000000000000000000e+00 9.990707568293775154e-01 4.366323331840673075e-04 9.980407523510971268e-01 9.996641289744737646e-01
2.851425712856428280e-03 9.973565804274464597e-01 1.106786763450765291e-03 9.947975253093362946e-01 9.990157480314960647e-01 9.995930232558141171e-01 2.664288194741569124e-04 9.994186046511628341e-01 1.000000000000000000e+00 9.998560673162089074e-01 1.112696592241144188e-04 9.996678476527900425e-01 1.000000000000000000e+00 9.988356471115092949e-01 4.910817778652268577e-04 9.977048813255710025e-01 9.995521719659650195e-01
3.326663331665832921e-03 9.965691788526432893e-01 1.301207570445348264e-03 9.939538807649044294e-01 9.987345331833520357e-01 9.995930232558141171e-01 2.664288194741569124e-04 9.994186046511628341e-01 1.000000000000000000e+00 9.997674933569529188e-01 1.257508491098518414e-04 9.995571302037200567e-01 1.000000000000000000e+00 9.984773846842811551e-01 5.707611776323820354e-04 9.973690103000447671e-01 9.994402149574563854e-01
3.801900950475237562e-03 9.958661417322834941e-01 1.546937293529262927e-03 9.928290213723284241e-01 9.985939257592800766e-01 9.994186046511629451e-01 2.600079043604461011e-04 9.988372093023255571e-01 1.000000000000000000e+00 9.997342781222320340e-01 1.328609388839829819e-04 9.995571302037200567e-01 1.000000000000000000e+00 9.981639050604569352e-01 6.772242335349877140e-04 9.969211822660098976e-01 9.993842364532019573e-01
4.277138569284642637e-03 9.950928008998873864e-01 1.544699107727825864e-03 9.919853768278965589e-01 9.978908886389201705e-01 9.993023255813954231e-01 2.325581395349107577e-04 9.988372093023255571e-01 9.994186046511628341e-01 9.997010628875109273e-01 1.217891939769611982e-04 9.994464127546501819e-01 9.998892825509300142e-01 9.978280340349305888e-01 6.594068214342582550e-04 9.965853112404836622e-01 9.990483654276757219e-01
