# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 2.954053229019272808e-01 5.551115123125782702e-17 2.954053229019273363e-01 2.954053229019273363e-01 7.178194089878488227e-02 0.000000000000000000e+00 7.178194089878488227e-02 7.178194089878488227e-02 3.745256750966503567e-01 0.000000000000000000e+00 3.745256750966503567e-01 3.745256750966503567e-01 7.351138174608112807e-01 0.000000000000000000e+00 7.351138174608112807e-01 7.351138174608112807e-01
4.752376188094046953e-04 2.956161985476356002e-01 2.337940269803899052e-04 2.954293795729268646e-01 2.962738621837562314e-01 7.184280241695209512e-02 6.688229323834636640e-05 7.179195806248446499e-02 7.203565946226900274e-02 3.748391591380496601e-01 3.444827223680988902e-04 3.745772729747845475e-01 3.758324809062497662e-01 7.356832226603827740e-01 6.269047307187532603e-04 7.352135552848360067e-01 7.374770427895932512e-01
9.504752376188093906e-04 2.960308950865092603e-01 4.997587131185662543e-04 2.955442291503975749e-01 2.973691409952133324e-01 7.196158405810199055e-02 1.282651486844083380e-04 7.181601637594357823e-02 7.231359560341173165e-02 3.754899746753772027e-01 7.225271781530845589e-04 3.747011949431491851e-01 3.774801063632992615e-01 7.368351467816361966e-01 1.309703153620195293e-03 7.354530917928381317e-01 7.404154332169623487e-01
1.425712856428214140e-03 2.965005625657521904e-01 6.865696477182958203e-04 2.957570535339855144e-01 2.982545957977665863e-01 7.210011984402131535e-02 2.025925007774647443e-04 7.186822580526619486e-02 7.264388206447697227e-02 3.762342801226659650e-01 1.097746828383826517e-03 3.749701150231022351e-01 3.791817098589869151e-01 7.381503614107326472e-01 1.926414766297190190e-03 7.359728917788492808e-01 7.432503301192913137e-01
1.900950475237618781e-03 2.969831243219270833e-01 8.971716243269537349e-04 2.959533281011663686e-01 2.993393443626263806e-01 7.225530471049523840e-02 2.695812787554774880e-04 7.193667179998303185e-02 7.298295095759826934e-02 3.770386353139008606e-01 1.437931694810942436e-03 3.753226549688429836e-01 3.808864121751035503e-01 7.395522418326917480e-01 2.528024472452872207e-03 7.365730939512543651e-01 7.462908517767742334e-01
2.376188094047023639e-03 2.975049822498260776e-01 1.109483895985904044e-03 2.961417820689769553e-01 3.004221519713821120e-01 7.242025279660546655e-02 3.419642279102363047e-04 7.197159794788106357e-02 7.331185366291535777e-02 3.779229757568801640e-01 1.764921944205918337e-03 3.757178493473692371e-01 3.825800903107526296e-01 7.410794675636960260e-01 3.124585583505731616e-03 7.371742579176898680e-01 7.493089639809171754e-01
2.851425712856428280e-03 2.980110521893851727e-01 1.286721119789782913e-03 2.963806825826981739e-01 3.013598788556557384e-01 7.258472122752186728e-02 3.879371597598588618e-04 7.205055768515264414e-02 7.358468158178205210e-02 3.787574324088682776e-01 1.982190460983034724e-03 3.761247444418607810e-01 3.839004495251656102e-01 7.425422706183144594e-01 3.550822126732080045e-03 7.378790275377090646e-01 7.517675115816822018e-01
3.326663331665832921e-03 2.984910632830783950e-01 1.407703932618425795e-03 2.966536107748405926e-01 3.021264386767656407e-01 7.276051483090555105e-02 4.278667629494765446e-04 7.213791780373413065e-02 7.383655890282275758e-02 3.796293486895147562e-01 2.193449264055634222e-03 3.765749082908408929e-01 3.851968082214768385e-01 7.440261795312635984e-01 3.910191737372956458e-03 7.386671626795184853e-01 7.540157641687638135e-01
3.801900950475237562e-03 2.990292970615822110e-01 1.556636854359726759e-03 2.971440302025190605e-01 3.030309035354276648e-01 7.293207923298027084e-02 4.783281974728012726e-04 7.226853262797403032e-02 7.414402121627020059e-02 3.805655351737572412e-01 2.454789661039788635e-03 3.772479228599986412e-01 3.867790081065274332e-01 7.456253595366466591e-01 4.355043128492394958e-03 7.399262195086542260e-01 7.567287302187708509e-01
4.277138569284642637e-03 2.995937545948685887e-01 1.751377735835361101e-03 2.975208262108356427e-01 3.040246687672378822e-01 7.311968207523554530e-02 5.309034188899793396e-04 7.241220814962462393e-02 7.445311895210923736e-02 3.815625111797981139e-01 2.713480910456106659e-03 3.779466663255772740e-01 3.883693537373579252e-01 7.473243474673582076e-01 4.847104159586377616e-03 7.411104875469290976e-01 7.595380821952484318e-01
4.752376188094047278e-03 3.000844535398755064e-01 1.799493636253814708e-03 2.976977682623656585e-01 3.045537269501643052e-01 7.329606569635960245e-02 5.807569288370394893e-04 7.248643288157757825e-02 7.474346538226894765e-02 3.824454005799848288e-01 2.969844044394122189e-03 3.783290296310297118e-01 3.898629739714732922e-01 7.488294308869207772e-01 5.188544581805269555e-03 7.417259213828876208e-01 7.617798120058423272e-01
5.227613806903451919e-03 3.005870410857488517e-01 1.883705269959263986e-03 2.981523659180647656e-01 3.053351391463896003e-01 7.347656163839298704e-02 6.202629233693019231e-04 7.259819919099330665e-02 7.501204998966959359e-02 3.833492035401799836e-01 3.164704956337496995e-03 3.788631392374551266e-01 3.912014719840941623e-01 7.503701885208088340e-01 5.497546809935467509e-03 7.427961906523289359e-01 7.640968212026362227e-01
5.702851425712856560e-03 3.010757094914458531e-01 1.976939863497851821e-03 2.986265735179375880e-01 3.061014009165760053e-01 7.366322119231526189e-02 6.575863787305438225e-04 7.272507772374399437e-02 7.528817812589781722e-02 3.843024233453765648e-01 3.361300299459667358e-03 3.795165992781345254e-01 3.925782479083411158e-01 7.519507271700676121e-01 5.810103282012725294e-03 7.440164031939917599e-01 7.664427643445849148e-01
6.178089044522261201e-03 3.015694755002885641e-01 1.992039318603310970e-03 2.988931216793517254e-01 3.064314723248341421e-01 7.383574994848236817e-02 6.816817378795719589e-04 7.284214396451849094e-02 7.549962034781411424e-02 3.851955651500726940e-01 3.495107186209848223e-03 3.801194834990873628e-01 3.936652471086894978e-01 7.534646092302750287e-01 5.976437826992378466e-03 7.449743601738099130e-01 7.680195599198217371e-01
6.653326663331665843e-03 3.020395267673804951e-01 2.094715326117224836e-03 2.991527405731385092e-01 3.070967624812664942e-01 7.400793276546883959e-02 7.146801646007020815e-04 7.295767176300005374e-02 7.574110788245161374e-02 3.860560856322839407e-01 3.659397969535417225e-03 3.807144073608590418e-01 3.949065480587593546e-01 7.549229947293778498e-01 6.266778439381724339e-03 7.459162553129934370e-01 7.701024213883486125e-01
7.128564282141070484e-03 3.026022686530833172e-01 2.197544428740831959e-03 2.994645394774471669e-01 3.078688308236797178e-01 7.419483854004729761e-02 7.582229271748870160e-04 7.307586665581282392e-02 7.602063206102913084e-02 3.870617300591188137e-01 3.851008627541341756e-03 3.813230271545225980e-01 3.963431555326361599e-01 7.566269155949660874e-01 6.594182314018470596e-03 7.469250877842401604e-01 7.725146428925634412e-01
