# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000713851882006455e+00 7.914347131043473127e-04 1.000081436145981328e+00 1.002940161244546102e+00 1.000847866711392475e+00 9.317426138233396481e-04 1.000139549914284220e+00 1.003534573742466351e+00 1.000837016157352766e+00 9.197839968627251513e-04 1.000137768600566135e+00 1.003489228900694696e+00 1.000774581005072772e+00 8.527995472648872751e-04 1.000135676709722699e+00 1.003214774736441273e+00
9.504752376188093906e-04 1.002117674043367268e+00 1.691772877377981273e-03 1.000470222564392886e+00 1.006647876463410807e+00 1.002502623320960184e+00 1.786872116836014934e-03 1.000474708216746889e+00 1.007406524509785850e+00 1.002574722222923764e+00 1.929179295829661382e-03 1.000468645698198156e+00 1.007888461227355092e+00 1.002341582051566649e+00 1.781633160078626051e-03 1.000461526261605005e+00 1.007211965861917191e+00
1.425712856428214140e-03 1.003707582697108247e+00 2.324161396192016629e-03 1.001190671273634925e+00 1.009645299779466709e+00 1.004432576512316544e+00 2.822332445191567084e-03 1.001202041981603452e+00 1.012007771800256251e+00 1.004562050453749578e+00 2.931032239913950333e-03 1.001186674121439468e+00 1.012431817287653191e+00 1.004130712656728264e+00 2.620566666739177278e-03 1.001168627629671404e+00 1.011068371271519162e+00
1.900950475237618781e-03 1.005341140790897425e+00 3.037086859212804243e-03 1.001855095886071689e+00 1.013317368224962989e+00 1.006594469385800217e+00 3.755558506499512891e-03 1.002155568646664552e+00 1.016731367859039281e+00 1.006709714138028122e+00 3.839340772671681092e-03 1.002127971258544470e+00 1.016983447334583346e+00 1.006037737648860064e+00 3.438956543063039807e-03 1.001985102790590387e+00 1.015204494937355539e+00
2.376188094047023639e-03 1.007107723473878780e+00 3.755801977726201234e-03 1.002493046366988105e+00 1.016982866185929701e+00 1.008892374458369989e+00 4.763931200918873447e-03 1.002642127625994473e+00 1.021313337936734067e+00 1.009070941957058487e+00 4.712419098504993034e-03 1.003183157604378373e+00 1.021505642335532205e+00 1.008115274072103329e+00 4.250478646012280370e-03 1.002802886312211594e+00 1.019310134271639745e+00
2.851425712856428280e-03 1.008820860984698475e+00 4.355781768417764724e-03 1.003301767453576465e+00 1.020157239873789479e+00 1.011183597415802993e+00 5.404383817189647998e-03 1.003742122085365729e+00 1.025114125648108221e+00 1.011298977863468895e+00 5.292535579761032706e-03 1.004269585375682894e+00 1.025031059422284008e+00 1.010105174166310738e+00 4.830302522400027609e-03 1.003761608081928269e+00 1.022654579094153249e+00
3.326663331665832921e-03 1.010445784628517085e+00 4.765330288533039388e-03 1.004225678334603522e+00 1.022752182353429351e+00 1.013632592263010501e+00 5.960646335166430200e-03 1.004959142933334659e+00 1.028623048893801295e+00 1.013627032623457103e+00 5.856605861506240449e-03 1.005471542621641845e+00 1.028492394071708560e+00 1.012123785268024267e+00 5.319165066002056082e-03 1.004833734769101428e+00 1.025712952550997592e+00
3.801900950475237562e-03 1.012267802502861525e+00 5.269494940267273331e-03 1.005885836055733451e+00 1.025813958118933389e+00 1.016022669766161624e+00 6.663628643689930783e-03 1.006778748569577608e+00 1.032906331145544421e+00 1.016126691649506419e+00 6.554396198354918955e-03 1.007268521077081758e+00 1.032716937247933675e+00 1.014299203505851343e+00 5.924311344786543747e-03 1.006546472034039130e+00 1.029403491329574871e+00
4.277138569284642637e-03 1.014178592490467157e+00 5.928727751519930443e-03 1.007161358123565886e+00 1.029178031663878112e+00 1.018636180071209374e+00 7.396058287676763980e-03 1.008780303833361591e+00 1.037212396598342412e+00 1.018788661368360771e+00 7.245113194858695226e-03 1.009134196815863360e+00 1.036963229923115515e+00 1.016610393814557645e+00 6.593678481420720515e-03 1.008157471596481614e+00 1.033225147119125165e+00
4.752376188094047278e-03 1.015839696427885963e+00 6.091608704191267890e-03 1.007760338703170166e+00 1.030968988501517858e+00 1.021093394503078233e+00 8.090571549965848430e-03 1.009814334552280535e+00 1.041257236101485795e+00 1.021146014839411809e+00 7.929614020795018245e-03 1.010155123633106999e+00 1.040951261541321449e+00 1.018657809308339379e+00 7.058151348218735452e-03 1.008994666900583592e+00 1.036274647424175965e+00
5.227613806903451919e-03 1.017541045411500367e+00 6.376680187935000049e-03 1.009299233301389931e+00 1.033614208934748646e+00 1.023607898008742634e+00 8.640932741619422597e-03 1.011371360010443032e+00 1.044998909899068851e+00 1.023559208434115186e+00 8.449901213103239161e-03 1.011581219737966997e+00 1.044525110015863234e+00 1.020753753633274474e+00 7.478497450809450282e-03 1.010450590111411140e+00 1.039426552805028825e+00
5.702851425712856560e-03 1.019195275609170448e+00 6.692296009013315623e-03 1.010904511077749479e+00 1.036208142458555859e+00 1.026208267288050147e+00 9.160888804299221685e-03 1.013138915069027757e+00 1.048845673204307216e+00 1.026104347175138765e+00 8.974819412827296852e-03 1.013325986743622398e+00 1.048201162195441238e+00 1.022903813408668316e+00 7.903678510739559071e-03 1.012110486188290359e+00 1.042617818002643970e+00
6.178089044522261201e-03 1.020866762107762282e+00 6.743410372685304521e-03 1.011806824410480532e+00 1.037325493374970042e+00 1.028611779285732108e+00 9.496563193251728388e-03 1.014769774297807459e+00 1.051791291827443020e+00 1.028489075016469467e+00 9.332089676650062379e-03 1.014935714089543861e+00 1.051103497796512798e+00 1.024963197988646213e+00 8.129948975297247166e-03 1.013413627221779523e+00 1.044762785948809336e+00
6.653326663331665843e-03 1.022457969952206058e+00 7.090987073420625467e-03 1.012685680929504839e+00 1.039577619876608017e+00 1.031010471976826270e+00 9.956266933606992137e-03 1.016379201363097673e+00 1.055155474121956427e+00 1.030786702494182805e+00 9.770753283045448268e-03 1.016524186926868634e+00 1.054417825845583190e+00 1.026947088733810576e+00 8.524909055618165241e-03 1.014694918794337708e+00 1.047596172315727880e+00
7.128564282141070484e-03 1.024362952165033924e+00 7.439082028560493887e-03 1.013741176142812561e+00 1.042191209688832165e+00 1.033614271375925764e+00 1.056286466597507884e-02 1.018025783934324524e+00 1.059049547966680827e+00 1.033471817277235694e+00 1.028236215460406368e-02 1.018149228503808512e+00 1.058253630890206853e+00 1.029264989479403258e+00 8.970287535603293019e-03 1.016067267466453927e+00 1.050877598194168039e+00
7.603801900950475125e-03 1.025783531335457965e+00 7.707795212571092597e-03 1.014232659808463000e+00 1.043972462461063344e+00 1.035929918311095266e+00 1.077361343038016513e-02 1.019680395148511165e+00 1.061632727146707866e+00 1.035923671016284242e+00 1.064870268143748924e-02 1.019782088580942103e+00 1.061405359344097521e+00 1.031249688317155577e+00 9.271654925594528807e-03 1.017221795030287090e+00 1.053370852868740881e+00
8.079039519759880633e-03 1.027178811387314150e+00 7.773710060213577695e-03 1.015874158600838406e+00 1.045741076395079849e+00 1.038257790867656905e+00 1.106335782244572720e-02 1.021491952138565917e+00 1.064826337907780474e+00 1.038327507662682780e+00 1.098619024943616428e-02 1.021569710240934903e+00 1.064552143293342690e+00 1.033201756236033386e+00 9.484720024574941344e-03 1.018920573398125917e+00 1.055914068432127761e+00
8.554277138569285274e-03 1.028493844498527654e+00 7.779712150656685303e-03 1.016986338022126901e+00 1.046668471614487617e+00 1.040642051339780050e+00 1.122119681759252592e-02 1.023492864451040596e+00 1.067155993120274537e+00 1.040602462928500671e+00 1.124599198986863703e-02 1.023544038082298213e+00 1.067224244388621068e+00 1.035062781454033853e+00 9.621317930519332484e-03 1.020520420442278198e+00 1.057808806503500509e+00
