# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.015400000000000773e+02 0.000000000000000000e+00 5.015400000000000773e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
4.752376188094046953e-04 5.007054480281483961e+02 8.834249913788327913e-01 4.981576748277379352e+02 5.013929423838147272e+02 1.004595026389092638e+01 3.953502444353011215e-03 1.003915276352440955e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060171305527048702e+01 3.953502444353316526e-03 2.059491555490397374e+01 2.060699999999999932e+01
9.504752376188093906e-04 4.990142854420173535e+02 1.818783038881039094e+00 4.940032971705028899e+02 5.010252983433514942e+02 1.003809537457850709e+01 7.022053101831819341e-03 1.002404720715437669e+01 1.004821609734642962e+01 2.916580823926110622e+00 9.063333822019181696e-04 2.913861823779504867e+00 2.916882935053511261e+00 7.638728800762352833e+00 4.531666911008258363e-04 7.637369300689049290e+00 7.638879856326052042e+00 2.059340499926696921e+01 7.492112317568871797e-03 2.057678888725993360e+01 2.060397888872599381e+01
1.425712856428214140e-03 4.970216547427063460e+02 2.933903100099684913e+00 4.891503958363877018e+02 5.002900102624249143e+02 1.002872992962908860e+01 1.326281612822467933e-02 9.995346650051311954e+00 1.004368443043542136e+01 2.915976601671309343e+00 2.260792662930672346e-03 2.909330156868494388e+00 2.916882935053511261e+00 7.638426689634951749e+00 6.922235548007350326e-04 7.637369300689049290e+00 7.638879856326052042e+00 2.058313322093534481e+01 1.551981059088263296e-02 2.054204610760885430e+01 2.059793666617797925e+01
1.900950475237618781e-03 4.948488784635684397e+02 3.974468437269508492e+00 4.841504368860871637e+02 4.993709001612667748e+02 1.001709865122416332e+01 1.717256625231267445e-02 9.977219982407271814e+00 1.003613165225040404e+01 2.915825546107608801e+00 2.706382908471946340e-03 2.907819601231491191e+00 2.916882935053511261e+00 7.638124578507550666e+00 1.217848888866479877e-03 7.635858745052045649e+00 7.638879856326052042e+00 2.057104877583931923e+01 2.024144553584606224e-02 2.052089832869080510e+01 2.059038388799296371e+01
2.376188094047023639e-03 4.925033094854127853e+02 4.755495203768078660e+00 4.800328236328984417e+02 4.984885544641548449e+02 1.000229520598152710e+01 2.229490058170335159e-02 9.951540536578212581e+00 1.002857887406538673e+01 2.915372379416508064e+00 2.702164070507964439e-03 2.907819601231491191e+00 2.916882935053511261e+00 7.637520356252750275e+00 1.057388945902205989e-03 7.635858745052045649e+00 7.638879856326052042e+00 2.055518794165078589e+01 2.531296453488595527e-02 2.049521888286175297e+01 2.058283110980794461e+01
2.851425712856428280e-03 4.902606808385867225e+02 5.328373533971250353e+00 4.764666764404046830e+02 4.973120935346723854e+02 9.988247038557396706e+00 2.594508481130258434e-02 9.933413868934175994e+00 1.002404720715437669e+01 2.914919212725407327e+00 2.706382908471916850e-03 2.907819601231491191e+00 2.916882935053511261e+00 7.636916133997948108e+00 1.359500073302684917e-03 7.634348189415043784e+00 7.638879856326052042e+00 2.054008238528075125e+01 2.847747947322106649e-02 2.047709221521770928e+01 2.057829944289693813e+01
3.326663331665832921e-03 4.879298176220496543e+02 5.762796586870583937e+00 4.735255241166984774e+02 4.961723970092361924e+02 9.973896760005866113e+00 2.877043461422513007e-02 9.915287201290134078e+00 1.001347331769535209e+01 2.913559712652104228e+00 3.809476367506346977e-03 2.903287934320481156e+00 2.916882935053511261e+00 7.636916133997948108e+00 1.359500073302684917e-03 7.634348189415043784e+00 7.638879856326052042e+00 2.052437260665591978e+01 3.229234453749002531e-02 2.045443388066265911e+01 2.056772555343791353e+01
3.801900950475237562e-03 4.854261617064947245e+02 6.392843599452269210e+00 4.696284972877877522e+02 4.944444700190588833e+02 9.956978536871426755e+00 3.390650667700898652e-02 9.886586644187069339e+00 1.000440998387333380e+01 2.912653379269902310e+00 5.395877270887506315e-03 2.897245711772467036e+00 2.916882935053511261e+00 7.636462967306849592e+00 1.540470533888958164e-03 7.634348189415043784e+00 7.638879856326052042e+00 2.050609488344817422e+01 3.922677703167842811e-02 2.041818054537457883e+01 2.055866221961589346e+01
4.277138569284642637e-03 4.827938303767776347e+02 7.001518935683545664e+00 4.656947060548307036e+02 4.925694854126961673e+02 9.941117702682891633e+00 3.734128976343496081e-02 9.868459976543029200e+00 9.995346650051311954e+00 2.911595990323999850e+00 5.456849570851301720e-03 2.897245711772467036e+00 2.916882935053511261e+00 7.636160856179448508e+00 2.114777891804678692e-03 7.631327078141034725e+00 7.638879856326052042e+00 2.048887454918633466e+01 4.286785506470183749e-02 2.040005387773053513e+01 2.054959888579387339e+01
