# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000307512850234115e+00 6.608607354085984775e-04 9.995343243642572650e-01 1.002182731988246811e+00 1.000834201494485320e+00 8.856104995370441078e-04 1.000146638317380487e+00 1.003389090979505793e+00 1.000834201494485542e+00 8.856104995370082207e-04 1.000146638317380487e+00 1.003389090979505793e+00 1.000577304687650049e+00 7.589182179639808760e-04 1.000073518207880818e+00 1.002800679256310223e+00
9.504752376188093906e-04 1.001220642548552586e+00 1.287690586286188189e-03 1.000062428371472301e+00 1.004873619036962484e+00 1.002428172114118166e+00 1.553413838701827622e-03 1.000513516521391866e+00 1.006555712372807276e+00 1.002512747753812050e+00 1.859040559126440631e-03 1.000315669276677477e+00 1.007599316014458513e+00 1.001870541068865306e+00 1.519584889766346361e-03 1.000220153813131674e+00 1.006122114261028822e+00
1.425712856428214140e-03 1.002295284239724804e+00 1.817177449166388660e-03 1.000496119920315063e+00 1.006954672021542541e+00 1.004234110804473667e+00 2.286220636346831397e-03 1.001248485779782760e+00 1.009963298759442685e+00 1.004488689702784487e+00 2.957547625185722676e-03 1.001050493198058611e+00 1.012384983647177217e+00 1.003382802603837387e+00 2.283260185096558804e-03 1.000808118464530105e+00 1.009393518533910239e+00
1.900950475237618781e-03 1.003336788247503497e+00 2.538185065657998229e-03 1.000663363279014284e+00 1.010305341650737931e+00 1.006394278078827975e+00 3.242398964429037567e-03 1.002169479117784423e+00 1.014637907579644560e+00 1.006662818373359247e+00 4.000334533976644506e-03 1.001971304413588948e+00 1.017397884034316746e+00 1.005002507878843598e+00 3.154462319835205867e-03 1.001361396412147942e+00 1.013547767368556007e+00
2.376188094047023639e-03 1.004244214558309256e+00 2.927181410474182909e-03 1.000794855747448864e+00 1.012017714463272711e+00 1.008641483065389810e+00 4.081163392327142626e-03 1.003056028037885739e+00 1.018980283005519238e+00 1.008988223427212727e+00 4.836994222412090323e-03 1.002857678022454291e+00 1.021752071411867524e+00 1.006625212823755389e+00 3.760444709150145230e-03 1.001879595223884589e+00 1.016611715558722429e+00
2.851425712856428280e-03 1.005131432469681618e+00 3.315180507898606889e-03 1.001525147150379658e+00 1.013947642592572640e+00 1.010797826309498326e+00 4.736056603080438659e-03 1.004241761473572359e+00 1.022786487891418350e+00 1.011222930106884466e+00 5.486600564095499809e-03 1.004043176984453556e+00 1.025568629780312602e+00 1.008191578346827155e+00 4.259024848326154258e-03 1.002843096067620454e+00 1.019506588676758918e+00
3.326663331665832921e-03 1.006087343457730210e+00 3.586876752646328635e-03 1.001617053680952774e+00 1.015235667132086128e+00 1.012742040354548179e+00 4.812614341276495560e-03 1.005394459977833499e+00 1.024359031003206244e+00 1.013643514536436196e+00 5.976776497365890277e-03 1.005195647547543647e+00 1.028748695179187544e+00 1.009830326660542843e+00 4.570254917582565642e-03 1.003478299886980230e+00 1.021536253444160991e+00
3.801900950475237562e-03 1.006975419346239686e+00 3.825398184578018487e-03 1.002457534401477224e+00 1.016488386275201217e+00 1.015043373168225127e+00 5.031319323684266265e-03 1.007149695592243432e+00 1.026459682524862638e+00 1.016206701699755133e+00 6.657698380651153915e-03 1.006950536071659741e+00 1.032803855825976891e+00 1.011539399238629899e+00 4.954066083150242793e-03 1.004787227460081755e+00 1.023947842555539056e+00
4.277138569284642637e-03 1.008118646144114505e+00 4.342621087488916787e-03 1.003453781613118823e+00 1.018901024636658992e+00 1.017449942011106279e+00 5.658377653056102276e-03 1.009064751829181095e+00 1.030785893170037992e+00 1.018947149364921145e+00 7.363203852508557259e-03 1.008865213614463130e+00 1.037156805202870125e+00 1.013453529086995486e+00 5.536149698245442126e-03 1.006253986503751863e+00 1.027350604130962131e+00
