# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
1.257669180631637573e-01 2.074638381600379944e-02 9.992940425872802734e-01 4.842873811721801758e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
3.998642321676015854e-03 9.477372169494628906e-01 5.315009355545043945e-01 9.964730143547058105e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.385036949068307877e-02 1.895816326141357422e-01 8.862785696983337402e-01 9.990091323852539062e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.283942908048629761e-02 9.744485020637512207e-01 2.650122046470642090e-01 9.998208880424499512e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.662361741065979004e-01 2.249465137720108032e-01 9.167076349258422852e-01 4.983707144856452942e-02 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.817501485347747803e-01 4.359458684921264648e-01 8.305963873863220215e-01 9.990243911743164062e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.117663741111755371e-02 5.053415298461914062e-01 4.634923636913299561e-01 9.970510005950927734e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.540718790143728256e-03 4.968069195747375488e-01 8.732244372367858887e-01 9.992702603340148926e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.772375687956809998e-02 7.523634433746337891e-01 9.986991882324218750e-01 9.975656270980834961e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
8.417280763387680054e-02 4.356705248355865479e-01 8.292808532714843750e-01 9.933809041976928711e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
9.669122695922851562e-01 8.948426246643066406e-01 7.276690602302551270e-01 9.933801889419555664e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
3.332699462771415710e-02 5.853475928306579590e-01 9.983787536621093750e-01 9.878593087196350098e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.947308003902435303e-01 7.181265205144882202e-02 9.924415349960327148e-01 9.998625516891479492e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.420004516839981079e-01 7.272878289222717285e-02 9.995380640029907227e-01 9.974907636642456055e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
6.330937612801790237e-03 2.320684790611267090e-01 2.877954840660095215e-01 9.986039996147155762e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.272535443305969238e-02 4.901560842990875244e-01 1.177543625235557556e-01 8.909650444984436035e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.492959409952163696e-01 4.490682389587163925e-03 9.977303147315979004e-01 9.988703131675720215e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.860701888799667358e-01 2.572566270828247070e-02 5.513983368873596191e-01 9.995238780975341797e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.277280949056148529e-02 3.392036557197570801e-01 9.688679575920104980e-01 1.981808990240097046e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.250703930854797363e-01 4.320318996906280518e-01 3.091748356819152832e-01 9.999738931655883789e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.744194775819778442e-01 7.211584597826004028e-02 9.332510232925415039e-01 9.875872731208801270e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.756043478846549988e-02 8.176874518394470215e-01 9.980596899986267090e-01 2.564358711242675781e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
3.324422240257263184e-01 2.604864239692687988e-01 9.874597787857055664e-01 8.989183306694030762e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.081482529640197754e-01 7.501285057514905930e-03 7.951821684837341309e-01 5.623496770858764648e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.845824489369988441e-04 9.030224680900573730e-01 9.993814229965209961e-01 9.978138208389282227e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
6.181434988975524902e-01 1.075122207403182983e-01 9.984943866729736328e-01 9.851947426795959473e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.566040702164173126e-02 1.746431291103363037e-01 1.297843456268310547e-01 9.993397593498229980e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
6.884999573230743408e-02 1.260375678539276123e-01 6.581255793571472168e-01 9.721836447715759277e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.331499934196472168e-01 9.745314717292785645e-01 3.487945795059204102e-01 9.976443648338317871e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
3.803509175777435303e-01 7.821571081876754761e-02 6.696590781211853027e-01 9.640841484069824219e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.404796391725540161e-01 6.830112934112548828e-01 6.115318536758422852e-01 9.715920090675354004e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
9.064020514488220215e-01 5.396795272827148438e-01 9.085155129432678223e-01 9.990130662918090820e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
7.150573283433914185e-02 9.677948951721191406e-01 9.999979734420776367e-01 7.606501579284667969e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.716116011142730713e-01 5.935685709118843079e-02 9.825835824012756348e-01 9.921281337738037109e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.324921101331710815e-01 7.060186266899108887e-01 9.915511608123779297e-01 9.940755367279052734e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
8.939763903617858887e-02 1.870540678501129150e-01 9.983505010604858398e-01 9.998612403869628906e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.274877391755580902e-02 1.790088862180709839e-01 1.343146525323390961e-02 9.945462942123413086e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.756123006343841553e-01 1.061481833457946777e-01 2.820650339126586914e-01 9.841446876525878906e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.080473259091377258e-02 1.615274995565414429e-01 9.639614224433898926e-01 9.947744011878967285e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
7.901634089648723602e-03 9.088627696037292480e-01 4.296536743640899658e-01 9.997544884681701660e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.768264152109622955e-02 6.490942090749740601e-02 6.634252071380615234e-01 9.985998272895812988e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.107527405023574829e-01 2.170969396829605103e-01 8.736269474029541016e-01 8.295472264289855957e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.050474271178245544e-01 7.805917859077453613e-01 9.963645339012145996e-01 9.949230551719665527e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.007957966066896915e-03 8.398617058992385864e-02 9.999666213989257812e-01 4.552336633205413818e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
7.906645769253373146e-04 8.521704077720642090e-01 9.219301939010620117e-01 9.802950024604797363e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.604803096503019333e-03 1.100807785987854004e-01 9.772207140922546387e-01 9.636421203613281250e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
8.806223422288894653e-02 1.939897090196609497e-01 9.997934699058532715e-01 9.993548989295959473e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
1.392513215541839600e-01 6.923799514770507812e-01 9.467670321464538574e-01 3.786114752292633057e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.235814183950424194e-02 3.023276329040527344e-01 1.384742707014083862e-01 9.990466237068176270e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
7.435247302055358887e-01 7.845853269100189209e-02 8.854591250419616699e-01 1.562465727329254150e-02 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
8.060259744524955750e-03 4.073671251535415649e-02 9.987735152244567871e-01 9.706277847290039062e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
5.573677271604537964e-02 3.203957155346870422e-02 4.477867111563682556e-02 9.927873015403747559e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
6.189343333244323730e-01 2.844872176647186279e-01 1.273383200168609619e-01 9.999339580535888672e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
2.011148780584335327e-01 3.792639672756195068e-01 8.896433115005493164e-01 4.706609547138214111e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
4.987759888172149658e-01 9.607651829719543457e-01 2.259467095136642456e-01 9.922278523445129395e-01 1.225480134877584045e-07 5.035185456677905659e-09 5.035185456677905659e-09 5.035185456677905659e-09
