# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 9.994740006011422206e-01 3.933349061707950970e-04 9.987977156597535044e-01 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.997434393783901641e-01 1.918524018223465607e-04 9.994135757220349303e-01 1.000000000000000000e+00
9.504752376188093906e-04 9.986925157799820818e-01 6.986257468692034459e-04 9.972948602344454683e-01 9.996994289149383484e-01 9.998964267219058177e-01 3.107198342827466103e-04 9.989642672190575112e-01 1.000000000000000000e+00 9.999802254300969029e-01 5.932370970932466223e-05 9.998022543009689178e-01 1.000000000000000000e+00 9.993402726872891995e-01 3.635712290759981666e-04 9.985339393050872703e-01 9.998533939305087603e-01
1.425712856428214140e-03 9.977607454162908951e-01 1.319520756792954283e-03 9.944394349263601107e-01 9.992485722873459819e-01 9.996892801657173422e-01 7.750714421075085951e-04 9.974106680476436670e-01 1.000000000000000000e+00 9.999406762902905976e-01 9.061846341618898671e-05 9.998022543009689178e-01 1.000000000000000000e+00 9.988418120510189624e-01 7.531329446732852335e-04 9.968479695059375700e-01 9.995601817915261700e-01
1.900950475237618781e-03 9.966035467388036917e-01 1.708502734129528416e-03 9.926360084159904229e-01 9.984971445746919638e-01 9.996374935266700845e-01 9.278339133697081865e-04 9.968928016571724227e-01 1.000000000000000000e+00 9.999011271504845144e-01 1.594276794205642326e-04 9.996045086019379466e-01 1.000000000000000000e+00 9.982553877730537817e-01 9.822606655915668786e-04 9.958217270194985593e-01 9.991936666177979598e-01
2.376188094047023639e-03 9.951307484220016653e-01 2.218125004808534258e-03 9.900811541929666060e-01 9.977457168620378347e-01 9.994821336095286446e-01 9.263875618849524984e-04 9.968928016571724227e-01 1.000000000000000000e+00 9.998220288708719039e-01 1.384219893217226429e-04 9.996045086019379466e-01 1.000000000000000000e+00 9.974857059082247179e-01 1.228367279802339892e-03 9.945755754288228001e-01 9.988271514440697496e-01
2.851425712856428280e-03 9.937330928764653848e-01 2.581282709063053345e-03 9.882777276825969182e-01 9.972948602344454683e-01 9.993267736923872047e-01 9.278339133697045002e-04 9.968928016571724227e-01 1.000000000000000000e+00 9.997429305912595154e-01 1.779711291279270950e-04 9.994067629029068645e-01 1.000000000000000000e+00 9.967526755607682976e-01 1.381932327520742076e-03 9.936959390118751401e-01 9.986072423398328901e-01
3.326663331665832921e-03 9.923053802224227615e-01 2.862377438426222994e-03 9.864743011722272303e-01 9.962428614367297985e-01 9.988606939409632179e-01 1.306009343647697224e-03 9.953392024857586895e-01 1.000000000000000000e+00 9.997429305912595154e-01 1.779711291279270950e-04 9.994067629029068645e-01 1.000000000000000000e+00 9.959903239994136737e-01 1.567057045542254385e-03 9.925963934906905095e-01 9.980941210966134403e-01
3.801900950475237562e-03 9.906221821460775567e-01 3.373366479494604650e-03 9.836188758641418728e-01 9.953411481815449546e-01 9.985499741066805601e-01 1.849877897409830680e-03 9.932677369238736009e-01 1.000000000000000000e+00 9.996836068815502241e-01 2.016618356176566997e-04 9.994067629029068645e-01 1.000000000000000000e+00 9.951033572789912407e-01 1.903565634574589998e-03 9.908371206567951894e-01 9.976543028881396102e-01
4.277138569284642637e-03 9.890441839495041076e-01 3.715093872365231743e-03 9.818154493537721850e-01 9.944394349263601107e-01 9.981874676333506446e-01 1.870781136011248668e-03 9.932677369238736009e-01 1.000000000000000000e+00 9.996440577417441409e-01 2.768439786434437138e-04 9.990112715048448111e-01 1.000000000000000000e+00 9.942677026828909970e-01 2.080256954661116164e-03 9.899574842398475294e-01 9.972144846796657802e-01
