# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000296276992519662e+00 6.464048436083200816e-04 9.995331363577639738e-01 1.002127809378603240e+00 1.000829365178609098e+00 8.804613796959401880e-04 1.000145790236281362e+00 1.003369395340676817e+00 1.000821653673308331e+00 8.722514650660943532e-04 1.000144437921343332e+00 1.003337991787504047e+00 1.000549391137655064e+00 7.265978009061991585e-04 1.000060483852735604e+00 1.002678029435825957e+00
9.504752376188093906e-04 1.001183640252714557e+00 1.257484784690983317e-03 1.000056769954344782e+00 1.004750151115387569e+00 1.002413754470992346e+00 1.543521156875305020e-03 1.000510544979288596e+00 1.006514377882418598e+00 1.002474685206639737e+00 1.830979314263829960e-03 1.000309446287141357e+00 1.007484025343473366e+00 1.001783261789406021e+00 1.452904704371473562e-03 1.000205671229938309e+00 1.005848880001079637e+00
1.425712856428214140e-03 1.002227673086558690e+00 1.770552692669097967e-03 1.000478967629943705e+00 1.006760577222426178e+00 1.004208503022122168e+00 2.270791757485920211e-03 1.001241253308215118e+00 1.009897099336288351e+00 1.004420253698215415e+00 2.912040237282974807e-03 1.001033220637157495e+00 1.012194228268370910e+00 1.003225144432672744e+00 2.177997502834764804e-03 1.000767485352145325e+00 1.008953672164405901e+00
1.900950475237618781e-03 1.003236781372506270e+00 2.473140019154529065e-03 1.000635503396445802e+00 1.010024695751922330e+00 1.006355766272867047e+00 3.220749570892895205e-03 1.002156894087804728e+00 1.014542001225048118e+00 1.006560752775907286e+00 3.937887532426197039e-03 1.001940151750531527e+00 1.017127006655478283e+00 1.004767919158098488e+00 3.008676756902514248e-03 1.001291575913546561e+00 1.012916561689344741e+00
2.376188094047023639e-03 1.004111190747611682e+00 2.850293684277390664e-03 1.000756974775745878e+00 1.011675497727594131e+00 1.008589156581987556e+00 4.054301736693774298e-03 1.003038276783527749e+00 1.018857878291711483e+00 1.008849678452311105e+00 4.760985746200779682e-03 1.002813128784616703e+00 1.021412018515853726e+00 1.006309468430338638e+00 3.584613268668385665e-03 1.001781918486006173e+00 1.015827524545271920e+00
2.851425712856428280e-03 1.004966395136486002e+00 3.228655438370663967e-03 1.001468350682042097e+00 1.013546627912463638e+00 1.010732139372960692e+00 4.705110717129130579e-03 1.004217079290537384e+00 1.022640583512707035e+00 1.011049079782252891e+00 5.399964557791916107e-03 1.003980655613612383e+00 1.025167237495472117e+00 1.007797270589370520e+00 4.059166403542428109e-03 1.002702684301456371e+00 1.018582672418753887e+00
3.326663331665832921e-03 1.005888460926624095e+00 3.493097675094459197e-03 1.001547985983452405e+00 1.014788809281810478e+00 1.012663274178380757e+00 4.779857309750782518e-03 1.005363016624785999e+00 1.024198479554653041e+00 1.013431865127400133e+00 5.881884520130653375e-03 1.005115594794534939e+00 1.028295688254326157e+00 1.009353530047432335e+00 4.353340052714828844e-03 1.003302279946751474e+00 1.020503320163907546e+00
3.801900950475237562e-03 1.006741245757897252e+00 3.722633004925343485e-03 1.002362766215486145e+00 1.015984930349110638e+00 1.014949732796593507e+00 4.995668086677583497e-03 1.007107912626137081e+00 1.026279415655086513e+00 1.015954206120947223e+00 6.550934019589555249e-03 1.006843674276156175e+00 1.032282729565966672e+00 1.010974062435315624e+00 4.713669237474200219e-03 1.004549954568805692e+00 1.022774608103661276e+00
4.277138569284642637e-03 1.007844801751489161e+00 4.228035897465480183e-03 1.003330095276007139e+00 1.018327109052004742e+00 1.017340493991984784e+00 5.618236429803105843e-03 1.009011626755831559e+00 1.030578178582875815e+00 1.018650825508902624e+00 7.244190149158111387e-03 1.008728944938623862e+00 1.036563453935988033e+00 1.012791591789806489e+00 5.267734359744881932e-03 1.005948825345195807e+00 1.026012063666549956e+00
4.752376188094047278e-03 1.008256198604504217e+00 4.354836895986145470e-03 1.003006768915680302e+00 1.019304438245381750e+00 1.019507949349794274e+00 6.111364080355097782e-03 1.010061404536020335e+00 1.034066292663360365e+00 1.021003607187402906e+00 7.887627288796399475e-03 1.009570319904543600e+00 1.040367709175174626e+00 1.014122036394894621e+00 5.677726353506985964e-03 1.006234044900174762e+00 1.028307318298084638e+00
5.227613806903451919e-03 1.008780635880414334e+00 4.181039707162134515e-03 1.003728064189203462e+00 1.019593754934049690e+00 1.021617021877224918e+00 6.306756200461586734e-03 1.011566787028771897e+00 1.036105269034815368e+00 1.023385560102636926e+00 8.403979008188724661e-03 1.011060714714606901e+00 1.044010560454358139e+00 1.015508860248219625e+00 5.808025249209381943e-03 1.007318831453373864e+00 1.030014857944341111e+00
5.702851425712856560e-03 1.009650192631291743e+00 4.492580970696850515e-03 1.004147061211488889e+00 1.021191073835369556e+00 1.024107636649129516e+00 7.016101687055739840e-03 1.012335681609881632e+00 1.040005050282338583e+00 1.025944996819018185e+00 8.912748566028914562e-03 1.012857931478598816e+00 1.047694252191193831e+00 1.017177023262887392e+00 6.215444764186851476e-03 1.008263720012467557e+00 1.032622391408362761e+00
6.178089044522261201e-03 1.010287013599300066e+00 4.101299483077706400e-03 1.005174860768366596e+00 1.020506385348928013e+00 1.026129582278099361e+00 7.297395522058704349e-03 1.014158991643025365e+00 1.042853778192946335e+00 1.028396441747787993e+00 9.079276714076879931e-03 1.014664766400151796e+00 1.050122095669576261e+00 1.018630105099785466e+00 6.090974696242408212e-03 1.009652318236926138e+00 1.033538355685437393e+00
6.653326663331665843e-03 1.010691642626580844e+00 4.400824655971347782e-03 1.005152408765956240e+00 1.021999733664896715e+00 1.027987549516800936e+00 7.204585405134267609e-03 1.015839042860993136e+00 1.043468610467421787e+00 1.030653020197208614e+00 9.505913572849475704e-03 1.016130058340807940e+00 1.053449742897644370e+00 1.019878691004791227e+00 6.377703463308541029e-03 1.010390793248982400e+00 1.035516180803244257e+00
7.128564282141070484e-03 1.011546088014018352e+00 4.512403045036907263e-03 1.005398194924974398e+00 1.022837952755238478e+00 1.030138240149175655e+00 7.147397217989557607e-03 1.017489004417419185e+00 1.044866974108520585e+00 1.033194261502429212e+00 9.877838212122591957e-03 1.017764637224238378e+00 1.056748529881799126e+00 1.021484374399937112e+00 6.557633558649614627e-03 1.011316746500831920e+00 1.037265681899733005e+00
7.603801900950475125e-03 1.012003828891528956e+00 4.681053495047235967e-03 1.005268730183696446e+00 1.023525242721376349e+00 1.032081596875606522e+00 7.466882029004423202e-03 1.019069734591121490e+00 1.047324163892750626e+00 1.035586795221138612e+00 1.013041339004743836e-02 1.019330558466817749e+00 1.059340071083090473e+00 1.022818010983491011e+00 6.725865964940369937e-03 1.012027646573185224e+00 1.038845099735280497e+00
8.079039519759880633e-03 1.012316954394128166e+00 4.629929931761111485e-03 1.005405221446947328e+00 1.023199716299684869e+00 1.034397415615333049e+00 7.598870091078699894e-03 1.020929740270013486e+00 1.049891209449608453e+00 1.037972088091577483e+00 1.036489691295812074e-02 1.021173048844071118e+00 1.062042097786915607e+00 1.024130152920568859e+00 6.749591594073534387e-03 1.013003371948661524e+00 1.039990482535506189e+00
8.554277138569285274e-03 1.012880994744934204e+00 4.637711956847398280e-03 1.006002410669587288e+00 1.023690313539129093e+00 1.036455538176044300e+00 7.751697610017561739e-03 1.022799967913755381e+00 1.052552723297618398e+00 1.040269726568492814e+00 1.065792562363130497e-02 1.023025566654299556e+00 1.064705850659328767e+00 1.025497045497468562e+00 6.891529252783672004e-03 1.014206195390665810e+00 1.041533770051622732e+00
9.029514757378689915e-03 1.013788327574426607e+00 4.914057650194048228e-03 1.007367659150538941e+00 1.025236319994003997e+00 1.038578103679042242e+00 7.778663652121241452e-03 1.024837692084029417e+00 1.054502172623778211e+00 1.042669261348227572e+00 1.102634059573746016e-02 1.025043882531062378e+00 1.068108354738615651e+00 1.027073775735850569e+00 7.102626602439260708e-03 1.015861228381936820e+00 1.043743573225753396e+00
9.504752376188094556e-03 1.014072121829018958e+00 5.279510425839357979e-03 1.007262851654296965e+00 1.025835522795230492e+00 1.040533326959284910e+00 8.152856825578739045e-03 1.025470891831546938e+00 1.056741676206730540e+00 1.044919832457460007e+00 1.138196715008967137e-02 1.026520385117925427e+00 1.070697833748782912e+00 1.028274206026128068e+00 7.322326109657039186e-03 1.016744162389773498e+00 1.045251060833444434e+00
9.979989994997499198e-03 1.014425872282892716e+00 5.152659496791946528e-03 1.008248253655654070e+00 1.025890030025989885e+00 1.042358474278314073e+00 8.564850402535047549e-03 1.026307148459523644e+00 1.059090271682785023e+00 1.047245113152448504e+00 1.176238915783798210e-02 1.028402958277565560e+00 1.073609454602184154e+00 1.029516961367792582e+00 7.476958588039454498e-03 1.017674429080665632e+00 1.046627283872826553e+00
1.045522761380690384e-02 1.014851274562909467e+00 4.976844169723580041e-03 1.008667584039755649e+00 1.026007130038048221e+00 1.044480537766805828e+00 8.581173333474323775e-03 1.028773549270634691e+00 1.061127886575312207e+00 1.049529046605965021e+00 1.189490644850819089e-02 1.030850015050756463e+00 1.076136419556012802e+00 1.030819190645287264e+00 7.418332338890102316e-03 1.019367035745693650e+00 1.047846525308240073e+00
