# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 7.285851780558227908e-02 3.577350298578781812e-02 1.058710298363811295e-02 1.222329162656400348e-01
2.004008016032063962e-03 1.773820981713186140e-01 1.889740959837079431e-02 1.506256015399422554e-01 2.122232916265640035e-01
4.008016032064127925e-03 2.329162656400384779e-01 1.463926270463062826e-02 2.045235803657362850e-01 2.555341674687199305e-01
6.012024048096191453e-03 2.625120307988449975e-01 1.575658067257641390e-02 2.391722810394610321e-01 2.872954764196342659e-01
8.016032064128255849e-03 2.870067372473532608e-01 1.373864552843538991e-02 2.651588065447545994e-01 3.089509143407122016e-01
1.002004008016032024e-02 3.086621751684311410e-01 1.651852777896049146e-02 2.733397497593840209e-01 3.334937439846005769e-01
1.202404809619238291e-02 3.307988450433109184e-01 1.676760191877691222e-02 3.094321462945139323e-01 3.565928777670837602e-01
1.402805611222444730e-02 3.602502406159769355e-01 2.054268678892859357e-02 3.349374398460057689e-01 3.979788257940327090e-01
1.603206412825651170e-02 3.807507218479307398e-01 1.771404297823732377e-02 3.614051973051010669e-01 4.124157844080846846e-01
1.803607214428857436e-02 3.988450433108758353e-01 2.106213230972497907e-02 3.739172281039461199e-01 4.408084696823869053e-01
2.004008016032064049e-02 4.158806544754571344e-01 2.101149311337609238e-02 3.782483156881616959e-01 4.518768046198267663e-01
2.204408817635270315e-02 4.307988450433108407e-01 2.422064853077625021e-02 3.931665062560154023e-01 4.701636188642925873e-01
2.404809619238476581e-02 4.441770933589990200e-01 2.408564726899364503e-02 3.999037536092396317e-01 4.894128970163618697e-01
2.605210420841683194e-02 4.657362848893166207e-01 2.255207179150356400e-02 4.128970163618864153e-01 5.004812319538017862e-01
2.805611222444889460e-02 4.749759384023099495e-01 1.864921289459147563e-02 4.350336862367661372e-01 5.072184793070260156e-01
3.006012024048096073e-02 4.877767083734360076e-01 1.505140927994195847e-02 4.615014436958613797e-01 5.149181905678537063e-01
3.206412825651302340e-02 5.017324350336862526e-01 1.777850866819919579e-02 4.730510105871029713e-01 5.279114533205004900e-01
3.406813627254508953e-02 5.114051973051010336e-01 1.577538240507691050e-02 4.894128970163618697e-01 5.370548604427334283e-01
3.607214428857714872e-02 5.188642925890277757e-01 1.500456228674116634e-02 5.019249278152069227e-01 5.471607314725698279e-01
3.807615230460921485e-02 5.303657362848893664e-01 1.467631228892483410e-02 5.043310875842156316e-01 5.582290664100095778e-01
4.008016032064128098e-02 5.386429258902790673e-01 1.594621460256415157e-02 5.057747834456207681e-01 5.587102983638113640e-01
4.208416833667334017e-02 5.509143407122232272e-01 1.458664778114836767e-02 5.144369586140519202e-01 5.688161693936477636e-01
4.408817635270540630e-02 5.606352261790181757e-01 1.210755113128885244e-02 5.307988450433108740e-01 5.745909528392685317e-01
4.609218436873747243e-02 5.665062560153993898e-01 1.296435668179613324e-02 5.341674687199230442e-01 5.827718960538980086e-01
4.809619238476953162e-02 5.726179018286814415e-01 1.288668728635883158e-02 5.433108758421558715e-01 5.899903753609239132e-01
5.010020040080159776e-02 5.858036573628488952e-01 1.313692721810094492e-02 5.582290664100095778e-01 6.025024061597690217e-01
5.210420841683366389e-02 5.929740134744946323e-01 1.423145362023061147e-02 5.635226179018286707e-01 6.159769008662174805e-01
