# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 4.705154148905344239e-03 3.821392208091595882e-03 2.557703043239508583e-04 1.154483838232637540e-02 7.248460785973598330e-02 9.071473913263780608e-02 0.000000000000000000e+00 2.131317222888342022e-01 3.532922188233176830e-01 4.384440281164599940e-01 0.000000000000000000e+00 1.067140224602092458e+00 4.381708500568833875e-01 5.458325676133095605e-01 0.000000000000000000e+00 1.356985206462570037e+00
1.497487437185929596e-02 7.318688147254703499e-03 2.750032387978697257e-03 2.927863081658094082e-03 1.399210300038130489e-02 1.103838868089314085e-01 1.374736258859955984e-01 0.000000000000000000e+00 3.519605034840390112e-01 5.289709472188539596e-01 6.434818561904077638e-01 0.000000000000000000e+00 1.664952718598702086e+00 6.461632054615306098e-01 7.865728578156512274e-01 0.000000000000000000e+00 2.034697559361771102e+00
1.994974874371859344e-02 1.121747133896057458e-02 4.637674893120061030e-03 5.599955858992237794e-03 2.133743206988684277e-02 2.336746468828629353e-01 1.489198674823884461e-01 0.000000000000000000e+00 4.688869794737030028e-01 1.265072618406643645e+00 7.253371034390028171e-01 0.000000000000000000e+00 2.218074594911694231e+00 1.568865245853786838e+00 8.620237323336312762e-01 0.000000000000000000e+00 2.710654131096050801e+00
2.492462311557788746e-02 1.057727287217687627e-02 2.732210389720295639e-03 7.691015770448931914e-03 1.659434250977085898e-02 3.871594345672876303e-01 1.627945146764312179e-01 0.000000000000000000e+00 5.858134554633669389e-01 1.774202003314581777e+00 7.631606731765497864e-01 0.000000000000000000e+00 2.771196471224685265e+00 2.192900460743376634e+00 9.265504972293716612e-01 0.000000000000000000e+00 3.386610702830330055e+00
2.989949748743718494e-02 1.319678899916414648e-02 2.843951439085192195e-03 9.975690944050846776e-03 2.001313140149090647e-02 4.315316282280964311e-01 1.770308262317777104e-01 4.300723175354047474e-03 7.027399314530308194e-01 2.225677314999614076e+00 7.744502615610582286e-01 6.440880989286744684e-01 3.324318347537676743e+00 2.675991081782007175e+00 9.325556742904799190e-01 7.209393442464043789e-01 4.062567274564609754e+00
3.487437185929648242e-02 1.260772967386417608e-02 3.239203586339714589e-03 9.020020610901166580e-03 2.159623402690042868e-02 4.952313027072156038e-01 1.227938381443128280e-01 3.346274095891363931e-01 7.572154005845148639e-01 2.425531050277725420e+00 4.656065365430128722e-01 1.614293226279986282e+00 3.174142753904803271e+00 2.937411953471043891e+00 5.592184799328929756e-01 1.941058154484800680e+00 3.745965984561706819e+00
3.984924623115577991e-02 1.333224640883826605e-02 3.220439687076791149e-03 1.033840351782399497e-02 2.270708612691849440e-02 5.236806944262130115e-01 8.690946062460568056e-02 3.823624435218807016e-01 6.622711790860826842e-01 2.617435664880178869e+00 4.687771267650435725e-01 1.808769403185797264e+00 3.132880505493836232e+00 3.137050656483574507e+00 5.341585610618828639e-01 2.210452374412104071e+00 3.828615820193026931e+00
4.482412060301507739e-02 1.360893843327110574e-02 3.298170749774102187e-03 1.022238720801310272e-02 2.295074967689986548e-02 5.206494179515391840e-01 9.910049141585079713e-02 3.981928894889635306e-01 7.449506831586202305e-01 2.508437384024676753e+00 4.661527170155743138e-01 1.883655487813528318e+00 3.523996735057379759e+00 3.038019362931951406e+00 5.639346178599397019e-01 2.301968807233358394e+00 4.306589295853947341e+00
4.979899497487437487e-02 1.490709396320767308e-02 3.902061115416067399e-03 1.075166195159386537e-02 2.584377884675973999e-02 5.329273646811756304e-01 1.238738619591405743e-01 4.138150936155787218e-01 8.276301872311576657e-01 2.606990007032942813e+00 5.649918500356789774e-01 1.957556482310461421e+00 3.915112964620922842e+00 3.166351570349241751e+00 7.018696989779974471e-01 2.392281385757433654e+00 4.784562771514867308e+00
5.477386934673367236e-02 1.543868342796589355e-02 4.095277208651843664e-03 1.172510540201957691e-02 2.710472146753855824e-02 5.532159775830984838e-01 1.160203989389755053e-01 4.297530062241182169e-01 8.439220965715404921e-01 2.725111234067951749e+00 5.294757293952724320e-01 2.153114597092232962e+00 3.749546934362007367e+00 3.300829507779535099e+00 6.546282434307779674e-01 2.631268123587893637e+00 4.585619757894699333e+00
