# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 3.823071694858893449e-02 3.767219492542437514e-02 5.173688845366063681e-03 8.576492017881130747e-02 nan nan nan nan nan nan nan nan nan nan nan nan
1.497487437185929596e-02 2.480108652075420708e-02 2.077519207923354122e-02 6.467390540322187978e-03 6.552481097364282192e-02 3.872389095003959114e-01 1.232344150448260595e-01 2.215078918442390798e-01 4.889066923471193093e-01 9.588290028883514893e-01 1.237649481396395912e-01 7.799834621236011456e-01 1.064041285227681710e+00 1.074683590942849154e+00 1.194027873804795054e-01 9.019704037250673156e-01 1.176280984195953172e+00
1.994974874371859344e-02 1.511316449790825120e-02 1.088098342100584162e-02 7.549966954218991118e-03 4.528470176847434331e-02 3.994727757235511101e-01 1.184537554420997257e-01 2.389441447262593832e-01 5.644553601193836867e-01 1.074215622389300018e+00 1.110285804810535459e-01 8.972518540381684282e-01 1.226274778755532813e+00 1.209097531300930672e+00 1.050029009495749149e-01 1.032189425840906782e+00 1.355832348229572881e+00
2.492462311557788746e-02 1.220962788611716296e-02 4.996724749112905518e-03 7.679399526304216302e-03 2.504459256330586470e-02 3.822309805603772426e-01 1.029614503101513590e-01 2.654781382125346312e-01 6.282096727499844047e-01 1.161546841055363766e+00 1.157857518421784859e-01 9.749550862183707922e-01 1.367819695952040115e+00 1.310890646417094629e+00 1.124244807937806456e-01 1.129383628749534019e+00 1.511875983795094136e+00
2.989949748743718494e-02 1.314087142868330602e-02 2.802957375435751949e-03 9.954449112203046096e-03 1.984874834302980187e-02 4.167177688062523866e-01 1.060125772718049919e-01 3.124488524879193152e-01 6.893560683863547700e-01 1.269172798112161882e+00 1.058566975231546581e-01 1.113832466511194053e+00 1.451503238781727489e+00 1.435895072168915432e+00 1.030939241058355244e-01 1.285001920959575106e+00 1.617261060977518206e+00
3.487437185929648242e-02 1.256181121425251589e-02 3.195069499221232529e-03 9.005833245237291826e-03 2.141884774339662678e-02 4.321720379209917917e-01 8.048079612032896235e-02 3.053307888186646002e-01 5.937926591050517455e-01 1.343934643717082933e+00 9.725896345687372324e-02 1.144093267774176415e+00 1.450943540981242119e+00 1.525724132417669576e+00 9.809345944197946088e-02 1.317747593559807751e+00 1.636823527347668561e+00
3.984924623115577991e-02 1.328769895026781986e-02 3.175171740344331049e-03 1.032111332194709553e-02 2.252633674891440368e-02 4.339272674180987832e-01 5.053437149021111630e-02 3.447770237927629267e-01 5.095722868821171980e-01 1.427772143980090558e+00 9.138812336698899641e-02 1.252084933486031781e+00 1.518031992653826157e+00 1.618975347630152939e+00 8.671006125677985232e-02 1.448886472862630059e+00 1.715418325546136824e+00
4.482412060301507739e-02 1.356683540127222309e-02 3.256799550451869741e-03 1.020746199566617204e-02 2.278433927221277036e-02 4.385388494854847719e-01 5.734474310580842810e-02 3.602837873764860310e-01 5.584793657466532446e-01 1.466605590094660183e+00 9.363235907332549679e-02 1.316462749809062860e+00 1.631041507003089475e+00 1.672135700382832324e+00 9.264381884253165833e-02 1.524557867461374672e+00 1.839608197692243596e+00
4.979899497487437487e-02 1.485613307984585615e-02 3.848402594912179748e-03 1.073617002252837474e-02 2.563150424945677408e-02 4.506131157273583487e-01 7.051175898877742876e-02 3.753886264153339369e-01 6.065919929092968843e-01 1.533438307340385887e+00 1.075712021631402143e-01 1.377839333569878200e+00 1.738211690767965667e+00 1.750171708886942623e+00 1.105342374577754500e-01 1.596793867848194104e+00 1.956913008781918650e+00
5.477386934673367236e-02 1.538682341565774866e-02 4.038339824349426559e-03 1.170685011736261223e-02 2.688208979015705227e-02 4.701703592853100910e-01 6.617110323716154929e-02 3.905275132679431604e-01 6.254176829484702216e-01 1.610230628263540797e+00 1.042273928144340361e-01 1.478890208474452850e+00 1.786017318034258450e+00 1.836811269981054817e+00 1.052741229972593423e-01 1.709710506455080159e+00 2.017026000504630101e+00
5.974874371859296984e-02 1.629736103089404059e-02 3.629869697230486431e-03 1.244415295210078709e-02 2.645672425438722053e-02 4.834882565147801681e-01 6.707493830639249532e-02 3.618042882874012434e-01 6.238702805306003407e-01 1.679117763269789565e+00 1.051875123869665668e-01 1.554527043568728395e+00 1.858358915784608323e+00 1.912596124526287911e+00 1.057794232522384636e-01 1.776457236308253806e+00 2.099733128596698251e+00
6.472361809045226733e-02 1.624432902386735086e-02 2.999878196193209341e-03 1.296929464129708935e-02 2.450776683091729705e-02 4.970677855228177178e-01 6.685918908302097841e-02 3.896988051321146340e-01 6.646387053736031447e-01 1.746364836524603392e+00 1.055038037073322138e-01 1.613480357059828174e+00 1.952197152246748946e+00 1.989491168277357946e+00 1.115139869365433661e-01 1.804446998980973271e+00 2.202687140646496733e+00
6.969849246231155093e-02 1.754428847424862464e-02 4.398984570142000332e-03 1.446708741857101119e-02 3.009191347258364721e-02 5.099349715364783764e-01 7.541645693636664372e-02 4.101103279624800368e-01 7.041782771707545407e-01 1.804615953729005851e+00 1.235200739176846030e-01 1.568885462454243873e+00 2.042056177256316385e+00 2.051729958701844492e+00 1.209453479310986374e-01 1.825046051510812228e+00 2.301501452505859913e+00
7.467336683417084842e-02 1.651901557354037639e-02 3.775678650397472184e-03 1.353291358650390505e-02 2.693866163377102788e-02 5.276926033719703257e-01 8.208751119577792354e-02 4.309854700847620124e-01 7.429003507860525435e-01 1.840359217512296919e+00 1.226205564165310236e-01 1.653557002284966826e+00 2.128436312588165791e+00 2.104378884745074174e+00 1.233437655828131807e-01 1.920091291699161262e+00 2.396334822111493068e+00
