# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.555519999999999072e+02 1.136868377216160297e-13 5.555520000000000209e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
4.752376188094046953e-04 5.555519999999999072e+02 1.136868377216160297e-13 5.555520000000000209e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
9.504752376188093906e-04 5.555288770498625581e+02 3.728463678171507756e-02 5.554595081994505108e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
1.425712856428214140e-03 5.554826311495878599e+02 9.972400567975522878e-02 5.552745245983518316e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
1.900950475237618781e-03 5.554225114792308204e+02 1.715467344513649239e-01 5.550895409972529251e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
2.376188094047023639e-03 5.553346442687087574e+02 2.533414407464060214e-01 5.548583114958794340e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
2.851425712856428280e-03 5.551496606676100782e+02 4.015944559703949479e-01 5.542571147923082435e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
3.326663331665832921e-03 5.550109229667857562e+02 4.876914689919491508e-01 5.539796393906600542e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560855156085854567e+00 2.307507245064677030e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239951261410979555e+00 2.307507245062013145e-04 9.239259009237459352e+00 9.240028178319146690e+00
3.801900950475237562e-03 5.548259393656870770e+02 6.280084282220198544e-01 5.534709344876383739e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560855156085854567e+00 2.307507245064677030e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239951261410979555e+00 2.307507245062013145e-04 9.239259009237459352e+00 9.240028178319146690e+00
4.277138569284642637e-03 5.545993344543410331e+02 7.943532706144995625e-01 5.529159836843418816e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598256434839703477e+00 2.307507245064677030e-04 1.597564182666183941e+00 1.598333351747872166e+00 7.560855156085854567e+00 2.307507245064677030e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239874344502810644e+00 3.076676326749350318e-04 9.239259009237459352e+00 9.240028178319146690e+00
4.752376188094047278e-03 5.543819787230498832e+02 9.658752708804135834e-01 5.524997705818695977e+02 5.554132622991758126e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598102601023365654e+00 3.524775539055966488e-04 1.597564182666183941e+00 1.598333351747872166e+00 7.560855156085854567e+00 2.307507245064677030e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239720510686471044e+00 5.102090488602527242e-04 9.238489840155770239e+00 9.240028178319146690e+00
5.227613806903451919e-03 5.541461246316489451e+02 1.090697572410981753e+00 5.519910656788478036e+02 5.553670163989011144e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598102601023365654e+00 3.524775539055966488e-04 1.597564182666183941e+00 1.598333351747872166e+00 7.560778239177684767e+00 3.076676326752903249e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239643593778302133e+00 5.159743058535898406e-04 9.238489840155770239e+00 9.240028178319146690e+00
