# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
1.022470146417617798e-01 2.315599620342254639e-01 7.036377191543579102e-01 9.653773903846740723e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.503295242786407471e-01 6.151384711265563965e-01 9.997424483299255371e-01 7.354090809822082520e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.113624155521392822e-01 4.487923979759216309e-01 9.941676855087280273e-01 8.912141323089599609e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.567078113555908203e-01 7.786395549774169922e-01 6.357412934303283691e-01 9.945547580718994141e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.899158596992492676e-01 9.980428218841552734e-01 9.983573555946350098e-01 1.289031803607940674e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.506826877593994141e-01 6.666183471679687500e-01 9.983897209167480469e-01 9.989437460899353027e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.693173408508300781e-02 8.683110475540161133e-01 9.631205797195434570e-01 9.971664547920227051e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.493435800075531006e-02 8.649188280105590820e-01 9.913840293884277344e-01 9.989302754402160645e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.267709821462631226e-02 9.451148509979248047e-01 9.245324134826660156e-01 9.846833348274230957e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.637804150581359863e-01 9.998947381973266602e-01 7.830176949501037598e-01 9.945536851882934570e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.091061234474182129e-01 9.230614304542541504e-01 7.646459341049194336e-01 9.997014403343200684e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.115169405937194824e-01 4.417704939842224121e-01 9.772623777389526367e-01 9.987370371818542480e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.669705063104629517e-01 6.016856431961059570e-01 9.977924823760986328e-01 9.670715928077697754e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.419672489166259766e-01 5.929663404822349548e-02 5.901414155960083008e-01 3.613128960132598877e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.555066823959350586e-01 9.469460844993591309e-01 9.975352287292480469e-01 9.578692317008972168e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.303356736898422241e-01 9.947611689567565918e-01 9.994682669639587402e-01 7.874172329902648926e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.002667367458343506e-01 5.081279873847961426e-01 3.387476801872253418e-01 8.132214546203613281e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
