# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.083470758341045607e-02 0.000000000000000000e+00 1.083470758341045607e-02 1.083470758341045607e-02 2.141317983879890696e-01 0.000000000000000000e+00 2.141317983879890696e-01 2.141317983879890696e-01 1.007575470019813180e+00 2.220446049250313081e-16 1.007575470019813402e+00 1.007575470019813402e+00 1.229501368731016342e+00 0.000000000000000000e+00 1.229501368731016342e+00 1.229501368731016342e+00
4.752376188094046953e-04 1.083470758341045607e-02 0.000000000000000000e+00 1.083470758341045607e-02 1.083470758341045607e-02 2.141317983879890696e-01 0.000000000000000000e+00 2.141317983879890696e-01 2.141317983879890696e-01 1.007575470019813180e+00 2.220446049250313081e-16 1.007575470019813402e+00 1.007575470019813402e+00 1.229501368731016342e+00 0.000000000000000000e+00 1.229501368731016342e+00 1.229501368731016342e+00
9.504752376188093906e-04 1.083493305477730567e-02 3.635644484383401817e-07 1.083470758341045607e-02 1.083560948013866619e-02 2.141362423535598247e-01 7.165734081231722086e-06 2.141317983879890696e-01 2.141495744716141736e-01 1.007596159209678266e+00 3.336056918927126941e-05 1.007575470019813402e+00 1.007658227798834405e+00 1.229526539803234897e+00 4.058744121338305188e-05 1.229501368731016342e+00 1.229602054256631716e+00
1.425712856428214140e-03 1.083538411578232642e-02 9.726126108743463884e-07 1.083470758341045607e-02 1.083741394947807836e-02 2.141451326094377383e-01 1.916985966483976059e-05 2.141317983879890696e-01 2.141851399239921017e-01 1.007637548297737107e+00 8.924641117530092568e-05 1.007575470019813402e+00 1.007823804551517544e+00 1.229576894936992293e+00 1.085797210456760389e-04 1.229501368731016342e+00 1.229803499537612810e+00
1.900950475237618781e-03 1.083597068951439382e-02 1.673530143922733890e-06 1.083470758341045607e-02 1.083921932062032779e-02 2.141566937636935619e-01 3.298467994114518429e-05 2.141317983879890696e-01 2.142207231021351910e-01 1.007691371715426998e+00 1.535617066236107011e-04 1.007575470019813402e+00 1.007989462952937787e+00 1.229642377963726885e+00 1.868273978937130732e-04 1.229501368731016342e+00 1.230005043859179192e+00
2.376188094047023639e-03 1.083682824385224196e-02 2.472279342104087063e-06 1.083470758341045607e-02 1.084147730385316873e-02 2.141735958331572043e-01 4.872769775928352163e-05 2.141317983879890696e-01 2.142652270241118539e-01 1.007770059731546208e+00 2.268532817843114111e-04 1.007575470019813402e+00 1.008196650875519351e+00 1.229738111850514404e+00 2.759956833945054438e-04 1.229501368731016342e+00 1.230257113660644386e+00
2.851425712856428280e-03 1.083863460362109211e-02 3.921804392907260513e-06 1.083470758341045607e-02 1.084735467073789754e-02 2.142091984435441354e-01 7.729714333068289579e-05 2.141317983879890696e-01 2.143810671554486624e-01 1.007935807639932291e+00 3.598565163116586611e-04 1.007575470019813402e+00 1.008735937964082563e+00 1.229939764744025110e+00 4.378100159338742399e-04 1.229501368731016342e+00 1.230913221112350353e+00
3.326663331665832921e-03 1.083999001631885326e-02 4.764529636919394348e-06 1.083470758341045607e-02 1.085007052747290202e-02 2.142359130374646148e-01 9.390680527190149328e-05 2.141317983879890696e-01 2.144345952380911635e-01 1.008049981524941519e+00 4.161757865608290753e-04 1.007575470019813402e+00 1.008883179255658735e+00 1.230080910045436848e+00 5.108354534357715257e-04 1.229501368731016342e+00 1.231114744503716718e+00
3.801900950475237562e-03 1.084179874614459894e-02 6.139895653140645244e-06 1.083470758341045607e-02 1.085505490075414255e-02 2.142715622330476077e-01 1.210144267636744248e-04 2.141317983879890696e-01 2.145328342820040091e-01 1.008215939448325882e+00 5.417706584459572750e-04 1.007575470019813402e+00 1.009340468999343265e+00 1.230282818697927549e+00 6.637957070104759990e-04 1.229501368731016342e+00 1.231671098943177389e+00
4.277138569284642637e-03 1.084401626986974607e-02 7.772184779018299984e-06 1.083470758341045607e-02 1.086050024099050743e-02 2.143049601690974748e-01 1.424963524284719979e-04 2.141317983879890696e-01 2.146401582885596182e-01 1.008419404155632026e+00 6.918370137426379379e-04 1.007575470019813402e+00 1.009840040411077222e+00 1.230520189659138008e+00 8.330503122123140546e-04 1.229501368731016342e+00 1.232278892136052351e+00
4.752376188094047278e-03 1.084614555679638478e-02 9.456573711973187754e-06 1.083606051297056339e-02 1.086458962829151172e-02 2.143263015758181678e-01 1.527368679353836888e-04 2.141584641737230288e-01 2.146175755519278416e-01 1.008614771120443843e+00 8.480944850862789540e-04 1.007699614336103888e+00 1.010215206148837641e+00 1.230737530417876258e+00 1.000397104915310038e-03 1.229652406296258160e+00 1.232633546557592163e+00
5.227613806903451919e-03 1.084845654613550252e-02 1.068805266112714590e-05 1.083651160212994492e-02 1.086959404722354430e-02 2.143718390746428837e-01 1.765196594207216489e-04 2.141673549830023782e-01 2.147161613404457714e-01 1.008816619532285408e+00 9.661418529184199241e-04 1.007741005973276094e+00 1.010674310386725505e+00 1.230985329610760015e+00 1.142579125340502204e-03 1.229702764522119462e+00 1.233192056614993870e+00
5.702851425712856560e-03 1.085081352908606918e-02 1.155214555939546665e-05 1.083786520769029066e-02 1.087187107032283259e-02 2.144182869018670667e-01 1.963108032201616024e-04 2.141940340561623579e-01 2.147610179966880084e-01 1.009032877498035941e+00 1.047480487419884124e-03 1.007865211494682667e+00 1.010883201154860966e+00 1.231248425541735525e+00 1.243737593821087322e-03 1.229853876329779938e+00 1.233446175918218701e+00
6.178089044522261201e-03 1.085326334425525466e-02 1.254868534167013933e-05 1.083876789324967303e-02 1.087734176958885662e-02 2.144665612600846205e-01 2.158508615931973294e-04 2.142118256450037395e-01 2.148687887774705929e-01 1.009247426926597857e+00 1.119085189149983568e-03 1.007948040694343961e+00 1.011282865906181883e+00 1.231511684282253327e+00 1.335220057219402637e-03 1.229954648489294700e+00 1.233954806653168035e+00
6.653326663331665843e-03 1.084594880508452444e-02 2.696088905014057396e-05 1.077420747441911256e-02 1.088282073570291664e-02 2.145162289117699128e-01 2.406074623249504810e-04 2.142296216680474874e-01 2.149767219649635075e-01 1.009516554684912748e+00 1.291162575186129190e-03 1.008030890318772688e+00 1.011785430800379526e+00 1.231820960190970871e+00 1.517339541470347653e-03 1.230055445424173444e+00 1.234566192350190050e+00
7.128564282141070484e-03 1.084931292244736140e-02 2.822242918663350015e-05 1.077737250787277890e-02 1.089242888123368586e-02 2.145825739062468818e-01 2.840208328624376074e-04 2.142474221271357393e-01 2.151659970631600305e-01 1.009825463010923574e+00 1.481540743020858105e-03 1.008113760376364354e+00 1.012666725190432881e+00 1.232196761459280365e+00 1.753666187559372192e-03 1.230156267144570270e+00 1.235638307567775485e+00
7.603801900950475125e-03 1.085331800142309844e-02 2.867413771468342752e-05 1.078552399065962376e-02 1.090390039865865232e-02 2.146616370759391046e-01 3.446440430497751321e-04 2.142741311373840829e-01 2.153919777414312897e-01 1.010183407057695604e+00 1.769897559414158753e-03 1.008238103793309470e+00 1.013718893898256423e+00 1.232634443455056905e+00 2.103223518404879772e-03 1.230307546220236636e+00 1.236918284377277910e+00
8.079039519759880633e-03 1.085709922467036764e-02 2.947459154706106660e-05 1.079142268907461524e-02 1.091310375429552573e-02 2.147156318341851833e-01 4.031056989277378533e-04 2.142156794943541331e-01 2.155732758351206202e-01 1.010500136134001803e+00 1.948529025926030696e-03 1.008403966610418312e+00 1.014562994297927068e+00 1.233006146803574232e+00 2.338054742543047883e-03 1.230458205707334329e+00 1.237945134735884967e+00
8.554277138569285274e-03 1.086069870779924999e-02 2.987095674462460947e-05 1.079687624033550016e-02 1.091955998674129166e-02 2.147866549934680513e-01 4.310236711925059762e-04 2.142424023517646436e-01 2.157004572375789409e-01 1.010820589252810375e+00 2.067367215415556129e-03 1.008569911311543610e+00 1.015155120757154306e+00 1.233398233045312820e+00 2.485296679377167056e-03 1.230609621429434863e+00 1.238665453522797444e+00
9.029514757378689915e-03 1.086412172914857574e-02 3.057955077462448922e-05 1.080188259905236377e-02 1.092556533127463612e-02 2.148541905936080243e-01 4.621385267414981424e-04 2.142602231470530638e-01 2.158187560335483590e-01 1.011124817293407085e+00 2.213311419185748970e-03 1.008652914389670974e+00 1.015705881797807741e+00 1.233770575313187567e+00 2.663601537496567903e-03 1.230710596304138482e+00 1.239335448076977153e+00
9.504752376188094556e-03 1.086841302172291204e-02 3.092055126234079742e-05 1.080872068861698544e-02 1.093250690215049475e-02 2.149388661627383290e-01 4.895540473002021756e-04 2.143761668135484855e-01 2.159554968036274947e-01 1.011519068711109748e+00 2.347085068387391293e-03 1.009026682004610320e+00 1.016342490575877333e+00 1.234250188260509251e+00 2.824926701356792694e-03 1.231266944822879239e+00 1.240109871326969815e+00
9.979989994997499198e-03 1.087317244914669939e-02 3.230351805142041158e-05 1.081465754935963600e-02 1.094131858198425788e-02 2.150327487181348807e-01 5.299536037419354598e-04 2.144386760329246300e-01 2.161290754775260226e-01 1.011945888640081170e+00 2.514602165925130303e-03 1.009151363575859550e+00 1.017047795691347289e+00 1.234771678314985133e+00 3.033793479218001559e-03 1.231418634077580787e+00 1.240990417862638751e+00
1.045522761380690384e-02 1.087756923618451652e-02 3.301744759887227209e-05 1.082151994445118906e-02 1.094829024189277779e-02 2.151195064853241301e-01 5.638907425930541565e-04 2.144654824424313544e-01 2.162664073184196734e-01 1.012339506536558575e+00 2.648309156238244297e-03 1.009359268943611054e+00 1.017584211917661241e+00 1.235252780249378457e+00 3.201543052663695724e-03 1.231671574134968195e+00 1.241665539143714581e+00
1.093046523261630848e-02 1.088215789179377592e-02 3.468826758796834145e-05 1.082564365730122151e-02 1.095853949243403777e-02 2.151892043269102162e-01 5.636338953364127729e-04 2.145191254342579401e-01 2.163642328908395585e-01 1.012750525265565971e+00 2.804596618717629559e-03 1.009733822643043455e+00 1.018523894319570910e+00 1.235734538236443525e+00 3.358821892738201621e-03 1.232127259289140353e+00 1.242706032430956675e+00
1.140570285142571312e-02 1.088679563699066280e-02 3.559109422148591797e-05 1.083206770243366063e-02 1.096694668692754435e-02 2.152806793770358773e-01 5.919145313329277677e-04 2.146133121870094640e-01 2.165297610859046318e-01 1.013176470419481223e+00 2.947582371057207769e-03 1.009817113438668645e+00 1.019294664704065267e+00 1.236252687142805229e+00 3.530618028590112607e-03 1.232228591359914693e+00 1.243643593517702151e+00
1.188094047023511776e-02 1.089193881468013617e-02 3.458045261563873917e-05 1.084587211279735078e-02 1.097115754675414417e-02 2.153719291972243099e-01 6.338627919670283177e-04 2.145950062114907464e-01 2.166126677766366526e-01 1.013628880167456447e+00 3.080787380521302164e-03 1.010067109548626441e+00 1.019577646680881466e+00 1.236797348014845088e+00 3.702453094782883012e-03 1.232532737644804977e+00 1.244010423075812444e+00
1.235617808904452240e-02 1.089687431799101110e-02 3.633201411502340360e-05 1.085325607863103781e-02 1.098100177962782996e-02 2.154485964955446808e-01 6.905047568491456261e-04 2.146487982822875007e-01 2.168064876680101116e-01 1.014071934455156088e+00 3.307377664765067445e-03 1.010233876809613296e+00 1.020480029801579924e+00 1.237318145157910498e+00 3.986707935946068836e-03 1.232735626998135547e+00 1.245108085478028759e+00
1.283141570785392704e-02 1.090171928412802908e-02 3.808387308731610933e-05 1.085741619263557237e-02 1.099040191847399511e-02 2.155233442858157655e-01 7.109718582406655135e-04 2.147116068540441680e-01 2.169915625771461909e-01 1.014485880979517640e+00 3.445403541410692848e-03 1.010567659288873710e+00 1.021341673644235337e+00 1.237807968824585547e+00 4.145960622435725107e-03 1.233141706468054322e+00 1.246156184173230264e+00
1.330665332666333169e-02 1.090722212887462565e-02 3.997164299591911003e-05 1.086436035930322778e-02 1.100124197954566348e-02 2.156318516393595230e-01 7.557047531666161513e-04 2.147744705934994947e-01 2.172049857865821221e-01 1.014960406788475655e+00 3.663031173441866958e-03 1.011027150876929737e+00 1.022335267427452621e+00 1.238391939286485943e+00 4.409000786886158388e-03 1.233700721560326619e+00 1.247364775969495909e+00
1.378189094547273633e-02 1.091222198710354446e-02 4.144714870128677605e-05 1.087085361728778836e-02 1.100927484599980612e-02 2.157304428339890945e-01 7.914298961872468776e-04 2.148553765941772498e-01 2.173631387484715460e-01 1.015398958807372187e+00 3.829576486908631370e-03 1.011134041130118622e+00 1.023071529439942395e+00 1.238929908923126266e+00 4.612229056248969700e-03 1.233853198731821310e+00 1.248260346504646900e+00
1.425712856428214097e-02 1.091694908063892307e-02 4.270185177891677806e-05 1.087688556252260942e-02 1.101779944276479357e-02 2.158131891676971781e-01 7.996368118358714765e-04 2.149003638989038789e-01 2.174263434278060070e-01 1.015802099446210693e+00 3.952224553151098552e-03 1.011343217144683893e+00 1.023852837432051244e+00 1.239416755549869187e+00 4.744425732682634213e-03 1.234107684665534110e+00 1.249107533552649585e+00
1.473236618309154561e-02 1.092224343684287079e-02 4.457843232755682338e-05 1.087962366629033860e-02 1.102872085501962682e-02 2.159071904019664312e-01 8.404074304753446530e-04 2.149724024018875024e-01 2.176412606798616700e-01 1.016288050603336490e+00 4.124465017303354832e-03 1.011594399805223921e+00 1.024853785263873940e+00 1.239997652563450625e+00 4.958826331038910205e-03 1.234413275740489313e+00 1.250324944341136169e+00
1.520760380190095025e-02 1.092749252908210497e-02 4.533931648673559606e-05 1.088190699971368011e-02 1.103490821162386379e-02 2.160002778573844595e-01 8.587077426778987835e-04 2.150620668716667627e-01 2.177630179151353595e-01 1.016749569619397109e+00 4.261246128820125358e-03 1.011803861715997899e+00 1.025420838581601046e+00 1.240553257368706142e+00 5.113301413687970816e-03 1.234668108455834412e+00 1.251014622598765946e+00
1.568284142071035489e-02 1.093364648703960308e-02 4.786030611820980688e-05 1.088510608307126024e-02 1.104731423043416212e-02 2.161215709515335315e-01 9.075816345680726453e-04 2.151251174330877092e-01 2.180071466887812393e-01 1.017293772673079522e+00 4.478876190282873350e-03 1.012097327103839373e+00 1.026557774722067551e+00 1.241219736617678704e+00 5.381019347702680790e-03 1.235025139546457318e+00 1.252397409887493485e+00
