# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000020810101714064e+00 3.355553859123437563e-05 1.000000000000000000e+00 1.000083241446183102e+00 1.000020753412637298e+00 3.346412879922096664e-05 1.000000000000000000e+00 1.000083014684222560e+00 1.000020533637906439e+00 3.310974729133181975e-05 1.000000000000000000e+00 1.000082135563522101e+00 1.000020472585764209e+00 3.301130217954110048e-05 1.000000000000000000e+00 1.000081891348945096e+00
1.425712856428214140e-03 1.000062441221109211e+00 8.976823817235050614e-05 1.000000000000000000e+00 1.000249786719834333e+00 1.000062271094480426e+00 8.952364762810799154e-05 1.000000000000000000e+00 1.000249106094492468e+00 1.000061611541537498e+00 8.857541080629297969e-05 1.000000000000000000e+00 1.000246467425114361e+00 1.000061428321998402e+00 8.831199688514962626e-05 1.000000000000000000e+00 1.000245734420701194e+00
1.900950475237618781e-03 1.000116579621020074e+00 1.544601117326740926e-04 1.000000000000000000e+00 1.000416415226266453e+00 1.000116261927896266e+00 1.540391487367812398e-04 1.000000000000000000e+00 1.000415280284458364e+00 1.000115030287122231e+00 1.524071508218663277e-04 1.000000000000000000e+00 1.000410880321566776e+00 1.000114688146183983e+00 1.519537941519409044e-04 1.000000000000000000e+00 1.000409658045913863e+00
2.376188094047023639e-03 1.000195728442642595e+00 2.281814551128174304e-04 1.000000000000000000e+00 1.000624818011062844e+00 1.000195194947610888e+00 2.275593729007864834e-04 1.000000000000000000e+00 1.000623114535660996e+00 1.000193126686310885e+00 2.251476822673786926e-04 1.000000000000000000e+00 1.000616510498904876e+00 1.000192552139850033e+00 2.244777357827100407e-04 1.000000000000000000e+00 1.000614675956325250e+00
2.851425712856428280e-03 1.000362448195339038e+00 3.619667963085878323e-04 1.000000000000000000e+00 1.001167275372231380e+00 1.000361459886563775e+00 3.609792843127150141e-04 1.000000000000000000e+00 1.001164090384222050e+00 1.000357628416769451e+00 3.571509301478599735e-04 1.000000000000000000e+00 1.001151742950080470e+00 1.000356564070734589e+00 3.560874571337195441e-04 1.000000000000000000e+00 1.001148312980563171e+00
3.326663331665832921e-03 1.000487547344285577e+00 4.397469521203277573e-04 1.000000000000000000e+00 1.001417938042552525e+00 1.000486217601772809e+00 4.385467547503147626e-04 1.000000000000000000e+00 1.001414067655442164e+00 1.000470943883855046e+00 4.130467631895206704e-04 1.000000000000000000e+00 1.001297877205982401e+00 1.000471362886743876e+00 4.154818094778022137e-04 1.000000000000000000e+00 1.001312219582452201e+00
3.801900950475237562e-03 1.000654485843715857e+00 5.666877122316101327e-04 1.000000000000000000e+00 1.001877975680196986e+00 1.000652700094570857e+00 5.651399169796008509e-04 1.000000000000000000e+00 1.001872846055719135e+00 1.000635654050311629e+00 5.376973483042176739e-04 1.000000000000000000e+00 1.001751728810443831e+00 1.000635582836087334e+00 5.398901732786701765e-04 1.000000000000000000e+00 1.001764723706164428e+00
4.277138569284642637e-03 1.000859154378429761e+00 7.173414436139198243e-04 1.000000000000000000e+00 1.002380558716650993e+00 1.000808669158023134e+00 6.654609614321890581e-04 1.000000000000000000e+00 1.002374051422523671e+00 1.000837589005419526e+00 6.866354276460520352e-04 1.000000000000000000e+00 1.002247544187652606e+00 1.000828645623366153e+00 6.775513500014284252e-04 1.000000000000000000e+00 1.002259064914992948e+00
