# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
0.000000000000000000e+00 3.468083468083468096e-02 7.739806287572242177e-03 1.678601678601678721e-02 4.550704550704550572e-02 2.743512743512743074e-02 7.318009701857359876e-03 1.101101101101101092e-02 3.803803803803804118e-02 1.791021791021790710e-02 6.217030276819654130e-03 6.314006314006313618e-03 2.587202587202587153e-02 8.408408408408406948e-03 3.773915092428022349e-03 2.310002310002310082e-03 1.439901439901439956e-02 3.711403711403711385e-03 1.917533831218711611e-03 7.700007700007700275e-04 6.699006699006699282e-03 3.619003619003618522e-04 3.546185859604052094e-04 0.000000000000000000e+00 1.001001001001000992e-03
2.004008016032063962e-03 1.190344190344190256e-01 7.726331380566944622e-03 1.087241087241087173e-01 1.331331331331331302e-01 1.273427273427273076e-01 9.785907038586526274e-03 1.137291137291137344e-01 1.485331485331485291e-01 1.277739277739277646e-01 1.234401296617756473e-02 1.067991067991067994e-01 1.518441518441518423e-01 9.350139410259650230e-02 1.285407913256886477e-02 7.199507199507199084e-02 1.192731192731192741e-01 5.363825363825364123e-02 9.417912122867190886e-03 3.965503965503965750e-02 7.207207207207207145e-02 1.718641718641718968e-02 5.268268515297843888e-03 1.008701008701008706e-02 2.702702702702702853e-02
4.008016032064127925e-03 1.629937629937629751e-01 5.085597149457554700e-03 1.546931546931546997e-01 1.700161700161700040e-01 1.788018788018788108e-01 6.889717160113151100e-03 1.690151690151690256e-01 1.908061908061907952e-01 1.884815908864004852e-01 8.722823921646413042e-03 1.733311853552334525e-01 2.023562023562023582e-01 1.512666512666512586e-01 9.109161180018270423e-03 1.331331331331331302e-01 1.684761684761684752e-01 9.726689846930325345e-02 6.640962629059876492e-03 8.393008393008392909e-02 1.101101101101101126e-01 3.933163933163933562e-02 4.854157163263254048e-03 2.941402941402941271e-02 4.712404712404712204e-02
6.012024048096191453e-03 1.953029953029953025e-01 5.072102090101644235e-03 1.878801878801878711e-01 2.022022022022021970e-01 2.148225148225148262e-01 8.021948436212303357e-03 2.050512050512050544e-01 2.284592284592284472e-01 2.337260337260337606e-01 1.090247132936579717e-02 2.205282205282205199e-01 2.563332563332563208e-01 1.970976989013061009e-01 1.066373310620079978e-02 1.821821821821821841e-01 2.161392161392161337e-01 1.342810360846433126e-01 8.834567503043403575e-03 1.225071225071225067e-01 1.483791483791483679e-01 6.065296065296064965e-02 6.448088697098862399e-03 5.074305074305074381e-02 7.145607145607145438e-02
8.016032064128255849e-03 2.161084161084161348e-01 5.618494646694312603e-03 2.082082082082082064e-01 2.273042273042273076e-01 2.380619404667501104e-01 1.037356713299898529e-02 2.260722260722260735e-01 2.563332563332563208e-01 2.628551628551628605e-01 1.418892476338395187e-02 2.455532455532455638e-01 2.913682913682913433e-01 2.265342265342265571e-01 1.447789839786405020e-02 2.068992068992069056e-01 2.515592515592515732e-01 1.592130592130592270e-01 1.178453664937528095e-02 1.422961422961422917e-01 1.809501809501809499e-01 7.588357588357588779e-02 8.633508089117038209e-03 6.283206283206282938e-02 9.286209286209286262e-02
1.002004008016032024e-02 2.333795333795333771e-01 4.483421641126239358e-03 2.252252252252252285e-01 2.407792407792407885e-01 2.579040579040579040e-01 8.892972210112343179e-03 2.444752444752444631e-01 2.736582736582736652e-01 2.859089859089859464e-01 1.283582045396431531e-02 2.668052668052667831e-01 3.116963116963116787e-01 2.518990549050669214e-01 1.318842217647807694e-02 2.316932316932316938e-01 2.755062755062754887e-01 1.811811811811811779e-01 1.088727721083153355e-02 1.638561638561638611e-01 1.995841995841995953e-01 9.107569107569106481e-02 7.889468621356445638e-03 7.692307692307692735e-02 1.049511049511049482e-01
1.202404809619238291e-02 2.490182490182490382e-01 4.731966418201836652e-03 2.411642411642411776e-01 2.575652575652575549e-01 2.754831754831755242e-01 9.790344048682730893e-03 2.574882574882574882e-01 2.943712943712943897e-01 3.077154077154077294e-01 1.385338385096926590e-02 2.823592823592823708e-01 3.341033341033340931e-01 2.746361746361746237e-01 1.419585957716745263e-02 2.471702471702471593e-01 3.013783013783014053e-01 2.023408023408023448e-01 1.246273304212501196e-02 1.791791791791791655e-01 2.233772233772233773e-01 1.052899052899052973e-01 9.345741406955232825e-03 8.708708708708708113e-02 1.208131208131208167e-01
1.402805611222444730e-02 2.639254639254639545e-01 3.858034283005035408e-03 2.581042581042580775e-01 2.720412720412720420e-01 2.921921921921921683e-01 9.080659921321072858e-03 2.737352737352737320e-01 3.098483098483098552e-01 3.282051282051282048e-01 1.274802261466454270e-02 3.053053053053053079e-01 3.548933548933548843e-01 2.966427966427966356e-01 1.394081024697582660e-02 2.701932701932702185e-01 3.240163240163240199e-01 2.222068222068221688e-01 1.236501367678069334e-02 1.998921998921998899e-01 2.457072457072456972e-01 1.198583198583198783e-01 8.708650839316215558e-03 1.026411026411026411e-01 1.337491337491337473e-01
1.603206412825651170e-02 2.782012782012782126e-01 4.632820191419519291e-03 2.728882728882728870e-01 2.855162855162854951e-01 3.082313082313082875e-01 8.450245393668936317e-03 2.966042966042966023e-01 3.234773234773234973e-01 3.467544467544467213e-01 1.315638421720490524e-02 3.308693308693308466e-01 3.747593747593747637e-01 3.179179179179179027e-01 1.403628403368717935e-02 2.969122969122969247e-01 3.445753445753445554e-01 2.414568414568414867e-01 1.232250494534712498e-02 2.253022253022252952e-01 2.645722645722645705e-01 1.351213399309591778e-01 9.078237067774884081e-03 1.231231231231231238e-01 1.510741510741510640e-01
1.803607214428857436e-02 2.900284900284900713e-01 4.447939290087953371e-03 2.829752829752829602e-01 2.965272965272965355e-01 3.216080270188486634e-01 7.584802824672147274e-03 3.122353122353122568e-01 3.379533379533379289e-01 3.634865634865634965e-01 1.202223485164538412e-02 3.495803495803495586e-01 3.920073920073919860e-01 3.354816354816355095e-01 1.270456703008352763e-02 3.166243166243166152e-01 3.630553630553630673e-01 2.588126588126588024e-01 1.231802940845431321e-02 2.447062447062447188e-01 2.861322861322861399e-01 1.485408485408485357e-01 9.160449685337116246e-03 1.388311388311388450e-01 1.658581658581658458e-01
