# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.555519999999999072e+02 1.136868377216160297e-13 5.555520000000000209e+02 5.555520000000000209e+02 7.006516814972910012e+00 0.000000000000000000e+00 7.006516814972910012e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759904617304218633e+01 3.552713678800500929e-15 1.759904617304218988e+01 1.759904617304218988e+01
4.752376188094046953e-04 5.555488901030005309e+02 9.329690998640671751e-03 5.555209010300045520e+02 5.555520000000000209e+02 7.006516814972910012e+00 0.000000000000000000e+00 7.006516814972910012e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759904617304218633e+01 3.552713678800500929e-15 1.759904617304218988e+01 1.759904617304218988e+01
9.504752376188093906e-04 5.555240109270041557e+02 3.796113068425072123e-02 5.554276041200179179e+02 5.555520000000000209e+02 7.006516814972910012e+00 0.000000000000000000e+00 7.006516814972910012e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759904617304218633e+01 3.552713678800500929e-15 1.759904617304218988e+01 1.759904617304218988e+01
1.425712856428214140e-03 5.554773624720107819e+02 9.655716861685079144e-02 5.553032082400358149e+02 5.555520000000000209e+02 7.006418298144803991e+00 2.955504843209943891e-04 7.005531646691840031e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759894765621407942e+01 2.955504843207279464e-04 1.759806100476112078e+01 1.759904617304218988e+01
1.900950475237618781e-03 5.554089447380206366e+02 1.776728547395609592e-01 5.550544164800716089e+02 5.555520000000000209e+02 7.006418298144803991e+00 2.955504843209943891e-04 7.005531646691840031e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759894765621407942e+01 2.955504843207279464e-04 1.759806100476112078e+01 1.759904617304218988e+01
2.376188094047023639e-03 5.553218676220330963e+02 2.718982075240079510e-01 5.548056247201075166e+02 5.555520000000000209e+02 7.006122747660482375e+00 4.826319198792509177e-04 7.005531646691840031e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759865210572976224e+01 4.826319198788157189e-04 1.759806100476112078e+01 1.759904617304218988e+01
2.851425712856428280e-03 5.551539331840573368e+02 4.020797364432002197e-01 5.543391401701745735e+02 5.555520000000000209e+02 7.006024230832376354e+00 4.925841405349906665e-04 7.005531646691840031e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759855358890165533e+01 4.925841405345465773e-04 1.759806100476112078e+01 1.759904617304218988e+01
3.326663331665832921e-03 5.549984383340796512e+02 5.295598504885682400e-01 5.539970515002239608e+02 5.555520000000000209e+02 7.005827197176161647e+00 4.514608220272719801e-04 7.005531646691840031e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759835655524544151e+01 4.514608220268650249e-04 1.759806100476112078e+01 1.759904617304218988e+01
3.801900950475237562e-03 5.548242841021047980e+02 6.610561391985321222e-01 5.534683690103000799e+02 5.555520000000000209e+02 7.005630163519946052e+00 6.896177967492660718e-04 7.004546478410769161e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759815952158923125e+01 6.896177967483652083e-04 1.759707583648005169e+01 1.759904617304218988e+01
4.277138569284642637e-03 5.546003715181370808e+02 8.184643915697771277e-01 5.529707854903716679e+02 5.555520000000000209e+02 7.004743512066982980e+00 1.805843288109524204e-03 7.001590973567559217e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759727287013626551e+01 1.805843288108933097e-03 1.759412033163684086e+01 1.759904617304218988e+01
