# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 7.442656414964964051e-02 5.567536704703966721e-03 6.642843276613841219e-02 8.233197166660918831e-02 8.052637823382591264e-02 4.732403554912471833e-02 0.000000000000000000e+00 1.521266264436745563e-01 1.286609916391491804e-01 1.619211816324701569e-01 0.000000000000000000e+00 3.774852986719301473e-01 5.838919561770335998e-01 3.175869123329020383e-01 0.000000000000000000e+00 9.422654432352340903e-01
1.497487437185929596e-02 8.866618994685668276e-02 5.273488907209555529e-03 7.985088175544913236e-02 9.791129487189197123e-02 1.663957482482454342e-01 4.202212328588825901e-02 1.139038559804397416e-01 2.278077119608794832e-01 1.871549790912061251e-01 2.339925974852918034e-01 0.000000000000000000e+00 5.965943031518214923e-01 1.160965837812339307e+00 3.034893497646349858e-01 7.383107991579940244e-01 1.609400728415493198e+00
1.994974874371859344e-02 9.970473873567178846e-02 5.450638572367038151e-03 9.076794200536900115e-02 1.105506918117016846e-01 1.795592284836048380e-01 3.676847370521690861e-02 1.262435321956932588e-01 2.490408800412461099e-01 3.722031180759289848e-01 2.712393808254480176e-01 0.000000000000000000e+00 7.509058231240990366e-01 1.202744359070126112e+00 2.091470105698997606e-01 8.753118561430456301e-01 1.516084607307175203e+00
2.492462311557788746e-02 1.078987888529235190e-01 5.615088984613433171e-03 9.988522702720387114e-02 1.204356594094955213e-01 1.781591529570066834e-01 3.028905539054908141e-02 1.340567977438394121e-01 2.189138340159291762e-01 6.342301593659589454e-01 1.754200388144812883e-01 2.537634341952451633e-01 9.929891757157833787e-01 1.208609372982201613e+00 2.149506290812923659e-01 9.470755229525930075e-01 1.546567852742260829e+00
2.989949748743718494e-02 1.174937353862378631e-01 4.754657005165347991e-03 1.108978068944605488e-01 1.288576839079282887e-01 1.911246895960143077e-01 3.242690802215247164e-02 1.581306859833284673e-01 2.503336680403349113e-01 8.671294885874416547e-01 2.110228252952461303e-01 5.947134189630282064e-01 1.191186611997764544e+00 1.290015926392594992e+00 1.792343609358156564e-01 1.016166551002544827e+00 1.606700391622849500e+00
3.487437185929648242e-02 1.257099214043251867e-01 4.956834890176554237e-03 1.199822909585731567e-01 1.377809303266401553e-01 2.046576711764780954e-01 2.980961411235092881e-02 1.677689662461361308e-01 2.652660270148495814e-01 9.794779353778177988e-01 2.655235253786726868e-01 5.840962503565588770e-01 1.389384048279745709e+00 1.314474518093008637e+00 2.187207777829876243e-01 1.001713166319775583e+00 1.874033734094550541e+00
3.984924623115577991e-02 1.339107073646672863e-01 5.378648776016101835e-03 1.285653405966068197e-01 1.458978653100907186e-01 2.071082120406440574e-01 3.755101731084789507e-02 1.620172765389353842e-01 3.031065697734520170e-01 9.741718235760457034e-01 1.883816743677497185e-01 6.481274270444065122e-01 1.189496601591938152e+00 1.382016542394493452e+00 2.116665650649603714e-01 1.106379731159196300e+00 1.864712878504341420e+00
4.482412060301507739e-02 1.421120362456353425e-01 6.053782251587419040e-03 1.348156336007903799e-01 1.542671807251500271e-01 2.183486666782652463e-01 3.903259060693166360e-02 1.796491514021789637e-01 3.139889551316898397e-01 9.740263038561896014e-01 1.642503491575546537e-01 7.057514062966148138e-01 1.262736384628580399e+00 1.441494220939079973e+00 2.277703791523027210e-01 1.196344723067524596e+00 1.966695656623669519e+00
4.979899497487437487e-02 1.494076668002770059e-01 5.270188933252243149e-03 1.431924776376021780e-01 1.583661792633307419e-01 2.278032452059025881e-01 3.843020459747819445e-02 1.956051040919560002e-01 3.092788254424514993e-01 9.571169397418390901e-01 1.331272002073133620e-01 7.448832088210084468e-01 1.145449283852369327e+00 1.465159567148844211e+00 2.090688735156519540e-01 1.196758680164009547e+00 1.973639466367130613e+00
5.477386934673367236e-02 1.560822231998956755e-01 4.055533832657149881e-03 1.513457356450332025e-01 1.621751220680605066e-01 2.355041786509743107e-01 4.166669039943259045e-02 2.046051990446800528e-01 3.401754992252998822e-01 9.835554214485181523e-01 1.756515487341315795e-01 7.715149435230675978e-01 1.259878627042464672e+00 1.506412310629910767e+00 2.110590296951648237e-01 1.316313785447800422e+00 2.019554696074083111e+00
5.974874371859296984e-02 1.621781157221544034e-01 3.717030707305957801e-03 1.574793104123801135e-01 1.682118855935813562e-01 2.359124590916993058e-01 3.621161924163400492e-02 2.032445996190223592e-01 3.301872801900215260e-01 1.035982799289879575e+00 1.756855271082920500e-01 8.415883191274563524e-01 1.337698968709081671e+00 1.551260126390024086e+00 2.288207745427003614e-01 1.315854842896056143e+00 2.140466964302036867e+00
6.472361809045226733e-02 1.682275064623819649e-01 4.122727115764140103e-03 1.629251810910213316e-01 1.761495706779267201e-01 2.447584922569601140e-01 3.602201070033340252e-02 2.115722409851485963e-01 3.282061890443095931e-01 1.049193529565431993e+00 1.466359063727283585e-01 8.154150087612269671e-01 1.289284332985815684e+00 1.518587999680840683e+00 1.721785420056586580e-01 1.338695829524215286e+00 1.923966759157076600e+00
6.969849246231155093e-02 1.737812946938797898e-01 4.170863535546379293e-03 1.678451760548599903e-01 1.828230329213501315e-01 2.434421544584269292e-01 3.769469349896237970e-02 2.146658672434582915e-01 3.397998347763066529e-01 1.068992612850038881e+00 1.504209400881677816e-01 8.149845069979341217e-01 1.388383051126805823e+00 1.556460098465592079e+00 1.572611453338429999e-01 1.367614709336169909e+00 1.872683565698229025e+00
7.467336683417084842e-02 1.800589288504190200e-01 4.164481070819321153e-03 1.754254478358897029e-01 1.895908394861259560e-01 2.448433288833931909e-01 2.679642397766275261e-02 2.183595260311192443e-01 3.036036228711955220e-01 1.056176235834976218e+00 1.711932110554500452e-01 7.950924499532032730e-01 1.487481769267796627e+00 1.597998458153456314e+00 1.717263088917592717e-01 1.377130448929976714e+00 2.006350236934079767e+00
7.964824120603014590e-02 1.851368966206003719e-01 4.729570235574148511e-03 1.800144993244919556e-01 1.944648820958589930e-01 2.469996474208503712e-01 2.521956068679287802e-02 2.084176835445901710e-01 3.029154559211358344e-01 1.091733115537029120e+00 1.947436092325741108e-01 8.480629429177840573e-01 1.586580487408786988e+00 1.641919190958982755e+00 1.541171117586269956e-01 1.468039487728757031e+00 1.963814197932860273e+00
8.462311557788944338e-02 1.913556594195591765e-01 4.761252206519003827e-03 1.857979126761324651e-01 2.003743563169955444e-01 2.568172749114586706e-01 2.689684389330375403e-02 2.207774875213410481e-01 3.218357273004370245e-01 1.111757468271620919e+00 1.764934197860456577e-01 8.805497835717733812e-01 1.535319182562164375e+00 1.653570289883992572e+00 1.441443979864353575e-01 1.475360725811538654e+00 1.984633735048595415e+00
8.959798994974874087e-02 1.960094558843569756e-01 4.704600605398108135e-03 1.895196547125875264e-01 2.045765617973387962e-01 2.649783264610524602e-01 3.104475171585195648e-02 2.271280212471833149e-01 3.407559986797382701e-01 1.135666405418880531e+00 1.587952437541307327e-01 9.216553566843995737e-01 1.457265072408797657e+00 1.659060554703969625e+00 1.194748371655278557e-01 1.522541983560955714e+00 1.888480908319101426e+00
9.457286432160803835e-02 2.011199454143595133e-01 4.908448227496670091e-03 1.947099877940325630e-01 2.096664842396620543e-01 2.658490423753626652e-01 2.620835319105246572e-02 2.333887827039572982e-01 3.324169470084536449e-01 1.155441254836275133e+00 1.742260788667521765e-01 9.419383209158792569e-01 1.538178836945236938e+00 1.648582289445061688e+00 1.042174223220252854e-01 1.482581646822660248e+00 1.879000858833878018e+00
9.954773869346733584e-02 2.062473857187369364e-01 5.634925235855788722e-03 1.981746650626375339e-01 2.172447298982665143e-01 2.736598112054090537e-01 2.442895479653996171e-02 2.418016076916899570e-01 3.304661540932727348e-01 1.171672069683100892e+00 1.912660240185640459e-01 9.474197858530476468e-01 1.619092601481676441e+00 1.673400536361369095e+00 9.304899938264181436e-02 1.483647513940365981e+00 1.834817807691272895e+00
1.045226130653266333e-01 2.110299525905286466e-01 5.479331672856338833e-03 2.044250489789386505e-01 2.227605740820876312e-01 2.761214058354946599e-01 2.524523858800616083e-02 2.514117073429129601e-01 3.396629046249011186e-01 1.183816996217928130e+00 1.884092436544962113e-01 9.322927447907005671e-01 1.617956045633392570e+00 1.691057411852187942e+00 9.173983246322552076e-02 1.514711489578262738e+00 1.854624790888476760e+00
1.094974874371859308e-01 2.155473137246594617e-01 5.606918263737683400e-03 2.081844988856161038e-01 2.257756480388144193e-01 2.725603123238276582e-01 1.846003476976180654e-02 2.418528035818780786e-01 3.114328456091676744e-01 1.189027103752958947e+00 1.605101595808289539e-01 9.754501286197750920e-01 1.573840815661306625e+00 1.698134946936267653e+00 8.966949765221435276e-02 1.532071923723824503e+00 1.815852275223914347e+00
