# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
0.000000000000000000e+00 8.961448479300172798e-03 5.556775046698761086e-03 1.118909571762791155e-03 1.759739599226935181e-02 7.466178415217170072e-03 4.612530017733627169e-03 1.118909571762791155e-03 1.352863391313192942e-02 5.909876919947106011e-03 4.293568293011302932e-03 8.137524158274844766e-04 1.230800528939070271e-02 3.275353473705625018e-03 2.043920265707481476e-03 8.137524158274844766e-04 7.120333638490489170e-03 1.118909571762791155e-03 1.047261737461804365e-03 0.000000000000000000e+00 3.255009663309937906e-03 3.051571559353066787e-04 2.691233151321931454e-04 0.000000000000000000e+00 7.120333638490489170e-04
2.004008016032063962e-03 1.771437290204455339e-01 1.091680503297669073e-02 1.535957684874376949e-01 1.936730749669413054e-01 1.659414240952660768e-01 1.091552472316263851e-02 1.422032346658529123e-01 1.816702268334859094e-01 1.485169504913601002e-01 9.552309330970020634e-03 1.268436578171091567e-01 1.603092259180144419e-01 1.037432611128064341e-01 9.218962160493197541e-03 8.381649883023090108e-02 1.163665954633302801e-01 5.877326823314006632e-02 6.805878788093425169e-03 4.475638287051164621e-02 6.774488861763808267e-02 1.726172312074051793e-02 3.262645529392721282e-03 1.068050045773573375e-02 2.186959617536364531e-02
4.008016032064127925e-03 2.623944664835723417e-01 1.233254471638184011e-02 2.474824534635337303e-01 2.856270979554470513e-01 2.476757196622927371e-01 1.238973545690016595e-02 2.320211575628115253e-01 2.700640830027464245e-01 2.300681517648255903e-01 1.176171376503748998e-02 2.163564235581324491e-01 2.538907537381751567e-01 1.777438714271183107e-01 1.099734908333402199e-02 1.660054928288068332e-01 1.998779371376258884e-01 1.117383785983114552e-01 9.205686600104781223e-03 1.020242091343708662e-01 1.318278913640524852e-01 4.299664327128471103e-02 5.038544173200465957e-03 3.692401586817210812e-02 5.340250228867866877e-02
6.012024048096191453e-03 3.224290509612450784e-01 8.792998707445967912e-03 3.105482656901637495e-01 3.403519479198454101e-01 3.056454073848031694e-01 8.122353879026884826e-03 2.942732173736140600e-01 3.178720374326111098e-01 2.862780998881090389e-01 7.292511184045414978e-03 2.736242498219916830e-01 2.983419794527514823e-01 2.296816193673075213e-01 8.043398258180248228e-03 2.185942427016580314e-01 2.430068151764825657e-01 1.566371681415929529e-01 7.941444232645439999e-03 1.457634014850981707e-01 1.686501881802461578e-01 6.901637676736852023e-02 4.507256015633545956e-03 5.991252161529854459e-02 7.476350320415013628e-02
8.016032064128255849e-03 3.628318584070796549e-01 6.617056928323237358e-03 3.507272912216458094e-01 3.733089207608585314e-01 3.445631166717526561e-01 5.926162793144300681e-03 3.340453666971823776e-01 3.520496388973654578e-01 3.253789034686196957e-01 6.221481816840644663e-03 3.153290611331502347e-01 3.355711524768589249e-01 2.676717079770363772e-01 7.905088984375384376e-03 2.546847331118344826e-01 2.786084833689350115e-01 1.909876919947106066e-01 9.659368859432247365e-03 1.763808361306072603e-01 2.061845183602888931e-01 9.156749059098769072e-02 6.157624794543340406e-03 8.412165598616620776e-02 1.035499949140473996e-01
1.002004008016032024e-02 4.065201912318176514e-01 8.313160271657502043e-03 3.940596073644593855e-01 4.236598514901840917e-01 3.872139151663106515e-01 7.958051643252934265e-03 3.743261112806428592e-01 3.984335265995320730e-01 3.681110772047604396e-01 7.928796204269035822e-03 3.560166819245244585e-01 3.802258162953921494e-01 3.098464042315126066e-01 7.935709480790359774e-03 2.968161936730749906e-01 3.225511138236191733e-01 2.304851998779371414e-01 9.098762092211998276e-03 2.152375139863696440e-01 2.463635438917709253e-01 1.191740412979351016e-01 7.509346578664889520e-03 1.037534330180042708e-01 1.318278913640524852e-01
1.202404809619238291e-02 4.448682738276879545e-01 7.707492262933166374e-03 4.290509612450412180e-01 4.571254195910894325e-01 4.253810234648933708e-01 7.234128268841247267e-03 4.126741938765130513e-01 4.358661377275963589e-01 4.049435459261519488e-01 7.856767985892599074e-03 3.898891262333434859e-01 4.176584274234564353e-01 3.474010782219509319e-01 7.036437017952456782e-03 3.348591191130098621e-01 3.598820058997050375e-01 2.652425999389685374e-01 7.815995582437406525e-03 2.539924727901535784e-01 2.791170786288271755e-01 1.463737157969687841e-01 7.841476788445255267e-03 1.326416437798799697e-01 1.616315735937341180e-01
1.402805611222444730e-02 4.732987488556606448e-01 7.104185592207838164e-03 4.603804292543993704e-01 4.841826874173532635e-01 4.555691180958193476e-01 6.851523823335017339e-03 4.441053809378496808e-01 4.641440341776014722e-01 4.339029600244126428e-01 7.544927971178595760e-03 4.188790560471976621e-01 4.414606855864103285e-01 3.767877123385209859e-01 6.283043478531078786e-03 3.674092157461092412e-01 3.894822500254297437e-01 2.932967144746211341e-01 8.152793120764044790e-03 2.798291119926762383e-01 3.079035703387244527e-01 1.687112196114332607e-01 7.846515628762614977e-03 1.561387447868985978e-01 1.835011697690977495e-01
1.603206412825651170e-02 4.981385413487946501e-01 6.604347880023871478e-03 4.829620587936120368e-01 5.052385311768894383e-01 4.817109144542772725e-01 8.295318097416839662e-03 4.663818533211270267e-01 4.923202115756281083e-01 4.594344420709998711e-01 7.821269121184741546e-03 4.445122571457634231e-01 4.703488963482860274e-01 4.026446953514392635e-01 6.169275177523382385e-03 3.918217882209337755e-01 4.137931034482758563e-01 3.179330688637982405e-01 7.977290305579606486e-03 3.057674702471773198e-01 3.347574000610314404e-01 1.903468619672464557e-01 8.584636024319032555e-03 1.778049028583053581e-01 2.099481232834909950e-01
1.803607214428857436e-02 5.237208829213712002e-01 6.153296455386154072e-03 5.111382361916386730e-01 5.320923608991964260e-01 5.074254907944257820e-01 6.517524727016684935e-03 4.952700640830027257e-01 5.166310649984742209e-01 4.862170684569219192e-01 6.792213053873112638e-03 4.743159393754450281e-01 4.976096022785067574e-01 4.298443698504730293e-01 5.760711927148744887e-03 4.216254704506153805e-01 4.383073949750788123e-01 3.450818838368426844e-01 6.636768658197990389e-03 3.338419285932255343e-01 3.551012104567185523e-01 2.143016987081680091e-01 7.984368935560336167e-03 2.038449801647848614e-01 2.265283287559760050e-01
