# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 2.714285714285714635e-01 3.333333333333333981e-02 2.285714285714285643e-01 3.333333333333333148e-01
2.004008016032063962e-03 2.714285714285714635e-01 3.333333333333333981e-02 2.285714285714285643e-01 3.333333333333333148e-01
4.008016032064127925e-03 2.714285714285714635e-01 3.333333333333333981e-02 2.285714285714285643e-01 3.333333333333333148e-01
6.012024048096191453e-03 2.714285714285714635e-01 3.333333333333333981e-02 2.285714285714285643e-01 3.333333333333333148e-01
8.016032064128255849e-03 2.714285714285714635e-01 3.333333333333333981e-02 2.285714285714285643e-01 3.333333333333333148e-01
1.002004008016032024e-02 3.276190476190475875e-01 2.733847637029965250e-02 2.761904761904762085e-01 3.809523809523809312e-01
1.202404809619238291e-02 3.276190476190475875e-01 2.733847637029965250e-02 2.761904761904762085e-01 3.809523809523809312e-01
1.402805611222444730e-02 3.276190476190475875e-01 2.733847637029965250e-02 2.761904761904762085e-01 3.809523809523809312e-01
1.603206412825651170e-02 3.276190476190475875e-01 2.733847637029965250e-02 2.761904761904762085e-01 3.809523809523809312e-01
1.803607214428857436e-02 3.276190476190475875e-01 2.733847637029965250e-02 2.761904761904762085e-01 3.809523809523809312e-01
2.004008016032064049e-02 3.723809523809524236e-01 5.189383895552487219e-02 2.952380952380952439e-01 4.476190476190476386e-01
2.204408817635270315e-02 3.723809523809524236e-01 5.189383895552487219e-02 2.952380952380952439e-01 4.476190476190476386e-01
2.404809619238476581e-02 3.723809523809524236e-01 5.189383895552487219e-02 2.952380952380952439e-01 4.476190476190476386e-01
2.605210420841683194e-02 3.723809523809524236e-01 5.189383895552487219e-02 2.952380952380952439e-01 4.476190476190476386e-01
2.805611222444889460e-02 3.723809523809524236e-01 5.189383895552487219e-02 2.952380952380952439e-01 4.476190476190476386e-01
3.006012024048096073e-02 4.066666666666666208e-01 5.521345920242186345e-02 3.047619047619047894e-01 5.047619047619047450e-01
3.206412825651302340e-02 4.066666666666666208e-01 5.521345920242186345e-02 3.047619047619047894e-01 5.047619047619047450e-01
3.406813627254508953e-02 4.066666666666666208e-01 5.521345920242186345e-02 3.047619047619047894e-01 5.047619047619047450e-01
3.607214428857714872e-02 4.066666666666666208e-01 5.521345920242186345e-02 3.047619047619047894e-01 5.047619047619047450e-01
3.807615230460921485e-02 4.066666666666666208e-01 5.521345920242186345e-02 3.047619047619047894e-01 5.047619047619047450e-01
4.008016032064128098e-02 4.438095238095238204e-01 6.320251437347448875e-02 3.047619047619047894e-01 5.238095238095238360e-01
4.208416833667334017e-02 4.438095238095238204e-01 6.320251437347448875e-02 3.047619047619047894e-01 5.238095238095238360e-01
4.408817635270540630e-02 4.438095238095238204e-01 6.320251437347448875e-02 3.047619047619047894e-01 5.238095238095238360e-01
4.609218436873747243e-02 4.438095238095238204e-01 6.320251437347448875e-02 3.047619047619047894e-01 5.238095238095238360e-01
4.809619238476953162e-02 4.980952380952380909e-01 2.890283981998765378e-02 4.571428571428571286e-01 5.523809523809524169e-01
5.010020040080159776e-02 4.980952380952380909e-01 2.890283981998765378e-02 4.571428571428571286e-01 5.523809523809524169e-01
5.210420841683366389e-02 4.980952380952380909e-01 2.890283981998765378e-02 4.571428571428571286e-01 5.523809523809524169e-01
5.410821643286573002e-02 4.980952380952380909e-01 2.890283981998765378e-02 4.571428571428571286e-01 5.523809523809524169e-01
5.611222444889778921e-02 4.980952380952380909e-01 2.890283981998765378e-02 4.571428571428571286e-01 5.523809523809524169e-01
5.811623246492985534e-02 5.171428571428571264e-01 3.188698865292038942e-02 4.666666666666666741e-01 5.714285714285713969e-01
6.012024048096192147e-02 5.171428571428571264e-01 3.188698865292038942e-02 4.666666666666666741e-01 5.714285714285713969e-01
6.212424849699398066e-02 5.171428571428571264e-01 3.188698865292038942e-02 4.666666666666666741e-01 5.714285714285713969e-01
6.412825651302604679e-02 5.171428571428571264e-01 3.188698865292038942e-02 4.666666666666666741e-01 5.714285714285713969e-01
6.613226452905811292e-02 5.171428571428571264e-01 3.188698865292038942e-02 4.666666666666666741e-01 5.714285714285713969e-01
6.813627254509017905e-02 5.361904761904762173e-01 3.973837341909538384e-02 4.761904761904761640e-01 6.095238095238095788e-01
7.014028056112224518e-02 5.361904761904762173e-01 3.973837341909538384e-02 4.761904761904761640e-01 6.095238095238095788e-01
7.214428857715429744e-02 5.361904761904762173e-01 3.973837341909538384e-02 4.761904761904761640e-01 6.095238095238095788e-01
7.414829659318636357e-02 5.361904761904762173e-01 3.973837341909538384e-02 4.761904761904761640e-01 6.095238095238095788e-01
7.615230460921842970e-02 5.361904761904762173e-01 3.973837341909538384e-02 4.761904761904761640e-01 6.095238095238095788e-01
7.815631262525049583e-02 5.609523809523808691e-01 3.497974794706087270e-02 5.047619047619047450e-01 6.285714285714285587e-01
8.016032064128256196e-02 5.609523809523808691e-01 3.497974794706087270e-02 5.047619047619047450e-01 6.285714285714285587e-01
