# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 7.458586531257803062e-03 4.728064547518005464e-03 9.989178390077415280e-04 1.415133605260967230e-02
2.004008016032063962e-03 1.709980854074752421e-01 9.988887034792044359e-03 1.515025389161741565e-01 1.850495296761841268e-01
4.008016032064127925e-03 2.447681678181969356e-01 8.528113779159124733e-03 2.322483975692999358e-01 2.597186381420127921e-01
6.012024048096191453e-03 3.018230250561891870e-01 9.159455643169400058e-03 2.834429368184466780e-01 3.143261466744360355e-01
8.016032064128255849e-03 3.416881711479230477e-01 8.263747857581249176e-03 3.241488387580121477e-01 3.516190793307250595e-01
1.002004008016032024e-02 3.816948306001831659e-01 6.561234633040140263e-03 3.726795971031382493e-01 3.967368683925747153e-01
1.202404809619238291e-02 4.218763006742696220e-01 6.559750622729731105e-03 4.103055023724298533e-01 4.337800715891118042e-01
1.402805611222444730e-02 4.529509697827353021e-01 7.495402301871433200e-03 4.411887122284192109e-01 4.635811204528427765e-01
1.603206412825651170e-02 4.792391575792890879e-01 7.807342459644942868e-03 4.649130109048530968e-01 4.876383917422791869e-01
1.803607214428857436e-02 5.042204278698078079e-01 6.676163167084529955e-03 4.909681178723049877e-01 5.136102555564804328e-01
2.004008016032064049e-02 5.222758678098726737e-01 6.091379950755147418e-03 5.099475568134520520e-01 5.305086156663614272e-01
2.204408817635270315e-02 5.416299009406476683e-01 7.909080890888178089e-03 5.317572629651211580e-01 5.572296678598185338e-01
2.404809619238476581e-02 5.539665362523933378e-01 7.510248770999768987e-03 5.442437359527179108e-01 5.692166819279114165e-01
2.605210420841683194e-02 5.676433863314742645e-01 7.451675820293502880e-03 5.574793973195704133e-01 5.835345042870223597e-01
2.805611222444889460e-02 5.796886706068424822e-01 8.555501109914291288e-03 5.666361441771414764e-01 5.946890868226087923e-01
3.006012024048096073e-02 5.916090901523350931e-01 8.340282696499411175e-03 5.787896445517356492e-01 6.055939398984433453e-01
3.206412825651302340e-02 6.021143760925664612e-01 8.093854689500142030e-03 5.910263880795804114e-01 6.171647382002830584e-01
3.406813627254508953e-02 6.117705818696412834e-01 6.352472594323185784e-03 6.038458336801798554e-01 6.241571630733372400e-01
3.607214428857714872e-02 6.200782485640555786e-01 7.811384212911606957e-03 6.101723133272288768e-01 6.356447182219262526e-01
3.807615230460921485e-02 6.276034296179139327e-01 7.234514897080196634e-03 6.172479813535336479e-01 6.413052526429701139e-01
4.008016032064128098e-02 6.350536918338466341e-01 6.741097160877915738e-03 6.229917589278282097e-01 6.483809206692749960e-01
4.208416833667334017e-02 6.425871972030301471e-01 6.824232883961574465e-03 6.324814783984017419e-01 6.568717223008407879e-01
4.408817635270540630e-02 6.500624323649379921e-01 7.031243207418219274e-03 6.389744443519520534e-01 6.643636060933988396e-01
4.609218436873747243e-02 6.564638308499125552e-01 7.423632621058734275e-03 6.441355198534920445e-01 6.706068425871971606e-01
4.809619238476953162e-02 6.635394988762175483e-01 7.414012084401237941e-03 6.523765920253059569e-01 6.785149421460084929e-01
5.010020040080159776e-02 6.699492216765172703e-01 7.597820164512862455e-03 6.602846915841171782e-01 6.860900690918172451e-01
5.210420841683366389e-02 6.764921335220177578e-01 7.016667058164095805e-03 6.672771164571713598e-01 6.912511445933572363e-01
5.410821643286573002e-02 6.825772080246398366e-01 7.601681620627622968e-03 6.726046782652126410e-01 6.989927578456671675e-01
5.611222444889778921e-02 6.881045534004828212e-01 7.234859707024094387e-03 6.790976442187629525e-01 7.023224839756929683e-01
5.811623246492985534e-02 6.935986015150253925e-01 7.363777980660573749e-03 6.843419628735536442e-01 7.098976109215017205e-01
6.012024048096192147e-02 6.982185965204361633e-01 7.600792793346587521e-03 6.880046616165820250e-01 7.139765254307832709e-01
6.212424849699398066e-02 7.031299425622242749e-01 7.721721225268687351e-03 6.928327645051194361e-01 7.191376009323232621e-01
