# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
0.000000000000000000e+00 3.895839690774081931e-03 3.134548136504412830e-03 5.085952598921777978e-04 8.747838470145458123e-03 7.466178415217170072e-03 4.612530017733627169e-03 1.118909571762791155e-03 1.352863391313192942e-02 1.030413996541552218e-02 6.015553278887503241e-03 1.322347675719662274e-03 1.942833892788119188e-02 1.553249923710711168e-02 9.046026903230005092e-03 2.136100091547146751e-03 3.316041094496999242e-02 1.476960634726884325e-02 1.023890052139750546e-02 3.051571559353066787e-03 3.956871121961143267e-02
2.004008016032063962e-03 1.080327678039427336e-01 8.850050128944285735e-03 8.971620384498016354e-02 1.247075577255619960e-01 1.659414240952660768e-01 1.091552472316263851e-02 1.422032346658529123e-01 1.816702268334859094e-01 1.949852507374631450e-01 1.117025721070439258e-02 1.684467500762892866e-01 2.111687519072322217e-01 2.594853015969891818e-01 3.347907638546983311e-02 2.222561285728817115e-01 3.134981181975384223e-01 2.539924727901535784e-01 4.760790684023327030e-02 2.043535754246770531e-01 3.470654053504221292e-01
4.008016032064127925e-03 1.789441562404638364e-01 1.032754491514852220e-02 1.685484691282677361e-01 1.988607466178415328e-01 2.476757196622927371e-01 1.238973545690016595e-02 2.320211575628115253e-01 2.700640830027464245e-01 2.840342061398761220e-01 1.469419251020934354e-02 2.615196826365578375e-01 3.078018512867460310e-01 3.720476045163258472e-01 3.208104084464891148e-02 3.207201708880073054e-01 4.181670226833485993e-01 3.667276980978537715e-01 4.785924201711262704e-02 3.088190418065303589e-01 4.475638287051164621e-01
6.012024048096191453e-03 2.320109856576136609e-01 7.360053497963701605e-03 2.212389380530973559e-01 2.456515105279218902e-01 3.056454073848031694e-01 8.122353879026884826e-03 2.942732173736140600e-01 3.178720374326111098e-01 3.446648357237310778e-01 9.229365948822641774e-03 3.293662903061743696e-01 3.623232631471874909e-01 4.439538623580188137e-01 2.660587810643303547e-02 3.982406884769437161e-01 4.833689350015257791e-01 4.397416336079748578e-01 4.726628235011783030e-02 3.678160919540229834e-01 5.077815074763503134e-01
8.016032064128255849e-03 2.700132234767572692e-01 6.874921258017875278e-03 2.592818634930322275e-01 2.805411453565253010e-01 3.445631166717526561e-01 5.926162793144300681e-03 3.340453666971823776e-01 3.520496388973654578e-01 3.842945783745295163e-01 7.092670444414741690e-03 3.710711016173329213e-01 3.937544502085240650e-01 4.910080358051063243e-01 2.353614673537093513e-02 4.513274336283185639e-01 5.153087173227545170e-01 4.877123385210049844e-01 4.405001181647414527e-02 4.243718848540331545e-01 5.449089614484793342e-01
1.002004008016032024e-02 3.113315023903977519e-01 6.760461240964803394e-03 3.013935510121045769e-01 3.247889329671447278e-01 3.872139151663106515e-01 7.958051643252934265e-03 3.743261112806428592e-01 3.984335265995320730e-01 4.264266097039975389e-01 8.805345441570678472e-03 4.153188892279524036e-01 4.419692808463024924e-01 5.387142711829925323e-01 2.250449602373138722e-02 5.025938358254501415e-01 5.706438815990234614e-01 5.364459363238734957e-01 4.168013838317096570e-02 4.719764011799409964e-01 5.934289492421930268e-01
1.202404809619238291e-02 3.477164072830841168e-01 6.525766733586658985e-03 3.362831858407079877e-01 3.597802868477265603e-01 4.253810234648933708e-01 7.234128268841247267e-03 4.126741938765130513e-01 4.358661377275963589e-01 4.629132336486623811e-01 7.133755169486033151e-03 4.517343098362323062e-01 4.754348489472078332e-01 5.772149323568305235e-01 2.024925641283299022e-02 5.432814566168243653e-01 6.062455497914759350e-01 5.770521818736649156e-01 3.863709517273510030e-02 5.189706031939782527e-01 6.314718746821279538e-01
1.402805611222444730e-02 3.760655070694740587e-01 8.072860001890051762e-03 3.621198250432305921e-01 3.882616214016885170e-01 4.555691180958193476e-01 6.851523823335017339e-03 4.441053809378496808e-01 4.641440341776014722e-01 4.908045977011494254e-01 5.060346485754258286e-03 4.804190824941511617e-01 4.985250737463126636e-01 6.065710507578069288e-01 1.544353840561456075e-02 5.788831248092767279e-01 6.284203031227748593e-01 6.066931136201809682e-01 3.351985255928324747e-02 5.619977621808565083e-01 6.551724137931034253e-01
1.603206412825651170e-02 4.016681924524463376e-01 7.859769998860533305e-03 3.884650595056454159e-01 4.099277794730953328e-01 4.817109144542772725e-01 8.295318097416839662e-03 4.663818533211270267e-01 4.923202115756281083e-01 5.148611534940494838e-01 5.561195559940954394e-03 5.026955548774285631e-01 5.204963889736547999e-01 6.294273217373614893e-01 1.579729626097484824e-02 6.004475638287051220e-01 6.541552232733190975e-01 6.321635642355813989e-01 3.240203840910156619e-02 5.845793917200691192e-01 6.736852812531787249e-01
1.803607214428857436e-02 4.279625673888719506e-01 6.918697821164854558e-03 4.156240463838877242e-01 4.377987997151866484e-01 5.074254907944257820e-01 6.517524727016684935e-03 4.952700640830027257e-01 5.166310649984742209e-01 5.401688536262840845e-01 3.486516029161427447e-03 5.337198657308513949e-01 5.446038042925439582e-01 6.536771437290204156e-01 1.363096402482247803e-02 6.313701556301495321e-01 6.769402909164886628e-01 6.583358763096328614e-01 2.962059666886743617e-02 6.157054216254704837e-01 6.988098870918523220e-01
