# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 1.800351500893134209e-03 7.033983944881111667e-04 1.788361055160880343e-04 2.609170383018035756e-03 4.661557929841879389e-02 2.418609513982314385e-02 0.000000000000000000e+00 7.432428545248630225e-02 2.155597019011287752e-01 1.437644348065857114e-01 0.000000000000000000e+00 3.515917834446294910e-01 2.573765084687328897e-01 1.724193038547467416e-01 0.000000000000000000e+00 4.296716271129537024e-01
1.497487437185929596e-02 2.383728488959145197e-03 5.130176670507745861e-04 1.905561195770871796e-03 3.445429060435606025e-03 8.756341279956114665e-02 2.013071868716367549e-02 5.949636452690225397e-02 1.112996837429191810e-01 4.314038262928757139e-01 8.395601913562041052e-02 2.930191320412023903e-01 5.265042787261287049e-01 5.210350108662460400e-01 1.063089073487449854e-01 3.546900570548802145e-01 6.434278637168854287e-01
1.994974874371859344e-02 3.313999155862187070e-03 9.810209999644157238e-04 2.475852176597672424e-03 5.033661256495052666e-03 9.937766035357110950e-02 2.119975106368260018e-02 7.146541977519063615e-02 1.482750820333520458e-01 4.978329981010837235e-01 1.131174347969791660e-01 3.534163224926457625e-01 7.014167740076279189e-01 6.007024481391416426e-01 1.351903016222161802e-01 4.273716824460149777e-01 8.571841003208172660e-01
2.492462311557788746e-02 3.579228493182346794e-03 8.888027661904941397e-04 2.804892670469710369e-03 5.404337604262123354e-03 1.116458649707605943e-01 1.968083402871063578e-02 8.375328892874334130e-02 1.309918708550134037e-01 5.539472081342774468e-01 9.467795060296571585e-02 4.037601444034783493e-01 6.581037483066246585e-01 6.668459910510847743e-01 1.081272505315924032e-01 4.902169298415151033e-01 7.572691744856957508e-01
2.989949748743718494e-02 4.346624004478199382e-03 9.945273363408764153e-04 3.282881866420233816e-03 6.328707834094897573e-03 1.223849539671371944e-01 2.137052334608001772e-02 9.072333504108434643e-02 1.571374257232519833e-01 6.040374174496944137e-01 1.051922334007376475e-01 4.466857227988862422e-01 7.433401803944016395e-01 7.296294854866232082e-01 1.237437600399370341e-01 5.441092492850629903e-01 9.084176589092520793e-01
3.487437185929648242e-02 4.584164866872195501e-03 1.025216476522484033e-03 3.461245039287762226e-03 6.829328840703542333e-03 1.306587973617197029e-01 1.603448141598413923e-02 1.058184781823739984e-01 1.496499269951948319e-01 6.338420992796462983e-01 7.760848329206837537e-02 5.005753804296133591e-01 7.079204919936308293e-01 7.676950049526465314e-01 9.402207017962209423e-02 6.117407980774104415e-01 8.651321332980150824e-01
3.984924623115577991e-02 5.043027476702195352e-03 1.120248666146742922e-03 3.673606943107304759e-03 7.780359183976701641e-03 1.434714024863812665e-01 1.474333301811283845e-02 1.209136213236636642e-01 1.709976831515698792e-01 6.887292215356753955e-01 7.734439793141624497e-02 5.719831076090537980e-01 8.089062682290335538e-01 8.376995884691724736e-01 8.912961249786988116e-02 6.990064162469545872e-01 9.885443540422562680e-01
4.482412060301507739e-02 5.072743510353495792e-03 7.281504320337883014e-04 3.948400350148418420e-03 6.419715489934273156e-03 1.550906119889677026e-01 1.731173298846560779e-02 1.360087644649533301e-01 1.923454393079449265e-01 7.464425956508269344e-01 7.937628178058830919e-02 6.433908347884944590e-01 9.098920444644361671e-01 9.094727188817058883e-01 9.851684475376454309e-02 7.862720344164987329e-01 1.111956574786497676e+00
4.979899497487437487e-02 5.722639228393343151e-03 1.162395770276494159e-03 4.471527726275196547e-03 8.448434177173478471e-03 1.666389059428390329e-01 2.157691281212880882e-02 1.368269302692474709e-01 2.136931954643200016e-01 8.090326892242174495e-01 9.585235290762904314e-02 6.744465502889783748e-01 1.010877820699838781e+00 9.879700420263205496e-01 1.181779053345981961e-01 8.169363767348476468e-01 1.235368795530739083e+00
5.477386934673367236e-02 5.543626414612179074e-03 6.736525637430580476e-04 4.777592727882549149e-03 7.322508256148550429e-03 1.701319816987273970e-01 2.825997226035341370e-02 1.357009566887940610e-01 2.350409516206949934e-01 8.367029445234382967e-01 1.240246350648409462e-01 6.816175294753938907e-01 1.111863596935241727e+00 1.011945636631804923e+00 1.536385688040999287e-01 8.304392425384539145e-01 1.358781016274980269e+00
