# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 1.400849533726299632e-02 2.333340955578819612e-02 4.171333943088167615e-03 8.388036336597598508e-02 2.272598392918095678e-01 9.284378888903734028e-02 1.517186063140855412e-01 3.997444943798616479e-01 7.196383930595273704e-01 1.036527428917709132e-01 5.996510306815024949e-01 8.693346455720748489e-01 8.089543952517335157e-01 1.063488483837293636e-01 6.887514485120534991e-01 9.608099178158618914e-01
1.497487437185929596e-02 1.126568754897030664e-02 1.100771235711331571e-02 6.016185027580325459e-03 4.395184404078413681e-02 2.370840083416539401e-01 4.191349938719234752e-02 1.755100646513756968e-01 2.855678086754522282e-01 8.316375624334630956e-01 7.266129819373050303e-02 6.975271654809227506e-01 9.225126076858601865e-01 9.447362420730881505e-01 7.629138079921753135e-02 8.099762831922668882e-01 1.035061488560922616e+00
1.994974874371859344e-02 1.043291014975686326e-02 3.059738992114063860e-03 7.814149007261897081e-03 1.579177686677067649e-02 2.708464555949064434e-01 4.231313261692768585e-02 2.096561080398412769e-01 3.606268531015731638e-01 9.511011799660844535e-01 7.752627835928697919e-02 8.260960855797236935e-01 1.074178734114198619e+00 1.085621011091182142e+00 8.003530493427847559e-02 9.576992465261874310e-01 1.213359794526056801e+00
2.492462311557788746e-02 1.127294352004893155e-02 2.773725558152612125e-03 8.852352064374959320e-03 1.696322243883801803e-02 3.054197719248297194e-01 4.167792785925036880e-02 2.441315829706415530e-01 3.462974851992749459e-01 1.067345198139350915e+00 7.711007653216568614e-02 9.340358321871110592e-01 1.142574625112722897e+00 1.219019501203993494e+00 7.632285014319678540e-02 1.083291465533447129e+00 1.281812177953450593e+00
2.989949748743718494e-02 1.368238861206703093e-02 3.100847419848344350e-03 1.035821475180284494e-02 1.984874834302980187e-02 3.346480800648145015e-01 4.453308296996769805e-02 2.649428987722582951e-01 4.032293070874244933e-01 1.168359675335775894e+00 7.907402417087777691e-02 1.028959426323251769e+00 1.266566494512998853e+00 1.334613297421524347e+00 7.887612418803184589e-02 1.194711743800383585e+00 1.438638408435260141e+00
3.487437185929648242e-02 1.443311729193404169e-02 3.195421055864361252e-03 1.092208314560822770e-02 2.141884774339662678e-02 3.599538223065333331e-01 3.439242414210826049e-02 3.052197531495152161e-01 3.996469347469354116e-01 1.254087598557575012e+00 6.676757300743473011e-02 1.132149854154924196e+00 1.314437994638657736e+00 1.434790647221967586e+00 6.844090572802744021e-02 1.314238085416145507e+00 1.500691540785209499e+00
3.984924623115577991e-02 1.587270731764773429e-02 3.481203092024683868e-03 1.159262853333445538e-02 2.435761681776279011e-02 3.931983121678633841e-01 3.078023417679507170e-02 3.447866450951042050e-01 4.476258052108245677e-01 1.351019907448232749e+00 6.083456231122849611e-02 1.251806698642671689e+00 1.436222381788851310e+00 1.547503473573192290e+00 5.920054675988702803e-02 1.448229009982770821e+00 1.635214772134274908e+00
4.482412060301507739e-02 1.597870474874583252e-02 2.271158660274456322e-03 1.245906373527276567e-02 2.016510143520747894e-02 4.228142153606261888e-01 3.455938994085679117e-02 3.833116368012614572e-01 4.939015005429832628e-01 1.445667388167136469e+00 5.760442492896574590e-02 1.364717659834400409e+00 1.550540731940756922e+00 1.654654618779737962e+00 5.915084092002723809e-02 1.574479619287152410e+00 1.761252442143826702e+00
4.979899497487437487e-02 1.801046644834946447e-02 3.611631479179771946e-03 1.410511558611877644e-02 2.646878451428753484e-02 4.515366693650300078e-01 4.209851829151741581e-02 3.892886412320745171e-01 5.386610376048971416e-01 1.538578472463650204e+00 6.481270075541278874e-02 1.434981534128260128e+00 1.658627636927475724e+00 1.760234035803094343e+00 6.598759204228370201e-02 1.650128735054603002e+00 1.880170595114524446e+00
5.477386934673367236e-02 1.746413821872650970e-02 2.099116263134625897e-03 1.506916483361507228e-02 2.300396300488805057e-02 4.628567291818931895e-01 5.466723933497141114e-02 3.900537155401094802e-01 5.819860848703730660e-01 1.601012386867359139e+00 8.343190145510759326e-02 1.479717827985288281e+00 1.761234821577548182e+00 1.826995096701559351e+00 8.582298922190491341e-02 1.706770247124404838e+00 1.993008189798426644e+00
