# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 1.282426332976097615e-02 3.560172546536312099e-01 1.329033907230301903e+00 1.581538649383583905e+00 7.048531168882724886e-03 1.817062089681724044e-02 2.792863971963063796e-02 2.892886273449572429e-02 1.184573136227713014e-02 3.497684103143559042e-01 1.310543027624658574e+00 1.566882922262108790e+00 2.743469724164417783e-02 3.712091776462838055e-01 1.368650243092341512e+00 1.625733412761466212e+00
2.000000000000000000e+02 2.200000000000000000e+03 8.646973273887706424e-03 2.180767416267187786e-01 1.024343942123912665e+00 1.179041630244636485e+00 6.616970994864238096e-04 2.869846284691164595e-02 3.673834298863151715e-02 3.206544990689629698e-02 8.167952515355139664e-03 2.103133308672492374e-01 1.004207173874170245e+00 1.156739008228043097e+00 9.600085725069587225e-03 2.361549578264226790e-01 1.056901066982877335e+00 1.207858113225619645e+00
2.000000000000000000e+02 2.300000000000000000e+03 4.085742211399091654e-03 1.878201839577549326e-01 9.009780374272979842e-01 1.031089357047709321e+00 4.263197574598254756e-04 3.281071693993947713e-02 3.721916919188617001e-02 3.590893512329375314e-02 3.658744650891203147e-03 1.810319160754504386e-01 8.830720573816588370e-01 1.015532139668182898e+00 4.840298502870144653e-03 1.979294250032082869e-01 9.306031274232356987e-01 1.065857963792504082e+00
2.000000000000000000e+02 2.700000000000000000e+03 5.436544785663821946e-03 5.548068358585515197e-02 3.383059927770055153e-01 3.840584624725519869e-01 7.706255896090439227e-03 2.092121214168139037e-02 3.606245140698727952e-02 3.927808257933900621e-02 1.868092568384088076e-03 4.884017554134374717e-02 3.052168938769259099e-01 3.458176544891489179e-01 2.085961605689589521e-02 7.131947996926607525e-02 3.908226975381288160e-01 4.405026186605034422e-01
2.000000000000000000e+02 3.000000000000000000e+03 4.903691192347681572e-04 1.680623891757087457e-02 1.284873858902846888e-01 1.436760080813538620e-01 5.912519604835418029e-05 1.205264235996254645e-02 2.823549501479263521e-02 2.789864511003775638e-02 4.438864423647967015e-04 1.452815552628194951e-02 1.078540986189970574e-01 1.213549462479089347e-01 5.620982834151643003e-04 3.458890755522821270e-02 1.788931404952561754e-01 1.972213881267958213e-01
3.000000000000000000e+02 2.000000000000000000e+03 1.153447405091959435e-02 3.260353585769283358e-01 1.322302040442790316e+00 1.552477429755092952e+00 1.065966451022971884e-02 1.601039476160664304e-02 3.163595821816932163e-02 3.379778920609795290e-02 1.028665922366750821e-02 3.180476601057944941e-01 1.302333807003380750e+00 1.536942773145316909e+00 3.312422568119986060e-02 3.361036771266683876e-01 1.362570347970594176e+00 1.601598319124420078e+00
3.000000000000000000e+02 2.200000000000000000e+03 7.191116267279121579e-03 2.159574585263048796e-01 9.972612845830963746e-01 1.159276321229995244e+00 6.021298047287874586e-03 2.999235338733479556e-02 3.359611449259281013e-02 3.494347849456777566e-02 6.376670190300473377e-03 2.091305449548965800e-01 9.804086951769880320e-01 1.134324446078488258e+00 2.228589125363986123e-02 2.306309636660691387e-01 1.022045696810696125e+00 1.181172137427074054e+00
3.000000000000000000e+02 2.300000000000000000e+03 6.177246003838799890e-03 1.625249246298025585e-01 8.563011483389011413e-01 9.773610573933618761e-01 8.253905877632685892e-03 2.785574146434911108e-02 3.545887366324480816e-02 3.307881150430750511e-02 5.472113817003871478e-03 1.576396090338079148e-01 8.416155203074699998e-01 9.597034809989175574e-01 3.091233883510075692e-02 1.730758051065651448e-01 8.859930606829987676e-01 1.006570011494426709e+00
3.000000000000000000e+02 2.700000000000000000e+03 1.927573301506527127e-03 5.688995522779390079e-02 3.427004414524877363e-01 3.890162108319554224e-01 2.166580391266475852e-04 2.319602266716553132e-02 3.616803111721586528e-02 3.795326714838326981e-02 1.746497294951659517e-03 5.156745153785696756e-02 3.102385551306140465e-01 3.513787562142730025e-01 2.178983434730409011e-03 7.699100456285155880e-02 3.981152314297785044e-01 4.463568156816850596e-01
3.000000000000000000e+02 3.000000000000000000e+03 1.915995469802556864e-03 1.627761595001551986e-02 1.248091720831696894e-01 1.396833236016744029e-01 1.702029768057845274e-03 1.255156413604421178e-02 2.473782707250766003e-02 2.682211272490567927e-02 7.806072438516359346e-04 1.293031322323674737e-02 1.049806713073315467e-01 1.181679640951804888e-01 3.635857559121111107e-03 3.316334081417771085e-02 1.711833153128536900e-01 1.897998957281617216e-01
