# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.555519999999998618e+03 9.094947017729282379e-13 5.555519999999999527e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
4.752376188094046953e-04 5.555519999999998618e+03 9.094947017729282379e-13 5.555519999999999527e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
9.504752376188093906e-04 5.555519999999998618e+03 9.094947017729282379e-13 5.555519999999999527e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
1.425712856428214140e-03 5.555519999999998618e+03 9.094947017729282379e-13 5.555519999999999527e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
1.900950475237618781e-03 5.555519999999998618e+03 9.094947017729282379e-13 5.555519999999999527e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
2.376188094047023639e-03 5.555473754099723919e+03 1.387377008240946730e-01 5.555057540997252545e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
2.851425712856428280e-03 5.555473754099723919e+03 1.387377008240946730e-01 5.555057540997252545e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
3.326663331665832921e-03 5.555381262299174523e+03 2.961182449308225606e-01 5.554595081994505563e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
3.801900950475237562e-03 5.555335016398899825e+03 4.238506771803672857e-01 5.554132622991758581e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
4.277138569284642637e-03 5.555103786897527243e+03 6.998274601055384236e-01 5.553207704986264616e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
4.752376188094047278e-03 5.554918803296428450e+03 1.095354429823481190e+00 5.551820327978023670e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560932072994025077e+01 0.000000000000000000e+00 7.560932072994025077e+01 7.560932072994025077e+01 9.240028178319148822e+01 1.421085471520200372e-14 9.240028178319147401e+01 9.240028178319147401e+01
5.227613806903451919e-03 5.554641327894780261e+03 1.178136433800877292e+00 5.551357868975276688e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560855156085855810e+01 2.307507245069473703e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239951261410980976e+01 2.307507245065209753e-03 9.239259009237458997e+01 9.240028178319147401e+01
5.702851425712856560e-03 5.554410098393406770e+03 1.244349912028505090e+00 5.550895409972529706e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560855156085855810e+01 2.307507245069473703e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239951261410980976e+01 2.307507245065209753e-03 9.239259009237458997e+01 9.240028178319147401e+01
6.178089044522261201e-03 5.554040131191209184e+03 1.474076736433198809e+00 5.549970491967034832e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560855156085855810e+01 2.307507245069473703e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239951261410980976e+01 2.307507245065209753e-03 9.239259009237458997e+01 9.240028178319147401e+01
6.653326663331665843e-03 5.553485180387911896e+03 1.682740823447196110e+00 5.549045573961541777e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560855156085855810e+01 2.307507245069473703e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239951261410980976e+01 2.307507245065209753e-03 9.239259009237458997e+01 9.240028178319147401e+01
7.128564282141070484e-03 5.552837737784067940e+03 2.392303594858934179e+00 5.546270819945058975e+03 5.555519999999999527e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560855156085855810e+01 2.307507245069473703e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239951261410980976e+01 2.307507245065209753e-03 9.239259009237458997e+01 9.240028178319147401e+01
7.603801900950475125e-03 5.552236541080496863e+03 3.253358820232596926e+00 5.543033606925830099e+03 5.555057540997252545e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560778239177686544e+01 3.076676326759297548e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239874344502811709e+01 3.076676326753613293e-03 9.239259009237458997e+01 9.240028178319147401e+01
8.079039519759880633e-03 5.551727836177473364e+03 3.365481646894687096e+00 5.542571147923083117e+03 5.555057540997252545e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560778239177686544e+01 3.076676326759297548e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239874344502811709e+01 3.076676326753613293e-03 9.239259009237458997e+01 9.240028178319147401e+01
8.554277138569285274e-03 5.551219131274452593e+03 3.819418638512682929e+00 5.541183770914841261e+03 5.554595081994505563e+03 8.076275357725053450e-01 1.110223024625156540e-16 8.076275357725052340e-01 8.076275357725052340e-01 1.598333351747872300e+01 0.000000000000000000e+00 1.598333351747872300e+01 1.598333351747872300e+01 7.560778239177686544e+01 3.076676326759297548e-03 7.560162903912335253e+01 7.560932072994025077e+01 9.239874344502811709e+01 3.076676326753613293e-03 9.239259009237458997e+01 9.240028178319147401e+01
