# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.425712856428214140e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.900950475237618781e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.376188094047023639e-03 1.000004162417533760e+00 1.248725260167837871e-05 1.000000000000000000e+00 1.000041624175338928e+00 1.000004162417533760e+00 1.248725260167837871e-05 1.000000000000000000e+00 1.000041624175338928e+00 1.000004162417533760e+00 1.248725260174499107e-05 1.000000000000000000e+00 1.000041624175339150e+00 1.000004162417533760e+00 1.248725260167837871e-05 1.000000000000000000e+00 1.000041624175338928e+00
2.851425712856428280e-03 1.000004162417533760e+00 1.248725260167837871e-05 1.000000000000000000e+00 1.000041624175338928e+00 1.000004162417533760e+00 1.248725260167837871e-05 1.000000000000000000e+00 1.000041624175338928e+00 1.000004162417533760e+00 1.248725260174499107e-05 1.000000000000000000e+00 1.000041624175339150e+00 1.000004162417533760e+00 1.248725260167837871e-05 1.000000000000000000e+00 1.000041624175338928e+00
3.326663331665832921e-03 1.000012487772416581e+00 2.665385669210385038e-05 1.000000000000000000e+00 1.000083253548826878e+00 1.000012487772416581e+00 2.665385669210385038e-05 1.000000000000000000e+00 1.000083253548826878e+00 1.000012487772416581e+00 2.665385669218707645e-05 1.000000000000000000e+00 1.000083253548827100e+00 1.000012487772416581e+00 2.665385669210385038e-05 1.000000000000000000e+00 1.000083253548826878e+00
3.801900950475237562e-03 1.000016651229688414e+00 3.815361106687212311e-05 1.000000000000000000e+00 1.000124888121545430e+00 1.000016651229688414e+00 3.815361106680913096e-05 1.000000000000000000e+00 1.000124888121545208e+00 1.000016651229688636e+00 3.815361106688665819e-05 1.000000000000000000e+00 1.000124888121545430e+00 1.000016651229688414e+00 3.815361106680913096e-05 1.000000000000000000e+00 1.000124888121545208e+00
4.277138569284642637e-03 1.000037467476850628e+00 6.300327174927484975e-05 1.000000000000000000e+00 1.000208172869003764e+00 1.000037467476850628e+00 6.300327174927484975e-05 1.000000000000000000e+00 1.000208172869003764e+00 1.000037467476850850e+00 6.300327174935407783e-05 1.000000000000000000e+00 1.000208172869003986e+00 1.000037467476850628e+00 6.300327174927484975e-05 1.000000000000000000e+00 1.000208172869003764e+00
