# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
1.474468261003494263e-01 9.891732931137084961e-01 8.880611658096313477e-01 9.945264458656311035e-01 9.884973764419555664e-01 9.603878855705261230e-01 3.630139231681823730e-01
5.015593171119689941e-01 9.987508058547973633e-01 9.753127098083496094e-01 8.223366141319274902e-01 4.725333750247955322e-01 6.505067944526672363e-01 6.080828309059143066e-01
5.546448230743408203e-01 9.231255650520324707e-01 7.500734925270080566e-01 9.605233669281005859e-01 5.410899519920349121e-01 8.753802776336669922e-01 5.669687986373901367e-01
4.588843584060668945e-01 7.169587612152099609e-01 9.386125802993774414e-01 9.792914986610412598e-01 7.813619375228881836e-01 1.670584380626678467e-01 5.844538807868957520e-01
9.634732604026794434e-01 9.975554943084716797e-01 9.992005228996276855e-01 9.579866528511047363e-01 9.536945819854736328e-01 1.045584157109260559e-01 4.948950409889221191e-01
4.360308945178985596e-01 9.600750803947448730e-01 9.855030775070190430e-01 9.837957620620727539e-01 9.526119232177734375e-01 6.880768537521362305e-01 5.392875671386718750e-01
2.567594945430755615e-01 5.632132291793823242e-01 2.439966201782226562e-01 7.214659452438354492e-01 8.575831055641174316e-01 6.743931770324707031e-01 4.571121335029602051e-01
2.206171303987503052e-01 8.711873292922973633e-01 9.955784678459167480e-01 5.526676774024963379e-01 7.238328456878662109e-01 9.145599603652954102e-01 7.480934858322143555e-01
6.983570009469985962e-02 9.992233514785766602e-01 9.969326257705688477e-01 9.978817105293273926e-01 9.496279954910278320e-01 9.847534894943237305e-01 9.496220350265502930e-01
6.190375685691833496e-01 9.715431928634643555e-01 9.950802326202392578e-01 9.205499291419982910e-01 9.097057580947875977e-01 7.443297505378723145e-01 7.254973649978637695e-01
6.650380492210388184e-01 9.935139417648315430e-01 9.217306375503540039e-01 9.942065477371215820e-01 9.856930971145629883e-01 9.869742393493652344e-01 9.266021251678466797e-01
5.359488129615783691e-01 9.997901320457458496e-01 4.815237820148468018e-01 9.989022016525268555e-01 4.738440811634063721e-01 2.447555512189865112e-01 9.885319471359252930e-01
