# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
1.474468261003494263e-01 4.845794439315795898e-01 8.880611658096313477e-01 9.753127098083496094e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.015593171119689941e-01 9.016439914703369141e-01 9.992005228996276855e-01 7.500734925270080566e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.546448230743408203e-01 5.585924386978149414e-01 9.217306375503540039e-01 9.386125802993774414e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.588843584060668945e-01 8.866278529167175293e-01 4.815237820148468018e-01 9.855030775070190430e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
9.634732604026794434e-01 9.674203395843505859e-01 9.423940181732177734e-01 2.439966201782226562e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.360308945178985596e-01 7.890855669975280762e-01 9.995883107185363770e-01 9.955784678459167480e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.567594945430755615e-01 8.172825574874877930e-01 8.904398083686828613e-01 9.969326257705688477e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.206171303987503052e-01 6.737484335899353027e-01 9.941192865371704102e-01 9.950802326202392578e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.983570009469985962e-02 9.240534305572509766e-01 8.610202670097351074e-01 9.562415480613708496e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.190375685691833496e-01 9.995855689048767090e-01 8.125269412994384766e-01 9.868458509445190430e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.650380492210388184e-01 9.713109731674194336e-01 9.381814002990722656e-01 9.996496438980102539e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.359488129615783691e-01 7.105368375778198242e-01 9.827930927276611328e-01 9.997561573982238770e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.401506543159484863e-01 9.398851990699768066e-01 9.937978386878967285e-01 9.261595010757446289e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.585491240024566650e-01 1.772269308567047119e-01 8.561275005340576172e-01 2.979360520839691162e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.430278509855270386e-01 7.597379088401794434e-01 9.946029782295227051e-01 8.583752512931823730e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.135901153087615967e-01 9.905110001564025879e-01 9.988256096839904785e-01 4.877194762229919434e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.457113504409790039e-01 6.853922009468078613e-01 6.898832917213439941e-01 5.428621172904968262e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.835172951221466064e-01 4.833643436431884766e-01 6.706452965736389160e-01 9.778071045875549316e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.840122044086456299e-01 2.612823247909545898e-01 8.064712285995483398e-01 9.196586012840270996e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.180212736129760742e-01 9.786416292190551758e-01 9.730431437492370605e-01 9.550447463989257812e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.845845460891723633e-01 5.423784852027893066e-01 9.997265934944152832e-01 9.983629584312438965e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.475042104721069336e-01 9.735726714134216309e-01 8.480415344238281250e-01 9.783452153205871582e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.954533994197845459e-01 9.182823300361633301e-01 4.684553742408752441e-01 3.030926585197448730e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
8.860688656568527222e-02 9.310956001281738281e-01 2.696272730827331543e-01 8.396790623664855957e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.213439777493476868e-01 9.985229372978210449e-01 9.987457990646362305e-01 5.792648196220397949e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.892400801181793213e-01 1.417138874530792236e-01 8.068699240684509277e-01 6.197353005409240723e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.403384059667587280e-01 8.269269466400146484e-01 9.828270673751831055e-01 9.974995255470275879e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.827526688575744629e-01 2.397018969058990479e-01 9.994592070579528809e-01 9.898154735565185547e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
9.049466848373413086e-01 3.534539937973022461e-01 9.482166171073913574e-01 9.513916969299316406e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.245870113372802734e-01 2.491094917058944702e-01 9.627872109413146973e-01 9.186755418777465820e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.347582697868347168e-01 9.969804883003234863e-01 9.735886454582214355e-01 9.903933405876159668e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.348997712135314941e-01 1.734350770711898804e-01 9.921696782112121582e-01 5.818133354187011719e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.982588171958923340e-01 2.338676452636718750e-01 9.013181924819946289e-01 9.970800280570983887e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.610656142234802246e-01 9.983742237091064453e-01 4.715215265750885010e-01 9.939484596252441406e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.731165826320648193e-02 7.998452782630920410e-01 4.928715825080871582e-01 9.934862256050109863e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
