# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 3.426235374547581015e-03 4.336808689942017736e-19 3.426235374547580582e-03 3.426235374547580582e-03 6.771442023740170679e-02 0.000000000000000000e+00 6.771442023740170679e-02 6.771442023740170679e-02 3.186233399777309572e-01 0.000000000000000000e+00 3.186233399777309572e-01 3.186233399777309572e-01 3.888024711484537321e-01 5.551115123125782702e-17 3.888024711484537876e-01 3.888024711484537876e-01
4.752376188094046953e-04 3.426235374547581015e-03 4.336808689942017736e-19 3.426235374547580582e-03 3.426235374547580582e-03 6.771442023740170679e-02 0.000000000000000000e+00 6.771442023740170679e-02 6.771442023740170679e-02 3.186233399777309572e-01 0.000000000000000000e+00 3.186233399777309572e-01 3.186233399777309572e-01 3.888024711484537321e-01 5.551115123125782702e-17 3.888024711484537876e-01 3.888024711484537876e-01
9.504752376188093906e-04 3.426235374547581015e-03 4.336808689942017736e-19 3.426235374547580582e-03 3.426235374547580582e-03 6.771442023740170679e-02 0.000000000000000000e+00 6.771442023740170679e-02 6.771442023740170679e-02 3.186233399777309572e-01 0.000000000000000000e+00 3.186233399777309572e-01 3.186233399777309572e-01 3.888024711484537321e-01 5.551115123125782702e-17 3.888024711484537876e-01 3.888024711484537876e-01
1.425712856428214140e-03 3.426235374547581015e-03 4.336808689942017736e-19 3.426235374547580582e-03 3.426235374547580582e-03 6.771442023740170679e-02 0.000000000000000000e+00 6.771442023740170679e-02 6.771442023740170679e-02 3.186233399777309572e-01 0.000000000000000000e+00 3.186233399777309572e-01 3.186233399777309572e-01 3.888024711484537321e-01 5.551115123125782702e-17 3.888024711484537876e-01 3.888024711484537876e-01
1.900950475237618781e-03 3.426235374547581015e-03 4.336808689942017736e-19 3.426235374547580582e-03 3.426235374547580582e-03 6.771442023740170679e-02 0.000000000000000000e+00 6.771442023740170679e-02 6.771442023740170679e-02 3.186233399777309572e-01 0.000000000000000000e+00 3.186233399777309572e-01 3.186233399777309572e-01 3.888024711484537321e-01 5.551115123125782702e-17 3.888024711484537876e-01 3.888024711484537876e-01
2.376188094047023639e-03 3.426249633896712166e-03 4.277804739553219190e-08 3.426235374547580582e-03 3.426377968038899022e-03 6.771470128446373249e-02 8.431411860812531498e-07 6.771442023740170679e-02 6.771723070802197764e-02 3.186246484125065392e-01 3.925304326762856666e-06 3.186233399777309572e-01 3.186364243254868334e-01 3.888040630286225818e-01 4.775640506599066424e-06 3.888024711484537876e-01 3.888183899501424512e-01
2.851425712856428280e-03 3.426249633896712166e-03 4.277804739553219190e-08 3.426235374547580582e-03 3.426377968038899022e-03 6.771470128446373249e-02 8.431411860812531498e-07 6.771442023740170679e-02 6.771723070802197764e-02 3.186246484125065392e-01 3.925304326762856666e-06 3.186233399777309572e-01 3.186364243254868334e-01 3.888040630286225818e-01 4.775640506599066424e-06 3.888024711484537876e-01 3.888183899501424512e-01
3.326663331665832921e-03 3.426278154375466452e-03 9.130911118997586431e-08 3.426235374547580582e-03 3.426520579335121282e-03 6.771526341358506673e-02 1.799672171548568032e-06 6.771442023740170679e-02 6.772004152861502146e-02 3.186272654432645846e-01 8.378498424478485223e-06 3.186233399777309572e-01 3.186495102853112993e-01 3.888072469845061385e-01 1.019352566117477225e-05 3.888024711484537876e-01 3.888343107072893545e-01
3.801900950475237562e-03 3.426292417285949771e-03 1.307042475291573107e-07 3.426235374547580582e-03 3.426663208439951862e-03 6.771554453064890233e-02 2.576136738052493448e-06 6.771442023740170679e-02 6.772285269925344686e-02 3.186285742004869581e-01 1.199337485585030606e-05 3.186233399777309572e-01 3.186625978575352569e-01 3.888088392558066708e-01 1.459148705935144978e-05 3.888024711484537876e-01 3.888502334202948441e-01
4.277138569284642637e-03 3.426363728278867312e-03 2.158326527826159388e-07 3.426235374547580582e-03 3.426948520090267701e-03 6.771695004600261636e-02 4.253987643601138029e-06 6.771442023740170679e-02 6.772847609095718202e-02 3.186351176643177352e-01 1.980469687354210646e-05 3.186233399777309572e-01 3.186887778405066429e-01 3.888168002213780450e-01 2.409495953057954424e-05 3.888024711484537876e-01 3.888820847154838556e-01
4.752376188094047278e-03 3.426420799521763365e-03 3.378810751004785296e-07 3.426235374547580582e-03 3.427376621223010306e-03 6.771807489953327042e-02 6.659516764898685625e-06 6.771442023740170679e-02 6.773691380567047060e-02 3.186403544678737543e-01 3.100372062757404662e-05 3.186233399777309572e-01 3.187280599162423123e-01 3.888231714592667032e-01 3.771999033501041162e-05 3.888024711484537876e-01 3.889298763372231460e-01
5.227613806903451919e-03 3.426506375212701357e-03 3.634449183197635436e-07 3.426235374547580582e-03 3.427519357257373389e-03 6.771976156708624239e-02 7.163369574113602210e-06 6.771442023740170679e-02 6.773972707810792249e-02 3.186449871427849412e-01 3.579600699195045613e-05 3.186042272457034752e-01 3.187411571698212098e-01 3.888295147214136938e-01 4.279037063799589601e-05 3.887862882398226416e-01 3.889458107937948106e-01
5.702851425712856560e-03 3.426577693337593596e-03 3.839061503218173684e-07 3.426235374547580582e-03 3.427662111126314904e-03 6.772116722262538913e-02 7.566651274019824778e-06 6.771442023740170679e-02 6.774254070109983483e-02 3.186515311218961477e-01 3.698630524973845786e-05 3.186173119011133648e-01 3.187542560381196877e-01 3.888374763409732648e-01 4.439028128834250614e-05 3.888022077041997093e-01 3.889617472090309835e-01
6.178089044522261201e-03 3.426691826927251439e-03 4.548412760052231078e-07 3.426235374547580582e-03 3.427947672382791137e-03 6.772341675482408674e-02 8.964753706992357237e-06 6.771442023740170679e-02 6.774816899903833567e-02 3.186620036626077734e-01 4.204530231687207882e-05 3.186233399777309572e-01 3.187804586202028778e-01 3.888502175811029971e-01 5.088529872435357411e-05 3.888024711484537876e-01 3.889936259171020705e-01
6.653326663331665843e-03 3.426863037110930259e-03 5.192903698760582799e-07 3.426235374547580582e-03 3.428233305022167828e-03 6.772679124573448284e-02 1.023501814177185189e-05 6.771442023740170679e-02 6.775379870006867367e-02 3.186777136217997519e-01 4.809655766653273879e-05 3.186233399777309572e-01 3.188066676651475917e-01 3.888693307760788254e-01 5.824257617266345624e-05 3.888024711484537876e-01 3.890255124646482265e-01
7.128564282141070484e-03 3.427062903334454798e-03 7.385709421319052161e-07 3.426235374547580582e-03 3.429090631535233920e-03 6.773073053033876190e-02 1.455693913958412759e-05 6.771442023740170679e-02 6.777069622754319789e-02 3.186960527547164634e-01 6.771297605357715955e-05 3.186233399777309572e-01 3.188853336037305586e-01 3.888916426853939456e-01 8.226969331059882679e-05 3.888024711484537876e-01 3.891212191762823402e-01
7.603801900950475125e-03 3.427248615639311158e-03 1.004901444946986914e-06 3.426377968038899022e-03 3.430091659192205291e-03 6.773439084019929057e-02 1.980618046191724642e-05 6.771723070802197764e-02 6.779042599743002884e-02 3.187098728987324270e-01 9.364696433809355453e-05 3.186364243254868334e-01 3.189771841731964819e-01 3.889091637339930352e-01 1.134589478028607152e-04 3.888183899501424512e-01 3.892329663330178491e-01
