# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.504752376188093906e-04 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.425712856428214140e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.900950475237618781e-03 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.376188094047023639e-03 1.000004161812477310e+00 1.248543743179730689e-05 1.000000000000000000e+00 1.000041618124772658e+00 1.000004150475792830e+00 1.245142737875681792e-05 1.000000000000000000e+00 1.000041504757929189e+00 1.000004106525202108e+00 1.231957560619001616e-05 1.000000000000000000e+00 1.000041065252020633e+00 1.000004094315975367e+00 1.228294792596784510e-05 1.000000000000000000e+00 1.000040943159753226e+00
2.851425712856428280e-03 1.000004161812477310e+00 1.248543743179730689e-05 1.000000000000000000e+00 1.000041618124772658e+00 1.000004150475792830e+00 1.245142737875681792e-05 1.000000000000000000e+00 1.000041504757929189e+00 1.000004106525202108e+00 1.231957560619001616e-05 1.000000000000000000e+00 1.000041065252020633e+00 1.000004094315975367e+00 1.228294792596784510e-05 1.000000000000000000e+00 1.000040943159753226e+00
3.326663331665832921e-03 1.000012485957095576e+00 2.664998203811993655e-05 1.000000000000000000e+00 1.000083241446183102e+00 1.000012451944215286e+00 2.657738433321393901e-05 1.000000000000000000e+00 1.000083014684222560e+00 1.000012320081554273e+00 2.629593433132153138e-05 1.000000000000000000e+00 1.000082135563522101e+00 1.000012283450869788e+00 2.621774915950987218e-05 1.000000000000000000e+00 1.000081891348945096e+00
3.801900950475237562e-03 1.000016648809008313e+00 3.814806434494707614e-05 1.000000000000000000e+00 1.000124869965312246e+00 1.000016603453788067e+00 3.804413785157317098e-05 1.000000000000000000e+00 1.000124529779951921e+00 1.000016427618756198e+00 3.764123135703749883e-05 1.000000000000000000e+00 1.000123210935542462e+00 1.000016378772835779e+00 3.752930637567835980e-05 1.000000000000000000e+00 1.000122844568605673e+00
4.277138569284642637e-03 1.000037462029678359e+00 6.299411137541431681e-05 1.000000000000000000e+00 1.000208142601055616e+00 1.000037359968409589e+00 6.282247752677902670e-05 1.000000000000000000e+00 1.000207575484013622e+00 1.000036964293286257e+00 6.215708138310260345e-05 1.000000000000000000e+00 1.000205376865298978e+00 1.000036854377190476e+00 6.197223865218764766e-05 1.000000000000000000e+00 1.000204766103453213e+00
