# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 1.045172719220549204e-02 5.721253877089166849e-03 2.325066430469441975e-03 1.804694419840566916e-02
2.004008016032063962e-03 1.772143489813994832e-01 1.412315529934769949e-02 1.519043401240035562e-01 2.074844995571301920e-01
4.008016032064127925e-03 2.653897254207263634e-01 1.297804983356298618e-02 2.468999114260407302e-01 2.833259521700620120e-01
6.012024048096191453e-03 3.195194862710363237e-01 8.481773209036973238e-03 3.098981399468556108e-01 3.396811337466784653e-01
8.016032064128255849e-03 3.606399468556243937e-01 5.621579669467338149e-03 3.492028343666961909e-01 3.675819309123117828e-01
1.002004008016032024e-02 4.025243578387954213e-01 1.033002699900996066e-02 3.895039858281665324e-01 4.261514614703277304e-01
1.202404809619238291e-02 4.381753764393268580e-01 9.545256872946498300e-03 4.241585473870682077e-01 4.594774136403897424e-01
1.402805611222444730e-02 4.662865367581932041e-01 7.725071492576795346e-03 4.525022143489814130e-01 4.764171833480956852e-01
1.603206412825651170e-02 4.887843224092116579e-01 6.726857275048260358e-03 4.749778565101859806e-01 4.942426926483614036e-01
1.803607214428857436e-02 5.144707705934455921e-01 5.512806241066935814e-03 5.022143489813994943e-01 5.220327723649247353e-01
2.004008016032064049e-02 5.320969884853854470e-01 5.254928202198068041e-03 5.187112488928254939e-01 5.373117803365810019e-01
2.204408817635270315e-02 5.486603188662533270e-01 6.885388104822979388e-03 5.335473870682019282e-01 5.623339238263950213e-01
2.404809619238476581e-02 5.622342781222320340e-01 6.961557159977596436e-03 5.504871567759078710e-01 5.768379096545616092e-01
2.605210420841683194e-02 5.759300265721878365e-01 6.732822663228372681e-03 5.678697962798937571e-01 5.907883082373781569e-01
2.805611222444889460e-02 5.885230602924182985e-01 8.333815967794224594e-03 5.747342781222321006e-01 6.019707705934455033e-01
3.006012024048096073e-02 6.004539415411870307e-01 8.751449237656942423e-03 5.873560673162090406e-01 6.163640389725421054e-01
3.206412825651302340e-02 6.123782108060229490e-01 1.000888189090647605e-02 5.975420726306466257e-01 6.299822852081488067e-01
3.406813627254508953e-02 6.232063773250664518e-01 8.993065267521456116e-03 6.128210806023028923e-01 6.420504871567759286e-01
3.607214428857714872e-02 6.311780336581045425e-01 9.316569075088846838e-03 6.199069973427812075e-01 6.500221434898140194e-01
3.807615230460921485e-02 6.382971656333038535e-01 8.829180313633317942e-03 6.277679362267493124e-01 6.576616474756421526e-01
4.008016032064128098e-02 6.468999114260406413e-01 8.111864853853293506e-03 6.388396811337466730e-01 6.644154118689105104e-01
4.208416833667334017e-02 6.542404782993800350e-01 7.890581779779304306e-03 6.455934455270150307e-01 6.710584588131089934e-01
4.408817635270540630e-02 6.614038972542073402e-01 8.398748669332644148e-03 6.525686448184233601e-01 6.791408325952169589e-01
