# signal_efficiencies		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
1.000000000000000021e-02 4.658946400634512292e-02 2.197066999985863769e-03 4.378060882129801434e-02 4.961712169137855177e-02 5.353032143648336211e-02 4.434224161835875061e-02 0.000000000000000000e+00 9.608727229197164266e-02 2.671493028603989517e-01 2.234977610674056814e-01 0.000000000000000000e+00 5.045699089192370312e-01 5.919251699158113444e-01 3.368334832749657060e-01 0.000000000000000000e+00 9.979668791998728139e-01
1.497487437185929596e-02 5.721679541382827805e-02 1.763225012056242064e-03 5.364603903347815728e-02 6.040967322136158585e-02 7.291223014434544680e-02 5.009677356482592631e-02 0.000000000000000000e+00 1.438894831306911926e-01 4.245384849513995640e-01 2.332396211706060929e-01 0.000000000000000000e+00 7.555870997886062757e-01 8.136498233345180742e-01 1.495473076369081278e-01 6.340282112826174377e-01 1.056730683463207310e+00
1.994974874371859344e-02 6.486319683664291957e-02 1.997110079721704790e-03 6.135651800718657650e-02 6.796684993511556416e-02 1.144770761145378762e-01 3.431984061902532135e-02 6.787840950051785005e-02 1.916916939694107425e-01 6.558818574022271530e-01 1.499053968722944552e-01 4.702234198218204764e-01 9.629431445876069917e-01 9.172523433212507182e-01 1.172169010368014491e-01 7.376026956824515146e-01 1.149457533669878240e+00
2.492462311557788746e-02 7.318770127320906038e-02 2.444014228741021345e-03 6.765233993406835622e-02 7.595096659852594578e-02 1.296020182359305939e-01 2.422141517591095208e-02 9.792633156982102904e-02 1.693477641426744396e-01 6.756940611980510880e-01 1.208489533945873995e-01 5.321607845506530765e-01 8.892726777538576544e-01 9.932120095732075438e-01 1.067327043971447592e-01 8.794268775130046345e-01 1.243697417294313601e+00
2.989949748743718494e-02 8.039374376722123461e-02 2.686897885346195385e-03 7.643075175954411327e-02 8.442293764589209326e-02 1.461285220786889272e-01 2.848938158952259853e-02 1.172881480697347267e-01 2.031490315824421300e-01 7.554098378335433184e-01 1.479914936130439784e-01 5.775329644810858198e-01 1.066768635611986538e+00 1.089653012026386758e+00 1.028256685733820869e-01 9.946236065727372955e-01 1.358875923865479729e+00
3.487437185929648242e-02 8.577459603876834426e-02 2.423302801420073108e-03 8.177392103513259070e-02 9.055365163637019155e-02 1.496156947726191566e-01 1.975881402005264659e-02 1.266829733630505661e-01 1.934691090014366011e-01 7.729610156048518643e-01 1.062030901210949535e-01 6.315525692467764962e-01 1.015937786337776094e+00 1.193988759168707725e+00 1.370302162623153186e-01 1.049364044726583067e+00 1.556458408182774145e+00
3.984924623115577991e-02 9.164669979414526158e-02 2.619256243421824292e-03 8.739086160637436762e-02 9.743739060665608520e-02 1.533838228469328879e-01 1.672627673745489749e-02 1.353757832309887554e-01 1.914502686621444572e-01 8.082227055669266580e-01 8.456580431688501265e-02 7.108802756641223741e-01 1.005336527067725916e+00 1.240976613567265963e+00 1.484786660880700326e-01 1.062850597714987577e+00 1.623531105485996440e+00
4.482412060301507739e-02 9.804013360965159463e-02 2.629053060736779440e-03 9.360232980030408489e-02 1.032015561275406029e-01 1.658680066730997271e-01 1.907355169086530355e-02 1.480593667331394914e-01 2.153513740815042876e-01 8.557492529015446880e-01 9.981221279190362339e-02 7.954978343383733996e-01 1.130845122502410760e+00 1.282546225735273548e+00 1.044652967983517727e-01 1.118324693776741707e+00 1.491099591702322646e+00
4.979899497487437487e-02 1.031817764663556652e-01 2.547362205791414355e-03 1.002414032314554032e-01 1.079118070617838127e-01 1.752912286787866036e-01 1.622564015781004926e-02 1.595016530005760047e-01 2.139939231797227948e-01 9.114268718610318842e-01 8.362892876473229653e-02 8.364422710164552965e-01 1.123716926836776819e+00 1.324049604097844668e+00 9.388784320634178948e-02 1.151975352629746929e+00 1.521133410528471064e+00
5.477386934673367236e-02 1.076859367461531908e-01 2.707331912188305680e-03 1.036176804930854234e-01 1.122673094340373295e-01 1.874645357392576983e-01 1.979271702242775891e-02 1.586875824395107826e-01 2.353717217617536661e-01 9.634831773959756651e-01 1.093057535465962044e-01 8.341551764198824603e-01 1.235975227297766654e+00 1.421713237243971362e+00 1.168385039797754377e-01 1.192833705154719537e+00 1.648136612034546866e+00
