# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
1.474468261003494263e-01 4.407063126564025879e-01 9.982832670211791992e-01 4.056257605552673340e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
5.015593171119689941e-01 5.177175402641296387e-01 9.956913590431213379e-01 9.995692372322082520e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
5.546448230743408203e-01 7.493951320648193359e-01 8.947342634201049805e-01 5.420256257057189941e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
4.588843584060668945e-01 6.625339984893798828e-01 5.278424024581909180e-01 7.484935522079467773e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
9.634732604026794434e-01 3.348795175552368164e-01 9.468295574188232422e-01 5.211718082427978516e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
4.360308945178985596e-01 1.415461152791976929e-01 9.855844378471374512e-01 9.989480376243591309e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.567594945430755615e-01 4.655380845069885254e-01 9.429661631584167480e-01 7.634375691413879395e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.206171303987503052e-01 2.178441882133483887e-01 1.858582943677902222e-01 9.189347624778747559e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
6.983570009469985962e-02 5.009998679161071777e-01 7.420701980590820312e-01 9.883000850677490234e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
6.190375685691833496e-01 4.937049150466918945e-01 6.301233768463134766e-01 5.614387989044189453e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
6.650380492210388184e-01 3.504295647144317627e-01 9.903691411018371582e-01 9.981902241706848145e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
5.359488129615783691e-01 3.446922600269317627e-01 9.792967438697814941e-01 8.555707931518554688e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
3.401506543159484863e-01 3.241128325462341309e-01 9.970654845237731934e-01 9.990413784980773926e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.585491240024566650e-01 3.004695773124694824e-01 9.681252837181091309e-01 9.302935600280761719e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.430278509855270386e-01 2.702455818653106689e-01 9.907386302947998047e-01 9.730834364891052246e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.135901153087615967e-01 2.538053095340728760e-01 6.009325981140136719e-01 7.889320254325866699e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
3.457113504409790039e-01 9.591459482908248901e-02 9.589127302169799805e-01 3.857184648513793945e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
3.835172951221466064e-01 7.535791993141174316e-01 9.995101690292358398e-01 8.244291543960571289e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
1.840122044086456299e-01 3.597281873226165771e-01 3.269707560539245605e-01 6.238754987716674805e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
7.180212736129760742e-01 6.420541405677795410e-01 9.953617453575134277e-01 8.120573163032531738e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
3.845845460891723633e-01 9.380769729614257812e-01 9.408118724822998047e-01 9.992869496345520020e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
6.475042104721069336e-01 3.529722988605499268e-01 9.642862677574157715e-01 9.087582230567932129e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
2.954533994197845459e-01 5.334170460700988770e-01 9.954609274864196777e-01 8.748481869697570801e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
8.860688656568527222e-02 5.574126839637756348e-01 9.656594395637512207e-01 5.540122389793395996e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
1.213439777493476868e-01 5.903632044792175293e-01 6.898887157440185547e-01 4.210704267024993896e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
4.892400801181793213e-01 8.894687891006469727e-02 7.542958855628967285e-01 8.717327713966369629e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
1.403384059667587280e-01 4.273456335067749023e-01 8.318464159965515137e-01 9.466617107391357422e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
1.827526688575744629e-01 8.184635639190673828e-01 9.272629022598266602e-01 4.878708720207214355e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
9.049466848373413086e-01 2.375463992357254028e-01 4.709240496158599854e-01 4.318487346172332764e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
4.245870113372802734e-01 3.864912688732147217e-01 9.983462095260620117e-01 9.988437891006469727e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
5.347582697868347168e-01 8.836948871612548828e-01 9.733223915100097656e-01 7.504426240921020508e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
5.348997712135314941e-01 4.068901836872100830e-01 8.179085254669189453e-01 9.287765026092529297e-01 1.036632333184057379e-07 3.283894270234772176e-09 3.283894270234772176e-09 3.283894270234772176e-09
