# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 4.522797243805892417e-03 2.533158162139985230e-03 6.597273127107462212e-04 8.283242926257147060e-03
2.004008016032063962e-03 8.716463861603870877e-02 4.991764438749407562e-03 7.564873185749890205e-02 9.492742999560181694e-02
4.008016032064127925e-03 1.259615698190105493e-01 5.130660599531501262e-03 1.184577041489517646e-01 1.348042808972291506e-01
6.012024048096191453e-03 1.560694912769388654e-01 4.143982056294871590e-03 1.470458876997507713e-01 1.617064946488784571e-01
8.016032064128255849e-03 1.783829350535112435e-01 3.792998225127967166e-03 1.723354346869960529e-01 1.836974050725700136e-01
1.002004008016032024e-02 1.990104090309338936e-01 3.189558157229605961e-03 1.948394663539070593e-01 2.056150124615158947e-01
1.202404809619238291e-02 2.205324150720441023e-01 2.894017702789575264e-03 2.151444069784489155e-01 2.262864682597859611e-01
1.402805611222444730e-02 2.366735082832429060e-01 4.648366169416092396e-03 2.280457410936812812e-01 2.421932267995894894e-01
1.603206412825651170e-02 2.512388212872013193e-01 4.027159586779514508e-03 2.449054390851781171e-01 2.562674094707521055e-01
1.803607214428857436e-02 2.664125494795484550e-01 2.476991870303667242e-03 2.621316522504031910e-01 2.705615012461515811e-01
2.004008016032064049e-02 2.784269168743585543e-01 2.740994453590188049e-03 2.726872892537751114e-01 2.822166837707081322e-01
2.204408817635270315e-02 2.902287054684064005e-01 3.039743481350161685e-03 2.873478962029027972e-01 2.959976543028881579e-01
2.404809619238476581e-02 2.985632605189855182e-01 3.311155770409868800e-03 2.941650784342471625e-01 3.058935639935493334e-01
2.605210420841683194e-02 3.069271367834628395e-01 3.245338196531291630e-03 3.019352001172848632e-01 3.126374431901480788e-01
2.805611222444889460e-02 3.157088403459903381e-01 3.997462561981731353e-03 3.083125641401553985e-01 3.214338073596246792e-01
3.006012024048096073e-02 3.241240287347896265e-01 4.016183567136229898e-03 3.187948981087816991e-01 3.313297170502858546e-01
3.206412825651302340e-02 3.314176806919805762e-01 4.035237187132065598e-03 3.251722621316522344e-01 3.395396569417973853e-01
3.406813627254508953e-02 3.382202023163759508e-01 3.613624009367459242e-03 3.315496261545227696e-01 3.451106875824659359e-01
3.607214428857714872e-02 3.445682451253481160e-01 3.439654593508764159e-03 3.388066265943410205e-01 3.508283242926257262e-01
3.807615230460921485e-02 3.503738454772027944e-01 3.056973851664892845e-03 3.448174754434833456e-01 3.554464154816009414e-01
4.008016032064128098e-02 3.566339246444802935e-01 2.654501169390125273e-03 3.533206274739774111e-01 3.619703855739627718e-01
4.208416833667334017e-02 3.626301128866735168e-01 2.776046994877487146e-03 3.591848702536284965e-01 3.682744465620876873e-01
4.408817635270540630e-02 3.686996041636123600e-01 2.907793814877399161e-03 3.644626887553144567e-01 3.741386893417387727e-01
4.609218436873747243e-02 3.740214044861457365e-01 2.570669600903134362e-03 3.713531740214044974e-01 3.797097199824072677e-01
4.809619238476953162e-02 3.793945169330010247e-01 3.026101629969780993e-03 3.763377803841079228e-01 3.868934173874798432e-01
5.010020040080159776e-02 3.847896202902800211e-01 3.266890190613907195e-03 3.802228412256267176e-01 3.929042662366222238e-01
5.210420841683366389e-02 3.898548599912036172e-01 3.074570814701369295e-03 3.861603870400234784e-01 3.974490543908517637e-01
5.410821643286573002e-02 3.947001905878902983e-01 3.758702009138684651e-03 3.898988418120510335e-01 4.038264184137223545e-01
5.611222444889778921e-02 3.991716757073743294e-01 3.657263171702895398e-03 3.947368421052631637e-01 4.080046913942237397e-01
5.811623246492985534e-02 4.042955578360943880e-01 4.307973888163926617e-03 3.989151150857645489e-01 4.149684796950594001e-01
6.012024048096192147e-02 4.084884914235448750e-01 4.251601292080420431e-03 4.031666911010116094e-01 4.194399648145433201e-01
6.212424849699398066e-02 4.127840492596394073e-01 3.909024796995863062e-03 4.082246004984606547e-01 4.220788740653863003e-01
6.412825651302604679e-02 4.166617797976835957e-01 4.255927735630032210e-03 4.107169036798123396e-01 4.266236622196158956e-01
6.613226452905811292e-02 4.210819527928456596e-01 4.187932670964028374e-03 4.151883887992963151e-01 4.298489957484240009e-01
6.813627254509017905e-02 4.245125348189415782e-01 3.901457186692742531e-03 4.190001466060694901e-01 4.321946928602843907e-01
7.014028056112224518e-02 4.281410350388505925e-01 3.683147435178448729e-03 4.220055710306406804e-01 4.348336021111274263e-01
7.214428857715429744e-02 4.317988564726579770e-01 3.657402745217693246e-03 4.247177833162292804e-01 4.383521477789180665e-01
7.414829659318636357e-02 4.351707960709573220e-01 3.552921795837401305e-03 4.281630259492743007e-01 4.409910570297610466e-01
7.615230460921842970e-02 4.386160387040023423e-01 3.861922227329506619e-03 4.314616625128280258e-01 4.453159360797537270e-01
7.815631262525049583e-02 4.421712358891657924e-01 3.850251930759569091e-03 4.341005717636710060e-01 4.478082392611054119e-01
8.016032064128256196e-02 4.460562967306845872e-01 3.802364854921019312e-03 4.385720568831549815e-01 4.517666031373698821e-01
8.216432865731462809e-02 4.494942090602551121e-01 3.754947507657445394e-03 4.426037237941650715e-01 4.544788154229585375e-01
8.416833667334668034e-02 4.527635244099106338e-01 3.798936405845647173e-03 4.473684210526315819e-01 4.585104823339686275e-01
8.617234468937874647e-02 4.556370033719395751e-01 3.621021526684143222e-03 4.507403606509309268e-01 4.610027855153203125e-01
8.817635270541081260e-02 4.584518399061720539e-01 3.608683906540086170e-03 4.536724820407564973e-01 4.637149978009089679e-01
9.018036072144287874e-02 4.616771734349802148e-01 3.593164924038513060e-03 4.574109368127840525e-01 4.674534525729365231e-01
9.218436873747494487e-02 4.649978009089575925e-01 4.010185203230012992e-03 4.599765430288814128e-01 4.711919073449640782e-01
9.418837675350701100e-02 4.683184283829350258e-01 3.920006150757325211e-03 4.633484826271807577e-01 4.744905439085178034e-01
9.619238476953906325e-02 4.712065679519132355e-01 3.556187016189822202e-03 4.662073009822606529e-01 4.769095440551238685e-01
9.819639278557112938e-02 4.740287347896202652e-01 3.575663127499230116e-03 4.683330889898841831e-01 4.801348775839319738e-01
1.002004008016031955e-01 4.769681864829203866e-01 3.798738380289775219e-03 4.715584225186922884e-01 4.827004838000293341e-01
1.022044088176352616e-01 4.802228412256266954e-01 3.424562136349354902e-03 4.756633924644480538e-01 4.852660900161266944e-01
1.042084168336673278e-01 4.829203929042663046e-01 3.579410530034672720e-03 4.777158774373259087e-01 4.888579387186629543e-01
1.062124248496993939e-01 4.857352294384987279e-01 3.252408649491163144e-03 4.805013927576601840e-01 4.909104236915408093e-01
1.082164328657314600e-01 4.885354053657821050e-01 3.349587767277295309e-03 4.824072716610467437e-01 4.938425450813663797e-01
1.102204408817635123e-01 4.912256267409471633e-01 3.025568884352829429e-03 4.860724233983286791e-01 4.967013634364462749e-01
1.122244488977955784e-01 4.938718662952646388e-01 3.185470226523986342e-03 4.885647265796804195e-01 4.995601817915261700e-01
1.142284569138276445e-01 4.967086937399208257e-01 3.266133501469073355e-03 4.907638176220495696e-01 5.021257880076235303e-01
1.162324649298597107e-01 4.996921272540683634e-01 3.601380409686370278e-03 4.932561208034012545e-01 5.052778185016859602e-01
1.182364729458917768e-01 5.029394516933001213e-01 3.177574528272858467e-03 4.969212725406831899e-01 5.068171822313444208e-01
1.202404809619238429e-01 5.058935639935493445e-01 2.850385466320571552e-03 5.012461515906758702e-01 5.093827884474416701e-01
1.222444889779558952e-01 5.085398035478668755e-01 2.900846622060213997e-03 5.029321213898255705e-01 5.123882128720128604e-01
1.242484969939879613e-01 5.109807946048967597e-01 3.039522511626615003e-03 5.054977276059229307e-01 5.150271221228558405e-01
1.262525050100200275e-01 5.138029614426038449e-01 2.961125061177662977e-03 5.085031520304940100e-01 5.181791526169183815e-01
1.282565130260520936e-01 5.163172555343791270e-01 2.849065572735626738e-03 5.117284855593021708e-01 5.206714557982700109e-01
1.302605210420841597e-01 5.192200557103064940e-01 2.578100141871209929e-03 5.153203342618384308e-01 5.235302741533499615e-01
1.322645290581162258e-01 5.218736255680984648e-01 2.861486092656423657e-03 5.167863949567511606e-01 5.260225773347017020e-01
1.342685370741482920e-01 5.244685529980941396e-01 2.967605258872913886e-03 5.191320920686116613e-01 5.302008503152030316e-01
1.362725450901803581e-01 5.267629379856326732e-01 3.001748084926167924e-03 5.214044861457264313e-01 5.320334261838439716e-01
1.382765531062124242e-01 5.292405805600352009e-01 3.129352828816706414e-03 5.236035771880955814e-01 5.351121536431607817e-01
1.402805611222444904e-01 5.313590382641841803e-01 3.422050723473899977e-03 5.255827591262278720e-01 5.386306993109514218e-01
1.422845691382765287e-01 5.335141474857059141e-01 3.281618941778104755e-03 5.277085471338512912e-01 5.409030933880663028e-01
1.442885771543085949e-01 5.358305233836682113e-01 3.320036789924833611e-03 5.307872745931682124e-01 5.428822753261984824e-01
1.462925851703406610e-01 5.382788447441724244e-01 3.397783459701109350e-03 5.324732443923178016e-01 5.449347602990763928e-01
1.482965931863727271e-01 5.407858085324732667e-01 3.354076458005989577e-03 5.348189415041783024e-01 5.468406392024629525e-01
1.503006012024047933e-01 5.428749450227239315e-01 3.193262267951513505e-03 5.368714264770561018e-01 5.481600938278844426e-01
1.523046092184368594e-01 5.451839906172114558e-01 3.067572169548768869e-03 5.394370326931534620e-01 5.507257000439818029e-01
1.543086172344689255e-01 5.474197331769534713e-01 3.246496985787788395e-03 5.415628207007769923e-01 5.518985485999120533e-01
1.563126252505009917e-01 5.494135757220348637e-01 3.273364232187477105e-03 5.433953965694179322e-01 5.541709426770268232e-01
1.583166332665330578e-01 5.518252455651663224e-01 3.373851309460194643e-03 5.462542149244978829e-01 5.568831549626154231e-01
1.603206412825651239e-01 5.542002638909251377e-01 3.356478644481247862e-03 5.485266090016126528e-01 5.595220642134584033e-01
1.623246492985971901e-01 5.560475003665151794e-01 3.344450458194129887e-03 5.502125788007623530e-01 5.612813370473537233e-01
1.643286573146292562e-01 5.583418853540537130e-01 3.515253126432959889e-03 5.518252455651664334e-01 5.641401554024336740e-01
1.663326653306613223e-01 5.605711055596018788e-01 3.435069072974059317e-03 5.547573669549918929e-01 5.660460343058202337e-01
1.683366733466933607e-01 5.626227825831988660e-01 3.238642225354555239e-03 5.576161853100718435e-01 5.683917314176807345e-01
1.703406813627254268e-01 5.646752675560767765e-01 3.325252215483563180e-03 5.595953672482040231e-01 5.704442163905585339e-01
1.723446893787574929e-01 5.667937252602257558e-01 3.379866131995813618e-03 5.614279431168450740e-01 5.728632165371646545e-01
1.743486973947895591e-01 5.691174314616624930e-01 3.308956149351593209e-03 5.628207007770121839e-01 5.757953379269902250e-01
1.763527054108216252e-01 5.714264770561501283e-01 3.212178795457011019e-03 5.651663978888725737e-01 5.777012168303767847e-01
1.783567134268536913e-01 5.736622196158921438e-01 3.035568858001582316e-03 5.681718223134437640e-01 5.794604896642721048e-01
1.803607214428857575e-01 5.756414015540243234e-01 3.088737992576566765e-03 5.704442163905585339e-01 5.811464594634218050e-01
1.823647294589178236e-01 5.774666471191907124e-01 2.981694987247323399e-03 5.721301861897082341e-01 5.823926110540976753e-01
1.843687374749498897e-01 5.797683624102037969e-01 3.001989734456440590e-03 5.739627620583491741e-01 5.836387626447735455e-01
1.863727454909819559e-01 5.817328837413868747e-01 2.971983834649900499e-03 5.756487318574988743e-01 5.852514294091775149e-01
1.883767535070140220e-01 5.838879929629087195e-01 3.081379189073659049e-03 5.775546107608855451e-01 5.878170356252748752e-01
1.903807615230460881e-01 5.859551385427357317e-01 2.974008100796439544e-03 5.804867321507110045e-01 5.900161266676440253e-01
1.923847695390781265e-01 5.880955871573083638e-01 2.984216871258524566e-03 5.817328837413868747e-01 5.917020964667937255e-01
1.943887775551101926e-01 5.899868054537458217e-01 2.784396259753523124e-03 5.846650051312124452e-01 5.938278844744172558e-01
1.963927855711422588e-01 5.920832722474710375e-01 2.801633932688183618e-03 5.862776718956165256e-01 5.955871573083125758e-01
1.983967935871743249e-01 5.939598299369593937e-01 2.986916527024594155e-03 5.875971265210380157e-01 5.977129453159361061e-01
2.004008016032063910e-01 5.958730391438205043e-01 3.101931185134569179e-03 5.892097932854419851e-01 6.001319454625421157e-01
2.024048096192384572e-01 5.977642574402579623e-01 3.064566605031300572e-03 5.907491570151004456e-01 6.017446122269461961e-01
2.044088176352705233e-01 5.995308605776280553e-01 3.280472558972655477e-03 5.921419146752675555e-01 6.047500366515173864e-01
2.064128256513025894e-01 6.015173728192346747e-01 3.301640620086520542e-03 5.942677026828910858e-01 6.067292185896495660e-01
2.084168336673346555e-01 6.036285002199091032e-01 3.107746110585278554e-03 5.971998240727166563e-01 6.090749157015100668e-01
2.104208416833667217e-01 6.056150124615158337e-01 3.365527453752202146e-03 5.983726726286467956e-01 6.115672188828616962e-01
2.124248496993987878e-01 6.074255974197332320e-01 3.014038595244293225e-03 6.015247031227092256e-01 6.131798856472657766e-01
2.144288577154308539e-01 6.094927429995602441e-01 3.067370722355276975e-03 6.033572789913502765e-01 6.154522797243805465e-01
2.164328657314629201e-01 6.114572643307433220e-01 2.893242087782199341e-03 6.056296730684650464e-01 6.170649464887846269e-01
2.184368737474949584e-01 6.133045008063333636e-01 3.032487277171464976e-03 6.070957337633777762e-01 6.189708253921711867e-01
2.204408817635270246e-01 6.154816009382789721e-01 3.151553135829068559e-03 6.091482187362556866e-01 6.212432194692860676e-01
2.224448897795590907e-01 6.173215071103943519e-01 3.204818403620877075e-03 6.106875824659140362e-01 6.227092801641987974e-01
2.244488977955911568e-01 6.190441284269169175e-01 3.312940366608627032e-03 6.116405219176074270e-01 6.238821287201290477e-01
2.264529058116232230e-01 6.210159800615745462e-01 3.522887720595969333e-03 6.133264917167571273e-01 6.263744319014806772e-01
2.284569138276552891e-01 6.227532619850462137e-01 3.716572296463906827e-03 6.145726433074328865e-01 6.281337047353759973e-01
2.304609218436873552e-01 6.244978742119923210e-01 3.623157752738676192e-03 6.164785222108195573e-01 6.300395836387626680e-01
2.324649298597194214e-01 6.264843864535991624e-01 3.588593470300563849e-03 6.184577041489517368e-01 6.320187655768948476e-01
2.344689378757514875e-01 6.281923471631725153e-01 3.621911773993597306e-03 6.196305527048819872e-01 6.333382202023163376e-01
2.364729458917835536e-01 6.300982260665591861e-01 3.448017672925312530e-03 6.218296437472511373e-01 6.355373112446854877e-01
2.384769539078156197e-01 6.320114352734202967e-01 3.505763139474857727e-03 6.231490983726726274e-01 6.373698871133265387e-01
2.404809619238476859e-01 6.337633778038410659e-01 3.669957265999672109e-03 6.247617651370767078e-01 6.389825538777305081e-01
2.424849699398797520e-01 6.354493476029907661e-01 3.864231199322731153e-03 6.255680985192787480e-01 6.405952206421345885e-01
2.444889779559117904e-01 6.373992083272247422e-01 3.612166489057101661e-03 6.290866441870693881e-01 6.427943116845037386e-01
2.464929859719438565e-01 6.389605629673068554e-01 3.596789519226826874e-03 6.311391291599471876e-01 6.445535845183990586e-01
2.484969939879759226e-01 6.407198358012021755e-01 3.281004857945112214e-03 6.339979475150271382e-01 6.455798270048379583e-01
2.505010020040079888e-01 6.421052631578947345e-01 3.413466615757113250e-03 6.347309778624835586e-01 6.471924937692420388e-01
2.525050100200400549e-01 6.440551238821287106e-01 3.512095196566804300e-03 6.366368567658701183e-01 6.497580999853393990e-01
2.545090180360721210e-01 6.461149391584811719e-01 3.743632704626055629e-03 6.381029174607828480e-01 6.515173728192347191e-01
2.565130260521041872e-01 6.479255241166985702e-01 3.685182035346539018e-03 6.403753115378976180e-01 6.534965547573670097e-01
2.585170340681362533e-01 6.496921272540683301e-01 3.595205609645415502e-03 6.433074329277231884e-01 6.552558275912623298e-01
2.605210420841683194e-01 6.514953819088111775e-01 3.727089900227614078e-03 6.447001905878902983e-01 6.565752822166838198e-01
2.625250501002003856e-01 6.532839759566045901e-01 3.471879671643589467e-03 6.470458876997507991e-01 6.577481307726139592e-01
2.645290581162324517e-01 6.549259639349068740e-01 3.390730898351173184e-03 6.486585544641547685e-01 6.591408884327810691e-01
2.665330661322645178e-01 6.566412549479547778e-01 3.283853237177573360e-03 6.501979181938132291e-01 6.607535551971851495e-01
