# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.015400000000000773e+02 0.000000000000000000e+00 5.015400000000000773e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
4.752376188094046953e-04 5.015400000000000773e+02 0.000000000000000000e+00 5.015400000000000773e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
9.504752376188093906e-04 5.015400000000000773e+02 0.000000000000000000e+00 5.015400000000000773e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
1.425712856428214140e-03 5.015400000000000773e+02 0.000000000000000000e+00 5.015400000000000773e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
1.900950475237618781e-03 5.015400000000000773e+02 0.000000000000000000e+00 5.015400000000000773e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
2.376188094047023639e-03 5.015363235595953597e+02 1.102932121389699552e-02 5.015032355959537540e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
2.851425712856428280e-03 5.015363235595953597e+02 1.102932121389699552e-02 5.015032355959537540e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
3.326663331665832921e-03 5.015289706787860950e+02 2.354070466239379864e-02 5.014664711919073738e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
3.801900950475237562e-03 5.015252942383814911e+02 3.369513288445958460e-02 5.014297067878610505e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
4.277138569284642637e-03 5.015069120363583579e+02 5.563463864517021601e-02 5.013561779797684608e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
4.752376188094047278e-03 5.014922062747397717e+02 8.707810334053421586e-02 5.012458847676294909e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
5.227613806903451919e-03 5.014701476323120914e+02 9.365907813813995064e-02 5.012091203635830539e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
5.702851425712856560e-03 5.014480889898842406e+02 1.003472942653245575e-01 5.011723559595367306e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
6.178089044522261201e-03 5.014076481454332566e+02 1.307076683202002543e-01 5.010620627473978175e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
6.653326663331665843e-03 5.013635308605776117e+02 1.459505167546082671e-01 5.009885339393051140e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
7.128564282141070484e-03 5.013047078141034945e+02 2.125987294864244981e-01 5.007311831109808509e+02 5.015400000000000773e+02 1.005123720862043690e+01 0.000000000000000000e+00 1.005123720862043690e+01 1.005123720862043690e+01 2.916882935053511261e+00 0.000000000000000000e+00 2.916882935053511261e+00 2.916882935053511261e+00 7.638879856326052042e+00 0.000000000000000000e+00 7.638879856326052042e+00 7.638879856326052042e+00 2.060699999999999932e+01 0.000000000000000000e+00 2.060699999999999932e+01 2.060699999999999932e+01
