# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
0.000000000000000000e+00 3.400467907639100756e-02 2.001142618713720386e-02 1.627504831654968953e-03 6.265893601871630469e-02 3.386227240362119778e-02 2.042884527032600914e-02 1.017190519784355596e-03 6.550706947411250036e-02 2.806428644085037089e-02 1.741449479747340240e-02 9.154714678059200361e-04 5.696266910792391336e-02 2.174753331298951917e-02 1.416350047419985200e-02 9.154714678059200361e-04 4.882514494964906859e-02 1.268436578171091601e-02 1.068980127942648420e-02 3.051571559353066787e-04 3.824636354389177040e-02 5.370765944461397545e-03 6.112595670481158622e-03 2.034381039568711191e-04 2.227647238327738755e-02
2.004008016032063962e-03 2.485403316041094324e-01 2.724640078181381556e-02 2.078120231919438621e-01 2.961041603092259278e-01 2.418645244919704340e-01 2.791557971512215533e-02 1.981487132539924700e-01 2.869494456311666997e-01 2.235988200589970332e-01 2.736650100344250811e-02 1.857389889126233318e-01 2.666056352354795878e-01 1.805075923385780767e-01 2.715896147163421315e-02 1.429152680297019751e-01 2.201200284813345509e-01 1.291323364866239498e-01 2.861584010112847021e-02 9.765028989929813719e-02 1.801444410538093899e-01 7.272608486222774393e-02 2.658100383388759674e-02 4.628216865018817960e-02 1.303021055843759657e-01
4.008016032064127925e-03 3.453361814667887386e-01 2.842588001252402408e-02 3.050554368833282570e-01 4.002644695351439408e-01 3.357440748652222862e-01 2.837702865765681648e-02 2.954938459973552867e-01 3.882616214016885170e-01 3.151052792187977181e-01 2.852245748834425845e-02 2.797273929406978166e-01 3.664937442783033350e-01 2.647034889634828358e-01 3.051198736252896601e-02 2.256128572881700711e-01 3.128878038856677812e-01 2.040992777947309711e-01 3.151761994093967706e-02 1.683450310243108650e-01 2.493133963991455704e-01 1.243413691384396280e-01 3.308823042834791589e-02 9.022479910487234134e-02 1.822805411453565227e-01
6.012024048096191453e-03 4.067846607669616255e-01 2.075394983326591877e-02 3.829722306988098679e-01 4.510222764723832989e-01 3.966737870003051447e-01 1.964463527412986174e-02 3.716814159292035624e-01 4.371884854033160628e-01 3.756789746719561007e-01 1.996048432743743883e-02 3.503204150137320672e-01 4.143016987081680202e-01 3.226731766859933237e-01 2.301184427371299329e-02 2.967144746210965134e-01 3.614077916793815293e-01 2.590784253890754396e-01 2.519669411937642753e-02 2.327331909266605603e-01 2.979351032448377401e-01 1.667073542874580316e-01 3.056522786245164519e-02 1.369138439629742632e-01 2.201200284813345509e-01
8.016032064128255849e-03 4.488048011392534176e-01 1.890304562482274242e-02 4.176584274234564353e-01 4.884548876004475848e-01 4.379106906723628789e-01 1.971180069685590786e-02 4.069779269657206600e-01 4.770623537788628021e-01 4.153799206591394788e-01 1.988981788277882287e-02 3.825653544908961257e-01 4.542772861356932368e-01 3.639304241684467311e-01 2.219754907873150440e-02 3.303834808259586975e-01 3.989421218594242924e-01 2.973756484589563653e-01 2.388237921208541739e-02 2.598921778049028686e-01 3.332316142813548931e-01 1.985861051774997499e-01 3.102951476388520965e-02 1.606143830739497624e-01 2.481944868273827653e-01
1.002004008016032024e-02 4.792594853015970102e-01 1.798640215586779292e-02 4.409520903265181646e-01 5.079849455803071567e-01 4.689655172413792483e-01 1.870376338284718970e-02 4.332214423761570621e-01 4.974061641745499140e-01 4.467297324788933044e-01 2.026843936517255806e-02 4.050452649781304260e-01 4.746210965313803487e-01 3.954633302817617824e-01 2.268853886201308706e-02 3.552029295086969740e-01 4.282372088292137335e-01 3.273420811718034673e-01 2.529114697503901527e-02 2.813548977723527855e-01 3.614077916793815293e-01 2.250940901230800706e-01 3.324916995801764641e-02 1.787203743261112920e-01 2.800325500966330816e-01
1.202404809619238291e-02 5.057471264367816577e-01 1.717721291186837668e-02 4.688231105686094802e-01 5.318889227952395826e-01 4.960431288780388637e-01 1.803781399015525269e-02 4.604821483063777920e-01 5.211067032855253300e-01 4.731970298036821676e-01 1.917019609409465267e-02 4.322042518563726787e-01 4.954735021869596245e-01 4.238531176889431817e-01 2.212525937066839310e-02 3.809378496592411567e-01 4.499033669006204939e-01 3.542671142304953391e-01 2.591532361992491401e-02 3.071915369748753899e-01 3.924321025328044166e-01 2.497202726070593126e-01 3.379495143776228144e-02 2.018105991252161502e-01 3.113620181059912340e-01
1.402805611222444730e-02 5.295086969789442044e-01 1.662913315748897752e-02 4.990336690062048830e-01 5.594547858813956331e-01 5.189604312887803328e-01 1.792210316294890263e-02 4.876411351846201003e-01 5.472484996439833660e-01 4.963991455599633396e-01 1.871516948253128948e-02 4.598718339945071509e-01 5.204963889736547999e-01 4.487437697080663423e-01 2.230539940685329070e-02 4.083002746414403639e-01 4.804190824941511617e-01 3.789950157664531138e-01 2.741238619534849819e-02 3.355711524768589249e-01 4.294578374529549603e-01 2.711626487641135008e-01 3.477279739728362379e-02 2.269352049638897473e-01 3.425897670633709646e-01
1.603206412825651170e-02 5.515410436374732495e-01 1.655802461908386508e-02 5.192757603499135177e-01 5.779676533414708217e-01 5.411046689044857194e-01 1.764092260148837979e-02 5.122571457634015335e-01 5.691180958193469142e-01 5.181466788729529593e-01 1.758707112542590503e-02 4.820465873258061307e-01 5.389075373817515668e-01 4.715186654460380433e-01 2.075912407916655905e-02 4.312887803885667726e-01 4.985250737463126636e-01 4.022683348591191144e-01 2.638518682538120580e-02 3.580510629640931697e-01 4.483775811209439466e-01 2.929813854134879492e-01 3.461572869889972814e-02 2.453463533719865697e-01 3.631370155630149754e-01
1.803607214428857436e-02 5.691994710609296071e-01 1.652568678542069500e-02 5.406367612653849575e-01 5.979045875292442469e-01 5.580510629640931253e-01 1.721709065606116806e-02 5.310751703794120981e-01 5.865120537076594642e-01 5.347675719662292604e-01 1.690398349222632657e-02 5.034075882412776259e-01 5.567083714779778036e-01 4.892686400162751248e-01 2.016008997109420761e-02 4.527515003560166895e-01 5.159190316346251581e-01 4.216356423558133004e-01 2.512277112238597149e-02 3.796155019835215083e-01 4.621096531380327610e-01 3.105787814057572871e-01 3.300779475130682927e-02 2.644695351439324549e-01 3.755467399043840859e-01
2.004008016032064049e-02 5.859119113009867430e-01 1.422041441680587520e-02 5.581324382056759292e-01 6.107211880785271552e-01 5.743973146170276989e-01 1.511529026192008629e-02 5.476553758518970527e-01 6.003458447767267003e-01 5.511545112399551805e-01 1.541687723536505454e-02 5.213101413894822844e-01 5.711524768589156809e-01 5.080358051062964231e-01 1.786380306599988713e-02 4.731970298036822231e-01 5.313803275353473632e-01 4.395890550300071142e-01 2.354576127758636200e-02 3.995524361712948780e-01 4.766554775709490599e-01 3.282575526396093180e-01 3.106745142523389958e-02 2.827789645000508556e-01 3.878547451937747748e-01
2.204408817635270315e-02 6.006916895534533118e-01 1.366562055008502079e-02 5.744074865222256188e-01 6.239446648357237502e-01 5.897263757501780557e-01 1.399287445485260413e-02 5.657613671040585546e-01 6.143830739497507798e-01 5.658325704404434386e-01 1.487987026689080970e-02 5.375851897060319740e-01 5.844776726680906975e-01 5.251246058386735971e-01 1.615734379660667408e-02 4.945580307191537184e-01 5.473502186959617877e-01 4.570847319702980860e-01 2.136866237676829719e-02 4.191842132031329271e-01 4.888617638083613270e-01 3.452548062252059902e-01 2.966040346717112655e-02 3.002746414403417718e-01 4.002644695351439408e-01
2.404809619238476581e-02 6.135998372495168329e-01 1.367658330199710871e-02 5.877326823314006354e-01 6.368629844369850801e-01 6.030515715593530723e-01 1.310559887064010470e-02 5.814261011087377140e-01 6.250635744074864997e-01 5.805513172617230433e-01 1.470255214022462772e-02 5.522327331909266945e-01 6.000406876207913243e-01 5.403722917302410389e-01 1.536645986751694615e-02 5.115451123995524707e-01 5.592513477774386788e-01 4.720882921371172825e-01 2.086577122513178992e-02 4.363747329874885783e-01 5.034075882412776259e-01 3.602888821076187797e-01 2.943078659130411376e-02 3.166514088088698831e-01 4.144034177601464974e-01
2.605210420841683194e-02 6.267317668599327041e-01 1.335700909625280042e-02 6.039060115959719033e-01 6.507984945580307379e-01 6.161631573593735478e-01 1.383149098017136779e-02 5.964805208015461213e-01 6.387956464245753141e-01 5.942935611840097776e-01 1.501403874217862450e-02 5.690163767673684925e-01 6.136710405859017170e-01 5.544807242396501135e-01 1.619854425043573340e-02 5.275150035601667842e-01 5.733902960024412909e-01 4.867053199064184099e-01 2.117725193585599450e-02 4.544807242396500802e-01 5.177499745702369705e-01 3.758315532499236777e-01 2.922690530840477835e-02 3.353677143729020260e-01 4.282372088292137335e-01
2.805611222444889460e-02 6.370765944461396213e-01 1.373993980389096904e-02 6.125521310141389675e-01 6.601566473400467538e-01 6.270165802054724624e-01 1.307988357200015432e-02 6.076696165191740606e-01 6.479503611026344867e-01 6.050350930729324617e-01 1.480377091513561741e-02 5.785779676533414628e-01 6.231309124198962657e-01 5.662903061743465027e-01 1.599693718841225382e-02 5.377886278099888173e-01 5.848845488760044953e-01 4.987895432814566377e-01 2.051470284136650002e-02 4.650595056454073783e-01 5.257857796765333935e-01 3.887397009459871433e-01 2.824839167989144292e-02 3.466585291425083870e-01 4.389177092869494534e-01
3.006012024048096073e-02 6.465669819957278186e-01 1.390452933251377747e-02 6.191638693927372650e-01 6.691079239141490831e-01 6.363849048926863983e-01 1.318492773158397996e-02 6.133658834299664520e-01 6.567999186247583943e-01 6.152476858915674196e-01 1.478767284675198100e-02 5.860034584477672448e-01 6.334045366697181878e-01 5.777438714271183606e-01 1.608440369498371006e-02 5.447055233445223799e-01 5.972942732173736058e-01 5.104668904485809566e-01 1.970007877221341408e-02 4.735021869596175437e-01 5.344318990947004577e-01 4.005696266910792613e-01 2.707943808546030631e-02 3.521513579493439350e-01 4.471569524972027199e-01
3.206412825651302340e-02 6.550605228359270837e-01 1.462693441031007180e-02 6.258773268233139841e-01 6.814159292035397719e-01 6.456820262435154500e-01 1.347975488430270402e-02 6.221137219001119378e-01 6.692096429661275048e-01 6.249923710711017266e-01 1.522935322687721423e-02 5.959719255416539019e-01 6.491709897263757689e-01 5.878038856677856305e-01 1.641419322729692834e-02 5.548774285423659913e-01 6.096022785067642946e-01 5.211677347167124053e-01 1.994975911873815913e-02 4.810293968060217473e-01 5.427728613569321459e-01 4.118502695554877024e-01 2.684640975649984357e-02 3.611026345234462642e-01 4.565151052792187913e-01
3.406813627254508953e-02 6.630149527006408139e-01 1.534403830852974250e-02 6.328959414098260794e-01 6.903672057776421012e-01 6.543383175668802121e-01 1.422895023439241756e-02 6.285220221747532809e-01 6.793815481639711162e-01 6.340657105075780953e-01 1.649983672966198051e-02 6.026853829722307321e-01 6.590377377682840043e-01 5.970501474926253049e-01 1.757069359099818276e-02 5.619977621808565083e-01 6.219102837961549834e-01 5.307801851286745309e-01 2.130223545438113611e-02 4.884548876004475848e-01 5.553860238022582108e-01 4.218797680805614903e-01 2.718188306221936204e-02 3.712745397212898202e-01 4.679076391008035740e-01
3.607214428857714872e-02 6.717017597395991135e-01 1.610622501194500927e-02 6.413386227240361892e-01 7.011494252873563537e-01 6.630149527006408139e-01 1.504840125803051307e-02 6.363543891770928607e-01 6.894517343098361950e-01 6.431797375648458104e-01 1.688857627699029071e-02 6.131624453260096086e-01 6.695148001220628808e-01 6.068762079137421939e-01 1.800529510848383058e-02 5.703387244430881964e-01 6.332010985657613444e-01 5.417658427423456269e-01 2.103772555050530818e-02 5.000508595259892664e-01 5.620994812328349299e-01 4.329671447462109524e-01 2.661671958761758702e-02 3.826670735428746029e-01 4.759434442070999971e-01
3.807615230460921485e-02 6.799003153290611445e-01 1.513827276627271665e-02 6.524259993896857068e-01 7.062353778862781040e-01 6.721900111890957152e-01 1.411074978272709030e-02 6.493744278303326123e-01 6.950462821686501647e-01 6.516427626894516489e-01 1.684812978419004958e-02 6.231309124198962657e-01 6.754145051368121155e-01 6.172413793103448398e-01 1.758018647390469785e-02 5.833587630963279480e-01 6.418472179839284086e-01 5.518970603193977809e-01 2.099438110216428344e-02 5.105279218797680318e-01 5.717627911707863220e-01 4.445834604821483071e-01 2.661748926546954330e-02 3.967043027158986823e-01 4.869291018207710375e-01
4.008016032064128098e-02 6.866239446648356726e-01 1.603698844348263805e-02 6.577153900925643004e-01 7.158986878242294960e-01 6.794120638795646538e-01 1.495602516951189363e-02 6.530363137015563479e-01 7.056250635744074629e-01 6.586410334655681265e-01 1.730727774121610177e-02 6.281151459668395942e-01 6.856881293866341487e-01 6.252161529854541877e-01 1.810046157727034088e-02 5.881395585393144332e-01 6.517139660258366440e-01 5.603906011595972680e-01 2.098741865348232108e-02 5.174448174143017054e-01 5.815278201607161357e-01 4.539823008849556696e-01 2.665708598768330370e-02 4.021971315227342303e-01 4.943545926151968195e-01
4.208416833667334017e-02 6.925745092055741736e-01 1.611590961081471596e-02 6.629030617434645833e-01 7.211880785271080896e-01 6.856270979554471845e-01 1.498326814811203576e-02 6.592411758722408477e-01 7.122368019530057603e-01 6.651001932661986249e-01 1.787260188627966956e-02 6.345234462414810483e-01 6.948428440646933213e-01 6.321025328043944347e-01 1.828793141105302181e-02 5.959719255416539019e-01 6.595463330281762238e-01 5.677347167124402461e-01 2.160562469386723139e-02 5.232428033770725184e-01 5.911911300986675277e-01 4.618858712236802444e-01 2.653100420655591860e-02 4.103346556810090751e-01 4.993388261621401480e-01
4.408817635270540630e-02 6.990641847217983207e-01 1.561334433782288894e-02 6.696165191740413025e-01 7.265791882819652159e-01 6.925745092055743957e-01 1.460659023045894449e-02 6.677855762384294902e-01 7.190519784355610122e-01 6.724137931034482873e-01 1.668559903064580421e-02 6.440850371274540187e-01 7.001322347675719149e-01 6.397619774183704866e-01 1.796804503386786531e-02 6.040077306479503250e-01 6.660563523547960996e-01 5.760451632590783966e-01 2.086636626384246254e-02 5.331095514189807538e-01 5.982097446851795119e-01 4.707557725561997697e-01 2.659119682581709970e-02 4.190824941511545054e-01 5.110365171396602513e-01
4.609218436873747243e-02 7.046383887702166726e-01 1.612900153815462895e-02 6.747024717729630527e-01 7.328857695046282483e-01 6.986878242294780605e-01 1.502516766449178177e-02 6.743973146170277877e-01 7.261723120740514181e-01 6.788017495676940127e-01 1.726685326639088372e-02 6.500864611941816751e-01 7.075577255619978079e-01 6.467602481944867421e-01 1.849329855581454893e-02 6.105177499745702008e-01 6.744990336690062094e-01 5.830536059403926830e-01 2.169731995325935303e-02 5.391109754857085212e-01 6.068558641033465761e-01 4.787102024209134998e-01 2.682402182619647926e-02 4.271182992574509285e-01 5.184620079340860332e-01
4.809619238476953162e-02 7.097039975587428051e-01 1.653555433746199677e-02 6.792798291119926946e-01 7.374631268436577791e-01 7.041297935103245642e-01 1.549979747567759372e-02 6.791781100600142729e-01 7.300376360492319971e-01 6.839894212185942957e-01 1.758298773431748660e-02 6.550706947411250036e-01 7.124402400569627147e-01 6.528837351235886599e-01 1.886800676050593567e-02 6.169260502492116549e-01 6.806021767877122874e-01 5.896755162241887893e-01 2.240773749750916630e-02 5.454175567083714427e-01 6.126538500661173892e-01 4.865934289492422349e-01 2.763405624323239662e-02 4.338317566880276477e-01 5.269046892482962541e-01
5.010020040080159776e-02 7.157461092462618080e-01 1.674978012343832090e-02 6.862984436985046788e-01 7.444817414301698744e-01 7.105482656901637162e-01 1.549272993247599768e-02 6.842640626589360231e-01 7.361407791679381862e-01 6.906215034075882109e-01 1.814060265108399447e-02 6.611738378598311927e-01 7.185433831756687928e-01 6.601057878140574875e-01 1.909579811762207591e-02 6.243515410436374369e-01 6.864001627504832115e-01 5.978740718136505983e-01 2.220758008786623966e-02 5.534533618146678657e-01 6.201810599125215928e-01 4.956159088597293372e-01 2.734798387249405202e-02 4.438002237819143603e-01 5.359576848743770050e-01
5.210420841683366389e-02 7.209337808971618689e-01 1.701819322938049120e-02 6.893500152578577733e-01 7.497711321330484679e-01 7.157867968670531544e-01 1.614050595753442272e-02 6.879259485301596477e-01 7.421422032346658426e-01 6.957481436273014186e-01 1.858468321634838827e-02 6.636150951073136461e-01 7.240362119825043408e-01 6.660970399755873350e-01 1.996406848198107806e-02 6.281151459668395942e-01 6.941308107008442585e-01 6.039568711219611696e-01 2.308113775208531226e-02 5.573186857898484448e-01 6.286237412267318136e-01 5.022073034279320725e-01 2.792127018823706633e-02 4.479707049130302043e-01 5.423659851490184591e-01
5.410821643286573002e-02 7.255213101413895416e-01 1.661039416402477695e-02 6.968772251042619770e-01 7.546536466280133748e-01 7.209541247075577086e-01 1.569601440741436385e-02 6.954531583765639624e-01 7.475333129895229689e-01 7.010680500457735498e-01 1.836792608456680118e-02 6.716509002136099582e-01 7.310548265690163250e-01 6.716509002136100692e-01 1.962307891654968203e-02 6.362526701251144390e-01 7.002339538195504476e-01 6.096429661275557521e-01 2.270460384433106021e-02 5.637269860644898989e-01 6.348286033974163134e-01 5.093276370664224784e-01 2.711314795347834899e-02 4.577357339029600181e-01 5.484691282677245372e-01
5.611222444889778921e-02 7.305462313091242166e-01 1.679781661156196093e-02 7.015563014952700405e-01 7.605533516427627205e-01 7.262028277896450668e-01 1.622825704257790935e-02 7.006408300274641343e-01 7.552639609398840159e-01 7.068050045773572876e-01 1.903001172662655005e-02 6.770420099684670845e-01 7.391923507272911698e-01 6.780998881090427588e-01 1.950483443888541626e-02 6.435764418675617993e-01 7.073542874580408535e-01 6.163869392737260089e-01 2.285023132019322473e-02 5.703387244430881964e-01 6.445936323873461271e-01 5.164581426101109152e-01 2.735883432876774074e-02 4.648560675414505350e-01 5.545722713864307263e-01
