# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 3.379672021976191931e-02 2.019088379028789737e-02 9.989178390077415280e-04 6.434695746274868289e-02
2.004008016032063962e-03 2.461089998193340400e-01 2.788497919559505475e-02 2.015316740198118683e-01 2.846915841172063533e-01
4.008016032064127925e-03 3.320319653708482255e-01 2.910135991730197769e-02 2.937650878215266603e-01 3.734287854823940545e-01
6.012024048096191453e-03 3.891450928161158673e-01 1.972155916715025506e-02 3.614417714143011717e-01 4.278698077083160078e-01
8.016032064128255849e-03 4.343294764005660724e-01 1.894315698020262312e-02 3.960709231665695551e-01 4.680762507283776075e-01
1.002004008016032024e-02 4.641388495796220925e-01 1.670132549771562169e-02 4.287022392408224580e-01 4.897194705735453124e-01
1.202404809619238291e-02 4.902605510696744773e-01 1.681071726885661338e-02 4.536751852160159637e-01 5.157745775409972033e-01
1.402805611222444730e-02 5.135353367185548912e-01 1.586757091032317546e-02 4.838924498460001611e-01 5.435777907267127507e-01
1.603206412825651170e-02 5.361857987180552731e-01 1.550539985084954490e-02 5.060351286106717916e-01 5.650545242653791655e-01
1.803607214428857436e-02 5.535309026443797631e-01 1.616339050456361282e-02 5.249313243985682664e-01 5.816199117622575798e-01
2.004008016032064049e-02 5.695413302255889487e-01 1.504263665207668417e-02 5.419961708149504398e-01 5.941063847498543327e-01
2.204408817635270315e-02 5.848913676850078236e-01 1.406444992402076585e-02 5.589777740780820237e-01 6.075917755764588257e-01
2.404809619238476581e-02 5.970781653209022988e-01 1.323791502262580862e-02 5.731291101306917879e-01 6.175809539665362280e-01
2.605210420841683194e-02 6.096229085157746086e-01 1.269337719954120869e-02 5.897777407808207917e-01 6.285690501956213705e-01
2.805611222444889460e-02 6.217847332056937182e-01 1.265543717823679887e-02 6.026804295346708251e-01 6.411387663364688239e-01
3.006012024048096073e-02 6.316157496045949893e-01 1.336622742525081509e-02 6.088404228752185565e-01 6.507949721135436461e-01
3.206412825651302340e-02 6.410139016065929951e-01 1.400075847305808086e-02 6.164987929742778983e-01 6.632814451011403989e-01
3.406813627254508953e-02 6.501207025722134381e-01 1.503715389258880250e-02 6.234079746940813793e-01 6.752684591692332816e-01
3.607214428857714872e-02 6.592608007991342944e-01 1.515322885618820836e-02 6.328976941646549115e-01 6.860900690918172451e-01
3.807615230460921485e-02 6.673520352950970125e-01 1.470030013068325536e-02 6.424706567884791442e-01 6.910014151336052457e-01
4.008016032064128098e-02 6.750603512861068634e-01 1.524210322954211091e-02 6.494630816615333258e-01 7.029051860484475389e-01
4.208416833667334017e-02 6.814451011404312197e-01 1.494745732256754639e-02 6.558728044618330477e-01 7.086489636227419897e-01
4.408817635270540630e-02 6.882044451843836175e-01 1.500812877609434409e-02 6.626154998751352387e-01 7.150586864230417117e-01
4.609218436873747243e-02 6.941896279031050110e-01 1.478497999559370141e-02 6.706068425871971606e-01 7.227170565221010534e-01
4.809619238476953162e-02 7.001581619911763088e-01 1.513423712649735603e-02 6.752684591692332816e-01 7.271289436443852949e-01
5.010020040080159776e-02 7.064679930075751235e-01 1.582429353829793023e-02 6.798468325980188132e-01 7.338716390576874860e-01
5.210420841683366389e-02 7.118621493382168985e-01 1.629075952916116121e-02 6.841754765670523541e-01 7.399483892449846278e-01
5.410821643286573002e-02 7.173645217680846287e-01 1.603233957339678106e-02 6.902522267543494960e-01 7.456089236660284891e-01
5.611222444889778921e-02 7.223674352784483776e-01 1.604826959864314589e-02 6.960792474818946474e-01 7.520186464663281001e-01
5.811623246492985534e-02 7.272205111129610433e-01 1.607702886173541929e-02 7.001581619911761978e-01 7.569299925081162117e-01
6.012024048096192147e-02 7.318987763256472601e-01 1.574224870541865440e-02 7.056522101057187690e-01 7.608424207108965831e-01
6.212424849699398066e-02 7.363522850245567408e-01 1.634204516498462961e-02 7.088986930824939803e-01 7.661699825189378643e-01
6.412825651302604679e-02 7.408973611920418589e-01 1.611541868941679737e-02 7.133938233580288113e-01 7.691667360359610850e-01
6.613226452905811292e-02 7.444934654124698570e-01 1.596473470982773951e-02 7.178889536335636423e-01 7.726629484724881758e-01
6.813627254509017905e-02 7.484641638225255633e-01 1.592265713580127279e-02 7.222175976025971833e-01 7.764921335220178467e-01
7.014028056112224518e-02 7.525097810705069223e-01 1.629468299425441621e-02 7.266294847248814248e-01 7.801548322650462275e-01
