# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
2.000000000000000000e+02 2.000000000000000000e+03 1.951579566596504944e-02 4.389443817336879938e-01 1.498173868648742246e+00 1.753026612506295434e+00 1.422663258380657721e-02 4.655744325748552292e-02 6.466684818042563176e-02 7.847740984688549026e-02 1.118584416315094449e-02 4.099008997054960357e-01 1.415836107811176081e+00 1.658859317448990955e+00 6.101164835144802512e-02 4.969421146976804038e-01 1.611428988564449494e+00 1.859482719140425955e+00
2.000000000000000000e+02 2.200000000000000000e+03 1.109219451690550071e-02 2.771914178096155368e-01 1.170773101051200360e+00 1.334221946595236741e+00 1.301949524586730987e-02 3.458121307406905598e-02 5.258983018985063929e-02 5.553183861835391671e-02 9.766422800949876165e-03 2.535515006927221426e-01 1.120130131474194490e+00 1.275497217854358878e+00 4.787468356340191661e-02 3.348246071158852422e-01 1.293815147247886932e+00 1.453965664106777078e+00
2.000000000000000000e+02 2.300000000000000000e+03 5.124665967708467648e-03 2.351590358513565293e-01 1.032526461251968453e+00 1.172528009634307367e+00 1.469707475137513753e-03 3.229764239557737088e-02 4.707816904587468210e-02 4.949725794040711613e-02 4.466974709114617144e-03 2.176744838415120009e-01 9.992016337966111994e-01 1.132693186709756716e+00 8.141743945170939675e-03 2.992837032631431859e-01 1.144239457919492109e+00 1.291285140764923733e+00
2.000000000000000000e+02 2.700000000000000000e+03 4.718249945473933400e-03 8.567180324981280015e-02 4.278042612706794978e-01 4.746696585605333918e-01 6.890794303531361936e-03 2.945794225972864569e-02 4.573515201611350750e-02 4.713615466006488425e-02 1.913885425942374622e-03 6.684864122179498547e-02 3.925068077337507955e-01 4.373785159377031051e-01 2.531797766291372584e-02 1.500631166189379528e-01 5.127641971276414301e-01 5.627828549253297563e-01
2.000000000000000000e+02 3.000000000000000000e+03 5.385134066886083665e-04 4.648146537132285400e-02 2.006940280007862010e-01 2.196769277698019107e-01 1.068069343414695981e-04 2.424073650461471344e-02 4.130026895946130316e-02 4.323200411878456995e-02 4.890026104651497762e-04 2.163598529299327194e-02 1.558107618060025346e-01 1.731729004025272800e-01 6.751369066623543608e-04 8.669611854602629619e-02 2.647312812974935703e-01 2.855852179789514778e-01
3.000000000000000000e+02 2.000000000000000000e+03 1.625164095659854119e-02 3.990507382745825948e-01 1.486090123883939018e+00 1.728554906974312244e+00 9.369671211112753570e-03 4.247841831044011501e-02 7.112183569227513436e-02 8.150646178023683575e-02 1.228296020041225872e-02 3.636107178269343265e-01 1.374950075156507578e+00 1.621184863257411957e+00 4.200024239740393628e-02 4.507011312506931100e-01 1.584006560579389156e+00 1.827205550873924222e+00
3.000000000000000000e+02 2.200000000000000000e+03 1.595433242128157722e-02 2.809048733520910224e-01 1.153284778618286488e+00 1.320837893435201860e+00 1.078937272494104836e-02 3.584090608893478885e-02 5.036037600844930212e-02 5.379389326156219786e-02 8.886555814758355376e-03 2.564330702605325252e-01 1.105906218065081603e+00 1.260435813554702911e+00 3.742819134405203640e-02 3.553674448844912348e-01 1.259733978808749821e+00 1.431411843937776762e+00
3.000000000000000000e+02 2.300000000000000000e+03 2.423698215004927575e-02 2.063192863114936271e-01 9.984886072777012789e-01 1.120323207996948955e+00 1.442200920547118299e-02 2.953161592033394511e-02 5.036047556872294551e-02 5.247259371542444678e-02 5.810982178255420967e-03 1.898992125851231005e-01 9.648199045469287860e-01 1.080442982865197132e+00 4.437313820941089088e-02 2.619766527415490764e-01 1.109562401280467681e+00 1.236747151708162296e+00
3.000000000000000000e+02 2.700000000000000000e+03 7.642850578997255166e-03 8.994160860949258762e-02 4.274587718523174540e-01 4.764211607591756215e-01 7.310700950805168810e-03 3.082663516156812500e-02 5.126108833239743923e-02 5.130916892382504646e-02 2.046014669683601621e-03 7.155714271224664080e-02 3.842324537963794362e-01 4.314549886305827364e-01 2.120869609208272943e-02 1.456835572525958522e-01 5.210646516710486509e-01 5.647518953484353954e-01
3.000000000000000000e+02 3.000000000000000000e+03 4.079523696805927024e-03 4.155614130731604544e-02 1.936721804037823680e-01 2.112121225921921863e-01 4.684068390354476606e-03 2.265269668281792367e-02 3.933364248430874094e-02 4.124332635297848354e-02 8.731261513281271145e-04 2.128006821029441650e-02 1.491040639046125327e-01 1.688710594269370313e-01 1.229554224079626619e-02 8.228854883534059139e-02 2.548902960259707973e-01 2.755467118830929873e-01
