# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.555519999999999072e+02 1.136868377216160297e-13 5.555520000000000209e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
4.752376188094046953e-04 5.552837737784066121e+02 3.141999693965301099e-01 5.546733278947806411e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
9.504752376188093906e-04 5.548953082160991244e+02 6.649768097452467552e-01 5.537946557895612614e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560932072994022590e+00 8.881784197001252323e-16 7.560932072994023478e+00 7.560932072994023478e+00 9.240028178319148466e+00 1.776356839400250465e-15 9.240028178319146690e+00 9.240028178319146690e+00
1.425712856428214140e-03 5.544698459335719463e+02 1.105306040807914059e+00 5.523147869807708048e+02 5.555520000000000209e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560855156085854567e+00 2.307507245064677030e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239951261410979555e+00 2.307507245062012874e-04 9.239259009237459352e+00 9.240028178319146690e+00
1.900950475237618781e-03 5.538963967701656657e+02 1.669060606781889611e+00 5.506499345708815554e+02 5.555057540997253227e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560855156085854567e+00 2.307507245064677030e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239951261410979555e+00 2.307507245062012874e-04 9.239259009237459352e+00 9.240028178319146690e+00
2.376188094047023639e-03 5.534200639973362286e+02 2.067088281300264452e+00 5.493088034629150798e+02 5.555057540997253227e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560855156085854567e+00 2.307507245064677030e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239951261410979555e+00 2.307507245062012874e-04 9.239259009237459352e+00 9.240028178319146690e+00
2.851425712856428280e-03 5.529298574544243365e+02 2.430181357422279032e+00 5.482451477565970208e+02 5.554595081994505108e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560778239177684767e+00 3.076676326752902707e-04 7.560162903912335253e+00 7.560932072994023478e+00 9.239874344502810644e+00 3.076676326749350318e-04 9.239259009237459352e+00 9.240028178319146690e+00
3.326663331665832921e-03 5.523795312411552914e+02 2.788761996146692734e+00 5.471352461500041500e+02 5.554595081994505108e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560701322269517632e+00 4.925085189639486459e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239797427594641732e+00 4.925085189640874238e-04 9.238489840155770239e+00 9.240028178319146690e+00
3.801900950475237562e-03 5.518847001082160659e+02 3.151518141450556865e+00 5.460253445434112791e+02 5.553670163989011144e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598333351747872166e+00 0.000000000000000000e+00 1.598333351747872166e+00 1.598333351747872166e+00 7.560701322269517632e+00 4.925085189639486459e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239797427594641732e+00 4.925085189640874238e-04 9.238489840155770239e+00 9.240028178319146690e+00
4.277138569284642637e-03 5.513528722550569228e+02 3.490680254871474819e+00 5.451466724381918993e+02 5.553670163989011144e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598256434839703477e+00 2.307507245064677030e-04 1.597564182666183941e+00 1.598333351747872166e+00 7.560701322269517632e+00 4.925085189639486459e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239720510686471044e+00 6.153352653505805413e-04 9.238489840155770239e+00 9.240028178319146690e+00
4.752376188094047278e-03 5.508071706318154384e+02 3.869828639112904423e+00 5.441755085324232368e+02 5.553670163989011144e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598179517931534566e+00 3.076676326752903249e-04 1.597564182666183941e+00 1.598333351747872166e+00 7.560624405361346945e+00 5.102090488601991646e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239566676870133222e+00 6.153352653504917452e-04 9.238489840155770239e+00 9.240028178319146690e+00
5.227613806903451919e-03 5.502475952384914990e+02 4.239871452206957159e+00 5.430656069258303660e+02 5.553207704986264162e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598179517931534566e+00 3.076676326752903249e-04 1.597564182666183941e+00 1.598333351747872166e+00 7.560470571545010898e+00 6.153352653502697006e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239412843053795399e+00 8.284204538884816635e-04 9.237720671074082901e+00 9.240028178319146690e+00
5.702851425712856560e-03 5.496880198451676733e+02 4.608134206064103289e+00 5.421406889203362880e+02 5.552745245983518316e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598179517931534566e+00 3.076676326752903249e-04 1.597564182666183941e+00 1.598333351747872166e+00 7.560470571545010898e+00 6.153352653502697006e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239412843053795399e+00 8.284204538884816635e-04 9.237720671074082901e+00 9.240028178319146690e+00
6.178089044522261201e-03 5.491099460917339457e+02 4.880204763016537939e+00 5.411695250145675118e+02 5.551357868975276233e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598102601023365654e+00 4.925085189641254793e-04 1.596795013584495937e+00 1.598333351747872166e+00 7.560470571545010898e+00 6.153352653502697006e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239335926145626487e+00 9.999198061942629785e-04 9.236951501992395563e+00 9.240028178319146690e+00
6.653326663331665843e-03 5.485919920086573711e+02 5.203280356372038895e+00 5.400596234079746409e+02 5.551357868975276233e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598102601023365654e+00 4.925085189641254793e-04 1.596795013584495937e+00 1.598333351747872166e+00 7.560470571545010898e+00 6.153352653502697006e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239335926145626487e+00 9.999198061942629785e-04 9.236951501992395563e+00 9.240028178319146690e+00
7.128564282141070484e-03 5.480324166153334318e+02 5.542034287473198262e+00 5.388572300008324873e+02 5.550895409972529251e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598102601023365654e+00 4.925085189641254793e-04 1.596795013584495937e+00 1.598333351747872166e+00 7.560393654636841987e+00 6.922521735190183528e-04 7.559393734830647915e+00 7.560932072994023478e+00 9.239259009237459352e+00 1.087769347081045477e-03 9.236951501992395563e+00 9.240028178319146690e+00
7.603801900950475125e-03 5.473849740114876568e+02 5.910660272961609785e+00 5.378398201947888992e+02 5.549508032964288304e+02 8.076275357725050397e-02 1.387778780781445676e-17 8.076275357725051784e-02 8.076275357725051784e-02 1.598102601023365654e+00 4.925085189641254793e-04 1.596795013584495937e+00 1.598333351747872166e+00 7.560162903912335253e+00 9.729304815658209628e-04 7.557855396667270576e+00 7.560932072994023478e+00 9.239028258512952618e+00 1.242630680832365088e-03 9.236951501992395563e+00 9.240028178319146690e+00
