# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.752376188094046953e-04 1.000241612735196073e+00 2.830878864434681168e-04 1.000000000000000000e+00 1.000791749264566599e+00 1.000241612735196073e+00 2.830878864434681168e-04 1.000000000000000000e+00 1.000791749264566599e+00 1.000241612735196073e+00 2.830878864434642136e-04 1.000000000000000000e+00 1.000791749264566599e+00 1.000241612735196073e+00 2.830878864435112680e-04 1.000000000000000000e+00 1.000791749264566821e+00
9.504752376188093906e-04 1.000592090080519414e+00 5.998898973781710553e-04 1.000000000000000000e+00 1.001585382112676115e+00 1.000592090080519414e+00 5.998898973781710553e-04 1.000000000000000000e+00 1.001585382112676115e+00 1.000592090080519414e+00 5.998898973782272170e-04 1.000000000000000000e+00 1.001585382112676337e+00 1.000592090080519414e+00 5.998898973781710553e-04 1.000000000000000000e+00 1.001585382112676115e+00
1.425712856428214140e-03 1.000976863697676578e+00 9.988988233772934464e-04 1.000000000000000000e+00 1.002926305323279088e+00 1.000976863697676578e+00 9.988988233772678593e-04 1.000000000000000000e+00 1.002926305323279088e+00 1.000966660988568568e+00 9.792632665143546043e-04 1.000000000000000000e+00 1.002824278232198330e+00 1.000968515022863325e+00 9.827897304538065707e-04 1.000000000000000000e+00 1.002842818575146122e+00
1.900950475237618781e-03 1.001496808420792473e+00 1.511774789931903977e-03 1.000041624175338928e+00 1.004441300605786402e+00 1.001496808420792473e+00 1.511774789931903977e-03 1.000041624175338928e+00 1.004441300605786402e+00 1.001486590299728530e+00 1.492055076134552599e-03 1.000041624175339150e+00 1.004339119395144975e+00 1.001488447134680770e+00 1.495611156750866616e-03 1.000041624175338928e+00 1.004357687744668937e+00
2.376188094047023639e-03 1.001929549998830549e+00 1.875472336464148416e-03 1.000041624175338928e+00 1.005666719025667843e+00 1.001929549998830549e+00 1.875472336464211300e-03 1.000041624175338928e+00 1.005666719025667843e+00 1.001919319411658460e+00 1.855228180589872915e-03 1.000041624175339150e+00 1.005564413153946068e+00 1.001921178511949506e+00 1.858885660285405136e-03 1.000041624175338928e+00 1.005583004156856974e+00
2.851425712856428280e-03 1.002375611585526238e+00 2.208274963918230478e-03 1.000083253548826878e+00 1.006641798172059232e+00 1.002375611585526238e+00 2.208274963918236116e-03 1.000083253548826878e+00 1.006641798172059232e+00 1.002355142644344665e+00 2.174346178253310294e-03 1.000083253548827100e+00 1.006539393106121283e+00 1.002358862256314875e+00 2.180493818109712715e-03 1.000083253548826878e+00 1.006558002134585683e+00
3.326663331665832921e-03 1.002877138985598382e+00 2.537761180297395426e-03 1.000083253548826878e+00 1.007662302073399463e+00 1.002877138985598382e+00 2.537761180297434457e-03 1.000083253548826878e+00 1.007662302073399685e+00 1.002846400587715348e+00 2.485774152484171180e-03 1.000083253548827100e+00 1.007457284311024548e+00 1.002851986363339831e+00 2.495173442473055427e-03 1.000083253548826878e+00 1.007494540098526681e+00
3.801900950475237562e-03 1.003329327605205545e+00 2.872325914352863614e-03 1.000166527894576829e+00 1.008685915951563539e+00 1.003329327605205545e+00 2.872325914352863614e-03 1.000166527894576829e+00 1.008685915951563539e+00 1.003298559741767182e+00 2.820861259167683436e-03 1.000166527894576829e+00 1.008480689925937757e+00 1.003304150871866751e+00 2.830169636500273062e-03 1.000166527894576829e+00 1.008517983558997022e+00
4.277138569284642637e-03 1.003815929738932411e+00 3.185658741605382205e-03 1.000166527894576829e+00 1.009498492980295481e+00 1.003767417302503073e+00 3.123309787487081948e-03 1.000166527894576829e+00 1.009498492980295481e+00 1.003785135380692806e+00 3.135551442278964630e-03 1.000166527894576829e+00 1.009293101628722766e+00 1.003782339679463620e+00 3.133450262160278593e-03 1.000166527894576829e+00 1.009330425304780565e+00
4.752376188094047278e-03 1.004316566848674874e+00 3.537014893071442102e-03 1.000166527894576829e+00 1.010398893182760549e+00 1.004219682367257338e+00 3.478305379001356019e-03 1.000166527894576829e+00 1.010398893182760549e+00 1.004275533766328721e+00 3.490036168564436894e-03 1.000166527894576829e+00 1.010193318636843474e+00 1.004266231282883615e+00 3.487595533407464050e-03 1.000166527894576829e+00 1.010230675602941552e+00
5.227613806903451919e-03 1.004830893094099675e+00 3.881444391612683207e-03 1.000208172869003764e+00 1.011430878022208546e+00 1.004733928590868741e+00 3.819896597931365153e-03 1.000208172869003764e+00 1.011430878022208768e+00 1.004769325279669667e+00 3.820535107092159696e-03 1.000208172869003986e+00 1.011225093509894979e+00 1.004763740521589899e+00 3.820457801422011412e-03 1.000208172869003764e+00 1.011262488631045287e+00
5.702851425712856560e-03 1.005346337866974249e+00 4.224923858837914201e-03 1.000249823045909370e+00 1.012293285134912457e+00 1.005249293151243783e+00 4.160959644365649045e-03 1.000249823045909370e+00 1.012293285134912457e+00 1.005284717744425294e+00 4.163921766588842867e-03 1.000249823045909592e+00 1.012087325158282924e+00 1.005279128616666684e+00 4.163483968976559521e-03 1.000249823045909370e+00 1.012124752164774266e+00
6.178089044522261201e-03 1.005878683256476780e+00 4.481751384557155181e-03 1.000374804802332873e+00 1.013201191059057926e+00 1.005732833008289528e+00 4.347816594983408035e-03 1.000374804802332873e+00 1.013201191059057926e+00 1.005817013690187833e+00 4.420349564059357014e-03 1.000374804802332873e+00 1.012995046360978924e+00 1.005802991201839802e+00 4.407254623958284552e-03 1.000374804802332873e+00 1.013032506935015675e+00
6.653326663331665843e-03 1.006357578747615777e+00 4.785597099228103106e-03 1.000374804802332873e+00 1.014241795089981135e+00 1.006211616419136590e+00 4.650927208633640758e-03 1.000374804802332873e+00 1.014241795089981135e+00 1.006295858725183567e+00 4.723529556653857306e-03 1.000374804802332873e+00 1.014035438671855083e+00 1.006281826018148751e+00 4.710496585513813429e-03 1.000374804802332873e+00 1.014072937719617373e+00
7.128564282141070484e-03 1.006875892676977857e+00 5.105971784659169184e-03 1.000416475799989158e+00 1.015372742247196758e+00 1.006729841009933235e+00 4.976919613814848563e-03 1.000416475799989158e+00 1.015372742247196980e+00 1.006803888101552191e+00 5.045936805591962060e-03 1.000416475799989380e+00 1.015166155727919906e+00 1.006791708847746714e+00 5.033633697023078175e-03 1.000416475799989380e+00 1.015203696589617843e+00
7.603801900950475125e-03 1.007476607907255461e+00 5.454891677005338849e-03 1.000541520044687438e+00 1.016332658250731935e+00 1.007330414589312717e+00 5.323687543655505720e-03 1.000541520044687438e+00 1.016332658250732157e+00 1.007373558528124491e+00 5.351276633420262718e-03 1.000541520044687438e+00 1.015919094605462147e+00 1.007366996227280209e+00 5.346284988870273619e-03 1.000541520044687438e+00 1.015994247309834453e+00
