# bkg	0sq	1sq	2sq	bkg-weight	0sq-weight	1sq-weight	2sq-weight
1.061876416206359863e-01 7.441463470458984375e-01 6.123009920120239258e-01 9.944900274276733398e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.650766313076019287e-01 8.480983972549438477e-01 9.999972581863403320e-01 9.224762916564941406e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.644609808921813965e-01 2.880477309226989746e-01 9.665419459342956543e-01 8.920992016792297363e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
8.763809502124786377e-02 9.538234472274780273e-01 4.690692126750946045e-01 9.999616146087646484e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
9.077674150466918945e-01 9.778386354446411133e-01 8.775403499603271484e-01 7.068251371383666992e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.925089955329895020e-02 9.235221147537231445e-01 9.994051456451416016e-01 9.998450279235839844e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.315662980079650879e-01 8.647357821464538574e-01 9.893372058868408203e-01 9.972297549247741699e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.165598705410957336e-02 8.334307670593261719e-01 9.997145533561706543e-01 9.998133778572082520e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.196747347712516785e-02 9.991999268531799316e-01 9.912214279174804688e-01 9.644569158554077148e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.435888826847076416e-01 9.999334812164306641e-01 8.639487624168395996e-01 9.789057970046997070e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.435692071914672852e-01 9.531353712081909180e-01 8.814743757247924805e-01 9.999366998672485352e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.638486385345458984e-01 3.894271850585937500e-01 9.849578142166137695e-01 9.999916553497314453e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.791211009025573730e-01 9.521651268005371094e-01 9.970443844795227051e-01 9.972358345985412598e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.718095272779464722e-02 5.711846798658370972e-02 9.822182059288024902e-01 7.814070582389831543e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
1.516270786523818970e-01 9.164201021194458008e-01 9.999144077301025391e-01 9.380645155906677246e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.113634467124938965e-01 9.968551397323608398e-01 9.999251365661621094e-01 9.251632690429687500e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.574306964874267578e-01 7.835080623626708984e-01 6.929265260696411133e-01 3.369036912918090820e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.092559933662414551e-01 5.987820625305175781e-01 9.636539816856384277e-01 6.545485854148864746e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.174486458301544189e-01 5.217439532279968262e-01 9.687567353248596191e-01 9.035008549690246582e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.703875303268432617e-01 9.892843365669250488e-01 8.788773417472839355e-01 5.848677158355712891e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.210001349449157715e-02 9.521550536155700684e-01 9.999902248382568359e-01 9.999997615814208984e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.090963304042816162e-01 9.991987347602844238e-01 9.882276654243469238e-01 9.942162036895751953e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
3.474037051200866699e-01 8.630508184432983398e-01 1.888861954212188721e-01 5.939766168594360352e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.201783418655395508e-01 9.982376098632812500e-01 2.270073145627975464e-01 6.751461029052734375e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
2.141033485531806946e-02 9.999847412109375000e-01 9.999997615814208984e-01 8.458213806152343750e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
6.706462502479553223e-01 1.667606271803379059e-02 8.099992275238037109e-01 6.616462469100952148e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
4.461188018321990967e-01 8.459686040878295898e-01 9.850999712944030762e-01 9.999545812606811523e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.307499647140502930e-01 2.680394947528839111e-01 9.991726279258728027e-01 9.997068047523498535e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
9.155703783035278320e-01 6.240886822342872620e-02 9.941980838775634766e-01 9.756926298141479492e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
7.228803038597106934e-01 3.448805809020996094e-01 9.989721775054931641e-01 8.438621163368225098e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
5.227540731430053711e-01 9.996535778045654297e-01 9.990923404693603516e-01 9.760503172874450684e-01 1.541530009156746881e-07 2.563896938960333877e-09 2.563896938960333877e-09 2.563896938960333877e-09
