# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 3.426235374547581015e-03 4.336808689942017736e-19 3.426235374547580582e-03 3.426235374547580582e-03 6.771442023740170679e-02 0.000000000000000000e+00 6.771442023740170679e-02 6.771442023740170679e-02 3.186233399777309572e-01 0.000000000000000000e+00 3.186233399777309572e-01 3.186233399777309572e-01 3.888024711484537321e-01 5.551115123125782702e-17 3.888024711484537876e-01 3.888024711484537876e-01
4.752376188094046953e-04 3.427063076218144801e-03 9.697845966518638922e-07 3.426235374547580582e-03 3.428947699116040998e-03 6.773073392852707597e-02 1.911408100770130677e-05 6.771442023740170679e-02 6.776787909499860929e-02 3.186992888983808947e-01 8.898601796197419804e-05 3.186233399777309572e-01 3.188722185699701672e-01 3.888948726192968386e-01 1.082626784956467120e-04 3.888024711484537876e-01 3.891052631523108096e-01
9.504752376188093906e-04 3.428263719127082939e-03 2.055064532028505738e-06 3.426235374547580582e-03 3.431666475405388116e-03 6.775439804992285098e-02 4.050439071653469153e-05 6.771442023740170679e-02 6.782146476617301190e-02 3.188094561385499404e-01 1.885665419730513548e-04 3.186233399777309572e-01 3.191216812764398614e-01 3.890289043804573410e-01 2.294140519096900569e-04 3.888024711484537876e-01 3.894087636858593604e-01
1.425712856428214140e-03 3.429581851554915246e-03 3.421962960519263716e-06 3.426235374547580582e-03 3.436260121623322533e-03 6.778037766635339190e-02 6.744501076655271779e-05 6.771442023740170679e-02 6.791200236078516472e-02 3.189271712551309812e-01 3.077683964505639313e-04 3.186233399777309572e-01 3.195108682177559833e-01 3.891728270429578584e-01 3.757838960761239228e-04 3.888024711484537876e-01 3.898893404413867336e-01
1.900950475237618781e-03 3.431363043693584115e-03 5.178938561166963845e-06 3.426377968038899022e-03 3.441450089213054023e-03 6.781548367010145628e-02 1.020734062783466823e-04 6.771723070802197764e-02 6.801429184088558788e-02 3.190905923064562000e-01 4.689385376888102123e-04 3.186364243254868334e-01 3.199869814296988912e-01 3.893716466635201989e-01 5.718734624789752327e-04 3.888183899501424512e-01 3.904685857584895836e-01
2.376188094047023639e-03 3.432845500653767916e-03 6.424868077234143859e-06 3.426377968038899022e-03 3.445648041602745928e-03 6.784470166188313889e-02 1.266292514503749363e-04 6.771723070802197764e-02 6.809702868501864292e-02 3.192266014767068949e-01 5.830759513315001861e-04 3.186364243254868334e-01 3.203720688109298331e-01 3.895371157347395363e-01 7.107690253567617049e-04 3.888183899501424512e-01 3.909370822344097607e-01
2.851425712856428280e-03 3.434373588041707889e-03 7.564959432648205307e-06 3.426520579335121282e-03 3.448988397673367380e-03 6.787481885806931348e-02 1.490989569177598897e-04 6.772004152861502146e-02 6.816286269068561054e-02 3.193635582555552910e-01 6.833348731742018480e-04 3.186495102853112993e-01 3.206784734961178884e-01 3.897044474110651358e-01 8.336925118419954636e-04 3.888343107072893545e-01 3.913098498845348772e-01
3.326663331665832921e-03 3.436091686050087024e-03 8.693689249001656529e-06 3.426520579335121282e-03 3.452484365074071256e-03 6.790868084713308495e-02 1.713445877322967005e-04 6.772004152861502146e-02 6.823176302470429500e-02 3.195179350293088638e-01 7.811652399521204623e-04 3.186495102853112993e-01 3.209667034530633289e-01 3.898929733797170671e-01 9.539514915381125957e-04 3.888343107072893545e-01 3.916676256332493611e-01
3.801900950475237562e-03 3.437640762039773784e-03 9.839816055739949042e-06 3.426805855357098300e-03 3.455990984830435448e-03 6.793921135112618304e-02 1.939328574175292418e-04 6.772566422000994568e-02 6.830087271936295668e-02 3.196600399562404826e-01 8.864649970458073546e-04 3.186756870424899968e-01 3.212883010818531337e-01 3.900658566967198926e-01 1.082018311641469270e-03 3.888661580895594883e-01 3.920588770376696175e-01
4.277138569284642637e-03 3.439307729121240768e-03 1.091320791584334749e-05 3.426805855357098300e-03 3.458774649230402475e-03 6.796878511063349226e-02 2.108721393377852569e-04 6.772566422000994568e-02 6.835573374071363117e-02 3.198129586963435189e-01 9.853546886583557356e-04 3.186756870424899968e-01 3.215435859193753187e-01 3.902486597764812659e-01 1.197923641419813790e-03 3.888661580895594883e-01 3.923694506515792435e-01
