,mw,msq,0sq,1sq,2sq
0,0.2,2.0,89,1904,7838
1,0.2,2.2,94,1642,8095
2,0.2,2.3,63,1640,8128
3,0.2,2.7,104,1404,8323
4,0.2,3.0,116,1390,8325
5,0.3,2.0,86,1876,7869
6,0.3,2.2,85,1664,8082
7,0.3,2.3,87,1557,8187
8,0.3,2.7,90,1410,8331
9,0.3,3.0,154,1288,8389
10,0.5,2.0,78,1797,7956
11,0.5,2.2,54,1631,8146
12,0.5,2.3,89,1505,8237
13,0.5,2.7,71,1338,8422
14,0.5,3.0,86,1284,8461
15,0.7,2.0,66,1813,7952
16,0.7,2.2,82,1598,8151
17,0.7,2.3,64,1513,8254
18,0.7,2.7,67,1305,8459
19,0.7,3.0,71,1230,8530
20,0.9,2.0,71,1759,8001
21,0.9,2.2,61,1604,8166
22,0.9,2.3,56,1471,8304
23,0.9,2.7,49,1275,8507
24,0.9,3.0,58,1141,8632
25,1.1,2.0,57,1763,8011
26,1.1,2.2,50,1447,8334
27,1.1,2.3,54,1369,8408
28,1.1,2.7,34,1206,8591
29,1.1,3.0,44,1136,8651
