# FPR	TPR_MEAN	TPR_STD	TPR_MIN	TPR_MAX
0.000000000000000000e+00 1.317174205105239512e-02 1.057745055921909851e-02 1.175548589341692853e-03 3.319525302283923146e-02
2.004008016032063962e-03 1.636408396730765769e-01 1.777492190740398784e-02 1.350201522615315786e-01 1.932377966860725493e-01
4.008016032064127925e-03 2.244458128078817560e-01 1.690243567543324096e-02 2.038177339901477703e-01 2.510076130765785951e-01
6.012024048096191453e-03 2.628358710255261910e-01 1.295181101925433308e-02 2.459695476936856195e-01 2.852104791759964009e-01
8.016032064128255849e-03 2.922581728616211461e-01 1.228366486363620044e-02 2.778213166144200552e-01 3.118002686968204262e-01
1.002004008016032024e-02 3.119402149574562744e-01 1.147939518468455572e-02 2.980295566502463300e-01 3.290976265114196053e-01
1.202404809619238291e-02 3.316278549037169343e-01 1.113968859068579023e-02 3.182937751903269219e-01 3.494738020600089423e-01
1.402805611222444730e-02 3.482422749664128570e-01 1.139769635926302788e-02 3.344715629198387608e-01 3.651477832512315391e-01
1.603206412825651170e-02 3.640785938199731508e-01 1.178518229977741118e-02 3.470667263770711997e-01 3.818853560232870481e-01
1.803607214428857436e-02 3.779388714733542542e-01 1.187497252660444508e-02 3.619570085087326361e-01 3.967196596506941120e-01
2.004008016032064049e-02 3.901477832512315613e-01 1.100928547246047412e-02 3.752239140170174903e-01 4.079153605015674033e-01
2.204408817635270315e-02 4.013826690550829079e-01 1.033097059263915832e-02 3.875951634572324389e-01 4.184393193013882795e-01
2.404809619238476581e-02 4.114811912225705970e-01 1.071531661676704099e-02 3.982870577698163772e-01 4.272839229735781452e-01
2.605210420841683194e-02 4.221283027317509484e-01 1.074531995217350988e-02 4.069077474249888082e-01 4.392633228840125414e-01
2.805611222444889460e-02 4.314879086430811195e-01 1.143449024787966499e-02 4.162001791312135990e-01 4.474361845051500475e-01
3.006012024048096073e-02 4.397391401701746250e-01 1.104531924026084383e-02 4.268920734437975928e-01 4.551052395879982004e-01
3.206412825651302340e-02 4.479120017913121865e-01 1.119464420674272029e-02 4.356247201074787134e-01 4.651253918495297790e-01
3.406813627254508953e-02 4.557042095835199258e-01 1.161029940229677850e-02 4.434057321988356670e-01 4.766009852216748777e-01
3.607214428857714872e-02 4.636027765338110451e-01 1.162528928956580408e-02 4.497872816838334176e-01 4.839901477832512233e-01
3.807615230460921485e-02 4.706728616211375282e-01 1.156021712918779525e-02 4.582960143304971035e-01 4.891401701746529440e-01
4.008016032064128098e-02 4.775918047469772110e-01 1.185090319471422682e-02 4.646215853112404814e-01 4.976489028213166299e-01
4.208416833667334017e-02 4.831952530228392217e-01 1.205246706501058446e-02 4.702194357366771271e-01 5.037505597850425731e-01
4.408817635270540630e-02 4.895488132557098138e-01 1.160300987641960449e-02 4.767689207344379954e-01 5.087326466636811206e-01
4.609218436873747243e-02 4.949227496641289692e-01 1.244161894744054420e-02 4.801836094939543331e-01 5.152821316614419889e-01
4.809619238476953162e-02 5.005597850425436146e-01 1.285262069114062079e-02 4.842700403045230861e-01 5.193125839677563693e-01
5.010020040080159776e-02 5.060512763098969913e-01 1.273373663262084877e-02 4.895879982086878690e-01 5.249104343931929595e-01
5.210420841683366389e-02 5.111845051500224502e-01 1.271926717428647872e-02 4.946260635915808446e-01 5.305642633228839777e-01
5.410821643286573002e-02 5.160602328705776731e-01 1.264126632250737840e-02 4.994402149574563299e-01 5.344827586206896131e-01
5.611222444889778921e-02 5.207288401253918897e-01 1.272821326729984062e-02 5.043663233318406158e-01 5.405284370801611837e-01
5.811623246492985534e-02 5.254478280340350027e-01 1.244076635939757140e-02 5.086206896551723755e-01 5.434952978056426520e-01
6.012024048096192147e-02 5.301332288401253701e-01 1.277144514037670611e-02 5.115875503806538438e-01 5.488132557098074349e-01
6.212424849699398066e-02 5.344491715181370894e-01 1.321038618368217989e-02 5.148902821316614364e-01 5.541312136139722178e-01
6.412825651302604679e-02 5.387483206448723250e-01 1.337993519993952059e-02 5.193125839677563693e-01 5.585535154500671506e-01
6.613226452905811292e-02 5.430810568741603062e-01 1.396724145596728132e-02 5.236789072995969851e-01 5.634796238244513811e-01
