# thresholds	B-mean	B-std	B-min	B-max	0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 5.555519999999999072e+02 1.136868377216160297e-13 5.555520000000000209e+02 5.555520000000000209e+02 7.006516814972910012e+00 0.000000000000000000e+00 7.006516814972910012e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759904617304218633e+01 3.552713678800500929e-15 1.759904617304218988e+01 1.759904617304218988e+01
4.752376188094046953e-04 5.552721092700403460e+02 3.488079107411850566e-01 5.545257339901477280e+02 5.555520000000000209e+02 7.006516814972910012e+00 0.000000000000000000e+00 7.006516814972910012e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759904617304218633e+01 3.552713678800500929e-15 1.759904617304218988e+01 1.759904617304218988e+01
9.504752376188093906e-04 5.549175810120914321e+02 6.716513603201198501e-01 5.536549628302732344e+02 5.555520000000000209e+02 7.006221264488590172e+00 6.308154898471612709e-04 7.004546478410769161e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759875062255786560e+01 6.308154898463567929e-04 1.759707583648005169e+01 1.759904617304218988e+01
1.425712856428214140e-03 5.544853053291535616e+02 1.076136707750363852e+00 5.522555091804746326e+02 5.555520000000000209e+02 7.005925714004268556e+00 7.881346248562958422e-04 7.004546478410769161e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.898039914628139258e+00 1.776356839400250465e-15 8.898039914628137481e+00 8.898039914628137481e+00 1.759845507207354842e+01 7.881346248552745237e-04 1.759707583648005169e+01 1.759904617304218988e+01
1.900950475237618781e-03 5.539659525302283782e+02 1.578161655614388925e+00 5.507316596506941551e+02 5.555209010300045520e+02 7.005531646691840919e+00 9.851682810705143269e-04 7.003561310129698292e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.897941397800030572e+00 2.955504843207279464e-04 8.897054746347068388e+00 8.898039914628137481e+00 1.759796248793301032e+01 1.202551141373509741e-03 1.759510549991790995e+01 1.759904617304218988e+01
2.376188094047023639e-03 5.535087976712942464e+02 1.984009482342147246e+00 5.493633049708912495e+02 5.555209010300045520e+02 7.005137579379412394e+00 1.004678457870360935e-03 7.003561310129698292e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.897941397800030572e+00 2.955504843207279464e-04 8.897054746347068388e+00 8.898039914628137481e+00 1.759756842062058624e+01 1.186299703253151710e-03 1.759510549991790995e+01 1.759904617304218988e+01
2.851425712856428280e-03 5.530205438423645319e+02 2.359188443368390065e+00 5.481504451410658021e+02 5.554898020600088557e+02 7.004447961582661364e+00 1.424241262159281181e-03 7.002576141848628311e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.897941397800030572e+00 2.955504843207279464e-04 8.897054746347068388e+00 8.898039914628137481e+00 1.759687880282383787e+01 1.576269249711970220e-03 1.759412033163684086e+01 1.759904617304218988e+01
3.326663331665832921e-03 5.525105207344379323e+02 2.698121975459291111e+00 5.471241791312136229e+02 5.554898020600088557e+02 7.003856860614019908e+00 1.651442969980008134e-03 7.000605805286488348e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.897941397800030572e+00 2.955504843207279464e-04 8.897054746347068388e+00 8.898039914628137481e+00 1.759628770185519286e+01 1.751273443185020389e-03 1.759313516335576821e+01 1.759904617304218988e+01
3.801900950475237562e-03 5.519880580385131452e+02 3.094658488628327042e+00 5.460357151813702785e+02 5.554276041200179179e+02 7.003068725989164633e+00 2.213890362514924805e-03 6.998635468724347497e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.897842880971923663e+00 3.940673124276372619e-04 8.897054746347068388e+00 8.898039914628137481e+00 1.759540105040223423e+01 2.494246867171188899e-03 1.759017965851255738e+01 1.759904617304218988e+01
4.277138569284642637e-03 5.514873646215853569e+02 3.445873934309874098e+00 5.450094491715182130e+02 5.554276041200179179e+02 7.002182074536200673e+00 2.895791519276750062e-03 6.996665132162205758e+00 7.006516814972910012e+00 1.694489443441142384e+00 0.000000000000000000e+00 1.694489443441142384e+00 1.694489443441142384e+00 8.897842880971923663e+00 3.940673124276372619e-04 8.897054746347068388e+00 8.898039914628137481e+00 1.759451439894926494e+01 3.152538499425228038e-03 1.758820932195041564e+01 1.759904617304218988e+01
