# thresholds		0sq-mean	0sq-std	0sq-min	0sq-max	1sq-mean	1sq-std	1sq-min	1sq-max	2sq-mean	2sq-std	2sq-min	2sq-max	all-mean	all-std	all-min	all-max
0.000000000000000000e+00 9.341536533075915916e-01 1.110223024625156540e-16 9.341536533075914805e-01 9.341536533075914805e-01 2.269944281077543591e-01 0.000000000000000000e+00 2.269944281077543591e-01 2.269944281077543591e-01 1.184354175517618568e+00 2.220446049250313081e-16 1.184354175517618346e+00 1.184354175517618346e+00 2.324634002637420149e+00 4.440892098500626162e-16 2.324634002637419705e+00 2.324634002637419705e+00
4.752376188094046953e-04 9.343862605302911684e-01 2.899636300034118134e-04 9.341536533075914805e-01 9.350069012832517013e-01 2.270514897661298492e-01 7.113214259985912221e-05 2.269944281077543591e-01 2.272037420627145143e-01 1.184648094260979390e+00 3.663930299144374232e-04 1.184354175517618346e+00 1.185432324424478434e+00 2.325202136168080358e+00 7.082204897642488698e-04 2.324634002637419705e+00 2.326718009528347064e+00
9.504752376188093906e-04 9.346421312864278130e-01 5.152481421204369982e-04 9.341536533075914805e-01 9.357327057047182262e-01 2.271238779813395947e-01 1.371250246181229284e-04 2.269944281077543591e-01 2.273817965950298559e-01 1.185020951267669931e+00 7.063040928566776885e-04 1.184354175517618346e+00 1.186349430132610294e+00 2.325884350697483782e+00 1.319547640029552485e-03 2.324634002637419705e+00 2.328490660061512507e+00
1.425712856428214140e-03 9.349633739689094947e-01 8.084198276867370732e-04 9.341536533075914805e-01 9.366409054533155754e-01 2.272123190619026456e-01 2.200962642670743438e-04 2.269944281077543591e-01 2.276688347431770620e-01 1.185476481549655681e+00 1.133646831766973746e-03 1.184354175517618346e+00 1.187827819797848905e+00 2.326726283852681654e+00 2.103024140138448368e-03 2.324634002637419705e+00 2.331091089632477686e+00
1.900950475237618781e-03 9.353452030265634320e-01 1.203563228685807862e-03 9.341264075609463369e-01 9.377884927177438934e-01 2.273188467110713040e-01 3.234198013196910772e-04 2.270007624575722527e-01 2.279826270264322108e-01 1.186012087182723773e+00 1.639227506714949342e-03 1.184386803486805251e+00 1.189313279109307953e+00 2.327722451761955913e+00 3.079924364347614088e-03 2.324697072107228646e+00 2.333956838609234641e+00
2.376188094047023639e-03 9.356758376269699307e-01 1.546699405667315615e-03 9.341522342522045053e-01 9.389410049465310992e-01 2.274128172614845178e-01 4.072976312966648869e-04 2.270007624575722527e-01 2.282655081297603750e-01 1.186496052993927464e+00 2.070569037014237130e-03 1.184386803486805251e+00 1.190769952818740762e+00 2.328606409512299802e+00 3.915201083470508381e-03 2.324697072107228646e+00 2.336771644808067983e+00
2.851425712856428280e-03 9.359937257618755613e-01 1.802222928011799376e-03 9.342052988249426315e-01 9.398347220629190701e-01 2.275133337379759146e-01 4.850960681456528223e-04 2.270070973377058265e-01 2.285171259436427904e-01 1.187013724165454587e+00 2.471474922909238595e-03 1.184419434152760742e+00 1.192065579998436764e+00 2.329516797371499859e+00 4.629155807644302380e-03 2.324760146710715514e+00 2.339146177484690003e+00
3.326663331665832921e-03 9.363435503929782300e-01 2.075819076018858324e-03 9.341264075609463369e-01 9.407046261515998875e-01 2.276184779252546364e-01 5.555040146300836701e-04 2.270070973377058265e-01 2.287306844828232433e-01 1.187555221618771473e+00 2.834894141259946144e-03 1.184419434152760742e+00 1.193165189443171625e+00 2.330486047730332633e+00 5.316427101069794332e-03 2.324758166068539467e+00 2.341270685010138131e+00
3.801900950475237562e-03 9.366786786012534227e-01 2.367435669305655369e-03 9.341264075609463369e-01 9.414982603230797054e-01 2.277264906700077474e-01 6.381595942189664718e-04 2.270197686892155287e-01 2.289578415187292770e-01 1.188098374058590423e+00 3.244020515450015373e-03 1.184484703576463627e+00 1.194334773536975147e+00 2.331444984741987803e+00 6.076686241253780388e-03 2.324758166068539467e+00 2.343401112196820346e+00
4.277138569284642637e-03 9.369829551270962842e-01 2.626791766741318288e-03 9.341264075609463369e-01 9.422412855756483463e-01 2.278301750479736487e-01 7.115808867307757890e-04 2.270197686892155287e-01 2.291726392051423866e-01 1.188632310698423122e+00 3.622491678923711340e-03 1.184484703576463627e+00 1.195440680363412556e+00 2.332360727043227389e+00 6.764514935910206223e-03 2.324758166068539467e+00 2.345408194224424481e+00
4.752376188094047278e-03 9.372534931430382965e-01 2.838077350690264636e-03 9.341264075609463369e-01 9.426418352883076945e-01 2.279352796525334901e-01 7.778879269536886128e-04 2.270197686892155287e-01 2.293357678001158861e-01 1.189173554573423441e+00 3.964551366350189086e-03 1.184484703576463627e+00 1.196280536823367546e+00 2.333251786358574886e+00 7.360539739679101967e-03 2.324758166068539467e+00 2.346771712674657007e+00
5.227613806903451919e-03 9.376143191881947114e-01 3.094614745461171396e-03 9.342038940618706544e-01 9.437620656465530722e-01 2.280461243726995824e-01 8.465792799545205846e-04 2.270387796956974680e-01 2.296433949511901274e-01 1.189812858440273624e+00 4.408292271260671330e-03 1.184582627947071920e+00 1.197864270745258031e+00 2.334331814313201914e+00 8.098287129571711887e-03 2.324947441396963743e+00 2.349700853461889061e+00
5.702851425712856560e-03 9.379494906507408469e-01 3.305097356170820597e-03 9.342297271808711612e-01 9.440620922239454371e-01 2.281640089790005210e-01 9.229375762934599776e-04 2.270451177592789915e-01 2.298469768016116188e-01 1.190419948692134966e+00 4.803662667056088527e-03 1.184615274801443130e+00 1.198912310319957486e+00 2.335362327313855069e+00 8.758969748508821027e-03 2.325010543447362465e+00 2.351206134074163678e+00
6.178089044522261201e-03 9.383401532330166717e-01 3.480878278867323514e-03 9.343072393980978996e-01 9.447083360397167118e-01 2.282858892324171884e-01 9.896874707997042886e-04 2.270641351353232529e-01 2.300708838810884838e-01 1.191047607477546233e+00 5.149674195855826267e-03 1.184713231562268154e+00 1.200064942135791402e+00 2.336471056355075238e+00 9.331470842357286050e-03 2.325199880431088051e+00 2.353171883123146735e+00
6.653326663331665843e-03 9.386448328201376645e-01 3.667584222117280940e-03 9.343330810915697615e-01 9.455139283104624370e-01 2.283931283873516516e-01 1.052842713266097241e-03 2.270704753226849559e-01 2.302689933227605734e-01 1.191599848929978611e+00 5.476301969415614881e-03 1.184745889216354264e+00 1.201084735763800371e+00 2.337408209670135406e+00 9.882741700324737880e-03 2.325263003038831933e+00 2.355140417280025655e+00
7.128564282141070484e-03 9.390639451451778807e-01 3.927042175170135721e-03 9.344106190393265399e-01 9.465642858708660512e-01 2.285055368279932109e-01 1.128577192827932840e-03 2.270894990718491657e-01 2.305273023352141792e-01 1.192233843072262545e+00 5.850187005944754853e-03 1.184843878385255955e+00 1.202414362467126852e+00 2.338541447768039294e+00 1.057267004206278137e-02 2.325452401711338712e+00 2.357706912915961350e+00
7.603801900950475125e-03 9.394998586239253768e-01 4.129858916794663763e-03 9.345140330045401678e-01 9.472960968377929225e-01 2.286451051831725201e-01 1.203349055667796803e-03 2.271148715100219651e-01 2.307398986858822665e-01 1.192952567243765305e+00 6.237819145587647322e-03 1.184974568439864706e+00 1.203508642487632008e+00 2.339799693287276661e+00 1.123017656679247897e-02 2.325705005282386661e+00 2.359688909799162904e+00
8.079039519759880633e-03 9.398966247262592333e-01 4.332717126009121358e-03 9.345916160149932983e-01 9.479188000329927810e-01 2.287616707721663312e-01 1.246294082639455179e-03 2.271339064207149316e-01 2.308930661314538557e-01 1.193621824460105341e+00 6.563353277392845742e-03 1.185072614365917598e+00 1.204297004202575572e+00 2.340949320377848863e+00 1.177883460814391041e-02 2.325894511990898916e+00 2.361210426417173824e+00
8.554277138569285274e-03 9.402186682898946435e-01 4.562215775067678981e-03 9.346433487581043975e-01 9.485517018571213432e-01 2.288895355024983258e-01 1.323132086349963505e-03 2.271465990204163676e-01 2.311467950429492713e-01 1.194267180316211263e+00 6.959617669455086392e-03 1.185137991838924654e+00 1.205602916045315665e+00 2.342013177534634227e+00 1.245634563656876012e-02 2.326020875535736554e+00 2.363339677326786958e+00
9.029514757378689915e-03 9.407289777741277836e-01 4.822378073431600638e-03 9.346692183513941599e-01 9.490716884860319613e-01 2.290312833842410301e-01 1.395114880776211546e-03 2.271529461182617837e-01 2.313074765181149239e-01 1.194983924348293147e+00 7.318466317300927754e-03 1.185170684633238825e+00 1.206429894642782941e+00 2.343344251427742719e+00 1.312844225157921117e-02 2.326084065032002712e+00 2.364804910572652297e+00
9.504752376188094556e-03 9.411057026843365758e-01 5.020241128286221863e-03 9.347209639829281436e-01 9.495723163963403213e-01 2.291662583696349176e-01 1.471704494696498503e-03 2.271656419103138536e-01 2.315289616903828118e-01 1.195665909810864180e+00 7.727097664479424220e-03 1.185236078339354071e+00 1.207679337799024255e+00 2.344504003992861296e+00 1.379436726973370594e-02 2.326210459475723802e+00 2.366612480282826780e+00
9.979989994997499198e-03 9.415012506939570702e-01 5.224138728643020618e-03 9.348244810341427291e-01 9.503922767324164411e-01 2.292961439032464299e-01 1.539317628364845298e-03 2.271910398819450561e-01 2.317308649350162952e-01 1.196321479788926556e+00 8.061502294385338926e-03 1.185366898231986044e+00 1.209170231448455590e+00 2.345651720369498427e+00 1.437700699889315169e-02 2.326463310187524058e+00 2.368486114892163208e+00
1.045522761380690384e-02 9.418565691674605223e-01 5.444318992190552882e-03 9.349798211170404771e-01 9.510888160778585565e-01 2.294191720233968446e-01 1.623317486269805878e-03 2.272291528171389852e-01 2.320008927488412531e-01 1.197010321746502903e+00 8.486104367322255468e-03 1.185563209316764066e+00 1.210841024506062791e+00 2.346785375884653746e+00 1.508839627398157225e-02 2.326842740900143980e+00 2.370773907673356717e+00
1.093046523261630848e-02 9.423001202644953889e-01 5.720717181888441971e-03 9.351093303576442084e-01 9.521061281245228880e-01 2.295540316440804474e-01 1.693381842562740377e-03 2.272609282529761965e-01 2.322515107379173049e-01 1.197773374468904972e+00 8.849720350165537347e-03 1.185726876414163300e+00 1.212168658811589195e+00 2.348089052775198748e+00 1.577311212093365431e-02 2.327159075014863188e+00 2.373260790423133759e+00
1.140570285142571312e-02 9.427251956488497120e-01 5.883786222034995649e-03 9.351870617390005691e-01 9.526385610358690803e-01 2.296946454897637879e-01 1.762029514157126189e-03 2.272799999142204042e-01 2.324485098208528555e-01 1.198497432104206117e+00 9.204962224680366886e-03 1.185825109214321493e+00 1.213500669794779441e+00 2.349342476973795613e+00 1.634443730561532457e-02 2.327348937422988762e+00 2.375422971959888496e+00
1.188094047023511776e-02 9.431641433992223877e-01 6.059921419903420425e-03 9.352648125079475738e-01 9.535783790308590691e-01 2.298321943596707551e-01 1.826950953134231408e-03 2.272990763777329171e-01 2.326801138918330458e-01 1.199205686703361806e+00 9.540510053094256732e-03 1.185923366433126791e+00 1.214660985611044408e+00 2.350591220831980799e+00 1.689804108411505079e-02 2.327538846308749854e+00 2.377250970302526856e+00
1.235617808904452240e-02 9.435402174847800083e-01 6.218564530278282432e-03 9.353155786929333582e-01 9.539529158687403143e-01 2.299673193828798978e-01 1.888617828775054864e-03 2.273436068127418219e-01 2.329296019836686604e-01 1.199901450043850293e+00 9.860122451715309932e-03 1.186152728295261305e+00 1.216036568552689934e+00 2.351763812323485858e+00 1.742213799350459877e-02 2.327853830265042667e+00 2.379387996327688715e+00
1.283141570785392704e-02 9.439277639299182843e-01 6.410404275841516050e-03 9.352626447231967566e-01 9.542959020783443602e-01 2.301019376995171173e-01 1.944421569091623649e-03 2.273626992983800721e-01 2.332389161539785427e-01 1.200567924252206042e+00 1.011407096103234850e-02 1.186251066982668023e+00 1.217495882613930380e+00 2.352918347232072716e+00 1.791091619508611288e-02 2.327915556066542990e+00 2.382192165707302411e+00
