# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
0.000000000000000000e+00 1.088044022011005509e-02 6.530372125588146219e-03 4.168751042187760609e-04 2.142738035684508754e-02 1.789227947306987199e-02 1.078462904280808043e-02 7.503751875937968987e-04 3.460063365015841191e-02 2.298649324662330878e-02 1.443500945483383417e-02 9.171252292813073448e-04 4.694013673503418665e-02 1.850925462731365517e-02 1.258537585536613143e-02 5.836251459062864527e-04 4.268801067200266725e-02 1.119726529931632311e-02 8.954263752548052152e-03 3.335000833750208379e-04 3.209938302484575956e-02 5.169251292312822960e-03 6.059477175456602117e-03 0.000000000000000000e+00 2.201100550275137541e-02
2.004008016032063962e-03 8.302484575621142671e-02 1.301327837975298565e-02 6.353176588294147387e-02 1.076371519092879786e-01 1.265719198944829649e-01 1.688506514786567922e-02 1.002167750541937685e-01 1.529931632482908199e-01 1.744208443567140665e-01 2.545115167299645542e-02 1.386526596631649233e-01 2.186926796731699096e-01 1.739789567462421971e-01 2.825155904840737434e-02 1.366516591629148014e-01 2.218609304652326142e-01 1.280140070035017674e-01 2.840943612523143952e-02 9.262964815741203672e-02 1.849257962314490578e-01 7.229448057362014568e-02 2.933470340026065812e-02 4.485576121394030391e-02 1.405702851425712774e-01
4.008016032064127925e-03 1.160246790061697508e-01 1.465837200061099674e-02 1.003001500750375224e-01 1.426546606636651671e-01 1.733533433383357969e-01 1.962492143313882692e-02 1.497415374353843476e-01 2.018509254627313676e-01 2.417041854260463529e-01 2.695938744321938613e-02 2.090211772552943159e-01 2.812239453059863226e-01 2.462731365682841456e-01 3.021565970118787053e-02 2.126063031515757762e-01 2.891445722861430978e-01 1.909454727363681936e-01 3.244749295109074227e-02 1.539936634984158670e-01 2.467900616975154116e-01 1.203268300817075254e-01 3.538479104195601382e-02 8.612639653159913367e-02 1.932632983158245887e-01
6.012024048096191453e-03 1.396114724028680865e-01 1.168305402258002987e-02 1.276471569117892391e-01 1.607470401867600596e-01 2.061447390361847432e-01 1.453230440038085110e-02 1.888444222111055615e-01 2.268634317158579328e-01 2.896114724028681087e-01 1.925162270472194001e-02 2.661330665332666268e-01 3.198265799566449852e-01 2.965732866433216652e-01 2.127610464594476697e-02 2.712189428047356854e-01 3.279973319993330083e-01 2.396364849091212057e-01 2.560476075275056052e-02 2.076871769217942254e-01 2.798065699516424920e-01 1.589378022344505870e-01 3.110362227232754337e-02 1.288977822244455618e-01 2.221944305486076299e-01
8.016032064128255849e-03 1.584458896114724069e-01 1.159207863747956958e-02 1.451559112889778125e-01 1.780056695014173851e-01 2.329664832416208087e-01 1.395822358037514428e-02 2.107720526930131622e-01 2.515424378856094823e-01 3.269468067367016784e-01 1.804545191185016537e-02 2.918959479739869911e-01 3.554277138569284511e-01 3.371018842754710532e-01 1.979182509607870649e-02 3.000667000166750142e-01 3.655994663998666239e-01 2.803485075871269272e-01 2.411531498692694175e-02 2.382024345506086327e-01 3.156578289144572058e-01 1.939803234950808752e-01 3.054782029738748947e-02 1.535767883941971113e-01 2.503751875937968996e-01
1.002004008016032024e-02 1.725112556278139420e-01 1.358114599047270839e-02 1.579956644989161385e-01 2.000166750041687536e-01 2.513089878272469768e-01 1.439492371261137833e-02 2.288644322161080547e-01 2.728030682007670515e-01 3.526096381524095325e-01 1.778875189318597158e-02 3.171585792896448042e-01 3.768550942137735560e-01 3.649658162414540774e-01 1.933463677358760249e-02 3.254960813740203629e-01 3.900283475070868699e-01 3.083041520760380072e-01 2.504924210202727833e-02 2.626313156578289343e-01 3.424212106053026727e-01 2.194180423545105951e-01 3.223789923873437296e-02 1.735034183758545900e-01 2.805569451392362912e-01
1.202404809619238291e-02 1.849924962481240831e-01 1.497554635730297123e-02 1.691679172919793306e-01 2.149408037352009415e-01 2.674503918625980026e-01 1.498765663710597412e-02 2.441220610305152583e-01 2.914790728697682076e-01 3.754960813740202963e-01 1.788871450553922507e-02 3.407537101884275388e-01 3.975320993830248617e-01 3.900533600133400114e-01 1.978108346083483349e-02 3.470068367517091801e-01 4.118726029681507583e-01 3.341087210271802554e-01 2.538516919695234936e-02 2.883941970985492986e-01 3.703518425879606668e-01 2.429232652398343739e-01 3.269922791706515730e-02 1.945139236284809114e-01 3.026513256628314275e-01
1.402805611222444730e-02 1.965482741370685460e-01 1.618253956880770852e-02 1.831749207937302115e-01 2.320326830081707592e-01 2.834583958645989776e-01 1.508151575527704076e-02 2.649658162414540441e-01 3.117392029348007298e-01 3.966566616641653553e-01 1.695698096448009298e-02 3.664332166083041353e-01 4.195431048857762302e-01 4.131232282808071088e-01 1.931682461210519619e-02 3.751042187760547097e-01 4.393029848257462011e-01 3.586209771552443248e-01 2.550308331448611007e-02 3.154910788727697257e-01 4.004502251125562906e-01 2.660330165082541165e-01 3.370287722577474526e-02 2.190261797565449253e-01 3.315824578956144686e-01
1.603206412825651170e-02 2.080707020176754685e-01 1.738017054415448570e-02 1.940136735034183879e-01 2.457895614473903645e-01 2.979930680102910734e-01 1.546422870030893758e-02 2.779723194930798780e-01 3.286050172714947704e-01 4.170585292646323272e-01 1.629800610630744925e-02 3.862764715691178741e-01 4.398032349508087524e-01 4.337752209438051620e-01 1.882145806577962405e-02 3.937802234450558658e-01 4.592296148074037077e-01 3.823328330832082567e-01 2.522887489903792579e-02 3.371685842921460785e-01 4.234617308654327061e-01 2.878772719693180049e-01 3.301208234399713448e-02 2.387026846756711562e-01 3.509254627313656560e-01
1.803607214428857436e-02 2.178089044522261430e-01 1.834819594272148191e-02 2.035184258796064738e-01 2.579623144905786036e-01 3.099716524929130856e-01 1.672743965122804391e-02 2.912289478072369597e-01 3.435884608971151999e-01 4.337502084375520761e-01 1.695607701627224392e-02 4.076204769051192112e-01 4.576454894113723415e-01 4.506920126730030729e-01 1.895337045369775708e-02 4.137068534267133724e-01 4.750708687677172026e-01 4.009004502251125035e-01 2.675348914357098332e-02 3.552609638152409710e-01 4.414707353676838308e-01 3.061280640320160340e-01 3.334477718686308656e-02 2.590461897615474185e-01 3.684342171085542850e-01
2.004008016032064049e-02 2.270802067700517513e-01 1.783555982676749557e-02 2.133566783391695754e-01 2.658829414707353789e-01 3.213106553276638411e-01 1.583141265091882535e-02 3.028180757045189075e-01 3.525095881273970222e-01 4.489077872269469083e-01 1.562118626913750093e-02 4.232116058029014583e-01 4.699016174754043762e-01 4.672252793063198517e-01 1.739980754532326895e-02 4.320493580123395128e-01 4.880773720193429810e-01 4.187343671835918602e-01 2.531046612869543647e-02 3.739369684842421271e-01 4.562281140570285110e-01 3.240953810238452748e-01 3.078064850797659555e-02 2.777221944305486301e-01 3.804402201100550163e-01
2.204408817635270315e-02 2.358762714690678663e-01 1.753781028414128779e-02 2.210271802567950750e-01 2.722194430548607880e-01 3.324495581123895760e-01 1.481394644438529910e-02 3.159913289978322770e-01 3.600967150241787817e-01 4.633566783391695476e-01 1.400244939345660945e-02 4.399699849924962325e-01 4.819909954977488753e-01 4.830915457728863771e-01 1.641949482134006169e-02 4.483074870768717912e-01 5.022511255627813975e-01 4.351092212773053913e-01 2.373852591979023000e-02 3.920293480073370196e-01 4.678172419543105143e-01 3.413039853259963174e-01 2.916372421655843636e-02 2.971485742871435853e-01 3.931132232783058345e-01
2.404809619238476581e-02 2.432549608137402619e-01 1.840663671422936715e-02 2.282808070702017633e-01 2.809738202434550747e-01 3.412206103051525496e-01 1.496428104046313920e-02 3.256628314157078430e-01 3.686843421710855329e-01 4.744705686176421411e-01 1.409668204022527724e-02 4.513089878272469324e-01 4.930798732699683273e-01 4.958729364682341045e-01 1.587046314066056785e-02 4.628147407036851679e-01 5.148407537101884479e-01 4.491912622978155301e-01 2.342743730583063747e-02 4.069534767383691798e-01 4.808237452059362926e-01 3.550942137735534354e-01 2.909030825675391202e-02 3.112389528097381786e-01 4.051192262798065657e-01
2.605210420841683194e-02 2.513840253460063456e-01 1.876684304874112405e-02 2.337001834250458654e-01 2.901450725362681449e-01 3.512172753043188433e-01 1.565174775001164711e-02 3.337502084375520983e-01 3.797732199433049849e-01 4.873436718359179798e-01 1.457569926306679503e-02 4.657328664332165968e-01 5.055861263965315544e-01 5.097715524428880762e-01 1.540502370743837210e-02 4.810738702684675405e-01 5.267633816908454669e-01 4.641320660330164882e-01 2.351766234497087993e-02 4.246289811572452888e-01 4.934133733533433430e-01 3.707186926796731674e-01 2.906669429182531794e-02 3.315824578956144686e-01 4.201267300316824937e-01
